user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Lin林 ,https://www.google.com/maps/contrib/108396173768589889729/reviews?hl=zh-TW,5,True,304,"老闆可愛親切
負責打烊班
以及店小二
老板娘廚藝高杆
價錢公道物廉價美物超所值
強力推薦卓仔正字標記"
 林順安 ,https://www.google.com/maps/contrib/101882877753673155512/reviews?hl=zh-TW,4,True,73,溫馨的裝潢，又有好料理，速度超快~
 周明宗 ,https://www.google.com/maps/contrib/104267191091891727801/reviews?hl=zh-TW,5,True,74,料多料好實在，大碗又便宜，尤其推薦海鮮炒麵與三杯田雞
 Shih-Shiang Liao ,https://www.google.com/maps/contrib/109211317722073136366/reviews?hl=zh-TW,4,True,680,價格偏貴，但風格雅緻的小店
 Yusuke Lin ,https://www.google.com/maps/contrib/108537652097171728480/reviews?hl=zh-TW,5,True,43,老闆親切，餐點也可口，是聚餐的好地方
 Blues Lee ,https://www.google.com/maps/contrib/111901602439500410965/reviews?hl=zh-TW,4,True,170,這是一家蠻久的餐廳，以前在鐵路邊後來搬進來天津街，菜不錯吃那我很便宜，可以試試他們的砂鍋魚頭及魯蹄膀，比較屬於家常菜，但裝潢就比較簡單，老闆本身有在跑捷兔，所以星期六日最好打電話預約。無刷卡。
 chou winnie ,https://www.google.com/maps/contrib/114445863812119601381/reviews?hl=zh-TW,5,True,31,"很好吃！
聚餐的好選擇
平價又美味的台菜
只有一兩個人的話，也可以單點炒飯炒麵
不過週末沒有營業喔"
 江秉桀 ,https://www.google.com/maps/contrib/116222610205720752004/reviews?hl=zh-TW,4,True,298,樸實的家常菜口味
 朱漢耀 ,https://www.google.com/maps/contrib/107438792031483016569/reviews?hl=zh-TW,3,True,79,陳舊的餐廳裝潢，看的出是一家頗有歷史的餐廳，服務人員少，菜色稍油膩，但價格平民，適合下班後三五好友聚餐的好去處，停車場在市民高架下，走到餐廳約5分鐘！
 Elly Wang ,https://www.google.com/maps/contrib/114574607633098241920/reviews?hl=zh-TW,4,True,83,價格公道，實惠，菜色美味分量夠！
 Jacky Weng ,https://www.google.com/maps/contrib/100816898403020548745/reviews?hl=zh-TW,5,True,154,菜色不錯價錢格也算評價，不錯吃👍
 簡明昭 ,https://www.google.com/maps/contrib/107250428462911106574/reviews?hl=zh-TW,5,True,348,價格公道、口味大衆、菜色齊佳、值得再去
 覃書澔 ,https://www.google.com/maps/contrib/118016310849866577017/reviews?hl=zh-TW,5,False,11,台式家常菜，口味道地、服務親切，適合聚餐的好地方。
 Larry Lee ,https://www.google.com/maps/contrib/103958895115545827764/reviews?hl=zh-TW,3,True,188,菜色普通，一般三兩知己小酌聚餐尚可。
 楊紹熙 ,https://www.google.com/maps/contrib/107447429718364451355/reviews?hl=zh-TW,4,True,985,真材實料又有家常菜的感覺
 Elly Wang ,https://www.google.com/maps/contrib/109192018563317550466/reviews?hl=zh-TW,5,True,4,"台灣道地熱炒料理,這裡通通可以吃到!但是例假日放假喔!"
 周旭瑩 ,https://www.google.com/maps/contrib/113655322915112688422/reviews?hl=zh-TW,5,False,4,菜色佳！老闆，老闆娘客氣親切喔！大推👍
 kachi kuo ,https://www.google.com/maps/contrib/117947914483498461859/reviews?hl=zh-TW,4,True,46,老闆手藝好，道地口味，適合公司聚餐！
 威瑪 ,https://www.google.com/maps/contrib/100177601345654987541/reviews?hl=zh-TW,5,True,88,家庭式的熱炒店，用料實在。
 Aaron Lee ,https://www.google.com/maps/contrib/114066889282971447499/reviews?hl=zh-TW,4,True,195,老闆跟老闆娘二位手路菜
 陳惟賢 ,https://www.google.com/maps/contrib/106913604004904065931/reviews?hl=zh-TW,4,False,27,這家我常去，是朋友聚聚的好地方
 chiao yang ,https://www.google.com/maps/contrib/113712207189848408525/reviews?hl=zh-TW,5,True,46,Greatfood!!德國豬腳wasthebest
 王祁峰 ,https://www.google.com/maps/contrib/111160861809075464506/reviews?hl=zh-TW,4,False,20,平價，老闆和氣，料理不錯
 陳墀章 ,https://www.google.com/maps/contrib/111806266162556101457/reviews?hl=zh-TW,3,False,87,菜色普通，老板親切。
 廖昱維 ,https://www.google.com/maps/contrib/117821444240325804922/reviews?hl=zh-TW,4,True,123,料多新鮮，價格實在
 Jason ,https://www.google.com/maps/contrib/101369568820640231258/reviews?hl=zh-TW,5,True,129,兔友開的餐廳兔仔子聚餐棒埸
 張芳綺 ,https://www.google.com/maps/contrib/109331785190707570139/reviews?hl=zh-TW,4,True,75,沙鍋魚頭味道美極了。
 唐秀玉 ,https://www.google.com/maps/contrib/116298269048511229579/reviews?hl=zh-TW,5,False,7,好吃，價格公道！
 凌凌 ,https://www.google.com/maps/contrib/102515218223155491696/reviews?hl=zh-TW,4,True,75,與同事聚餐的好地方
 湘湘小公舉 ,https://www.google.com/maps/contrib/113924714518886554232/reviews?hl=zh-TW,5,True,257,簡單方便好吃
 洪曉琪 ,https://www.google.com/maps/contrib/107939989902737028783/reviews?hl=zh-TW,5,True,17,餐點好吃
 Darren Chen ,https://www.google.com/maps/contrib/115525468151527912087/reviews?hl=zh-TW,4,True,755,還可以
 Vincent Pien ,https://www.google.com/maps/contrib/116391192845035484754/reviews?hl=zh-TW,3,True,74,味道不錯
 曾則謙 ,https://www.google.com/maps/contrib/115751983474565841462/reviews?hl=zh-TW,5,True,18,輕鬆
 向詠強 ,https://www.google.com/maps/contrib/116388345341051788211/reviews?hl=zh-TW,3,True,146,表現平均
 謝伯滄 ,https://www.google.com/maps/contrib/110517256719434713959/reviews?hl=zh-TW,3,True,11,大衆口味
 周春天 ,https://www.google.com/maps/contrib/117250156965963206438/reviews?hl=zh-TW,5,True,"1,748",好友聚餐~
