user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 陳君育 ,https://www.google.com/maps/contrib/110175169960494399989/reviews?hl=zh-TW,4,False,443,"定食是晚餐限定，但6點多就賣完，只好改點丼飯+sidedish。
🟡炸豆腐有宜蘭糕渣的影子，豆腐非常燙，吃太快還燙到口腔壁，建議食用前浸一下醬汁並用筷子稍加分切。
🟡點丼飯均附味噌湯，偏台味甜，會想續。(但不行)
🟡點主餐會招待一碟牛蒡絲。
🟡薑汁豬肉醬汁非常入味，甜稍大於鹹，豬肉本身油脂也甜潤，片狀口感而非碎屑感應是使用鮮肉。
🟡用餐過幾次，最喜歡唐揚雞，有居酒屋水準。"
 Wang Jenny (王若蓁) ,https://www.google.com/maps/contrib/110879327260693972220/reviews?hl=zh-TW,5,True,75,原本以為又是那種掛著日式料理招牌的台式日菜，結果一吃整個驚人，餐廳內的服務原本態度都非常好。餐點的部分，不是點定食居然都還有附送小菜（2人用餐給2碟，還有我最愛的牛蒡）。不點定食的話兩百有找，也還有附送味噌湯，點了一碗薑汁豬肉跟豬排丼，薑汁豬肉的醬汁恰到好處的鹹，帶點甜味跟薑的味道，而且不是那種便宜又很薄的肉，是帶點厚度跟脂肪的，口感超讚，加上半熟蛋直接滿分！另一碗豬排，雖然洋蔥蛋的部分是偏熟了一點（在日本是比較半熟，像醬汁一樣淋在豬排上的），但是依然很好吃，豬排也是炸的酥脆，肉也不柴。唐揚炸雞的外皮是比較偏台式的味道但是日式的口感，但是是有肉汁的那種炸雞敲讚。這樣點下來一個人也才185元！重點是送餐速度超快🥹絕對會再回來，看到別人點雞腿排感覺也好讚
 fancy lin ,https://www.google.com/maps/contrib/102855040041347165948/reviews?hl=zh-TW,5,True,62,"已經來過店裡內用3次了,整體環境ok,乾淨有點昏暗。
服務部份因為外帶的餐食蠻多的,所以服務人員都很忙,但基本上沒有什麼特別不佳的地方。
餐點部份個人覺得cp值頗高,且無論是定食(烤雞腿)&配菜or鮭魚炒飯,豆腐都十分美味。
同事說她點的鮭魚丼飯好吃&cp值超高的,鮭魚有2片還有配菜,把我們都嚇一跳,下次可再試試其他餐點看看還有沒有驚喜!?"
 Avery Liu ,https://www.google.com/maps/contrib/100037639656705955974/reviews?hl=zh-TW,5,True,118,"1.座位滿多的，乾淨整齊，但那時後坐靠近走道，一直有人進出沒關緊門，風又不小微微阿雜。
2.餐點CP值高，美味好吃
（1）鮭魚炒飯有鑊氣很香、但對於胃口大的人可能吃不飽
（2）揚出豆腐炸的外酥內軟、柴魚片好像也有炸一下；上桌時炒飯快吃完了😂，稍微可惜一點
（3）另有附小菜及味噌湯，也是入味好吃
3.餐具及熱茶自取。
4.桌與桌之間有點近。"
 Allen Chien ,https://www.google.com/maps/contrib/108256479781760994112/reviews?hl=zh-TW,3,True,"1,875","有分定食和單點的選擇，差別在於定食的菜色從前菜到甜點都有。
我們點了一碗親子丼、烤鯖魚定食、炒青菜等，親子丼的雞肉並不是和雞蛋一起烹煮，所以第一眼還以為少了雞蛋，正宗親子丼應該把雞肉和雞蛋一起烹煮啊！這樣才會有蛋液滑嫩，以及雞肉的口感。
烤鯖魚定食算是很豐富，有開胃的馬鈴薯沙拉、青菜、茶碗蒸、主菜和湯品，鯖魚烤的香味四溢，外焦內嫩的口感，多汁又下飯，茶碗蒸也是比例很好，每一口都有豐盈的湯汁。
店內的裝潢有點類似日式風格，裡頭擺滿了老闆喜愛的公仔模型，從七龍珠到灌籃高手，還有大小朋友最愛的龍貓收藏品。"
 雲成 ,https://www.google.com/maps/contrib/118203990144500903057/reviews?hl=zh-TW,3,True,295,"熱鬧的巷內騎機車都不好停
日式風格的門面裝潢
店內桌數算多餐點以丼類定時為主

11:40到店店內兩桌
但櫃檯處已經很忙碌了
畫好菜單後站在板娘旁等他忙手上的事
站了約一分鐘終於停下手上工作
不是接待我的菜單而是接電話
招呼完來電點餐12:15自取後
才接我的菜單¥

12:4X到櫃檯結帳6XX
一手零錢一手千元鈔給板娘
板娘接過零錢後隨手再接起電話¥
晾在一旁幾秒後老闆看到才收我的鈔票

點餐時櫃檯旁滿滿的外帶餐盒
用餐時間到了食客陸續上門
當天三個人員電話還一直來
可以理解很忙明顯已超出人員負荷
但再忙也該顧好用餐品質
不顧用餐品質就不值得現在的評價星數

這頓用餐約剛好一小時
兩個男生實際用餐時間約20分鐘
更別提比我們晚來的客人
一樣的餐到餐時間比我們快的感受了
再美味的餐點也都沒有意義了

牛肉炒飯：150
調味正常但牛肉很棒
似1-2公分厚的肉排去切的

烤馬頭：250
可以理解烤的一定比較慢
一端上來我就覺得味道不太對
果然肚肉口感稍爛….
可能是退冰等客太久但我們是營業第一餐
或可能是購入時鮮度不夠再冰再退冰

唐揚雞：正常
炒鵝白菜：跟我的鵝白菜不太一樣
鹽烤日本山藥：鹽稍薄咬後牽絲很低

#上班時間的午餐為該店最忙碌的時間
#建議午餐或假日再登門品嚐"
 游嘉儀 ,https://www.google.com/maps/contrib/101725271584957655081/reviews?hl=zh-TW,5,True,85,"以熟食為主的日式小吃，
水蓮份量足夠，也有區分丼飯(單點)跟定食(套餐)，
鞥因為附近是公司行號，所以中午人算滿多的，要提早過來，
整體來說C/P值算中高。"
 杜龍炎 ,https://www.google.com/maps/contrib/108272641367353058566/reviews?hl=zh-TW,5,False,13,"我點了雞肉唐揚丼，同事點了炒飯
雞肉的部分炸的很好吃，溏心蛋水準也很高，同事也認為炒飯不錯吃
除了價格偏高一點點沒有其他缺點"
 Yu Gao ,https://www.google.com/maps/contrib/109678666906573658494/reviews?hl=zh-TW,4,True,136,"禮拜五晚上約6點多到訪
定食已經賣完了🥹
建議想吃定食的可以
早一點到訪或打電話預定

入座後會先送上一小盤小菜
餐點份量適當
口味還不錯
當天吃的海鮮烏龍麵較無特色
揚出豆腐還不錯吃
吃起來有章魚燒的味道😂
外酥內軟蠻有特色的

下次想去試試定食🥲"
 楊傑宇 ,https://www.google.com/maps/contrib/115547980010692757648/reviews?hl=zh-TW,5,False,136,"中午時段，與友人L相約在桔橙子用餐！

這是我們第二次光顧桔橙子，生意一直都很好，附近的上班族都會過來吃，加上離中崙高中，十分的近，是用餐的好去處！

這次我們分別點了一份牛肉丼以及櫻花蝦炒飯，價格也十分划算，櫻花蝦炒飯只要100元，而牛肉丼也只有140元，店家還會送上小菜，以及一碗味噌湯，還有提供茶水，每次來都能吃的很滿足，記憶中我兩次都是點櫻花蝦炒飯！"
