user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Chien Chien C. ,https://www.google.com/maps/contrib/106728199493917496752/reviews?hl=zh-TW,5,True,157,"氛圍好、食物好、價格也好的日式居酒屋🏮

氛圍好是因為裝潢：店內以木頭裝潢為主，木質色系彷彿置身日本。有兩人桌、四人桌、也有日料板前的吧檯位置。雖然因為廚房屬半開放式、室內稍有油煙味，但味道不至於重到讓人回家想跳進洗衣機。氛圍上輕鬆自在，很開嗓（喝啤酒）。

食物好，當天點了楔型薯條、大阪燒、海鮮炒麵、德式香腸、藜麥沙拉、柚香大根。除了#德式香腸讓人失望（被鐵板加熱到肉汁全無，變成有肉乾感的香腸），其他每道菜都恰如其分、美味可口。#大阪燒一如推薦的好吃，麵糊部分蠻厚的、非常飽足，頂層培根香煎部分處理得很好、香脆不油膩，中和美乃滋及醬料的甜。#海鮮炒麵用料真的很豐富，海鮮跟肉片撲滿、剛上桌幾乎看不的麵條；實際上麵條炒得很香，而且份量很夠。

價格部分，當然高低值得與否見仁見智。以個人本次消費經驗判斷：每道菜份量都很實在，食材用料跟烹調技術也很好，價格區分菜色（像柚香大根是小菜、才百元不到），整體定價誠實無欺。至於用飲料當低消，在餐廳界也不是稀有的案例了，這家的從店名就定調是到#居酒屋，喝點酒鬆一下，不奇怪。來客心中都有數，也就沒有負面情緒了。

會想一訪再訪，嘗試不同餐點。"
 Mika Yu ,https://www.google.com/maps/contrib/117649991274755202764/reviews?hl=zh-TW,5,True,355,同事說這邊非常道地，也因為實在非常想念日本料理，所以聚餐就約這裡囉，包廂的位置低消$5000喔。生意很好，座無虛席，建議要先訂位喔，我們提早訂位也有預定鯛魚飯，那鍋實在太大鍋，足夠10人！其他的餐點也都很好吃，聚餐的好地方，而且員工都會講日文，也有3個日本人服務☺️覺得特別親切！
 Hsu Stella ,https://www.google.com/maps/contrib/100744871080513082529/reviews?hl=zh-TW,5,False,7,"大神大大酒展時認識了這間てつわん～和式鉄板料理屋Tetsuwan日本主廚，剛好在附近開會且籬下一場還有些時間那就來試試了，一進店裡真的有那一秒到日本的感覺，因為前後左右全都是日本客人啊，看了菜單菜色豐富多樣，分為下酒菜/冷盤/炸物/成熱與冷麵食/大阪燒與其他創意料理，重點是很多酒類可以選擇。

學長介紹""鐵之腕""主要是以大阪燒為名，而這的大阪燒有三種口味傳統/山藥/番茄，餡料則可選擇豬肉/海鮮/綜合可以選擇，另可加上配料日式炒麵/月見蛋/起司等，完全可以依照想吃的口味自己客製化搭配，而今天我們是第一次來，那就來個最簡單的豬肉。

大阪燒在鑄鐵鍋盤上滋滋響的上桌了，一上來就聞到那濃濃的香味，外層煎的脆焦上面淋上日式大阪醬的醬/美乃滋與海苔粉，內餡厚實豐滿，混和著滿滿的高麗菜跟柔軟的蔬菜麵糊，一口咬高麗菜的脆與蓬鬆的麵糊，再加上豬肉雞蛋和醬汁的香氣，口感表現不差讓人覺得好吃又滿足，搭配上香脆的培根反而感到輕薄不會有太重的澱粉感。

下酒菜前菜""アジの南蛮漬け""，超可愛的小竹莢魚炸過後浸泡在以醋為主的醃汁裡醃漬，味道非常的清淡好入口，當成第一道開胃菜真的很適合。

香煎鴨胸培根，鴨肉誘人的紅磚色有先醃漬過，肉質肥瘦均勻質細但很有嚼勁，咬下去帶有淡淡的煙薰香氣，配上旁邊的芥末調味醬跟一點洋蔥，吃起來口感豐富。

日式炸雞，外酥內軟的無骨炸雞，薄脆的麵衣內肉鮮嫩多汁，可以沾點美乃滋並配上高麗菜絲，會更多層次感。

看到別桌菜色一上，就會讓我又心癢起來，突然看到一道超可愛的擺盤，立馬點下""煙燻鳥蛋""，可愛的擺盤的鳥巢擺盤，不管好不好吃這就已經90分了，淡淡的煙燻味與有點咬感，哈，學長說這是淡水鐵蛋的不硬版，但吃到第二顆有點偏鹹，果然是下酒菜啊。

超級喜歡這間的氛圍加上又在公司附近，以後一定會常常來的，感謝學長大大的帶領招待。

鐵之腕和風鐵板料理Tetsuwan
台北市中山區松江路77巷12號
#Dinner#Izakaya#TW
#台北#中山區#松江南京
#美食#居酒屋#大阪燒#鐵之腕"
 Allison ,https://www.google.com/maps/contrib/106328324185683322505/reviews?hl=zh-TW,3,True,273,"唐揚雞好吃，點了兩份，大阪燒也不錯，很愛他們家的美乃滋。
生意不錯，室外座位也坐滿，建議訂位！"
 周俐俐 ,https://www.google.com/maps/contrib/106442968388796060001/reviews?hl=zh-TW,5,True,109,"和好友來此聊天小食.
蜜柑沙瓦-幾乎沒有酒味有點可惜！但是好喝
唐揚雞-竟然吃出排骨酥的味道，應該是醃製時有調味.
烤康門貝爾起司-起司就是非常美味，無功無過
紅酒燉牛舌-這道非常驚艷，牛舌很厚卻非常入口即化，調味也很好，非常好食呀！
番茄海鮮大阪燒-很特別的味道.材料新鮮又豐富，值得一試
湯豆腐-是吃飽喝足時最後的美好ending,口味稍鹹，但是因為居酒屋特色是喝酒🍺，酒喝下去開心話ㄧ講，味覺就會遲鈍，沒有略鹹會嚐不出味道！好吃"
 Yu Yu ,https://www.google.com/maps/contrib/106376985349766494521/reviews?hl=zh-TW,3,True,208,"精緻和風感
店裡好多日本人
炸物份量不多
建議還是要點一些有份量的主食
推薦大阪燒日式油淋雞炸飛魚"
 Felicia ,https://www.google.com/maps/contrib/101264443044022096418/reviews?hl=zh-TW,5,True,287,"臨時起意前往用餐
（請先訂位，用餐時段現場只能靠運氣）
生啤大推配大阪燒
食物份量不大兩人分食剛剛好"
 YuanPing ,https://www.google.com/maps/contrib/112969542734103023921/reviews?hl=zh-TW,5,True,86,比起大阪燒我最喜歡吃的就是”原味薯條”，真的好吃！酥內軟鹹味剛剛好！環境也很有日式風格
 Pudding Pu ,https://www.google.com/maps/contrib/117108834874878488089/reviews?hl=zh-TW,3,True,571,每人150元無酒精/酒精低消，豬肉大阪燒、唐揚雞蠻好吃的；起士明太子山藥份量精緻，小空虛。
 Teresa Liang ,https://www.google.com/maps/contrib/107073676242548751995/reviews?hl=zh-TW,5,True,132,"每一道都好好吃，有愛媛縣、博多還有沖繩的料理，蠻特別的
酒好喝，服務周到，也有許多日本客人，適合上班族小酌"
