user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 yoyo ning ,https://www.google.com/maps/contrib/114939264489640949280/reviews?hl=zh-TW,3,True,285,蠻好吃的，只是價位有點高，不過餐酒館可能都差不多，特色啤酒很多種類，選擇障礙可以請店員介紹，這次點的炒蘑菇溫沙拉和蛤蜊義大利麵都蠻好吃，不過份量不多，應該也是下酒菜的角色，有每人一杯飲料的低消(有非酒精類飲料)~
 王大野 ,https://www.google.com/maps/contrib/101219699503499880557/reviews?hl=zh-TW,4,True,86,鄰近台北車站，交通方便，是三五好友聚餐不錯的地點，炸物拼盤普普，明太子鮮蝦義大利麵鮮香夠味，德國豬腳軟嫩適中，整體而言餐點表現不俗，啤酒的選擇也很多，我覺得梅子的蠻好喝，美中不足的是這家店沒有廁所，有點不太方便。
 TRACY H. ,https://www.google.com/maps/contrib/118396200521787458139/reviews?hl=zh-TW,5,False,199,假日人比較多時會有限時，若是選平日用餐人不多也沒有限時，非常適合朋友聚會、聊天。食材新鮮有脆度，海鮮燉飯的燉飯口感已改良成國人普遍可以接受的硬度。啤酒有國內、國外款，也有每日特選生啤酒。最重要的是餐點健康美味，看似不多但其實有飽足感。天氣熱遇到店才剛開門會比較熱，慢慢地就會感覺室內溫度舒適，惟洗手間在大樓管理室。
 Duke ,https://www.google.com/maps/contrib/116695653063045917771/reviews?hl=zh-TW,3,True,100,"【會讓你很意外的point的酒吧】
這間酒吧蠻特別的
首先位置是隱身在北車老舊小吃攤裡的餐廳
再來是他中午時間就開始營業了
雖然客人不多但是Uber訂單倒是蠻多的
店裡的啤酒種類繁多多數是罐裝酒
比較特別的是搭配24節氣的啤酒
現場還有幾款人氣招牌有做現拉生啤
印象比較深刻的是梅子啤酒酸酸微甜很清爽
餐點部分味道都蠻重的都有一定的水準
很喜歡他的韓式炸雞肉很Juice
外面酥脆裹上的醬汁味道很棒不會過於油膩
相信晚上的時候生意一樣更好
但場內沒有廁所好像沒有辦法可以久待
然後只收現金有點傻眼
畢竟餐酒館消費都不便宜
顧客要帶大量現金有點困難
外場人太少經驗也不太足需要加強"
 欸你在哪 ,https://www.google.com/maps/contrib/116363185261179395839/reviews?hl=zh-TW,5,True,54,"食物都好吃！！
🦑原汁墨魚干貝海鮮燉飯（兩人份）$868
特別喜歡海鮮燉飯！
干貝/蛤蜊/墨魚都很新鮮好吃
（蝦子🦐我覺得還好）

🍄迷迭香炒蘑菇酸奶烤紅皮馬鈴薯$320
蘑菇讓我很驚艷🤩
吃起來很解膩

🥔墨西哥辣茄雞肉酸奶烤紅皮馬鈴薯$320
馬鈴薯搭配醬超讚的！
愛不釋手的那種
但好像不會辣？（沒印象有辣到我）

🍟蜂蜜芥末美式薯條$160
我喜歡的脆薯
剛炸好特好吃，脆軟適中
搭配蜂蜜芥末醬很讚

🍺艾菲根修道院三麥金啤酒9%$190

總體來說價格不平價
✅低消是一杯飲料！！！

三個人平均一人八百五
（2女1男）
但吃超飽🤣🤣🤣"
 Hannah Lin ,https://www.google.com/maps/contrib/117610017957737354338/reviews?hl=zh-TW,5,True,45,"很精緻菜色多樣的餐酒館
中午有每日特餐青醬或紅醬義大利麵約160-180左右也可以加套餐飲料和濃湯
環境舒適也有很多特色啤酒可以選擇
但是上菜速度偏慢建議可以先預訂或是不急的時候再吃🤣"
 陳泰瑋 ,https://www.google.com/maps/contrib/112293339236748950359/reviews?hl=zh-TW,4,True,476,炸雞皮脆肉嫩，熟度剛好，德國豬腳因為朋友裝牙套有客製化嫩一點，皮比較不脆，燉飯好吃番茄的酸有提升整道菜的記憶點
 Terry Chen ,https://www.google.com/maps/contrib/111684280225791864666/reviews?hl=zh-TW,4,True,139,食物很好吃只是價位有點高白酒紹興雞肉燉飯很特別雞肉也很好吃白酒蛤蜊義大利燉飯海鮮味也很高啤酒種類多且好喝也蠻適合聊天小貴以外其他都很不錯
 Gail HUANG ,https://www.google.com/maps/contrib/101196122373298849046/reviews?hl=zh-TW,3,True,221,啤酒選擇多，炸魚不錯，餐點整體還可以！以空啤酒瓶裝飾，方便點酒，美中不足的是，想試的酒不一定有貨！硬體還有改善的空間！酒杯的潔淨度必須要提升，已經直接提出建議，希望下次去能看到改善!
 黃小棋 ,https://www.google.com/maps/contrib/100568804224463843846/reviews?hl=zh-TW,4,True,78,大拼盤和紹興雞肉燉飯好吃，但大拼盤有點小貴….店裡的生啤是啤酒頭的，而且有8種口味，很多樣！我覺得比起瓶裝更好喝，值得來試試看😋
