user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 歪嘴雞Nash ,https://www.google.com/maps/contrib/107209468542940786122/reviews?hl=zh-TW,5,True,149,"今天造訪這家其實不一定在二樓的「貳樓餐廳」，就像海底撈也不一定要開在海底，貳樓有很多間分店是在其他樓層的，當初取名貳樓，是因為創辦人覺得二樓沒有一樓的喧囂，但有著極佳視野，營造如同個人秘密花園般，溫馨如家的歸屬感。

P.S.多年前造訪貳樓，曾經覺得菜單很雜亂，東西很膩口，多年後這次造訪，完全改善了當年的缺點，明亮整潔的菜單，餐點也更合我的胃口。(比歪嘴雞去年去美國吃的餐廳都還要好吃!)

按照傳統，統整一下貳樓的優缺:

優點
1.更勝當年餐點品質，主廚進修的進步顯著。
2.服務人員態度很好，整間客滿還能維持微笑。
3.位於台北車站，南來北往的好聚餐場所。
4.北車店內輕鬆的氣氛，讓人蠻放鬆的。

缺點
1.店面清潔有待加強，詳細會在照片說明。
2.人氣店面，大排長龍，等了好一會才有位置。
3.等待時間稍微有點長，但不至於影響到用餐。

是優點也是缺點
1.電子點餐系統，酷炫新潮，但對長輩太難了。
2.菜單選擇超級多樣化，選擇困難症直接暈倒。"
 Judy Chu ,https://www.google.com/maps/contrib/107405539300305305651/reviews?hl=zh-TW,4,True,220,"在中山區的巷子裡，店面感覺不大，走溫馨風格
店員服務很nice，點餐時會溫馨提醒可能會做比較久，但其實上菜速度算是OK的
用餐過程中，也會關心一下餐點是否都滿意
食物來說歐姆蛋很好吃，海鮮嗶啵的海鮮味很濃，喜歡海鮮的推薦試試看
份量對一個女生而言不會太飽
總體來說，是個適合聚餐聊天的好去處=)"
 Wuliii ,https://www.google.com/maps/contrib/108338842093532157763/reviews?hl=zh-TW,4,True,66,"服務很親切先拍拍手👏
不知道要吃什麼的時候就會來吃貳樓
選擇很多口味也很多很棒
今天點了兩道義大利麵調味都很好吃
雖然南洋風的那道店員有幫我們調整口味因為說是比較重口味的餐點
但調淡還是覺得偏鹹真的很重口味😆
青醬義大利麵調味就很剛好吃起來有股鍋氣很重的味道😆但是是好吃的啦
加點套餐都會吃太飽飽到吃不下
本來想點杏鮑菇可惜賣完了
韓式炸雞不錯喔有酸酸甜甜的醬👍🏻
最喜歡歐式麵包🤣很香很好吃黑糖奶油抹醬朋友非常喜歡麵包可以續
跟朋友聚餐推薦來貳樓選擇多也很方便聊天
因為不是安靜的餐廳所以可以盡情聊天😆"
 Toto Li ,https://www.google.com/maps/contrib/114952181808010751511/reviews?hl=zh-TW,5,True,61,"很久沒來吃了，還記得幾年前貳樓跟開幕的那一年，每次都要排隊，定位還不一定訂得到！
今天再次來拜訪，好奇有什麼新菜單！
看到這個令人懷念的班尼蛋，再加上煙燻鮭魚，真是絕佳組合！
這次新發現，海料嗶啵歐姆蕾，光是看名字就覺得很好吃！
挖開那一層黃色的帶皮，之厚呀！那個皮有讓我驚訝到，不像蛋包飯的皮啊！很特別的口感！
然後裡面滿滿的海鮮，還算滿意！
最喜歡的還是早午餐的果汁，可惜隨餐附的只有一小杯😄"
 Chang Patrick ,https://www.google.com/maps/contrib/102526557258533292743/reviews?hl=zh-TW,4,True,24,"6/26下午用餐

現場人員服務都很好、很熱心。手機掃描QRCode點餐，服務員確認後上菜大約10分鐘。

濃湯是加點的（+$70）味道就是中上的濃湯，但玉米和火腿很多～讚！

點早午餐有含2種飲料，第一種飲料有果汁、牛奶等；第二種飲料可以續杯，有紅茶、咖啡等。今天點了新鮮果汁+美式咖啡：果汁應該是西瓜+番茄之類，算是蠻好喝，甚至也還喝得到一點點果汁的沫跟果肉。咖啡的部分就蠻難喝，但含在餐點裡的就無傷大雅。

主餐是燻鮭魚blablabla的瑪芬堡，餐盤含有一小份生菜沙拉+胡麻醬、薯條、和主食。
沙拉的部分有蘿蔓、紫色高麗菜，胡麻醬味道普通偏酸一些些。
薯條算是類似肯0基換薯條之前那種脆到爆的美式薯條（但細一點），真的很好吃，讚！
主餐就是一般的燻鮭魚（含酸豆）+一般的瑪芬堡+一般的班尼迪克蛋，that’sall.

不知道其他分店是不是這樣，但今天在微風北車剛好坐在音響下面，加上對角線桌的客人講話超級無敵大聲，再搭配小孩的哭喊，用餐期間幾乎很難聽到對方友人說的話，需要提高聲量，可能只有這點稍微失望（但不是餐廳的問題），其他都很好～！"
 涵涵兒 ,https://www.google.com/maps/contrib/102162310360656359243/reviews?hl=zh-TW,4,True,37,"跟朋友想不到吃什麼的時候都會來這一家
如果可以的話建議提早至少兩天打電話預約
晚餐時段比較容易訂位全滿
如果是18:00、19:00後
現場排隊的話都至少要等30分鐘以上

陸陸續續都會更新菜單
也會依照節慶做佈置的改動
現在的菜單比較固定一點
但還是有機會遇到新的菜色
或是季節限定的菜單或飲料

以前想不到吃什麼的時候都會點曙光粉紅醬義大利麵
今天第一次嘗試南洋風雞肉海鮮義大利麵
菜單上面寫中辣
但實際體感吃起來不會覺得太辣
個人覺得蠻開胃的
想不到吃什麼都可以推薦這個項目點點看

甜點的部分我個人是很推乳酪蛋糕
以前很著迷的時候還會買一整盒裡面有六小個回去吃
很胖很罪惡但是很綿密又很好入口

疫情期間都是用手機掃描QR扣點餐
店員一樣會附上紙本的菜單以供討論跟參考
但我個人覺得直接看手機上的菜單比較好點
還可以直接選取加購的品項
價錢等等的也都很透明比較方便

北車店服務生也都很親切感覺比較年輕
整體來說是一個不錯的用餐體驗"
 賴小瑛 ,https://www.google.com/maps/contrib/106286271183078362489/reviews?hl=zh-TW,2,True,273,"餐點點餐後，飲料很快就來了，盤餐卻過了30分鐘才送上桌（當時內用桌沒有客滿，還有空桌）如果已經有點餓的情況建議選別家出餐快的。餐點的味道個人感受是煙燻鮭魚口感偏軟爛，味道有一點苦、薯條味道偏鹹口感偏軟不太美式，另一盤的烤餅配的蔬食菜名有寫到咖喱，卻吃不到咖哩味（當時有反應，店員拿走點單後沒說明，之後就給帳單）
我們一邊吃一邊討論著：
1.在蠻餓的情況下應該會覺得餐點很好吃，可是我們薯條沒吃完、西瓜汁偏甜沒喝完、奶茶偏水沒喝完
2.所有餐點是冷的不懂為什麼要等半小時，也許店家可以提醒我們點的餐點要超過20分鐘，可以讓我們有個心理準備也許我們就會改出餐較快的品項

總之，慕名而來，敗興而走。事後看其他評論發現出餐慢的情況不只有我遇到，沒事先查評論是我自己吃虧。有些評論業主有官方回應說再聯繫什麼的，我不會想再跟您回想這次不太美好的用餐經驗。

我也希望跟其他網友一樣吃到好吃的餐點，下次會吃看看別家二樓餐廳。"
 彭保羅 ,https://www.google.com/maps/contrib/112513504129677535016/reviews?hl=zh-TW,4,True,55,知道這間餐廳好幾年了但是第一次造訪，中午用餐時段全部客滿，不接受預訂只能現場排位等候。點了一道沙拉，份量還挺多的，雖然不能算超級健康（畢竟有沙拉醬+炸雞），畢竟也有普世大眾口味的考量，但味道還可以。最後重點褒獎一下，店家無限量供應檸檬水及佐餐麵包，對我來說實在是一大福音（不是貪小便宜，而是本人平時就很愛喝水跟吃麵包，貳樓咖啡的長條小法棍也太好吃了我那天吃了六根。）
 wan ching ,https://www.google.com/maps/contrib/106556245662537040248/reviews?hl=zh-TW,5,True,63,"20220107到訪
青醬鮮蝦扁麵$360
青醬本身不會太濃
但也不致於沒味道
份量很多
蔬菜的量給的也蠻足的而且蝦子夠脆夠新鮮

加購$150可以選三個配餐
我選了下面三個

酥炸蘑菇很讚
會噴汁但是粉裹的有點厚

美式起司Q球
很好吃
吃下去有滿滿的起司味
不會油也很有嚼勁

番茄蔬菜濃湯
很有誠意放了很多蔬菜
番茄味道很濃
是有用心熬煮的湯

是個聚餐的好地方
上菜速度快"
 vic Chen ,https://www.google.com/maps/contrib/116623655651078455927/reviews?hl=zh-TW,4,True,243,"很吵雜的一間店
可能是位於人聲鼎沸出入頻繁的台北車站吧
食物還是維持著一定的味道水準
少了顆星在於服務
續杯飲料除了等好久好久外好不容易送來結果送飲料的外場不先直接送到位子上中間被攔胡（就在隔壁桌）問問題
客人不戴罩的狀況下真的不知噴了多少口水進去但她也沒在意飲料是否加了料繼續送來
最後跟其他外場反應後再換了一杯而我們用餐時間也差不多到了😭"
