user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Chang Frank ,https://www.google.com/maps/contrib/107918787283809329278/reviews?hl=zh-TW,,False,99,"疫情期間價格便宜一點，水準卻是退步極多(2022五月某個周六入住)。一進去CheckIn，高瘦沒戴眼鏡的櫃檯小姐一劈頭就很不客氣地問：「是最近訂的嗎？」完全不講她的「最近」是多近，客人聽了根本不知道怎麼回答，只好說是網路上訂的，結果她依舊毫不解釋到底最近是多近、問這要幹嘛，就自顧自地辦後續的手續，搞得客人一頭霧水，而且讓人很不被尊重。雖然她動作幹練流利，但整個過程完全不正眼瞧客人一眼，心高氣傲，不曉得把客人當什麼。

入房後，清潔跟以前比也退步很多。浴缸有污漬、馬桶有尿垢都未清除乾淨；房間邊邊有明顯尿味，過了至少一小時才散掉；已經連續二次入住都有小蟑螂從縫隙跑出來。最讓人不愉快的是退房前半小時會打電話來催，上一次入住還沒有，不曉得現在是在急什麼？如果客人剛好想閉目養神一下或是正安靜休息，或者正好不方便到電話那邊，這不是很造成客人困擾嗎？有需要為了趕這半個小時而寧可造成客人困擾也無所謂嗎？？虧你們還是悠久有品牌的飯店，做決策都不會考慮這些嗎？只為了自己退房清潔作業的順暢，卻絲毫不考慮客人可能會有的(即使是退房前)不想被打擾需求，實在非常糟糕。

請加油吧。不然即使價格再優惠，這種品質也不會想再讓人入住。"
 徐玥禛 ,https://www.google.com/maps/contrib/112762188616235917287/reviews?hl=zh-TW,,True,111,"第一次入住天成飯店
前台：態度客氣，感覺舒服，飯店的招待人員也都很熱心，還會跟我們打招呼，相當不錯！👍🏻
房間：
1）空調與照明：燈很多，床頭還有閱讀小燈，整體燈光舒適，讓人容易想睡👍🏻💤，空調有強/中/弱三等級，整體偏冷，但怕熱的人應該覺得很舒服
2）床：棉被比較厚重，但床軟硬度適中，還蠻好睡的
3）浴室：有配牙刷牙膏杯子、梳子、洗髮帽、刮鬍刀、大毛巾小毛巾還有擦手巾、免治馬桶、捲筒衛生紙、垃圾桶、洗手乳、潤膚乳、洗頭沐浴精（香味舒服，也蠻好沖的）、潤髮乳，使用浴缸加很多種水龍頭，熱水很快也很熱
4）衣櫃：衣架、洗衣袋、全身鏡
5）冰箱、馬克杯、酒杯、茶包四袋、咖啡兩袋、熱水瓶、礦泉水都有
6）隔音：走廊隔音較差，但只要沒有人亂吼應該都還好，若是隔壁房有人亂吼尖叫大聲講話還是聽得到
但對外隔音很好，完全聽不到馬路的吵雜聲，真的很不錯
7）總體體驗：整體來說算是蠻舒服的，離台北車站也超級近，樓下就有全家/超商也很方便，走一下路也會到有賣小吃的地方。
*走廊若是有人抽菸會有味道（拜託癮君子自重一下🤣）但房間內不會有煙味
如果下次還有需求會考慮這家飯店"
 黃琡惠 ,https://www.google.com/maps/contrib/103064324457360747393/reviews?hl=zh-TW,,True,24,"房間的空調自己可以調強、中、弱、溫度，附四瓶礦泉水、咖啡兩包、茶包有兩種共四包、有喝水的杯子及泡咖啡的杯子，入住幾次都發現浴室是屬於乾濕分離，雙人床舒適，浴室內有洗髮沐浴二合一、潤髮乳、洗手慕絲、乳液。
3樓自助早餐餐廳的食物都還不錯吃（記得戴丟棄式手套夾食物唷！），服務人員和藹親切，一樓門口賣的便當美味好吃、燒賣類的點心不輸金獅樓唷！（好吃的不得了）
一樓櫃檯服務人員親切、幫忙提行李的服務員也很親切。
交通便利，門口兩邊有全家便利超商及7-11，坐公車、搭小黃也很方便。
PS.我覺得房務清潔很辛苦所以都會在桌上留小費，因為我不是用旅行箱所以沒機會給提行李的服務員小費，辛苦了！"
 吳季穎 ,https://www.google.com/maps/contrib/113265898353975756922/reviews?hl=zh-TW,,True,50,人性化溫暖的地方。上到副協理Kenny。下到一樓大廳餐飲業者工讀生都客氣。入住4顆星飯店。真的物超所值。longstay房價真的只是旅館價。飯店業者是佛心來回饋社會的。<希望天成上層能看到，鼓勵員工。撥放績效獎金＞；雖說國旅只到9月8日。國人消費真的不容小覷。＜45億元已花罄＞。櫃台長髮公主Julie耐心導引。教導國旅1300元如何使用。Checkout的Lucy耐心及負責收費現金及刷卡。服務中心Rick及Angel.都非常敬業有禮貌。房務主管White謙和有禮。甚至連房務基層員工Wendy舖床打掃都十分仔細。真的有賓至如歸的感覺。值得一提的地方是無障礙設施非常完善。交通便利。商店林立。不怕沒有吃的東西。緊鄰K區。也有大台北車站美食。一樓大廳更有港式飲茶點心及粥品。燒賣及便當也是高貴不貴。搭乘捷運或高鐵都方便自己開車也不困難。即便國旅停止了。放自己一個度假的選擇。就在天成飯店。周邊的麵包店精品區也可以逛逛。花藝店＜如附圖＞。老饕客們喜愛的翠庭粵菜或是國際廳的婚宴會館。17樓的輕食l-barJustforyou。第四次大推。
 健司吉井 ,https://www.google.com/maps/contrib/115846657864505459319/reviews?hl=zh-TW,,True,228,"中規中矩的老五星飯店，現在是四星
地點非常好，北車捷運站M3出口，上來就到
飯店外就是兩大超商，前面就是北車商圈，
吃喝逛不是問題。
雙人房空間蠻大的，就是早期的星級飯店裝潢
有比較復古感，房間味道稍微濃一些，就是陳舊味，但不影響居住，插頭都換新有USB孔，
建議再多帶多插座延長線，
方便你充各式用品。
備品齊全，床偏硬，很好睡，有免治馬桶座
洗澡用品是一罐式從頭洗到尾的，
不習慣的人，建議可帶自己的清潔用品
枕頭也有很好支撐感，算是蠻舒眠
隔音效果算還可以，隔壁如果靠近牆邊講話，會聽的很清楚，價格很親民，CP值高"
 Dana Wu ,https://www.google.com/maps/contrib/114652366999601162387/reviews?hl=zh-TW,,True,347,"2022.6.1

半夜吸二手煙吸到飽,霉味+煙味空氣差,畢業了不會再住.反映意見但無積極改善的趨勢(死豬不怕開水燙),數千條評論都提過味道問題(長期累積),不吸煙的客人自求多福,9樓和12樓走廊都有二手煙的味道.住飯店要賭運氣.
員工半夜上樓確認煙味到最後無下文,無任何應對方案,飯店這樣教員工做事也真是奇葩!
跟台北花園大飯店的環境、房間差異大.
預算多加個NT500~800就可以住台北花園大飯店，
新房間味道清新還有新設備、新床可以使用。
p.s後來有接到客房部副理的道歉電話，但哈拉抱怨完後味道不佳的大問題不知能否得到徹底改善。目前大約就是只能要求櫃台換房來處理。
看能否換到滿意為止。要主動追櫃台以免被晚班房務人員放生。

2022.5
NT800上下，經濟客房不含早餐(無窗)-適單人住
這個客房從6樓到16樓各只有一間，完全無對外窗，
位置剛好是在電梯出來後轉彎處，
所以耳朵靈的人會聽得到電梯上下運作的聲音，
不過聽不到報樓層的機械語音，空調聲蠻大，所以我睡得還算可以。
房間約五坪，廁所淋浴和浴缸是一起，上面加蓋玻璃門，很侷促，
如果超過175cm就會碰到天花板。
一進門霉味蠻大，散發出老飯店獨有的味道，
用除溼機和空調循環之後有比較好些。
房間打掃得非常乾淨。
櫃台和房務的態度很好，寄行李很方便，枕頭可以換乳膠枕。
隔音不算好---會聽到樓上水流管路聲/走廊的人講話的聲音/房務打掃聲音/門關上的碰撞聲音+震動，感覺天成就是商務型的飯店，不適合家庭親子客。
交通便利-離公車站/火車站/高鐵/捷運走路只要五分鐘上下，附近要吃東西也方便。"
 Alice Teng ,https://www.google.com/maps/contrib/100529259773352928278/reviews?hl=zh-TW,,False,9,"透過booking.com訂到平日時間入住知名的老飯店才$1376，真的很便宜。可惜房內那種老舊的味道真的很令人感覺不舒服（我氣管不好）霉味與濕氣超重，冷氣開到最強，但那股味道都還在，冷氣運轉聲音也很大！

浴室抽風機是壞了嗎？完全沒有聽到聲音

只好安慰自己，因為地理位置很好，還好住不到12小時就趕著退房了（隔日在北車集合出去玩）"
 Apple Su ,https://www.google.com/maps/contrib/114697040460324893424/reviews?hl=zh-TW,,False,8,"有年紀的老飯店及裝潢,感受用心經營像家一樣的好飯店

無論櫃檯人員到清潔人員,各個都不馬虎
家人先去用早餐時,服務人員還提醒""房間中還有幾個人還沒來用早餐,要趕快來喔"",接著也關心小孩早餐是否吃飽,需不需要幫忙再加添點食物

清潔人員把房間整理得很乾淨,我們把兩小床合併時,底下地毯都是乾淨的

每張床頭邊都有個可以調整角度的小黃燈,可以清楚看手機又不吵到同睡的人
房間有洗衣袋外還有多一個不織布的提袋可以使用,超級方便
房間也附有擦鞋套,樓層也有電動擦鞋機,現在很多飯店都看不到了

就重視交通接駁、停車方便、飯店服務的客戶來說,天成是很好的選擇
四星級當之無愧,實在貼心週到。"
 蘇先生 ,https://www.google.com/maps/contrib/105174186081188931743/reviews?hl=zh-TW,,False,2,"訂房組態度極差，先是消極不回電，再次打去各種裝傻充愣。
原先想使用優惠住宿方案，該方案還特別註明假日亦可使用，結果回覆說假日客滿了，但官網一查就是還有空房。
再次詢問之後就不耐煩的回覆「好啊有空房那我幫你訂啊」，請問現在我才是貴公司訂房組還要負責幫你們看是否有空房嗎？貴公司人員只需要掐指一算即可知道當天客滿嗎？擺明了就是不想給人用優惠，想在假日多撈一筆，那貴公司又何必推出此方案。
假如是有名額限制的話為何不能明說呢？還是另有隱情？
總之不會再去住了，撇除住房品質下降不談，這種開口就說謊的員工素質也令人不齒。"
 K H ,https://www.google.com/maps/contrib/100733416828996035972/reviews?hl=zh-TW,,True,"1,057","唯一優點，地理位置大勝
台北車站M3捷運口，上下皆有手扶梯
地下汽車停車場要及早卡位
最大特色是大門口
站著兩個侍衛加一位主管迎接客人
中老年人會很愛XD
年輕人我覺得多餘
4人房內狹窄，環境已有些年代
住起來有點…
但房景的台北車站及北門蠻壯觀
整體，下次會考慮其他飯店"
