user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Pui Yan Young ,https://www.google.com/maps/contrib/104324124331881670289/reviews?hl=zh-TW,4,False,78,"每次都買花生🥜👍
花生+煉乳$75
小貴但好吃
現做👍
但感覺不擠奶油比較好😂都溶了會泡著..."
 ugbemugbem ovuvuevuevue ,https://www.google.com/maps/contrib/118421771392355799908/reviews?hl=zh-TW,4,True,834,"鬆餅有四大塊還不錯吃吃得飽價格又便宜
老闆娘態度超好"
 Meow ,https://www.google.com/maps/contrib/100038217795943209397/reviews?hl=zh-TW,5,True,453,有兩種size整份跟半份，很便宜份量很夠又好吃
 Mimi Lin ,https://www.google.com/maps/contrib/102225558261637110835/reviews?hl=zh-TW,3,True,240,"瑪格麗特鬆餅130$
整體份量很有飽足感，鬆餅皮很厚很紮實，配料也很多，但吃到後面會有點膩"
 Hou Shika ,https://www.google.com/maps/contrib/104492658236302680138/reviews?hl=zh-TW,5,False,5,每次經過北車都會來買，推德式香腸蔬菜口味，鬆餅香甜，配料也很實在，份量約七八分飽當正餐都沒問題
 王七蛋 ,https://www.google.com/maps/contrib/115168280415843653547/reviews?hl=zh-TW,1,False,2,沒吃過這麼難吃的鬆餅，整個外皮軟軟爛爛的，中間的料少的悲哀，還感覺的出是很廉價的那種，今天還沒吃完直接跑廁所，去了兩趟還在痛；能做到難吃可能又不衛生也滿厲害的
 YJ T ,https://www.google.com/maps/contrib/112657025164450259787/reviews?hl=zh-TW,1,False,2,"衛生有待加强,店員在料理台前吃飯,吃到骨頭碎片直接手拿,然後又摸臉,我可以理解吃飯基本需求,但是之後的洗手居然是用水冲兩秒,沒有肥皂/洗手液.不管有沒有肺炎疫情都要認真洗手,更何況現在大家還在防疫.店員料理食物過程有戴衛生手套,但是手沒認真洗,交叉污染都有可能。"
 佘玟儀 ,https://www.google.com/maps/contrib/117193530959199113844/reviews?hl=zh-TW,4,True,18,剛剛從熊貓上面買，奶霜口味好水....我幾乎是用鬆餅沾著盒子裡的奶霜醬在吃，這樣正常嗎？鬆餅本身好吃，下次可能不點這個口味了
 邱璽文 ,https://www.google.com/maps/contrib/110401261997022419557/reviews?hl=zh-TW,5,True,73,一份鬆餅吃完飽到喉嚨，在搭配店裡的飲料，就是完美的一餐了。老闆人很熱心。
 Jasmine ,https://www.google.com/maps/contrib/101115079535141279635/reviews?hl=zh-TW,4,True,388,"外送平台賣得太貴
現場點有瓦芙（1/2鬆餅）尺寸選項真是又想吃甜又吃鹹的救星🥺鹹鬆餅多菜開胃抹茶鬆餅太甜較普通"
 游家蓁 ,https://www.google.com/maps/contrib/102481000290752732161/reviews?hl=zh-TW,5,True,147,好吃，點可可（抹醬），鬆餅厚實也大，蠻實在的，吃完會飽
 Sara Hsu ,https://www.google.com/maps/contrib/116035782179234140087/reviews?hl=zh-TW,4,True,74,"2022.1
份量蠻大的，厚鬆餅口感紮實，外送收到還有熱度，還好不是用紙袋不然就黏食物上了"
 Hitomi ,https://www.google.com/maps/contrib/115144834356443594673/reviews?hl=zh-TW,5,True,632,現點現做最好吃了口感不乾
 Wilson791024 ,https://www.google.com/maps/contrib/114459230226012760884/reviews?hl=zh-TW,5,False,2,"應該是這輩子吃過最好吃的鬆餅之一了！

幾乎直接變每天的晚餐

必推啊！"
 楊沛欣 ,https://www.google.com/maps/contrib/112129706977897075687/reviews?hl=zh-TW,1,True,25,一份120的海洋鬆餅鮪魚少得可憐真的很誇張!!吃到後面幾乎沒有吃到什麼鮪魚打開看真的就邊邊一點點鮪魚，餅皮也根本沒有鬆餅的感覺，又不酥也不Q，這樣賣120不懂為什麼評價可以到4.1⭐️？是刷評價嗎？？
 Wen Chieh Cheng ,https://www.google.com/maps/contrib/105823168815767785409/reviews?hl=zh-TW,1,True,31,"鬆餅有夠難吃根本不是鬆餅
像單吃個麵糰沾巧克力一樣
義大利麵也太水了拿到有夠無言cp值超低"
 陳雨婷 ,https://www.google.com/maps/contrib/103256379741494077038/reviews?hl=zh-TW,1,True,17,"我懷疑評價是洗出來的😅
鬆餅整個吃起來很軟，完全沒有鬆餅酥酥的口感，連蜂蜜醬巧克力醬都很少很水，都沒什麼味道，重點是還賣那麼貴？？
完全被雷到一個不行，看了下其他一星評價都跟我感受一樣，好失望浪費錢。"
 棉花HANA ,https://www.google.com/maps/contrib/100274311472899739727/reviews?hl=zh-TW,1,True,23,東西不好吃，鬆餅爛爛的，料很少
 J Y ,https://www.google.com/maps/contrib/117358230159553815806/reviews?hl=zh-TW,3,True,112,"普通不算差
瓦芙是鬆餅的一半份量，價錢卻跟小木屋鬆餅的差不多
更便宜的鬆餅到處都是"
 鄭桂梅 ,https://www.google.com/maps/contrib/112053743951854008662/reviews?hl=zh-TW,5,False,1,這個鬆餅真的是顛覆我的想像原本以為會很甜女兒一直要我嘗試吃吃看不要已米食面食為正餐真的可以吃飽又不會有空虛感很推薦大家來到台北車站時一定要來吃！
 Tina Tseng ,https://www.google.com/maps/contrib/103677847818088996018/reviews?hl=zh-TW,5,True,244,份量超大CP值高，美味度ok，老闆相當親切
 海倫Helen HR ,https://www.google.com/maps/contrib/102597078613860173302/reviews?hl=zh-TW,4,True,596,不錯吃，Uber送來的時候還是熱的呢
 chichi chang ,https://www.google.com/maps/contrib/114661319476903267002/reviews?hl=zh-TW,4,True,126,"奶油鬆餅
好吃"
 街道小時光 ,https://www.google.com/maps/contrib/100573125785677291222/reviews?hl=zh-TW,3,True,82,"鬆餅價格有點小高
但以那一區的物價來看
其實算是合理
我點了焦糖蘋果
非常好吃
而且袋內會殘留一些焦糖醬
忍不住吮指回味～
雖然沒有想像中的酥脆感
但餅皮很扎實
如果正餐吃膩了
可以換個選項試試～"
 御獸 ,https://www.google.com/maps/contrib/101141870619241507707/reviews?hl=zh-TW,4,True,40,鬆餅部分真的很紮實，但內餡醬料部分有點稍微不滿足，如果是愛純鬆餅部分的推薦來吃，趁熱吃喔！
 Ariel Chang ,https://www.google.com/maps/contrib/111473367577831436812/reviews?hl=zh-TW,5,True,150,麻吉鬆餅好吃，老闆服務親切
 Kay Lin ,https://www.google.com/maps/contrib/112662511032776798830/reviews?hl=zh-TW,3,False,21,"前面三次吃鬆餅都是用盒子裝
今天卻是用袋子
等我走到公司
果醬都在袋子上了
不貼心的店家
東西好吃但可惜…."
 chi Wang ,https://www.google.com/maps/contrib/114266332414003320522/reviews?hl=zh-TW,1,True,118,今天再次回購後，從口袋名單刪除。想建立客群回購本來就不易，更何況是老客戶。怎覺得老闆放料很怕客戶吃，況且所用食材並非真的非常貴，一份85元的鬆餅，可媲美一個便當，但老闆的捨不得卻讓人止步。也許是老闆的經營理念有所考量吧。
 vivi ,https://www.google.com/maps/contrib/102307299962249764054/reviews?hl=zh-TW,4,True,152,剛烤好的鬆餅最好吃
 高章琛 ,https://www.google.com/maps/contrib/113171399447869308516/reviews?hl=zh-TW,5,True,35,鬆餅拿到手時，又熱又重，內餡甜實在卻不會膩，跟某間大學的比起來，真的好吃太多了，值得肯定
 葉家棋 ,https://www.google.com/maps/contrib/103296323564791319027/reviews?hl=zh-TW,1,True,130,鬆餅不酥不好吃，感覺像吃古早味三角形麵煎餅，又像日式舒芙雷鬆餅，像吃銅鑼燒麵粉糰很厚又大，女生一人吃太大份量適合兩人吃，鮪魚料很少......，實評CP值低，感覺太貴了。
 Zack K. ,https://www.google.com/maps/contrib/115368245860628588801/reviews?hl=zh-TW,4,True,242,鬆餅很大、紮實、好吃，對折後還是有一個男生手掌大，另外有很多甜或鹹的餡料可以選，煉乳口味才55元
 07 Number ,https://www.google.com/maps/contrib/109140582210296413653/reviews?hl=zh-TW,5,True,132,很好吃的鬆餅店，老闆、老闆娘很客氣，太棒了
 哈唷 ,https://www.google.com/maps/contrib/100996080747008783105/reviews?hl=zh-TW,3,False,19,雖然不難吃也都會回購，但番茄真的切太薄了還只放一片，某種程度還滿空虛的……圖片至少還放了三片……
