user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Lan Yu ,https://www.google.com/maps/contrib/107632836370015227210/reviews?hl=zh-TW,3,True,76,點的是最簡單的雙人套餐，是會吃飽的，後來單點了一個甜點，但是那個白玉的口感我只能說很特別，沒有不好吃，但是很像冰過的桃園再裹上一層麵粉的感覺
 Lulumi C ,https://www.google.com/maps/contrib/111167806623599822562/reviews?hl=zh-TW,4,True,68,餐廳地點離捷運很近很方便，整體用餐環境感覺比較陳舊，比較多都是卡式的座位，有一點點港式飲茶座位感覺，服務人員比較少，服務人員提到非主要用餐時間上菜會比較慢，但是還是在可以接受的範圍內，餐點口味還可以，點了明太子薯片起司燒/經典綜合串燒/巨峰葡萄蘇打/桂丁土雞串燒拼盤，牛肉跟雞肉的肉質覺得還可以，點餐時方式是掃店內提供的QRCode，覺得很方便點餐，一起用餐的人可以同時進行點餐，壞處是大家太有默契的時候，就會不小心點了一樣的餐點，結帳的速度還可以～
 Wenny Hsu ,https://www.google.com/maps/contrib/107470716718951903747/reviews?hl=zh-TW,3,True,87,"和同事的聚餐，交通地點方便，菜單選項很多。串燒和章魚燒味道不錯，牛肉青蔥很juicy,雞肉串有點可惜，淡而無味，日式餃子炸得酥脆，抹茶蕨餅真的非常不行，一點都不Q彈，有和服務員反應，表示因為原物料在日本進不來，所以使用台灣廠商，但這道甜點真的真的很糟糕，如果店家都覺得不行的原物料真的不應該端上桌給客人吃。"
 Chiyen Wu ,https://www.google.com/maps/contrib/116411322315340400773/reviews?hl=zh-TW,4,True,755,"🍽環境：座位不少，環境算整潔，位在北車對面的轉角公寓內

🍽食物：日式連鎖居酒屋，選擇超多樣，但只點一兩樣會覺得不夠飽。壽喜燒不用百元感覺划算，但分量其實也不多。整體而言我覺得食物是不錯。

🍽價格：實惠的價格

🍽服務：可

🍽推薦餐點：豚平燒(分量不小有特色，飽足感很夠)、壽喜燒

🍽其他：首次造訪2022.8.12"
 舒琪 ,https://www.google.com/maps/contrib/106093559920753960742/reviews?hl=zh-TW,4,True,36,串燒雞肉有點乾，雞軟骨很好吃，2人份壽喜燒份量少少的...以為雞皮會烤的酥脆的那種結果是軟軟的口感不敢吃😂，月見炙燒牛肉筋有點多有點難咬，整體不錯😉
 Yu-Lin Chuang ,https://www.google.com/maps/contrib/102600966667596210168/reviews?hl=zh-TW,2,True,101,"嗯…
大概優勢就是靠近台北車站捷運站方便的便利位置。
奇異果沙瓦….冷凍的一排奇異果🥝，然後整杯幾乎都是冰塊，個人真的覺得很雷。
五花豬炒水蓮，吃起來沒什麼味道，比普通還要普通的餐點。
鹽烤鯖魚，是這裡面餐點最好吃的，也是最普通的。
雞串燒拼盤，那塊雞翅..很乾很鹹，不知道怎麼形容。其他普普通通。
最後，當天吃的隔壁桌要打包一些吃不完的菜，竟然有些菜不給打包🙄
以上，大概就是想要來這邊快速吃套餐方便距離位置可以來，想要來這邊聊天小酌就…想想囉。"
 IG:neru.foodie丸の良食 吃喝玩樂 ,https://www.google.com/maps/contrib/111517126141392240922/reviews?hl=zh-TW,5,True,226,"💰牛肉壽喜燒鍋$99+加點肉與飯$99｜天才炸雞$59｜桂丁土雞串$59｜起司雞柳串$59｜烤飯糰串串$59｜明太子玉子燒$99｜宇治抹茶殿下蕨餅$59｜桂丁土雞茶泡飯$99｜日本味噌湯$39
⚠️收10%服務費
⁡
🔺在北車新光三越對面轉角二樓相當大間的和民經過好多次終於來吃看看～餐點種類豐富多樣首先壽喜燒鍋很便宜加份量的肉整體就有一定程度的飽足感👍口味是甜甜平易近人的壽喜燒✨另外串燒/炸物也不錯我特別喜歡雞肉串嫩口的口感🍗加上起司很可以🧀️厚實的玉子燒🍳明太子要是可以再夠味一點會更好～茶泡飯中規中矩而蕨餅還可以🍵口味都在中等以上也算平價哦😋"
 水瓶喵 ,https://www.google.com/maps/contrib/116317268545404511625/reviews?hl=zh-TW,4,True,157,週六和朋友來這聚餐，東西品項滿多的，雞肉串拼盤好吃，醬燒跟我想像的不太一樣，建議點鹽燒比較好。點了一杯微冰的山崎梅酒蘇打也很好喝，加了冰塊和蘇打，酒味就不會那麼重。特別點了玉子燒來吃，也是還不錯吃啦，不過還是跟在日本築地吃過的有差。平均吃下來大概600-800左右就可以吃很飽。晚上8點進去，大概10點會來提醒最後點餐時間。整體來說還不錯，以後有機會會再回訪。
 曾小啟 ,https://www.google.com/maps/contrib/113034048831557356733/reviews?hl=zh-TW,4,True,51,"串燒類普通，茶泡飯好吃
這邊適合點一堆分食，點下來一個人800
有點偏貴，不過整體還算可以"
 Ya Li Huang ,https://www.google.com/maps/contrib/105510819093649153216/reviews?hl=zh-TW,4,True,413,刷刷鍋還蠻好吃的，雞皮肉串和炸蝦都不錯，但餐廳有一點熱，空氣沒很好，都是刷刷鍋的味道加上悶熱，還有門口門鈴很敏感，有人來回路過就響，或是站在旁邊也會響，有一點吵，餐廳的服務還不錯，以上是餐完的感想。
