user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 ChienHsuan Hung ,https://www.google.com/maps/contrib/107243981706810741520/reviews?hl=zh-TW,5,True,75,"柒串燒屋
柒串燒屋有別於坊間串燒店以單一調味為主，獨創秘醬製作和風焦糖口味，還有經典椒鹽、德州風味可以選擇搭配（部分食材為固定口味）

現點現烤，讓顧客能夠在第一時間吃到熱呼呼的串燒，一到用餐時間若是沒有事先訂位可是一位難求，這次玹玹特別選擇通常人潮會少一些的週一晚餐時間與朋友聚餐，沒想到才剛開店，幾乎每一桌都已經有客人了！

朋友聚會一起吃串燒是很好的選擇，大家都能自行挑選最喜歡的食材，聊天也不會怕太大聲而尷尬！還可以自由選擇喜歡的飲品搭配！

天使大紅蝦也是愛吃蝦的人一定會喜歡的，柒串燒屋特別將天使大紅蝦背部剪開去腸泥，乾淨處理食材讓人很放心，再來以竹籤穿插的方式讓顧客更好將蝦殼去除，吃蝦不沾手！
這裡提供大家一個剝蝦殼小秘訣
1先將頭部轉下來
2再從蝦背剪開那裡用竹筷夾下來就能不沾手
3輕鬆享用吧！"
 Shin-Mei Liu ,https://www.google.com/maps/contrib/106299138302720423597/reviews?hl=zh-TW,5,True,154,店家服務超好！第一次來店員也會特別介紹須知及環境。必點招牌和風焦糖口味，真的很特別也很好吃👍現在還招待天使蝦呦～值得再訪！
 Molly Liew ,https://www.google.com/maps/contrib/105049000178584192583/reviews?hl=zh-TW,3,True,89,"服務不錯店內甚至有網路
也招待蠻多東西
（天使蝦、干貝、秋刀魚）
但牛肉串就挺魔幻的
原本期待有骰子牛肉的纖維感
但口感實際上感覺就像
絞肉（而且是很肥的那種）再裹粉
其實可以稍微賣貴一點
用比較好的食材
不用一定要跟雞豬一樣價錢
雞胗有點太硬
似乎應該切一下比較好入口
其他就還行符合價位

看評論異常高分才來的
應該不會二訪"
 跟著Allen吃喝玩樂 ,https://www.google.com/maps/contrib/115181220773490968797/reviews?hl=zh-TW,5,True,120,"店員服務熱情親切，串燒師傅烤功也是一流，烤醬獨特、口味鹹香，平價又美味，肉食主義者的最愛！

內用外帶都可以，而且每天都門庭若市，不愧在Google評論將近2000則仍高達4.5分，一定要來吃一下啊！"
 顏安妮 ,https://www.google.com/maps/contrib/101324251692322104118/reviews?hl=zh-TW,5,False,11,"好喜歡吃串燒及燒烤類的美食

喜歡豬五花包著滿滿的蔥，多了蔥的水份又增添香及氣口感，牛肉串、雞肉串也是必點之一，還有那整尾的軟絲，烤的剛剛好，不會太老，保留Q嫩口感，一點點檸檬一點點胡椒提味，就非常好吃。

當然生蠔也一點要吃的啦！美味多汁顆顆飽滿，而且沒有很重的腥味，一個一顆剛剛好的幸福。

柒串燒屋重點ㄧ，串燒都有塗上獨特的醬汁，再灑上一些烤肉粉，400度的高溫下，主廚們專業翻烤功夫，一串串的香噴噴又美味的串燒出爐啦！
重點二，串燒都是堅持現烤，不會經過油炸，堅持現烤出來的美味，減去不必要的油炸後的油膩感。

當然還有多樣串燒都想來一串，不過礙於胃太小，下次一定要找更多人一起分享平價串燒，雖然店面不大，但店內每位店員親切又熱情的態度，加上美味好吃的串燒，來點小酒、飲品，三五好友聚會、同學聚餐、生日聚餐、家庭聚餐、中秋節、聖誕節、跨年聚餐都很棒。

🌟內用、外帶皆可"
 Yu Hsien Chu ,https://www.google.com/maps/contrib/111737665221746140122/reviews?hl=zh-TW,4,True,27,"店內環境座位不算多，來之前要先訂位比較妥當
小小缺點就是門是打開的，會有蚊子可以要注意一下
再來是餐點部分在台北市來說算非常平價，味道也還不錯，但特定的品項不能用特定口味有點可惜就是了。
整體有酒水、店員態度好，適合三五好友聚聚。"
 Gavin Chien ,https://www.google.com/maps/contrib/101759393723687081930/reviews?hl=zh-TW,5,True,97,相當平價的一間串烤店，他們的串烤19元起而已，全程都是用烤的，不是先炸過再烤的那一種，上桌時香氣十足，然後點餐時可以按照自己的喜好來選擇要搭配和風焦糖、經典椒鹽還是德州風味的醬料，每種都蠻好吃的～（我自己最愛的是和風焦糖的）
 黃玉嫥 ,https://www.google.com/maps/contrib/108593103253430127067/reviews?hl=zh-TW,5,True,503,"沒做功課隨便點但都沒有地雷！
選不出哪個最好吃因為每個都超讚～
米腸外脆內軟、培根串裡面包金針菇非常解膩、杏鮑菇未免太多汁🤤
鯖魚的火候也控制得宜，肉嫩皮脆，很適合配酒🍺
獨特的和風焦糖調味一定要試試看，怎麼可以這麼好吃🥺
整體價位親民，隨便點都不會爆預算！適合朋友、多人聚餐、續攤的好地方👌"
 88.foodie ,https://www.google.com/maps/contrib/104375995091839604564/reviews?hl=zh-TW,5,True,224,"📍台北，中山

👉柒串燒屋

今天找到一個很適合小酌聚餐的好地方
串燒都是全程炭烤
現點現烤
不會先油炸
塗上老闆獨家特調的醬汁
吃起來很香很夠味
價格也滿平價的
還有我超愛喝的蘋果酒❤️❤️

蘋果酒配串烤真的超讚的👍👍
串烤必點烤甜不辣、米血糕、鯖魚牛五花串、培根串、百頁、杏鮑菇
甜不辣、米血糕烤的超酥
醬汁塗得很足夠
味道很香‼️‼️
牛肉串的肉超嫩
裡面夾新鮮的青蔥
整個搭配超好吃💕💕
推薦給喜歡小酌一下配串烤的人❤️
❤️❤️
他們也有配合外送平台
ubereats跟foodpanda
想宅在家追劇邊吃串烤的
也可以點外送喔😃😃"
 謝宜君 ,https://www.google.com/maps/contrib/106978713090018107053/reviews?hl=zh-TW,5,False,23,"✅平價美味的銅板美食
✅烤肉粉與特製醬汁調和現烤
✅輕鬆自在的用餐氛圍
✅中秋節烤起來٩(˃̶͈̀௰˂̶͈́)و"
