user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 han jessica ,https://www.google.com/maps/contrib/102335651081904871497/reviews?hl=zh-TW,2,True,40,喔諾，還好我在附近上班，肚子雖然很餓但也要再走回去北車換！！！不然開心打開紙袋，結果是自己無法吃的，真的會很生氣（我真的氣到做錯的漢堡沒拍照存證）。我不吃牛所以不可能點含牛漢堡，我竟然又遇到做錯（給錯）的機率到底有多少呢？如果是旅客開心的在車上要享用餐點，打開結果是自己不能吃的（肚子又餓，真的很可憐欸。我抱怨完畢，來回15分鐘的走路路程，想必也消耗了不少熱量。我在途中有先打給麥當勞，他們的態度其實很客氣，我請他們先準備好我的漢堡，不然一來一往我的午休時間都過了…看來下次東西要打開看清楚，畢竟我也不是第一次在麥當勞遇到這種狀況。
 Justice ,https://www.google.com/maps/contrib/103158909797813878012/reviews?hl=zh-TW,1,True,32,"吉事蛋堡雙蛋堡都沒有起司
剛開張單沒有很多代表完全不熟悉餐點及業務
需再加強"
 鍾宛儒 ,https://www.google.com/maps/contrib/102226896547347654624/reviews?hl=zh-TW,1,False,14,排到快可以結帳，臨時關門不知道什麼意思，不能點餐就算了，想說趕快去換別間買早餐，還沒辦法立刻把門打開？？難以相信員工打不開門==
 庫洛的爸 ,https://www.google.com/maps/contrib/102704516307680601970/reviews?hl=zh-TW,3,True,394,"微風店在北車一樓只有提供外帶服務

想吃漢堡到位打開時
發現給成雞塊
卻不能換有點傻眼了"
 許哲瑋 ,https://www.google.com/maps/contrib/113418194391684913817/reviews?hl=zh-TW,5,True,253,"薯餅竟然缺貨了

可愛妹妹服務人員口齒清新態度非常好
點完餐馬上到點餐機擦拭清潔"
 胡碧儀Francese ,https://www.google.com/maps/contrib/101726991243051838042/reviews?hl=zh-TW,1,True,101,"美好的一天，要從無敵豬肉滿福堡開始！
結果碰到地雷店！鬼動線搞得美好心情都不見！毫無動線規劃，氣氣氣！
為什麼自助點餐機不可以自助結帳，點餐系統根本就不便民，操作複雜。
你們自己毫無動缐規劃，結帳人員的態度又讓人感覺超級差！
出餐是快速的，但1個人要當2個人用也是真高壓，客人也不舒服啊！真心不推薦到北車這一家店購買！"
 jasmine wei ,https://www.google.com/maps/contrib/105563773833858403505/reviews?hl=zh-TW,1,False,1,"自助點餐機跟直接點餐的排隊人流混在一起，雜亂無章。
我的取餐編號兩百多號，到三百多號的人都拿到餐了，我還沒拿到，跟店員反應，只得到「叫號取餐喔。」的反應，後來火大直接再反應一次，因為態度兇一點，店員才跑去找經理，得到的答覆是「喔號碼太久沒出餐，會自動消掉。」，超問號？？？？根本還沒出餐的號碼，還可以因為人潮多，自動不出餐，店員忙可以理解，但無腦回答，也真的是令人大開眼界。
建議趕時間的就不要去了，餐點還會東漏西漏=="
 Lin Katney ,https://www.google.com/maps/contrib/116819192204589253064/reviews?hl=zh-TW,1,False,2,"有點餐機但根本沒人手站點餐機結帳櫃檯，點餐機的行動支付、信用卡、點點卡功能也直接不開放使用
用了點餐機還得跟其他櫃檯點餐的客人一起排隊才能結帳，等於點餐機根本失去意義😡
別的店就算了，台北車站人流這麼高，這麼多人趕時間的地方，一間速食店只開一個結帳櫃檯、人手不足搞得這麼不方便真的是很瞎的一件事⋯⋯"
 柯笨笨 ,https://www.google.com/maps/contrib/111240429255999586657/reviews?hl=zh-TW,1,False,6,"10:25點完自助點餐機，排隊結帳時已經超過10:30卻跟客人說早餐賣完了。請問我點餐機點心酸的？因為趕高鐵所以才選擇麥當勞，搞到這樣早餐都不用吃了。
店家結帳耽誤到客人卻要客人自己換餐點，太搞笑了吧！最爛麥當勞分店沒有之一"
 黃雅玟 ,https://www.google.com/maps/contrib/102837760043187103326/reviews?hl=zh-TW,2,False,8,"不推薦使用點餐機點餐。
北車微風餐廳麥當勞點餐機無支付功能，點完餐必須重新排隊結帳，出餐順序按照結帳順位，且無單獨結帳櫃檯。
即便最早到場點完餐，又要排隊在其他臨櫃客人後面沒辦法結帳，最後還是會變成最晚拿到餐的人。"
