user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 陳愷綝 ,https://www.google.com/maps/contrib/118268801907396639141/reviews?hl=zh-TW,5,False,10,檸檬蛋糕很好吃，一點酸酸甜甜，不會像外面賣的太甜，吃起來很爽口，搭配非常香的鮮奶茶，真的非常幸福啊！名不虛傳
 Abby Wu ,https://www.google.com/maps/contrib/118160486122207196642/reviews?hl=zh-TW,5,True,30,檸檬蛋糕好吃，目前還有超便宜的60元餐盒，真的很值得來品嚐
 湘蓉張 ,https://www.google.com/maps/contrib/105594462988204142110/reviews?hl=zh-TW,5,True,59,"提供身心障礙者友善職場的安心廚房。位於台北社企大樓1-2樓，有中央廚房及餐廳門市。所有餐食訴求純天然、無添加健康取向，味美獨到。主餐為麵食，葷素皆有，點心更是強項，其中鮮檸檬蛋糕、焦糖烤布丁是招牌，手作餅乾很有質感，另外巴斯克乳酪蛋糕、可麗露、布朗尼、生巧克力塔、芝麻塔等，都好吃不膩口。不會死甜，這點很重要。
除實體店，其所產製的安心好食並可透過其自營的品牌電商訂購，堪稱方便友善。"
 張至中 ,https://www.google.com/maps/contrib/108626706535055103199/reviews?hl=zh-TW,5,False,1,食材新鮮，製作過程衛生嚴謹，完全天然沒添加化學物質，實用安全安心！工作人員服務親切誠懇，解說清楚，讓我們對於勝利基金會的在身障服務方面有了基本的概念進而願意支持，很棒的體驗！
 YAO LI ,https://www.google.com/maps/contrib/112227132892557333224/reviews?hl=zh-TW,5,False,1,今天到社企大樓參加活動中午就到一樓的勝利廚房用餐，吃的是昆布豚疏麵，看菜單時本以為是想像中常見的日式重口味，但實際一吃卻發現是清爽不覺得有負擔的甘甜湯頭，豆皮與豬肉片都有微微煎過的香氣，大片的昆布與湯頭一起吃下令人很滿足，是適合每天吃的麵食。
 Amber Chang ,https://www.google.com/maps/contrib/114286302438448735185/reviews?hl=zh-TW,5,False,8,服務人員親切，使用好食材做出的好吃料理！氣氛輕鬆消費又有公益附加價值，大推！
 Evelyn Wu ,https://www.google.com/maps/contrib/104718578127693859883/reviews?hl=zh-TW,5,False,14,接待人員親切，點了哨子麵，麵條Q彈，超好吃
 Irene Huang ,https://www.google.com/maps/contrib/114789902820024090980/reviews?hl=zh-TW,5,False,1,餐點美味天然，環境安靜舒適。值得邀請三五好友相約享用下午茶
 Jared Tseng ,https://www.google.com/maps/contrib/111354024962157184518/reviews?hl=zh-TW,5,True,372,"舒服的用餐環境
強推他們家的檸檬蛋糕，吃過最好吃的，沒有之一就是最好吃的檸檬蛋糕！
「扶他一把好工作」高規央廚邀請企業合作提供客製化服務
勝利廚房有高規的生產設備、穩定作業團隊，能為企業提供客製服務。
如果您重視食品的安全，也認同「扶他一把好工作」的社會價值，歡迎與我們合作，為企業加分。
企業客製化
鮮乳坊x勝利廚房重乳昆布湯
與社企夥伴「鮮乳坊」合作開發產制牛奶鍋湯底，2019年冬季限定上市。"
 Shun-Yun Hu ,https://www.google.com/maps/contrib/100193287359429998595/reviews?hl=zh-TW,5,False,40,提供身心障礙者工作機會的社企餐廳，素食麵風味很好！用餐氣氛很愉快的地方！
 Angel Chang ,https://www.google.com/maps/contrib/104138771037136790469/reviews?hl=zh-TW,5,False,1,味道好。肉軟嫩。好吃😋
 我愛打籃球 ,https://www.google.com/maps/contrib/112340520978804045347/reviews?hl=zh-TW,4,True,508,是有身心障礙服務的麵店，環境非常好，衛生又安全麵點製作過程符合haccp食安認證，品質也不錯，口味非常清淡，吃重鹹的不一定會習慣。但是選擇性不多，點套餐還有招牌甜點，中午人不多
 Emily Chuang ,https://www.google.com/maps/contrib/102580737619834442965/reviews?hl=zh-TW,5,False,3,服務親切、糕點好吃、環境很棒尤其放的音樂欣賞戶外的綠蔭，心情寧靜
 Robert Shyu ,https://www.google.com/maps/contrib/112651443557991159993/reviews?hl=zh-TW,4,False,507,所有麵點皆由2樓中央廚房製成調理包，再由身心障礙朋友簡單加熱完成。點了蔬果牛，看似極其清爽的半紅燒湯頭，喝來微辣又帶著淡淡鹹味，但該有的牛味就談不上了。4塊牛腱心雖是大小不一，但燉煮入透吃來軟嫩，拉麵&搭配的青江菜則稍為過軟些。用餐環境溫馨明亮，還請大家多多照顧了。
 楊展岳 ,https://www.google.com/maps/contrib/117984122121457216585/reviews?hl=zh-TW,5,True,8,"好喜歡廚房的招牌檸檬蛋糕和焦糖布丁！
覺得很適合下午來這點個下午茶套餐，做自己的事情，或下午約朋友這裡聚會閒聊
喜歡店內清新的空間氛圍，還有播放的輕鬆音樂，坐一兩個小時覺得很舒服😃"
 MS Lin ,https://www.google.com/maps/contrib/107292082686921317513/reviews?hl=zh-TW,5,True,133,一家協助輔導身心障礙就業的餐廳，菜色不多，但是食材健康。
 Yao Li ,https://www.google.com/maps/contrib/107301234828085268500/reviews?hl=zh-TW,5,False,10,藏身安靜巷弄裡的美食，味道類似紅燒湯底的牛肉麵，但看官網介紹湯頭卻是由新鮮蔬果與牛大骨熬煮，喝起來很順口不像其他家用豆瓣醬那樣口味超重，肉塊十分軟爛加上蠻Q的麵條，整體來說很好吃，搭配套餐吃完很有滿足感。推薦這家美味又提供身障就業的好餐廳。
 chouchou wu ,https://www.google.com/maps/contrib/114023933492949803490/reviews?hl=zh-TW,5,True,231,餐點以麵類為主，沒有太多奇怪的調味，美味又健康！甜點的選擇有很多，檸檬蛋糕是招牌，微酸不會太甜，配咖啡剛剛好！其它的乳酪蛋糕、檸檬塔、可麗露也都很不錯，今天看到新品巧克力塔，下次再來試試看！
 潘欣宜 ,https://www.google.com/maps/contrib/111451122920167793024/reviews?hl=zh-TW,5,False,6,超棒的，東西也很好吃
 李靜波 ,https://www.google.com/maps/contrib/100982079433395614179/reviews?hl=zh-TW,5,True,65,市中心罕見的身心障礙庇護工場，提供純天然食材製作的美味佳餚，滿足偏好葷素屬性不同的饕客，也讓做公益與嚐美食一次到位
 于娟 ,https://www.google.com/maps/contrib/116051031199671984578/reviews?hl=zh-TW,5,False,3,今日來勝利廚房用餐，這棟大樓是身障就業大樓，一樓就是勝利廚房，有供應麵食，還有咖啡甜點，今日享用昆布豚蔬麵，湯頭濃郁，麵條Q彈，配菜也很豐富，用餐完也品嚐了他們的手沖咖啡百香果厭氧水洗，咖啡中帶著果香，鮮檸檬蛋糕和焦糖布丁是他們的招牌，而且環境很優雅，很適合來這裡約會聊天，而且不限時，也沒有加收服務費，最重要的還能幫助這些身障伙伴
 Rainfeeling Jerry ,https://www.google.com/maps/contrib/115747390358380008712/reviews?hl=zh-TW,5,True,227,提供身心障礙者友善工作環境的餐廳今日公司志工活動很喜歡這邊單純的美味
