user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Ya Li Huang ,https://www.google.com/maps/contrib/105510819093649153216/reviews?hl=zh-TW,4,True,413,"餐點蠻好吃的，價格算便宜又大碗，還有附上小菜，店內風格很有趣，牆上寫了很多有趣的句子。
應該是上班族很愛來的店之一。"
 Shan Jung ,https://www.google.com/maps/contrib/104098607472230256174/reviews?hl=zh-TW,5,True,97,"在台北可以吃到便宜大碗又好吃的東西真的很幸福！一百塊就可以解決一餐超香的，我要是住附近一定天天去吃！！
店內裝潢有滿滿的日式感我很喜歡！"
 Tornado Tsui ,https://www.google.com/maps/contrib/109746948686450570839/reviews?hl=zh-TW,5,True,17,不要說天龍國什麼都貴了，大大碗的肉丼90元起比中南部很多都便宜，最重要好吃和份量充足，還有大碟小菜和任喝湯品，希望老板堅持下去
 Bule Skk ,https://www.google.com/maps/contrib/110905484769709679535/reviews?hl=zh-TW,5,True,24,好吃，吃的很飽加蛋10元，有檸檬水跟湯自取，cp值很高便宜實惠！離家近，以後可以常來，週一到週五營業，見紅就休。
 Alan Alan ,https://www.google.com/maps/contrib/103859614328096806260/reviews?hl=zh-TW,5,True,34,"很棒的一間食堂
中午晚上現在都有關東煮"
 Min ,https://www.google.com/maps/contrib/107589374691228367476/reviews?hl=zh-TW,4,True,25,"位於忠孝復興站附近巷弄內的小小間丼飯店，走個江戶日式風格的裝潢，丼飯cp值非常高，一碗百元丼飯還附一盤青菜！
湯跟檸檬水皆採自助式，這裡要特別強調，店內熬的筍湯真的非常好喝，筍子的甜味還有大骨熬出的高湯，應該是沒什麼鹽巴味精調味，喝起來特別清爽！店內連檸檬水都很有味道很好喝！
主餐的部份，丼飯給的肉量跟份量真的實在，牛肉丼的味道拿捏的很剛好，吃起來不會太鹹太膩，燒肉丼的話，有點鹹過頭，鹹到有點快吃不下去那種🤣口味可以再做調整，因為燒肉的肉質是不錯的，如果沒有那麼鹹，會是個大加分，不過以整體來說，在台北要吃到一碗這樣用料實在又便宜的丼飯真的不容易，是我會想再次去用餐的店家！"
 fung曙鳳蝶 lee ,https://www.google.com/maps/contrib/116824182117824909995/reviews?hl=zh-TW,4,True,44,來這裏超愛吃這間，午餐cp值超高，一家人一起開的溫馨食堂。
 Albert Yen ,https://www.google.com/maps/contrib/108576012470249330853/reviews?hl=zh-TW,4,True,503,老闆是很有個性的人，全身刺青酒量很好又好客廚藝更是一絕，店很隨性有點像台式居酒屋，建議訂位時跟主廚說明什麼不吃，預算多少，他會安排一個完美饗宴
 Arvan T ,https://www.google.com/maps/contrib/106003460569621135585/reviews?hl=zh-TW,5,True,765,"大鬍子老闆相當帥氣，通常我都是中午前往
吃午餐，西披值超高的丼飯往往都能讓飢餓
不已的我大飽口腹之慾，店內乾淨且氣氛十
足，用餐也不會有任何壓力，店內供應的熱
湯，老闆還貼心準備蔥花你愛加多少就能加
多少，丼飯除了份量十足外肉質也相當具有
口感，米飯搭配的也相當不錯，一口肉一口
飯，好吃好吃，更棒的是還有配菜給你，不
天天報到實在可惜，不過開車騎車的人就很
不方便了，距離捷運站也有一段距離，是較
可惜的地方。若是走路的話會比較方便些，
附近也有公車站可以到，至少也是個到店吃
飯的一個方式。"
 吳冠霖 ,https://www.google.com/maps/contrib/101553707929787921091/reviews?hl=zh-TW,4,True,208,老闆很性格，店內小而美很有深夜食堂的誘人氛圍。點了兩碗蓋飯味道都不錯，特別是番茄口味的，酸味和肉的油脂和辛香料搭配的相當好。餐前的小菜也很好吃，價錢也很划算，很推薦大家來品嚐看看~
