user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 小鳥味貪吃鬼 ,https://www.google.com/maps/contrib/107049325529760836897/reviews?hl=zh-TW,5,True,85,"🌟潮州滷鵝
滷鵝必點！肉質軟嫩，非常的好咬
有骨頭的部位也很好啃食❤️

🌟滷拼（大腸鴨血豆腐）
豆腐保留豆香，大腸微帶一點嚼勁，鴨血有彈性很水嫩～滷的醬汁跟滷鵝醬汁都是一樣的！

🌟芥蘭菜炒牛肉
調味剛好，用料很實在，牛肉肉質嫩不單薄

🌟潮州菜瓜煎
這道一定要趁快熱吃，店家會在給一小碗蝦醬
本身單吃味道就蠻鹹的，外皮酥脆，中間軟
個人覺得整體像蚵仔煎的口感！

🌟咸魚蒸肉餅
很喜歡這道料理，肉餅有彈性咬味道很香
這道完全是白飯殺手啊～
（個人覺得咸魚不是算很鹹，我是可以完全單吃！因為有吃過更鹹的）

🌟油燙筍殼魚
肉很細緻，很Q彈得肉質
略鹹！

🌟脆皮芋泥鴨
芋泥香氣十足，外皮酥脆

🌟油泡田雞腿
蠻特別的一道，還是無骨的！

🌟臘味雙腸
甜香甜香，不難咬，不乾柴很適合下酒～

🌟蝦醬空心菜
味道剛好，不過於厚重

🌟海鮮褒
勾起算比較重些，保留海鮮鮮甜味道

🌟咸菜肚片湯
這湯點起來！！湯頭清爽喝，不會因為咸菜的關係讓整鍋很膩！
肚片上層脆口，底下白色肚肉軟彈～最怕肚片咬很久都咬不斷！
好咬除外整體口感很棒❤️
也不要小看湯裡面的魚丸哦！
丸子脆彈，滿滿鮮甜味道！
這鍋湯完全詮釋每個食材重點，簡單味道卻不馬虎

⭐️碧綠川椒雞
覺得蠻可惜的，味道略顯沒特色，沒有椒的麻香氣！肉質其實都是處理的很好～"
 Fu Lin (阿林) ,https://www.google.com/maps/contrib/112356249401842891519/reviews?hl=zh-TW,5,True,370,"香港醉紅樓潮州菜館
初次造訪，非常不錯，好吃的潮州菜，菜色很特別，真材實料又好吃。朋友訴說介紹這家原址於城中圓環旁搬過來的，老闆已經開業40多年，疫情下能在台北留存像這樣道地的潮菜餐廳非常難得。建議幾個好朋友和老饕們一起來光臨絕不會讓大家失望，但是如果吃排埸的話，門面有點老舊，但環境乾淨。
招牌滷鵝拼/絲瓜烙/粉絲蝦煲/臘味雙腸/海參鵝掌/鹹菜肚片魚丸湯/清蒸石斑/時菜干貝/綠豆蒜/最後老闆招待很特別的魚汁滑蛋尤其值得讚賞！
附近很多大型停車場，車停大潤發中崙店吃完順便購物停車很方便"
 林瀅瀅 ,https://www.google.com/maps/contrib/101401607155269256992/reviews?hl=zh-TW,4,False,15,"蠔仔烙跟絲瓜烙非常特別，趁熱吃也很好吃，可惜冷掉會略油。鹵水拼盤必點，鵝肉嫩鵝皮Q，下面的豆腐也很好吃。
干炒牛河跟沙茶牛肉的肉都稍鹹，但是河粉很好吃。芋泥鴨有微微的焦味，加上對芋泥還好所以覺得普通。
蝦棗也略鹹，但是炸的不油膩很好吃；本來點的是清炒高麗菜結果做錯成空心菜是比較扣分的⋯⋯炒空心菜有奇妙的山芹菜味，油也放有點多，或許清炒高麗菜會更適合。
週末用餐的缺點大概是很多菜色不提供，本來預定點的石榴雞跟流沙包都沒有，讓人覺得有點失望。用餐到一半有煙味，不知是否因為一樓大門未關有人抽菸導致，希望這點可以再改進。"
 Eli Li ,https://www.google.com/maps/contrib/105901950308561609223/reviews?hl=zh-TW,5,True,143,"鵝鵝鵝，曲項向天歌／香港醉紅樓潮州菜館

聚餐選了老字號的餐館，當天除了潮州菜一定要吃的招牌滷鵝拼之外，還有薑蔥炒鵝腸、銀芽灼沙牛、扁魚炒芥蘭、橄菜四季豆、潮州絲瓜烙、蠔油蒸鳳爪、什錦米粉鍋、芋泥條兩份，九大一小一行十人吃飽喝足，相當過癮。

招牌滷鵝拼包括鵝肉鵝掌鵝腸鵝胗和鵝血（最底下的油豆腐好像是另外點的不算在滷鵝拼裡面）：鵝肉精實鵝皮彈牙、鵝掌香鵝腸脆、鵝胗Ｑ鵝血嫩，每一口都能感受滷水濃郁而不張揚的鹹香，食量若是小了點，很容易在這邊就舉白旗啦～～～

蔥薑爆炒的香氣滲入鵝腸，在鑊氣的加持下，產生和滷水鵝腸不同的口感；銀芽灼沙牛就是沙茶牛肉豆芽菜，牛肉嫩豆芽脆沙茶香，吃著吃著不自覺地聯想起平價鐵板燒，倒也覺得有趣。用扁魚提香的炒芥蘭，色澤翠綠香氣誘人，在咀嚼時散發海洋的鮮與大地的甜，我很喜歡；潮州經典家常菜之一的欖菜四季豆鹹香濃郁口味較重，配點白飯讓人胃口大開。

走清甜路線的潮州絲瓜烙，金黃酥脆的外表下口感水潤恬淡而輕盈（但是很燙）；若是跟口味比較重的欖菜四季豆拌在一起，不僅可以重新調和一下味覺口感，在咀嚼層次上也多了些變化，可以試試。蠔油蒸鳳爪口味中規中矩，但上桌時那種數大便是美的霸氣，伴著碧綠的蔥花與鮮紅的辣椒末，散發難以抗拒的誘人氣息。

什錦米粉鍋料多味美澎湃大氣（還有我愛的炸鳥蛋），米粉吸飽融合食材精華的鮮美湯汁，慢慢嚼還帶點米的香甜，是正餐完美的收尾。讓我想起禰豆子的芋泥條表皮酥脆，芋泥內餡綿密（而燙口），用小家碧玉似的甜度和白芝麻在嘴裡共舞，是連我這個不愛芋泥的人都覺得還想再來一根的意外相遇。

#伊萊一直來#伊萊一直吃#潮州菜#香港醉紅樓"
 煮持人 ,https://www.google.com/maps/contrib/112291620874255411557/reviews?hl=zh-TW,4,True,544,每道菜都有水準，只略嫌鵝肉有點柴，但其他菜都彌補了這小缺點，特別是大地魚炒芥蘭，光是上桌就香噴噴，非常值得去光顧的一家餐廳。
 wengian chao ,https://www.google.com/maps/contrib/109377223115313502580/reviews?hl=zh-TW,1,False,7,"只能說失望。
很多菜式都變成臺灣口味，失去了潮州本來的原味。
特別蠔餅根本就是蚵仔煎，避風頭炒蟹，不論沒有蒜頭辣椒的味道香氣，變成了什麼豆酥，呃，不知道是豆酥不新鮮還是油反炸很多次了！？叫的蟹都小小一隻、菜不是沒有味道就是很多味精。
總體來說沒有一道菜算得上香港潮州口味。
問服務員味道不一樣怪怪的，不是不知道就是敷衍回答呢？
最後差點算錯錢～"
 Yi Chun Lin ,https://www.google.com/maps/contrib/111019379084041991041/reviews?hl=zh-TW,5,True,292,"晚上餐會香港醉紅樓潮州菜
第一道菜就另皇后我驚艷
👆潮州滷鵝~真的超好吃der
鵝肉非常細緻滷水的口味超美味，上面的鵝腸不得不說，非常脆口又入味，不會像市面上的腸子一樣難咬的像橡皮筋⋯因為皇后我不喜歡腸子，但是他們家的真🉐️超好吃的，不知不覺又多吃惹好幾塊呢❤️
👆潮州蠔仔烙~還不錯但是稍油
👆潮州絲瓜烙~好吃，但一樣偏油
👆時菜干貝~清爽好吃呢❤️
👆海蔘鵝掌~烏蔘很彈牙喜歡❤️
👆蠔油鳳爪
👆潮州小炒~皇后我也喜歡這道❤️
👆魷魚螺肉蒜~經典的湯品
👆響螺片~這個也是相當好吃呢❤️
覺得醉紅樓大致上都還不錯呢~蠻適合家庭聚餐或是公司聚會、朋友小酌超級推薦der👍
#奶油皇后的幸福手札
#潮州菜
#滷水鵝
#魷魚螺肉蒜
#醉紅樓潮州菜館"
 April Chang ,https://www.google.com/maps/contrib/100459326199544803321/reviews?hl=zh-TW,5,True,40,"很有特色的潮州菜，第一吃實為驚艷！尤其滷水拼盤和米粉湯超級棒！份量足夠價錢平易近人。
又有提供包廂讓家族聚餐，也算是寵物友善，事前告知店家，只要寵物乖乖待在包廂或角落不打擾到其他客人不吠叫即可。
老闆帳單字非常公整美麗！"
 04李孟倫 ,https://www.google.com/maps/contrib/112961891216639161689/reviews?hl=zh-TW,4,True,49,桌菜單盤份量大、味道美，招牌滷鵝拼、海參炆三鮮、潮州絲瓜烙等功夫菜，尤其值得讚賞！
 PEGGY JH CHEN ,https://www.google.com/maps/contrib/111831209158786145011/reviews?hl=zh-TW,4,True,147,"地點：附近很多停車場但車停大潤發中崙店吃完順便購物最划算
環境：算乾淨但有點老舊
餐點：潮州菜、手路菜、功夫茶
服務：服務阿姨親切

潮州菜在台北的代表老店之一，雖然店裝潢有些老舊也有一些些淡淡的菸味?，但是老師傅的手藝沒有打折，潮州菜的滷水鵝還是一樣美味好吃，鴨血一樣細嫩，手路菜的石榴雞，蠔烙、蒸筍殼魚的火候掌握的也剛剛好，菜的份量也有分大小份，很適合一家人老幼、同事聚餐的地方
更多食記請上FB搜尋：我是peggy我在party
※份量有大盤與小盤之分
※推薦菜餚:滷水鵝、石榴雞，蠔烙or絲瓜烙、蒸海鮮
※建議先預約訂位"
