user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Lee Lin ,https://www.google.com/maps/contrib/103584222358407597235/reviews?hl=zh-TW,5,False,39,"年輕女生的態度比較好
沒被老闆娘接待過不知道有多遭😅
這家是附近少數開到很晚的早餐店
下午想吃點早餐類點心很方便！"
 Yingwennn 6 ,https://www.google.com/maps/contrib/114666224800221036704/reviews?hl=zh-TW,1,False,8,一進店就被點餐制度嚇死，現在哪一個店家還會叫客人「手寫菜單」點餐？要點餐時，年輕女店員也只顧著講電話，我硬生生站在他面前，還看著我講，擺明沒有要幫我點餐的意思，用餐環境髒亂、噁心，食物乾癟、了無新意，原本要在旁邊松山車站等車，雷到我想趕快逃回台中。
 Ivan Chen ,https://www.google.com/maps/contrib/105401409261860152835/reviews?hl=zh-TW,5,True,458,咖啡好喝，現成製作完成的炸排骨三明治cp值最高。
 s03411 ,https://www.google.com/maps/contrib/117249880197064462891/reviews?hl=zh-TW,1,False,7,"ㄧ傳統早餐店的菜色賣高級早餐店的價錢,茶精味超濃的綠茶配上烤不均勻、內部空空的熱壓吐司，漢堡也是傳統量販那種麵包，除了價格高之外實在找不出什麼亮點，這輩子不會再去。"
 nchu wu ,https://www.google.com/maps/contrib/103158474144488152538/reviews?hl=zh-TW,5,False,18,吃過附近早餐一輪還是習慣亞米克，附近其他早餐都油煙味偏重。老闆娘臉雖然不笑，但多買幾次發現人其實很好不壞，有時會跟顧客聊天，只是講話比較直接些😂😂
 小菜 ,https://www.google.com/maps/contrib/114859533529767860386/reviews?hl=zh-TW,1,False,5,"之前打電話訂餐叫外送，那位戴眼鏡的店員態度差的要命，像欠她幾十萬一樣
以後還是往前走幾步吃同姓的早餐店
不僅能消耗熱量又能喝到好喝的奶茶
重點是店員態度超好！"
 CHIEN-HSUAN CHAN (Steven) ,https://www.google.com/maps/contrib/111835142507199005980/reviews?hl=zh-TW,5,True,101,"因含蛋商品調漲5元是另外在收銀機上貼著
櫃台上的價格是錯誤的要特別注意
鱈魚漢堡不錯鱈魚炸得酥酥的很好吃"
 杉杉薛 ,https://www.google.com/maps/contrib/102538192328889096646/reviews?hl=zh-TW,2,True,45,"現在漸漸很少在吃這家
是因為每次都等很久

而且我喝你們家任何飲料肚子都會比較痛
拿鐵超貴也還好，蔓越莓，橙汁等等果汁喝完肚子莫名痛，你們的鮮奶茶太甜大概是我喝過最難喝……

上次外送叫奶油厚片
你跟我叫的人說你們沒有奶油就是奶酥
我看到蠻無言……
你們套餐上卻有奶油吐司？？"
 黃泰盛（Tyson） ,https://www.google.com/maps/contrib/108316799286288293630/reviews?hl=zh-TW,4,True,35,生意很好，菜色多元，假日人比較多有時要等久一點，推一個羅勒雞肉焗烤飯。
 yulin ,https://www.google.com/maps/contrib/114595933502146650886/reviews?hl=zh-TW,4,True,415,假日生意很好，需要等候一陣子，餐點選擇很多，從早餐到午餐都能滿足，除了常見的漢堡蛋餅三明治外，還有墨西哥捲餅、義大利麵等等。內用座位比較狹窄一點
 Chenstraveler ,https://www.google.com/maps/contrib/110980514611706089311/reviews?hl=zh-TW,4,True,59,"這一帶早餐選擇真的好多，
今天點的為60元的超值早餐套餐
（火腿蛋餅+蘿蔔糕+紅茶/奶茶）

推薦原因：
1.餐點好吃且選擇多，有多種套餐
2.店員親切
3.不確定是否為點套餐的關係，覺得份量較少
4.店內環境乾淨但有點昏暗"
 Issue H ,https://www.google.com/maps/contrib/114807811400145566506/reviews?hl=zh-TW,4,True,47,"在這家吃很久了，年輕店員態度不親切一開始來可能會嚇到，但久了就知道她們就是這樣沒有惡意，但阿姨們態度都蠻好的
東西不錯吃，選擇很多，三明治漢堡義大利麵鐵板麵蛋餅都好吃沒有地雷
生意很好記得點餐要自己拿小紙片寫"
 詹皇 ,https://www.google.com/maps/contrib/115140486953795846117/reviews?hl=zh-TW,5,False,19,"外帶內用外送都叫過
品質沒問題"
 K ,https://www.google.com/maps/contrib/105538821423566388383/reviews?hl=zh-TW,5,True,20,"吃好多年好喜歡!!!!!平日買外帶，假日叫外送(50元就送超佛!!)
東西平價好吃～最愛宮保雞丁鐵板麵!!!大推～
是不知道要吃甚麼的好選擇～推"
 高原の魔女アズサ ,https://www.google.com/maps/contrib/100476836409394745543/reviews?hl=zh-TW,4,True,274,東西還算不錯，照燒漢堡入味，調味也可。有點貴就是。
 柏漢 ,https://www.google.com/maps/contrib/111848084260418155330/reviews?hl=zh-TW,1,False,61,打電話過去預約早餐態度真的差到爆是吃了瀉藥？嘴巴臭成這樣不想做可以關了！
 Delia Chen ,https://www.google.com/maps/contrib/107683863359580933557/reviews?hl=zh-TW,5,True,116,很多種類的早餐店，價格合理CP值高，不訪也來嚐嚐看攸😁
