user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 林乖乖 ,https://www.google.com/maps/contrib/117642270871370529223/reviews?hl=zh-TW,3,True,180,"友人生日餐來吃這個
說是紅糟肉和蚵嗲必點
這兩樣我都覺得普普
另外要呼籲大家~~
*店的菜單只有掛在牆上的*
*點海鮮的時候要先問價錢*
點餐跟價格都店員阿姨寫在小單子上面
我們都看不懂再寫什麼後來有請她一一解釋XD
另外附圖有一份雞佛光這道菜我記得就1800😑
我們問計費方式他說雞佛價格+松阪豬肉價格+@%#$忘了
挖原來分開計算的喔XD
豬肝我覺得不錯
魚的部分真的滿好吃的但也是記得要先問價格再點喔~~
如果被回答說時價也是要先問價喔不然會哭哭饅頭"
 yasuike Q ,https://www.google.com/maps/contrib/106783384668658551517/reviews?hl=zh-TW,3,True,"1,020","👉白鯧米粉：就白鯧米粉，正常發揮。
👉炒小烏賊：鹹香好入口的的一道菜。不錯。
👉炒豬肝：不會太熟，入口後還有一些粉粉的感覺，外層的醬香不錯，還可以。
👉蚵嗲：雖然是招牌，不過我吃不太懂，加了不少蔥去平衡蚵仔的味道，普普。
👉紅燒肉：以酒香為主，其他醃漬的味道偏淡。還可以。
👉白斬雞：上頭加了不少蔥油，烏骨雞本身肉質結實，店家煮的不錯還帶有不少嫩感。不錯。
👉梅菜筊白筍：美人腿可以看到已經處理成老人腿了，中間還帶有一點水分，外層乾爽，
👉白菜滷：加了不少豬皮、魚皮提味兒，白菜燉到軟爛。還不錯。
👉炒飯：很重的白胡椒味，根本是白胡椒炒飯吧，不差。"
 Claire li ,https://www.google.com/maps/contrib/106171635308672139232/reviews?hl=zh-TW,5,True,258,深夜生意很好的海產店，人均價約1700元/人，九孔鮑和蝦子都非常新鮮，最喜歡白鯧米粉湯頭很鮮甜，加了蛋酥整體口感更好，招牌豬肝醬燒濃郁。
 Zoe Chang ,https://www.google.com/maps/contrib/117384037520207918963/reviews?hl=zh-TW,5,True,32,"讓我非常非常非常非常非常非常的震驚🤯
當朋友介紹的時候我真的沒有想過會那麼好吃🥳
說是米其林推薦，經過門口的時候其實我還覺得怎麼都沒有人不過也差不多10點多了基本上應該是正常。
跟我中午吃那家板橋xx潮粥的服務態度真的差很多，老闆直接跟我們說我們點餐到11:30但是你們可以坐到12:30，雖然我們沒有要坐那麼久但是他事先的提醒就讓人家感覺舒服很多，然後當我們要走的時候還告訴我們還有西瓜可以先坐下吃完再離開😍😍😍真的沒有比較沒有傷害。

有時間我再來編輯我吃的感覺，真的不像是一般的熱炒海產店👍"
 藍理莎（Larissa） ,https://www.google.com/maps/contrib/106901152554764141461/reviews?hl=zh-TW,5,True,250,"我從小就對豬肝有嚴重恐懼，
每吃必吐…超害怕🤣🤣
與同事來這家先進海產吃晚餐，
同事說豬肝一定要吃看看，
再怎麼不敢吃的人都敢吃下去，
我抱著半信半疑的心態咬了一口真的太好吃了😂
沒想到這輩子還有我敢吃的豬肝🐷
來到先進海產的人一定要點看看！

其他菜色也都非常好吃，口味很重但不會口乾，
吃得很過癮，是好聚會的地方！

先進海產店
地址：台北市松山區延吉街23巷5號
.
.
.
#台北美食#松山區#豬肝#美食推薦"
 洪莉婷 ,https://www.google.com/maps/contrib/115917085211633824643/reviews?hl=zh-TW,4,True,81,"價格略高但好吃的熱炒
點熱炒價位比較實惠
海鮮相較起來貴很多，建議先問清楚價位再點

炒海瓜子(中)420:好吃，可以想像的味道
炒豬肝220:醬燒的甜鹹味十足，豬肝很嫩還有帶血水，很推薦
炸大腸280:唯一覺得表現稍差的，比較小塊的部分太乾但又沒炸出香氣，比較大塊的部分又切太厚會咬不動不好吞
煎魚860:很新鮮，煎的也很好，只是價位稍高
炸紅糟肉280:炸功很好，外皮酥脆、肉的部分沒有腥味，好吃
炒飯90:蔥和洋蔥的香氣明顯，鍋氣沒有期待的明顯、反而有燒焦味，但算是不錯的炒飯，價位合理
炒水蓮180:中規中矩
小菜80:一坐下來，男店員就端上來說是招待，但事後看帳單發現有算錢，建議要問清楚

大致上都算好吃，尤其推薦豬肝和紅糟肉"
 Kao Katherine ,https://www.google.com/maps/contrib/107371175064481082987/reviews?hl=zh-TW,5,True,156,"無雷的米其林餐盤店家～
嫩煎豬肝、烤鮑魚、紅槽肉是我心中前三名♥️
食材新鮮好吃，真心推薦這家店！"
 蘇正 宇 ,https://www.google.com/maps/contrib/101232437715571375094/reviews?hl=zh-TW,5,True,109,"🙏感謝學長推薦，
清蒸現流仔紅條魚超美味，其他的菜也都有高水準的表現，不愧米其林，與家人愉快的晚餐。😋￼￼￼"
 MINGCHE CHUANG ,https://www.google.com/maps/contrib/116951856915858863288/reviews?hl=zh-TW,5,True,80,"嫩煎豬肝、䱽魚米粉、紅燒臭豆腐、還有紅槽肉是必點的。

老闆娘人超好的，
問題是客人太多了，出菜有點慢。。。。"
 林怡如 ,https://www.google.com/maps/contrib/104250624068884586981/reviews?hl=zh-TW,5,True,63,"外帶白斬（烏骨）雞半隻$780

一間充滿溫度的小店，顧客絡繹不絕，若要外帶記得提早致電預約，不然必須等到晚上九點後老闆娘才有空幫你準備餐點。先進海產店烹飪雞肉的手法一絕，白斬雞雞胸非常容易柴澀，店家竟能將其烹煮得跟雞腿口感如出一轍，真的嚇死寶寶了😳

雞肉品質極其優良，近軟骨處的肉質吃得出雞油香氣。雞腿肥而不膩，雖無雞凍，肉本身的油脂便已足夠；膠質口感的雞皮簡單質樸，厚薄適中，雖稍無彈性，但完全不油膩；若不仔細品嚐，根本察覺不到雞胸肉的存在，屬實把我驚嚇到了(╬⁽⁽⁰⁾⁾Д⁽⁽⁰⁾⁾)！吃過那麼多間餐廳的雞肉，只有極少數店家有能力將雞胸肉的乾柴完美隱藏，先進海產店便是其一

起初擔心白斬雞味道會很單一、無聊，味覺容易疲乏，感謝店家附贈了紅豆絲及薑絲，三者一起入口，辛香地薑絲中和雞肉過多的油脂；甜甜地紅豆絲豐富白斬雞的味道，喚起我崇尚傳統的味蕾。白斬雞鹹味分佈均勻，濃淡恰到好處，我個人覺得大可不必蘸醬油

店內人聲鼎沸、座無虛席，外場服務小姐及阿嬤們忙進忙出。縱使如此，當我詢問何處有youbike1.0的還車處，她們還是非常熱心地指引我方向。個人覺得老闆娘還挺可愛的，問了我兩次相同的問題😆"
