user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 吳DT ,https://www.google.com/maps/contrib/112946097119742507902/reviews?hl=zh-TW,5,True,45,"環境好的像網美店，冰品鍋物都平價，醬料自助區很乾淨，內用紅茶免費自取，常到附近工作取貨，一定會再回訪

蔬菜肉片鍋130
泡菜豬肉鍋130
加點高麗菜30/牛肉片50/玉米筍30
吃起來肉片偏柴可能是冷凍梅花的關係，建議店家下鍋前可簡單醃漬，或是改用一半五花肉？
但瑕不掩瑜我還是願意給5顆星"
 張琡羚 ,https://www.google.com/maps/contrib/110808095589243470118/reviews?hl=zh-TW,4,True,279,"環境很棒又舒適
小火鍋的湯碗超級可愛
份量來說有點是吃巧
綿綿冰一碗50
兩種口味選了芝麻與花生
芝麻濃甜度適中讓人驚艷
但傳統口味花生略甜略淡
可能比不上一些綿綿冰老店

同行朋友吃水果風味說很好吃
提供給大家參考"
 Judge Hsu ,https://www.google.com/maps/contrib/115925497581024645585/reviews?hl=zh-TW,5,True,61,平常是只來吃冰的，今天難得來用午餐，火鍋不錯，中午吃也許不用加飯，只單純吃火鍋，菜量很足夠。飯後可加個冰，不錯的選擇。
 張依倫 ,https://www.google.com/maps/contrib/117174941363061098425/reviews?hl=zh-TW,5,False,21,"用餐環境舒服，小火鍋份量很適合小鳥胃。
泡菜羊肉鍋，泡菜有辣有酸。冬季限定口味桂圓加上店員推薦搭配牛奶好吃，招牌是花生口味很濃郁，抹茶偏甜不苦。"
 Anny Chi ,https://www.google.com/maps/contrib/107589967646683352627/reviews?hl=zh-TW,4,True,28,"食材用心新鮮♥️
餐點美味🥰
環境舒適👍
🥘🍧是間溫馨🉑️吃燒吃冷的好店唷～😍😍😍"
 DAY HSU ,https://www.google.com/maps/contrib/102746318742746503326/reviews?hl=zh-TW,5,False,4,"原先都是用胖達叫來家吃，含飯覺得份量很夠，後來到店裡環境很乾淨，鍋滿可愛的，泡菜湯頭很夠味，不管是原味泡菜湯都好喝～推推～
但覺得筷子有點短😅"
 Chiao Hui LU ,https://www.google.com/maps/contrib/106802647611178424549/reviews?hl=zh-TW,5,True,34,小鍋CP值超高，飲料免費續，可以吃得很飽，冰也口味選擇也很多，便宜味道好～
 Jimmy Zhang ,https://www.google.com/maps/contrib/108099291649224547178/reviews?hl=zh-TW,4,True,109,沙茶羊肉燴飯還不錯，沙茶味道不會太重，飯量適中，店面裝潢明亮，唯獨要小心吊燈，一不小心容易撞到。
 吳瓊銀 ,https://www.google.com/maps/contrib/106352738904242717239/reviews?hl=zh-TW,4,True,46,"11/5下午突然想吃冰
於是來到這間巷弄內的冰店
火鍋：泡菜豬肉有加料
冰淇淋：花生➕巧克力
整體氛圍食物價位都可接受
是會再光顧的店"
 Mavis Su ,https://www.google.com/maps/contrib/104345666633032079709/reviews?hl=zh-TW,5,False,37,從還沒搬家就光顧了！他們家鍋天然不加味精！綿綿冰好吃
 Jimmy Hsu ,https://www.google.com/maps/contrib/100503827734090440623/reviews?hl=zh-TW,5,True,17,"今天內用點了一個大杯的芋頭跟百香果，口感綿密，真材實料，非常好吃，大推。
兩天後再訪：海鮮豆腐鍋+《百香果/李梅》只能說太讚了！"
 林秉科 ,https://www.google.com/maps/contrib/110345889188187926133/reviews?hl=zh-TW,5,True,26,"評價10/10
110元16oz
綿綿冰真的很綿密，而且其實份量非常多，適合兩人共享非常有飽足感"
 高成丁豪 ,https://www.google.com/maps/contrib/101888780658785258639/reviews?hl=zh-TW,5,False,10,"鍋物湯頭很棒，是煮好端上桌，好吃~
飯後點了小杯綿綿冰，抹茶偏甜，花生讓人驚艷~
快樂的用餐體驗。"
 拉拉 ,https://www.google.com/maps/contrib/113012076304971129155/reviews?hl=zh-TW,5,True,37,鍋物的湯算清爽無負擔，海鮮豆腐鍋的配料相較其他少，一樣價錢來看，主料只比其他鍋多一尾蝦子，建議調整菜單份量，另外冰品部分非常好吃
