user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 dasun chang ,https://www.google.com/maps/contrib/103191034685643693045/reviews?hl=zh-TW,4,True,161,"店家還蠻用心，裝潢是露營風情，在都市內顯得非常醒目，店內是四張桌子，只有十個位置，假日內用應該是要排隊的。點餐的部分店家沒有菜單，要掃桌上的QRcode進去網頁點餐，結帳部分有linepay電子支付。

餐點這邊蛋餅製作的十分用心，這次用餐點的是培根起司蘑菇蛋餅，配料吃起來都不隨便，蘑菇的部分是咬的到蘑菇的厚度喔，起司也是好吃的，培根這部分比較沒記憶點，關鍵的餅皮廚師這邊製作的恰當好處，蛋餅要酥脆不難，厲害的是酥脆中還吃的到餅皮的軟Q實屬難得，這邊可以給到五星。飲料的部分只點了搭餐的紅茶，店家有提供無糖跟半糖的選擇，本體紅茶也算好喝。

那講一下缺點好了，平日套餐一個蛋餅+飲料95的消費算是小貴，以份量來說算是不便宜的我個人的食量大概5-6分飽，吃飽的話餐費應該在兩百元左右，可能不太適合走CP值路線的族群，但我個人是覺得物有所值，雖然不便宜，但值得一試，畢竟現在隨便吃個早午餐都300元上下。另外因為是簡單的早午餐店所以沒有盥洗室。

有機會會再訪，食物還不錯，老闆親切。"
 tth tth ,https://www.google.com/maps/contrib/107906598623686204940/reviews?hl=zh-TW,5,False,4,"從永吉路搬到虎林街的一餅
從裝潢到食物
老闆都用心的大改造

就算沒有去露營
滿滿的露營風
讓吃蛋餅也變成戶外時尚

北北基最強脆皮蛋餅
在我心目中還是一餅2.0
不管內餡是什麼
真的都好好吃
超chill的享受
一定要來品嚐一次
（其實蛋餅大到女生可以2人分食一種）

但因為目前人手不足
龜毛的老闆堅持要顧好品質
蛋餅絕對是現點現做
想要品嚐的人客
可以先致電過去
才不會花太久等待時間"
 林芯羽 ,https://www.google.com/maps/contrib/109252108536485643096/reviews?hl=zh-TW,5,True,32,"蛋餅酥脆、內餡夠味，不需要➕醬料調味，就非常美味😋
推薦大家來吃呦！
個人喜歡這樣的蛋餅，
與傳統蛋餅完全不一樣，
好好吃😋"
 fea hsu ,https://www.google.com/maps/contrib/111288619985791855536/reviews?hl=zh-TW,5,False,4,"一開始看到價格覺得有點貴，但吃到餐點時覺得很驚艷！
蛋餅餅皮煎的非常酥脆，蛋加入九層塔更香，豬肉也軟嫩好吃。

在店內等候餐點的時間裡觀察來店都是常客，跟老闆聊天時還協助幫忙送餐（就是送我的餐，有點不好意思😬我馬上跑去櫃檯要拿我的奶茶，對方很親切的說先吃蛋餅奶茶等等送上）然後外帶自己的餐點離開後，老闆送來我的奶茶🤣

店不大，有一位外帶的客人跟著一位小朋友，拿著迷你ubereat保溫袋好可愛❤️取餐後，貌似媽媽的客人跟小孩說「我們到外面裝，不然會影響到別人喔」

是個餐點好吃，店家客人互動溫暖的店👍"
 Sally ,https://www.google.com/maps/contrib/112265063131069139551/reviews?hl=zh-TW,5,True,208,"《醬燒起司豬肉$85+$59升級套餐》

醬燒起司豬肉：外皮酥脆，不用沾醬就很夠味，份量很足夠，吃得飽，可惜不能額外加起司

地瓜QQ球：冷掉吃也不會太硬

看到內用桌上貼有，內用需點一杯飲料

付款方式：現金"
 tina wu ,https://www.google.com/maps/contrib/105390531858998933536/reviews?hl=zh-TW,5,True,134,我是蛋餅控～很難找到真正好吃的蛋餅～今天一試有驚艷到！蔬菜蛋餅外皮酥脆，餅皮應該是特製的，內餡厚度夠又濕潤，香氣十足。老闆貼心的外帶盒故意不緊封，避免到家會口感差，用心良苦不多說。另外小魚蘿蔔辣椒一絕（雖然我有另外買一瓶，現場只剩一瓶，但是我有請老闆幫我蛋餅加辣），真的好好吃的辣椒啊～～吃完嘴唇會微麻，但是辣度卻剛好，不敢吃辣的人也可以吃喲～奶茶也真的很好喝（茶味夠！不像一般早餐店超淡），應該有用咖啡機打過，感覺有深度啦～店家服務親切，若是環境可以再加以修飾應該人氣會爆棚！加油！強推～
 James Fu ,https://www.google.com/maps/contrib/114942727958459340433/reviews?hl=zh-TW,1,True,108,"🔥🔥🔥找不到0顆星的選項只好把這一顆給食物🥚！

這家店的人員態度極差😡！因為我透過🖥️線上點餐系統，以為可以準時取得餐點，結果總共等了超過半小時才外帶成功。如果沒辦法準時交付，那請不要用線上點餐系統，會用線上點餐的人通常都是不太想現場等的。再說，我後面一號原本外帶改內用，結果竟然比我先用餐，請問是怎麼一回事？

從來沒有人抱怨等待，也知道尖峰時期需要等，但是該店家的「流程」以及「態度」大有問題！起先報上我的🔢號碼，店家找半天感覺好像漏掉我的號碼一樣，觀感不佳！最後說我是不是點OOO前面還有6單要等15分鐘（下次可不可以馬上這樣告訴客人？）。接著超過本來預計時間，正在煎台那位態度有夠惡劣，因為我再次詢問現在到幾號（態度稍不耐煩，但不到惡劣），她竟然直接回「💰把錢退他、他的我不做了！」我當場大傻眼...其實逾時也不是不行，好好跟客人說即可的，這種態度再好吃客人都不會想再去啊！今天我已經先線上點單還等了半小時，試問是你會心情好？等了半小時，最後說不做是🔥？

然後她還回說「假日🏝️人多，都是現點現做！」那請問你們線上點餐平台點好玩的？看心情順序出餐？最後要離開時再補我一句「下次不要再來我店裡」

🍟食物好吃是一回事、🙇服務品質也是一回事，即使這家店食物做到滿分，如果態度依然如此惡劣最終仍然不合格！今天店家出餐順序確實有錯，就應該針對這個好好道歉安撫還在等的客人，我想不是奧客的話都能夠體諒與接受。

最後～這家店雖然外觀看起來還OK，但其實裡面🧨油煙味很重，再搭配這個服務態度還真的不會再前往了。如果不想受氣的話盡量避開這個店家🤣"
 陳逸 ,https://www.google.com/maps/contrib/115741631536674544691/reviews?hl=zh-TW,5,True,430,"好好吃唷
餅皮好脆餡料好滿一定要加辣

甜口味的花生培根起司蛋餅也很驚艷
一定要來"
 amber chang ,https://www.google.com/maps/contrib/113499328454888387081/reviews?hl=zh-TW,5,False,14,"酥脆蛋餅控，偶然一次發現這家超厲害早餐店。
但因為離家裡很遠（中和）只能放假早上🚗去買來吃
推薦給大家，蛋餅超好吃😋越吃總類越多好吃（紅茶☕️QQ球、脆薯都很讚）
可惜每次都都太餓來不急拍照
等下次忍住補拍在補照片
老闆娘跟小老闆還有老闆媽媽都辛苦了❤️早餐很厲害很好吃喔😋"
 Clint LIN ,https://www.google.com/maps/contrib/108211448096907528105/reviews?hl=zh-TW,5,True,20,偶然發現的脆薄皮蛋餅，酥脆的口感有別於傳統的蛋餅，用料很紮實，搭配飲料套餐95元，現在是線上點餐，找不到之前加點心的套餐組合，不曉得是不是沒有了？
 Liling Su ,https://www.google.com/maps/contrib/116369982395125337247/reviews?hl=zh-TW,5,True,41,住附近一直久聞蛋餅酥脆今天點九層塔跟玉米餅皮真的超酥脆，內餡份量也很夠。尤其是醬油不死鹹，完美的搭配蛋餅。👍👍👍
