user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 eric chang ,https://www.google.com/maps/contrib/102304336937050687938/reviews?hl=zh-TW,4,True,140,"虎蝦培根牛櫻桃鴨双人套餐，海鮮双併，花雕鷄肉鍋。
双人套餐CP較高。湯頭都很不錯。
白飯，烏龍，冬粉，王子麵，冰淇淋，冰棒，紅茶，蜂蜜水，小餅乾無限供應，值得再訪。用餐期間人潮不停。"
 LinQiao Gao ,https://www.google.com/maps/contrib/102314507719281940241/reviews?hl=zh-TW,5,True,260,CP值很高，鍋底也很好喝啊，空間每個座位都有增設隔板覺得不錯，麻辣的鴨血鍋底，意外很入味很好吃耶，自助區還有冰淇淋冰棒，飲料有紅茶還有蜂蜜汁，重點他王子麵，烏龍麵，白飯，無限自取，但真的要夠吃就好，不可以浪費呀🥲🥲🥲沾醬區有好吃的香菜，超加分❤️
 Christine Liou ,https://www.google.com/maps/contrib/106637341910610630937/reviews?hl=zh-TW,4,True,189,"比較像是家庭式的火鍋店
主食類的可以任你吃到飽，
點了一個沒加肉的小羔羊
肉的份量算是普通，沒特別多，也不算少
只是咬起來有一些軟骨，跟想像中的小羔羊有點距離
東西看起來不算很多，但也是可以吃的很飽
拿的王子麵就沒煮，實在吃不下。
桌子不算多，坐的人數有限
但每桌都用隔板跟臨坐隔開
吃的算安心"
 姿婷王 ,https://www.google.com/maps/contrib/112668752870783350374/reviews?hl=zh-TW,5,True,122,突然想吃火鍋，結果看到這間評分很高的。我認為評分高很大的原因或許是親切的態度和local的家鄉味。像是小時候家裡附近的火鍋店，店內的主食吃到飽，有一些小餅乾跟冰真的讓人覺得回到小時候。價格部份也不是到便宜，一份也要300多，是很正常的價位。因為是晚上不想吃太多沒加價升級大肉盤。蔬菜湯底吃起來是舒服的，給五顆星是因為或許不會再來了，但當想起這間店還是會給予像家的味道。
 rain310125 ,https://www.google.com/maps/contrib/107330439379837457911/reviews?hl=zh-TW,5,False,7,CP值高，副餐選項超多，菜盤料多，好吃實在，環境舒服
 Dean ,https://www.google.com/maps/contrib/108982821619748174937/reviews?hl=zh-TW,5,True,227,"平價小火鍋
自助式醬料飲料冰品，連王子麵烏龍麵都是自助
平價好吃，用餐時經常人滿為患"
 陳綺瑄 ,https://www.google.com/maps/contrib/106780213911162063076/reviews?hl=zh-TW,5,False,7,肉質品質好，菜新鮮～如果飲料選擇再多些更完美
 Ingrid Lee ,https://www.google.com/maps/contrib/115911896973826879747/reviews?hl=zh-TW,5,False,9,CP值很高的一家火鍋。主食可以吃到飽，有王子麵、烏龍麵、粉絲等可以選擇。肉質符合這個價位的品質，重點是青菜給很多很阿莎力。鴛鴦鍋加一點錢可以兩種口味都吃到，麻辣感覺是用新鮮食材下去熬煮，有花椒粒在裡面。減脂牛好吃，推薦！
 7 Chen ,https://www.google.com/maps/contrib/109961372835125762428/reviews?hl=zh-TW,5,True,222,"湯底有蔬菜湯跟麻辣湯，平價又好吃
而且份量很多今天點的蛤蠣很新鮮，送上來都還是活的
內用飯麵都是免費的，還有餅乾跟冰淇淋冰棒可以吃👍👍

推🌟地瓜豬肉丸手工自製口感特別香氣十足"
 Aaron Hsu ,https://www.google.com/maps/contrib/113802473627320745182/reviews?hl=zh-TW,5,True,273,"用餐時間：2021年9月9日中午
1.老闆服務很熱忱迅速，店內已經架起防疫隔板。
2.湯頭很天然新鮮，菜盤份量很大。
3.海鮮跟肉類都有相當品質，低脂牛/五花豬/雞/鴨份量加大後一個人也不超過400元。

結論：疫情嚴峻的時候，商家經營不易，還是可以多多支持哦！"
