user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Candice A-Xiong ,https://www.google.com/maps/contrib/109541803990676973077/reviews?hl=zh-TW,5,True,182,"🥤這泰奶也太好喝了吧！
久違的宵夜場系列來囉！本來抱持著可能跟夜市拉茶差不多，但後來看好多人排隊，決定要來喝喝看啦！而且可以加西米露，催眠自己這是珍珠。

本來以為只剩下MAXTEA沖泡奶茶好喝了，因為常常喝到很失望的，後來都直接泡MAXTEA，今天竟然遇見心中泰式奶茶的首選✨

吃完旁邊的劉媽媽涼麵，來一杯泰奶加西米露（我選三分糖剛剛好）絕配👍🏻

🔥當我又開始新增宵夜場，代表又開始工作時間超標了！好吧！我今天聽到朋友在講228連假，覺得有稍微喘口氣啦😆"
 Henry Wang ,https://www.google.com/maps/contrib/105570873257659005219/reviews?hl=zh-TW,5,True,98,"泰式奶茶就是要有泰味
常喝到泰奶被滿滿的甜味蓋滿
這間沒有太多甜味取而代之的是香料味
真的是泰讚了

可以跟隔壁的涼麵搭一個Set"
 CHENNA Chang ,https://www.google.com/maps/contrib/108943799646133842651/reviews?hl=zh-TW,5,True,54,"抱歉，這裡最高只能給五顆星

這裡的店員相當熱情！
初次來，看到Menu上琳瑯滿目的品項
我不知如何抉擇
好在這裡店員相當有耐心的介紹
光是這點，就值得五顆星！

這裡的泰奶超級好喝！！

一年生。粉紅凍奶-草莓口味
超級超級超級推！
沒喝過的口感！
喝之前攪拌一下，碎冰增添不少口感！

下次經過，肯定回來造訪"
 Kiki Huang ,https://www.google.com/maps/contrib/101324674921999779477/reviews?hl=zh-TW,5,False,14,"泰奶的茶濃+甜+冰，它都具備，我點正常冰+半甜5分，剛剛好，甜度如果改點7分我覺得也可唷，會更符合正宗泰奶的甜度。

一杯65，週六晚上去，排隊等飲料30分鐘，要有耐心才能假日喝得到的泰式飲料店

我很少在不到10分鐘內喝完一杯調飲，這杯泰奶真的厲害。"
 舒婷Tina ,https://www.google.com/maps/contrib/102544179205928214383/reviews?hl=zh-TW,5,False,53,"第一次來喝就愛上了！店員主動詢問，知道是我第一次來後，很清楚、親切、貼心的講解😍😍😍飲料非常好喝！我是螞蟻人，點五分甜，真是享受，真的很棒！感恩

怎麼這麼晚才認識這家店(捶心肝！！！"
 徐敏芳Min ,https://www.google.com/maps/contrib/108340667717106499502/reviews?hl=zh-TW,5,True,288,"是真的好喝！大推！！
我喝太讚耶奶，雖然糖冰有點限制，不過真的好喝！
下次一定還會再去！超級超級推推推"
 余佳澄 ,https://www.google.com/maps/contrib/109413466516019758223/reviews?hl=zh-TW,5,True,51,"開了快10年的泰讚了總店，最近有再開放加盟唷

用正宗傳統泰式爐具泡茶，廚具也是老闆從泰國買回來的

在台灣的泰國人都會來光顧的泰奶店👍

甜度可以調整成台灣人的口味，也可以選擇跟泰國一樣甜的口味唷

地點位在市民大道旁，臨停買杯飲料位子算好找"
 Chang Sting ,https://www.google.com/maps/contrib/104155068175947205996/reviews?hl=zh-TW,5,True,170,來買涼麵剛好看到不用排隊，買了泰式奶茶和綠奶茶，半糖少冰，因為是第一次購買，店員很有耐心的介紹，擔心我們太甜或不夠甜喝不慣還和我們說太甜或不甜都能幫我們調整，這服務態度就值得五顆星！味道是獨特的泰式香氣，會越喝越上癮那種～
 何棋達 ,https://www.google.com/maps/contrib/115363021173451281622/reviews?hl=zh-TW,5,True,86,意外發現的好店，只是剛好在附近吃飯，想喝個飲料，發現評價不錯就衝過來喝看看，泰式綠奶茶非常好喝👍點半糖少冰就很適合，店家說如果不夠甜會太甜都可以再修改，感覺非常有誠意，店家營業到蠻晚的，在宵夜時段想喝飲料，可以來品嚐看看
 林晏如 ,https://www.google.com/maps/contrib/107790754879641930094/reviews?hl=zh-TW,5,False,9,"真心覺得泰式檸檬紅茶好好喝（我半糖，我算耐酸的人，如果怕酸～拜託別點半糖，你會酸到自己唷～）～真的要乖一點，聽員工建議～不然只會害自己覺得不好喝喲～員工都超貼心都ㄧㄧ說明，保證讓你喝他們的飲品不踩雷😍
我也買了泰奶😍，我分別點了3分糖跟7分，因為吃重口味先喝7分糖，沒有因為口味重，把泰奶蓋掉，反而剛剛好。
還有還有放在冰箱隔日喝（3分糖），也很好好喝～很像鮮奶茶～我覺得茶感不會澀對我來說～ㄋㄟㄋㄟ味偏重～（個人口感喲！不代表你也會這樣覺得，但是真的很好喝～對一個踩了很多雷的人來說～這家泰奶真心好喝～
如果怕甜，麻煩3分糖（泰奶

如果怕甜，麻煩3分糖（泰奶

如果怕甜，麻煩3分糖（泰奶

很重要‼️說三次～

不夠甜他們員工都個可以再幫忙調整！

很可惜我忘了拍其他三杯～😅😅😅
（希望有給到大家建議跟給店家最大的支持推薦）"
