user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 sunny lu ,https://www.google.com/maps/contrib/104922619047428759540/reviews?hl=zh-TW,4,True,160,"把滷味當成主餐吃是現在的飲食主流之一，不管是午餐，晚餐或運動後的補充，這個湯滷味都是不錯的選擇.
先選湯頭，再選想吃的配料,有肉品，青菜，蛋類，豆腐及餃類，通常我會選蛋白質類的肉品為主食，青菜挑選纖維質較高的木耳或青花菜，最後再挑個蛋或豆腐，因為不想吃麵食澱粉類，所以喜歡自選，湯頭有辣跟一般口味供選擇.
如果你有選擇性困難，店家也提供了好幾種搭配好的套餐組合，只要看一下套餐內容組合是否喜歡就行.
個人很喜歡這家店簡單.明亮.及牆上那些與食物連結在一起的話語，也喜歡外面那一盤盤上的食物小紙片，一點點巧思讓吃東西變的好期待.如果不想再吃便當餐，這是個自己可以主導的輕食餐."
 Wen ,https://www.google.com/maps/contrib/112358278511244591629/reviews?hl=zh-TW,5,True,821,平價美食店，食材選擇性多，7種美味湯頭可以選擇/乾吃有6種口味。這次選擇義式紅蕃茄湯，湯頭濃郁很不錯推薦給大家~~
 錚仔仔 ,https://www.google.com/maps/contrib/102580619553275637748/reviews?hl=zh-TW,5,False,10,新開的店家，來消費服務態度用心湯頭美味，料用實在環境舒適座椅也很舒服，值得一來再來，推～
 Rosie Su ,https://www.google.com/maps/contrib/101236622392907022371/reviews?hl=zh-TW,4,True,285,"短時間看到潮味決分店一家一家開好像很厲害，抱著好奇心來吃，發現麻辣湯底微麻而不辣且香甜好喝耶，如果油脂能再少再清爽一點會更完美！
豆腐紮實、鴨血滑嫩好吃，一碗裡面還有兩種份量不算少的青菜。注重蔬菜量與蛋白質均衡或不喜歡太多加工火鍋料的人也能在這裡找到合適的套餐。韓式冬粉比一般冬粉寬，吃起來QQ有嚼勁滿喜歡的。滷味附好喝的茶兩百有找真是顛覆一般對滷味的印象耶～加line好友再送一份鴨血真的好美味🤤
不過健人套餐裡面搭配油豆腐有點NG啊！"
 Peggy Chou ,https://www.google.com/maps/contrib/111706865532266983828/reviews?hl=zh-TW,5,False,1,"用餐環境很乾淨明亮，店員親切可愛～～～
乾的麻辣口味很好吃，辣度不夠也可以調整！很棒👍"
 chen米奇 ,https://www.google.com/maps/contrib/105668172779208595137/reviews?hl=zh-TW,5,True,30,"試營運，來吃吃看，喜歡吃滷味的我，潮好吃的！
店員服務又很親切，有王品服務的感覺！"
 C Bernie ,https://www.google.com/maps/contrib/115851428472806469309/reviews?hl=zh-TW,5,True,130,"碗很大
其實一份超多

怕餓的人可以再加10元王子麵之類的
雙份麵會超飽

粿仔條也不錯吃

此次用餐是點乾鍋味道很夠

另外飲料茶很香濃讚的"
 Ruen Chen ,https://www.google.com/maps/contrib/103483212238324278069/reviews?hl=zh-TW,5,False,17,"本來就很愛吃你們家的滷味了，有次到店外帶，經店員推薦，今天總算找到機會來使用線上點，介面瞭然，點點手指東西就送到家，店家自己外送效率比外送平台迅速，也比系統預計時間還快，不到30分鐘送到家，滿五百還免運找朋友一起訂輕鬆達標，超乎預期吃到熱呼呼滷味，一個小確幸。
拿餐時看到店家的愛心飲料超暖心（幸福來得太突然還以為是別人的餐點），一個大確幸，明明是無糖茶，喝著心裡甜甜的！"
 黃詠琦 ,https://www.google.com/maps/contrib/101683732109182678854/reviews?hl=zh-TW,5,False,8,"有6種湯或4種乾的湯底可以選擇…
今天選豚骨口味，清爽無負擔
店裡乾淨明亮，店員可愛服務態度好
下次還會再來…."
 Lo Maity ,https://www.google.com/maps/contrib/110885490172547702924/reviews?hl=zh-TW,5,True,15,"五盎斯套餐好吃，豚骨湯頭也很優秀，店內也很乾淨，服務親切，已二次來訪

唯一不足應該是店內有點熱"
