user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Alex Chan ,https://www.google.com/maps/contrib/113481761022542358598/reviews?hl=zh-TW,4,True,94,口味多樣又好吃的韓式炸雞，有去骨這選項真的是太棒了，因為疫情現在不開放入內點餐，建議可以先致電預定
 Andy Tsao ,https://www.google.com/maps/contrib/104030402243012908459/reviews?hl=zh-TW,4,True,407,"符合四顆星星水準
韓式炸雞的吃法在店裡那用和外帶在家用是不一樣的，在店裡面吃可以吃的比較秀氣，在家裡面吃可以吃的很霸氣！"
 黑眼圈麥克雞塊 ,https://www.google.com/maps/contrib/116748509742728086240/reviews?hl=zh-TW,4,True,382,"打電話外送看地區這次是消費599可以外送
兩人點了半半頂級洋釀炸雞
份量可以且送達時略有熱度，可以買看看"
 KK Chiu ,https://www.google.com/maps/contrib/103457902442957078617/reviews?hl=zh-TW,3,True,73,炸雞好吃！但地瓜薯條完全不行！（份量很多但是又乾又焦原本的甜味都沒有）
 Nick Ho ,https://www.google.com/maps/contrib/103008833364228630923/reviews?hl=zh-TW,5,True,507,"外帶美食，口味眾多
晚餐配啤酒
隔天帶便當
讚！"
 IMSUESUEಇ ,https://www.google.com/maps/contrib/106875558831750643578/reviews?hl=zh-TW,5,True,731,"為了手遊聯名第一次購買
炸雞超好吃的😍😍😍
但年糕真的好辣哈哈
醃蘿蔔很讚、很解膩👍🏻"
 pp P ,https://www.google.com/maps/contrib/102263472497427672725/reviews?hl=zh-TW,3,False,4,"首次嘗試外送，點了家庭小資B餐（原味及招牌洋釀、小份原味雞翅、韓式手作飯糰、韓式炸年糕、現炸薯條、雪碧）並加購了一份醃蘿蔔。

整體來說我覺得招牌洋釀是最好吃的，原味炸雞跟雞翅都不是特別多汁美味，韓式炸年糕還不錯，但完全必須趁熱吃。

唯一讓我覺得有點失望的地方是，那天點了現炸薯條，但因為缺貨所以店家沒有通知的情況下直接安排更換一份炸年糕給我，收到時才發現變成兩分炸年糕。沒有特別聯繫消費者意願，直接做處理這件事情有點需要改進"
 Leon Chang ,https://www.google.com/maps/contrib/117662785188416495298/reviews?hl=zh-TW,5,True,70,韓式炸雞店，吃來吃去還是最喜歡原味。這裡主要是外帶，內用座位很少，似乎也不曾看過有人內用。
 Thomas ,https://www.google.com/maps/contrib/109136031776629293665/reviews?hl=zh-TW,5,True,482,"這次點了半半招牌洋釀和原味，都很好吃，雞肉鮮嫩，粉不會裹太后，份量很足，足夠三個成人吃!附贈的醃白蘿蔔也很脆甜！

炸年糕也很好吃，雞翅比較ㄧ般！

ㄧ邊吃韓式炸雞，ㄧ邊看韓劇真是人生享受呀～"
 YuJing C ,https://www.google.com/maps/contrib/116105526465062898365/reviews?hl=zh-TW,5,True,78,"適合朋友聚餐的韓式炸雞店
口味還是偏台式
薯條是很厚實的馬鈴薯
年糕微辣是炸過的"
 Zhang Wayne ,https://www.google.com/maps/contrib/103179055633501049079/reviews?hl=zh-TW,3,True,195,炸雞兩人吃的話可以只點一份再搭配點心或者副餐就足夠了，起家雞的炸雞肉質不會太乾澀，外皮也有一定的脆度，算是有符合我個人的期待，但我認為服務生帶位的流程還需加強，出餐速度偏慢，需要等待30分鐘以上才上菜，這是比較可惜的地方
 Rita ,https://www.google.com/maps/contrib/100648134013456379606/reviews?hl=zh-TW,4,True,195,"108年11月16日，忽然想吃韓式炸雞，就上來找谷歌先生，但看到的評價都很兩極，我還是選定了這家分店試看看～
我第一次打電話去訂購，店員很熱心的幫我介紹，還推薦我搭配怎樣的吃法比較好，也比較不會有膩的口感～
外送弟弟也很客氣，也在我指定的時間內送達，以服務業來說，這樣的服務態度與品質算不錯了👍
有點美中不足的地方就是，炸雞拿到手時，已經是溫溫的了，希望保溫效果能在進步一點。"
 Francis Che ,https://www.google.com/maps/contrib/117255915469565959168/reviews?hl=zh-TW,4,True,441,從延吉街搬到八德路四段，就在監理所對面。用GOMAJI卷兌換了去骨招牌洋釀。可能因為是外帶，吃的時候，外皮已經不酥了，醬汁也感覺偏甜，還是好吃，但一下就吃膩了。
 Julie Wu ,https://www.google.com/maps/contrib/102916305688477570907/reviews?hl=zh-TW,4,True,495,"首次網購與外送體驗，外帶組合餐：兩組去骨雞、辣年糕、可樂一罐
網路訂購免運費，大約45分鐘送達
整體體驗還不錯，網頁無法追蹤抵達時間
厚紙盒包裝還可以，但沒提供大提袋取餐後選自己抱著，外帶餐點ok要趁熱吃更加分"
 Jean Wang ,https://www.google.com/maps/contrib/102246196289104361253/reviews?hl=zh-TW,4,True,179,味道不錯，炸雞不會只有皮有香味，雞肉也有先處理，但價格偏高，等待時間較久
 Jimmy ,https://www.google.com/maps/contrib/109317453448745998971/reviews?hl=zh-TW,4,True,292,"辣味炸雞非常好吃！原味調味太淡，不喜歡！
薯條也非常好吃，手作飯糰很普通！
店內電話習慣性不接，建議直接離峰時段消費。"
 katrina hsu ,https://www.google.com/maps/contrib/111975489091213254628/reviews?hl=zh-TW,5,True,218,"是外帶/外送店，大推招牌洋釀，真的會讓人一口接一口，有問和頂級洋釀差異在哪，店員說頂級是比較甜，上面還有淋上美奶滋(之類)，所以點了招牌和原味的半半雞。
另外還點了炸年糕，整個非常入味好吃。"
 Kawada Syougo ,https://www.google.com/maps/contrib/111532173981148985000/reviews?hl=zh-TW,3,True,15,"外帶餐盒設計的很不錯
店員很親切，服務也很好
炸雞的部分，肉有點小塊，皮太厚
醬汁很夠味，但皮太厚造成油味有點重，吃沒幾塊就膩了
建議點兩種口味交替吃，可能會比較好一點
價格以韓式炸雞來看，算親民"
 When Chen ,https://www.google.com/maps/contrib/101086211995642250932/reviews?hl=zh-TW,4,True,61,外酥內嫩辣醬夠味飽足感滿滿配啤酒剛好
 Summer ,https://www.google.com/maps/contrib/116667645989127141594/reviews?hl=zh-TW,5,True,248,這家炸雞真的很好吃但就是有一點小貴但可以嘗試看看的店
 US L ,https://www.google.com/maps/contrib/103729532069042147817/reviews?hl=zh-TW,1,True,39,"建議預留3小時以上點餐，因為週末從線上點餐到送達需要2.5小時，送達時間為半小時一個區間，不會提早，會壓線送達，店家的外送員最後一分鐘送達，還會強調壓線不算遲到，口氣不好。

公寓沒有電梯，理解貴公司為顧客和外送員著想有不送上樓的檢疫規範，但，官網沒有公告提醒，外送員在按鈴時也未告知，彼此互等五分鐘，造成外送體驗不佳。"
 Yiwen Lu (盧怡文) ,https://www.google.com/maps/contrib/110087477995280644266/reviews?hl=zh-TW,3,True,48,推薦的2人份適合3-4人吃，不然吃到後面太膩
 黃玉嫥 ,https://www.google.com/maps/contrib/108593103253430127067/reviews?hl=zh-TW,5,True,503,"建議先上網訂餐，就可以不用等直接拿～
回家享用的時候也還熱熱的，感覺比第一次吃新莊店更好吃🥰"
