user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Danson ,https://www.google.com/maps/contrib/109428635195714554897/reviews?hl=zh-TW,3,True,348,"東西新鮮都不難吃，目測價格也還好，但是份量真的少到不行，牛小排四小塊200元有點誇張了，所以不小心人均花六、七百還沒有爽感，這種店真的不能在台北吃呀，建議吃飽再來點少少的東西加喝酒。

環境三星
服務四星
美味四星

推薦指數☀️☀️☀️🌦綜合3.25/5"
 Change ,https://www.google.com/maps/contrib/111809764280685230541/reviews?hl=zh-TW,5,True,203,能在宵夜時段吃到熱炒真的很滿足，上菜的速度也很迅速，食材都處理得不錯，尤其蝦仁蛋的口感，綿密外層又帶點恰恰的，鯖魚也烤的很好，沒有魚腥味，蛤蜊湯的蛤蜊也不會很小顆，椒麻雞是真的會麻，整體的餐點都算滿意，熱炒店就是要下飯要重口味，配酒樣樣來，選擇也不少，服務的人員也都很親切，很少適合喝完酒來的最後一攤，喝個熱湯解解酒，也適合夜晚喝不夠再續攤，畢竟開的時段到滿晚的，露天的環境，秋冬的時候來是舒適的溫度剛剛好，享受大家一起團聚的生活，星期五、星期六夜晚就適合這樣的生活。
 陳冠宇 ,https://www.google.com/maps/contrib/110284167544205839070/reviews?hl=zh-TW,5,True,27,"在市民大道上一家轉角深夜食堂，海鮮新鮮吃的到，他們家的小卷海鮮米粉，口味跟外面一般的小卷米粉不同，湯頭是濃郁的，很像日式海鮮拉麵的味道，味道很豐富，濃濃的蝦味，讓人欲罷不能，越吃越上癮
還有甜蝦二吃，蝦頭炸的酥脆，甜蝦生吃，鮮甜可口，重點是可遇而不可求，適合配點小酒的好地方"
 張雅晴 ,https://www.google.com/maps/contrib/112253882503533208910/reviews?hl=zh-TW,5,True,31,真是深夜遇到寶了！一碗小卷海鮮米粉就能感受店家的用心，蝦頭熬煮的湯頭很濃郁，無味素吃完不會口渴，海鮮料給得很有誠意。熱湯用陶瓷碗裝而不是美耐皿多了一份安心！店家老闆大哥們服務也親切～值得推薦👍👍
 鍾曉雲 ,https://www.google.com/maps/contrib/107712382042064845043/reviews?hl=zh-TW,4,True,450,"好吃不踩雷的熱炒海鮮燒烤店，
食材新鮮，調味適中，很下酒哈哈。"
 Riddle Wang ,https://www.google.com/maps/contrib/105914630799564737005/reviews?hl=zh-TW,4,True,395,位於市民大道上，常有人為了在這吃飯而違停，不時會聽到喇叭聲。食材蠻新鮮的，價格很親民，唯一缺點就是有點油，九層塔烘蛋前幾口很驚艷，但吃到後面就感覺油到吃不太下。蛤蠣拌酒熬煮，酒香味很濃郁，但吃下去倒沒有酒味。牛排現烤，上桌時還油滋滋的，很美味。
 anchi chang ,https://www.google.com/maps/contrib/101287179597700416598/reviews?hl=zh-TW,5,True,28,"店員親切熱情❤️考的牛小排跟生蠔都好好吃！
點多點少都可以，CP值非常高的喔👍👍👍"
 Scott Wang ,https://www.google.com/maps/contrib/108228556862782286071/reviews?hl=zh-TW,5,True,132,"份量足，價格合理。
現在秋高氣爽，做路邊吃很舒服"
 Hungyi Chen ,https://www.google.com/maps/contrib/105162572659229122393/reviews?hl=zh-TW,4,True,48,生蠔美味，鹹豬肉好好吃！
 林佑潔 ,https://www.google.com/maps/contrib/113168579386829493183/reviews?hl=zh-TW,2,True,57,"應該有什麼食材不乾淨，跟老公吃完回家後大概2小時，老公多次嘔吐加拉肚子，員工態度不差，環境也算乾淨。
今日吃水蓮、甜蝦兩吃、烤魚、麻油烏魚鰾，其中烤魚幾乎是老公自己吃完的，回家後我個人沒有什麼不適感，這樣想來可能是烤魚的問題吧"
 陳Leila ,https://www.google.com/maps/contrib/105733647015358395585/reviews?hl=zh-TW,5,True,22,"每一天都有不同的烤魚
非常好吃也很新鮮

生蠔也特別大顆好吃😋

好吃到都忘記拍
而且他就在劉媽媽跟泰奶旁邊都可以一起吃到"
 Blinda Lin ,https://www.google.com/maps/contrib/114557934117436651324/reviews?hl=zh-TW,3,True,118,"海鮮新鮮，菜單上的價格合理。
不過，可能店家太忙，詢問時價，一條魚竟然有不同價格?且，勾選菜品若沒有貨，也無主動告知，導致結帳時金額混亂。"
 Melody ,https://www.google.com/maps/contrib/114655492963564992343/reviews?hl=zh-TW,2,False,6,"地點算是一個不錯的地方於事選擇給兩顆星

海鮮新鮮，但熱炒類偏油，不會想再去第二次。"
 挖西王小六 ,https://www.google.com/maps/contrib/118395545242833009836/reviews?hl=zh-TW,5,True,66,"新鮮的魚貨
還有18天"
 Hank Yang ,https://www.google.com/maps/contrib/103282229184418722076/reviews?hl=zh-TW,4,True,70,"三五好友喝酒聚會好去處
親切海鮮新鮮
推薦
限定甜蝦二吃
胡椒鳳螺
生蠔讚CP值高
唯一缺點燒酒太貴了"
 Allie Chen ,https://www.google.com/maps/contrib/107141677256564657143/reviews?hl=zh-TW,3,True,335,"牛奶貝可能較少人點所以沒有很⋯
炒飯煎蛋都還不錯
生蠔一顆蠻大顆的"
 美式Coffee ,https://www.google.com/maps/contrib/115769992590761557319/reviews?hl=zh-TW,5,True,148,和朋友在不餓的狀態下經過了這家已經走路經過不曉得多少次的店只是一直都沒有去嘗試昨晚特地的去想嚐鮮一下因為不餓所以只點了四道第一道上的是炒空心菜朋友和我都被它的美味驚艷到炒的不軟爛且有濃郁的蒜香味大推再來是文蚵10顆100也很到位再來就是生魚片還算不錯但個人覺得200元拉低了些CP值最後是蝦仁炒蛋也是推～結論是下次要帶著空空的肚子去大吃一頓‼
 小葉 ,https://www.google.com/maps/contrib/117725709462155761124/reviews?hl=zh-TW,4,True,126,"評價的熱炒還會有當天魚貨非常適合小聚會
露天座位區聊天喝酒好地方菜色都不錯份量稍微小一點推薦烤生蠔（新鮮）炒飯好吃不過有點油
蛤蜊好吃但是比較小顆還是新鮮重要炸蚵酥還好粉有點厚喜歡熱炒邊吃邊聊邊喝酒的感覺推薦這間營業時間也開到很晚不過熱炒的菜只供應到2點"
 HW SHU ,https://www.google.com/maps/contrib/113873618714947310956/reviews?hl=zh-TW,4,True,132,"作為路邊的小店，我給四個星的原因很簡單。味道好，價格真的平價。

我們吃了2Round是好吃的店喔。

突然覺得，這種街邊的貨真價實得來不易。吃了生蠔之後，證明那三個干貝比較像是零食。炒螺肉我們吃了兩盤，非常刷嘴異常下飯。

洋洋灑灑吃了可能15道菜，難怪是名店認真好吃，而且是很道地的台灣風味，小酌下班宵夜都很推薦。

我們三個人共食了2,800$"
 TheHahalove ,https://www.google.com/maps/contrib/111110233968635922693/reviews?hl=zh-TW,5,True,48,生蠔🦪新鮮美味烤鳳螺處理的很乾淨，烤鮭魚頭無敵美味又平價大推👍🏻
 Bill ,https://www.google.com/maps/contrib/108107255396385990620/reviews?hl=zh-TW,5,True,328,在台北市區晚上想吃新鮮的海鮮很棒的選擇！選擇多，海鮮新鮮！很推
 Steve Hsieh ,https://www.google.com/maps/contrib/117784366235737364728/reviews?hl=zh-TW,4,True,436,好吃又不貴，大生蠔比iPhone7Plus還大顆，日本榨菜炒飯美味，和風洋蔥涼爽順口，花鯧魚大推必點。
 James Wang ,https://www.google.com/maps/contrib/106584021782034684816/reviews?hl=zh-TW,4,True,143,"感覺還可以,跟一般快炒店口味跟菜色都差不多.海鮮類倒是很新鮮,烤物也還不錯,份量2人吃剛好.當日順便跟隔壁阿東師點了些生魚片感覺還不錯"
