user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 陳是誰 ,https://www.google.com/maps/contrib/106794725589088821812/reviews?hl=zh-TW,5,False,6,"太扯了晚上經過竟然有宵夜場可以吃
差點以為又要吃超商沒想到可以吃到火鍋"
 陳Shao ,https://www.google.com/maps/contrib/117778875385229776739/reviews?hl=zh-TW,3,True,42,"店面很小間，湯底是一般的和風鍋
主食上餐很慢

這次點極品雙鮮鍋：蛤蠣跟蚵仔
不得不說很新鮮，蛤蠣煮完超鮮甜！！🤩

但另一鍋主食培根牛，是我吃過最硬的培根牛⋯
超硬又難咬⋯像是早餐店的培根一樣硬，不像火鍋店出來的😮‍💨"
 阿KEN ,https://www.google.com/maps/contrib/111602177301112928268/reviews?hl=zh-TW,4,True,92,"不得不說吸霹值還頗高的呢，店內裝潢舒適，菜盤肉盤都算新鮮大方，湯頭不假、吃完後不會口渴、價位在這區也不算高，飯後甜點冰淇淋是小美的，不會太冰冰到很難挖，且沒有用餐時限，還不錯👍

但…..追加了一份水晶餃，不得不說、而且不說對不起自己，真的有夠難吃、難吃到爆、爆到化膿、膿到截肢啊…😫😫，而且還不便宜😢😢，於是結帳時和老闆反應，老闆態度非常和善且積極，給他個👍、相信下次去用餐時可以，可以吃到好吃的水晶餃，避免一直造成雙方的遺憾😏😏

於是我給了個四顆星的原因是這樣，給店家個成長空間，希望能越來越好👍"
 Hank Lin ,https://www.google.com/maps/contrib/106616829847231961470/reviews?hl=zh-TW,5,True,275,店家的前身是藍象庭，可能是因為之前疫情所以退場，由別人頂起來做的新店。店內裝潢基本沒有甚麼改變，也是主打小火鍋。不過湯底已經由之前的泰式口味變為台式湯頭。這次我們湯頭加價購換了酸菜及黃金蜆湯底，雖然毎鍋更換湯頭需要加50元，但可以折抵單點的品項價錢。我們主餐點了加量的梅花豬及海三鮮+培根牛組合餐。肉質一般般，但煮起來還是有口感。綜合菜盤種類豐富，而且海鮮非常新鮮。黃金蜆湯頭相當鮮甜好喝，大推！不過酸菜湯頭就顯得較一般，不夠酸。但總體食材品質與價錢來說，還是一間會再回訪的小火鍋店。（店內還有提供飲料跟冰品無限吃）
 Kelly Liu ,https://www.google.com/maps/contrib/105924447918642696855/reviews?hl=zh-TW,5,True,14,菜盤豐富，環境整潔，價位也不貴。
 abbey abbey ,https://www.google.com/maps/contrib/101669634472104852389/reviews?hl=zh-TW,5,False,5,"新開幕的店乾淨老闆有禮貌
點了櫻桃鴨跟培根牛也蠻新鮮"
 陳怡穎 ,https://www.google.com/maps/contrib/108343624408588008688/reviews?hl=zh-TW,5,False,6,菜盤豐盛～還有附一隻蝦👍👍湯底價格也可以折抵單點項目👍👍
 Tim CHENG ,https://www.google.com/maps/contrib/100941564347450545520/reviews?hl=zh-TW,5,False,1,"環境乾淨(有獨立吧台，對單身族友善);店員態度親切。飲料無限暢飲(重點是有無糖綠茶),肉盤現點現切，不是隨便的冷凍肉，肉盤份量很充足，一個大男生也吃的很飽，值得再來。"
 李雨璇SherryLee ,https://www.google.com/maps/contrib/109500399969125404421/reviews?hl=zh-TW,5,False,10,第一次來用餐，菜盤很大份👍
 陳俞安 ,https://www.google.com/maps/contrib/114129059488070570059/reviews?hl=zh-TW,5,False,7,環境整潔服務生也親切菜盤沒有火鍋料走養身路線讚
 Andy Lin ,https://www.google.com/maps/contrib/104517020239970286663/reviews?hl=zh-TW,5,False,8,新開的好店，豐盛菜盤有蝦子，還有各種鍋底，下次來吃。這次點的是培根牛拼鮮蝦。
 夢夢 ,https://www.google.com/maps/contrib/113584857929325984438/reviews?hl=zh-TW,1,False,7,家裏人不太嫌但第一次嫌店難吃這個價錢這個量很不合理欸358？外面有更好的選擇吧😒牛奶湯底很閒原味是水吧⋯要不是一定要一顆星我連給都不想給⋯
 E L ,https://www.google.com/maps/contrib/102054244910760006151/reviews?hl=zh-TW,5,True,42,肉質新鮮，蔬菜盤美味，正宗台式shabushabu!值得再訪👍
 U U ,https://www.google.com/maps/contrib/115881621177854558326/reviews?hl=zh-TW,1,False,3,"補充
首先非常謝謝店家注意到此貼文，也不用特地再關心我當時的飲食狀況。
本人飲食習慣正常，至少這兩年來沒這樣反胃過，早餐吃麵包、午餐吃簡單的湯麵都是自家煮、接近傍晚進去用餐，回家後開始反胃，睡前刷牙時吐了一次，皆有菜盤上的一些碎菜白飯，直到凌晨一點都無法入睡再去吐，吐出整大攤都是晚餐吃的鍋物，還有最令人作嘔的冰淇淋味道，當下吃冰淇淋時也感到放較久黃色的不清楚是芒果還是什麼水果，已吃不出明顯風味，可樂機的蘋果汁也是奇怪的水味，並不是蘋果汁(至少昨天用餐時我確定不是)，菜盤的芋頭更是明顯放過久或者不新鮮？吃起來的口感就是咬起來不綿不鬆⋯甚至煮到全部東西都吃完了還是有一半是偏硬的⋯這次的用餐體驗確實令我長時間內不會再過去用餐，畢竟選擇很多。雖然對於食物品質要求的標準各家不同，還是希望您們將日後對於食材的品管再多加強，不要再發生類似因食物新鮮度的問題導致客人急性腸胃炎的事件才是最重要的。

—————————————————-
評論4.9的真實性有待確認，只給基本禮貌一顆星。部分食物新鮮度有待改善，冰淇淋衛生、品質有待加強，吃完後腸胃不舒服吐，不會再訪。建議因評論而前往的朋友三思，以我標準正常的火鍋愛好者來說，你們不會喜歡。"
 Alicia ,https://www.google.com/maps/contrib/116559406614271101770/reviews?hl=zh-TW,5,False,8,"新開幕的火鍋店～環境舒適菜盤豐盛
和風湯頭不錯！"
 吳佩君 ,https://www.google.com/maps/contrib/107419427061153047280/reviews?hl=zh-TW,5,False,1,服務人員非常親切，鍋品大方好吃
 William Hsu ,https://www.google.com/maps/contrib/117618376926635940333/reviews?hl=zh-TW,5,True,90,新開的日式火鍋，價格合理，平日火鍋的好選擇！
 哇莎咪 ,https://www.google.com/maps/contrib/102669011559666024945/reviews?hl=zh-TW,3,True,249,"老闆，從藍象廷剛開幕吃到現在
這是第一次看到這麼可怕的冰淇淋杓桶😥
那個渣渣都在裡面漂浮"
 Alice Lin ,https://www.google.com/maps/contrib/104834696313097919160/reviews?hl=zh-TW,5,True,47,"麻辣鍋有麻有辣
肉質可以
鴨血有入味"
 徐世祥 ,https://www.google.com/maps/contrib/118179594590737443455/reviews?hl=zh-TW,5,True,26,在家附近發現有新開的小火鍋店家‘’鍋客‘’想說帶家人試試口味～結果ㄧ家人都獲好評，料實在且老闆用心與熱心跟客人介紹餐點及湯底，讓人感覺到用心的經營，品質超越價位，值得推薦的用心店家～加油！
 Teddy Hsiao ,https://www.google.com/maps/contrib/113118443284380019724/reviews?hl=zh-TW,5,True,452,"菜盤蠻豐盛以天然食材為主，小缺點湯頭太清淡到沒什麼味道，蛤蜊份量也有點少
再次造訪發現有蔬果和柴魚湯頭可選不知是否新增加的，柴魚湯頭就不會太清淡，感受到老闆的用心經營，想吃火鍋的好選擇"
 Jerry 1 ,https://www.google.com/maps/contrib/113069714098836306465/reviews?hl=zh-TW,5,True,36,"這家店挺適合我這種沒在煮又常運動的人
最常點台灣櫻桃鴨肉或梅花豬肉，附餐選蛋
小美冰淇淋、飲料無限暢飲
低消268，不收服務費"
 sans0427 ,https://www.google.com/maps/contrib/109986565059194919027/reviews?hl=zh-TW,1,True,41,"肉份量少,二人都沒吃飽😔"
 Maurice Yu ,https://www.google.com/maps/contrib/115243550514886495155/reviews?hl=zh-TW,3,True,346,服務不錯，肉品也OK可惜酸白肉的湯底不夠酸.........
 Sunny Ch ,https://www.google.com/maps/contrib/110817632706346243582/reviews?hl=zh-TW,4,False,36,"新開的火鍋店，肉片滿厚，醬料區的蔥花顏色偏褐色，且很乾，
用餐區都有貼離座戴口罩，但大部分用餐客起身取醬料或飲料都沒有戴口罩，且餐廳屬狹長型，走道不大，為了防疫與衛生，建議店家應在醬料區和冰淇淋區貼戴口罩告示！以維護用餐品質
湯頭特別，非一般柴魚味，
若加購特別湯頭，費用可抵火鍋料。"
 花苡媗 ,https://www.google.com/maps/contrib/101666747759505485345/reviews?hl=zh-TW,5,True,140,店家非常親切主動幫我們準備幼童餐具
 JY Liao ,https://www.google.com/maps/contrib/116342921731196153889/reviews?hl=zh-TW,5,False,2,老闆人超可愛～～服務很好。
 wang matthew ,https://www.google.com/maps/contrib/114266030219730756470/reviews?hl=zh-TW,5,False,4,用餐環境乾淨，菜盤豐富，性價比頗高，是常來家庭聚餐好地方
 黃仁傑 ,https://www.google.com/maps/contrib/108944307869418227972/reviews?hl=zh-TW,5,False,2,第二次來吃鍋了，食材新鮮，冰淇淋好吃，店長很熱情，整體上感覺很好！
 Hans LIU ,https://www.google.com/maps/contrib/113717196615341322085/reviews?hl=zh-TW,5,False,3,服務好。價格合理
 Amber Lai ,https://www.google.com/maps/contrib/118100940667463158694/reviews?hl=zh-TW,5,False,10,環境乾淨，服務好！
 mido Lin ,https://www.google.com/maps/contrib/102925461385981700815/reviews?hl=zh-TW,5,False,6,老闆很帥100分！很用心經營，厲害的火鍋店。
 李杰珉 ,https://www.google.com/maps/contrib/107561287510907371938/reviews?hl=zh-TW,5,False,8,CP值很高好吃老闆人很好便宜又大碗🫠
 陳宏逸 ,https://www.google.com/maps/contrib/113454812446226181018/reviews?hl=zh-TW,5,False,7,新店面！東西好吃！外帶有9折優惠～
 楊魁智 ,https://www.google.com/maps/contrib/106715847185251804744/reviews?hl=zh-TW,5,True,10,用餐環境乾淨整潔，口味還不錯，鴨血蠻入味的
 郭卉娟 ,https://www.google.com/maps/contrib/108414122852576513796/reviews?hl=zh-TW,5,False,2,五星肉升級，梅花豬很新鮮，肉片很厚。
 YaJou Tsai ,https://www.google.com/maps/contrib/117285100979750564155/reviews?hl=zh-TW,5,False,5,打卡標記有肉升級/40元折抵！
 何崇宇 ,https://www.google.com/maps/contrib/100130735238195092663/reviews?hl=zh-TW,5,False,1,好吃！環境也很不錯喔！😍
 Ricky Liu ,https://www.google.com/maps/contrib/117654005185077111717/reviews?hl=zh-TW,5,False,2,新開幕還不錯，可以來試試喔
 蔡政廷 ,https://www.google.com/maps/contrib/108515403195248629361/reviews?hl=zh-TW,5,False,5,環境乾淨衛生，食材新鮮好吃！
 Eddie Tu ,https://www.google.com/maps/contrib/108190399282336295263/reviews?hl=zh-TW,5,False,13,新開幕！很乾淨東西很好吃！
 小王子 ,https://www.google.com/maps/contrib/102196244084142757589/reviews?hl=zh-TW,5,False,8,老闆人超好！！好吃不會倒！！
 Teresa Tang ,https://www.google.com/maps/contrib/104308679238013839005/reviews?hl=zh-TW,3,True,8,這家原本叫藍象廷吧？改名了？
 游嘉欣 ,https://www.google.com/maps/contrib/108529419811793075560/reviews?hl=zh-TW,5,False,4,讚啦好吃老闆又帥又好吃（食物好吃）😂
 小絃 ,https://www.google.com/maps/contrib/114429255850521282783/reviews?hl=zh-TW,5,False,5,新店家，環境乾淨，值得推薦
 郭小郭 ,https://www.google.com/maps/contrib/101925428250422275903/reviews?hl=zh-TW,5,False,2,"食材新鮮
服務親切
鴨血好吃"
 Joyce Kuo ,https://www.google.com/maps/contrib/107345762908807732773/reviews?hl=zh-TW,5,False,4,服務很親切用餐環竟很好
 ck1100600黃奕誠 ,https://www.google.com/maps/contrib/112262447185163758419/reviews?hl=zh-TW,5,False,1,超讚的用餐體驗與服務態度
 C ,https://www.google.com/maps/contrib/107851422582095963278/reviews?hl=zh-TW,5,False,1,環境不錯東西好吃不貴~
 張大宝 ,https://www.google.com/maps/contrib/109488815938222397392/reviews?hl=zh-TW,5,True,139,"先打卡換肉肉
超級划算👍"
 呂家騏 ,https://www.google.com/maps/contrib/105472470444477492629/reviews?hl=zh-TW,5,True,86,今天新開幕
 Kevin Lee ,https://www.google.com/maps/contrib/113415598865205730552/reviews?hl=zh-TW,5,False,2,乾淨、好吃，地點方便
 Sylpheed (Sylpheed) ,https://www.google.com/maps/contrib/111286644127453661607/reviews?hl=zh-TW,5,False,3,環境整潔服務生也親切
 Chiachen Chang ,https://www.google.com/maps/contrib/101481032263182163474/reviews?hl=zh-TW,5,False,4,新開幕，環境明亮乾淨
 蘇俊豪 ,https://www.google.com/maps/contrib/105580303366658988955/reviews?hl=zh-TW,5,False,5,湯頭不錯，肉質鮮美
 陳志鑫 ,https://www.google.com/maps/contrib/115360716011199102059/reviews?hl=zh-TW,5,False,2,新開幕的店，好吃
 Chuck Lore ,https://www.google.com/maps/contrib/117017949646786898972/reviews?hl=zh-TW,5,True,22,新開店，品質好評！！
 施佩伶 ,https://www.google.com/maps/contrib/108088406581476319944/reviews?hl=zh-TW,5,False,13,老闆很可愛，平易近人的感覺
 YiRou Lin ,https://www.google.com/maps/contrib/107764456661462490065/reviews?hl=zh-TW,5,False,1,服務親切，環境乾淨！
 YA ELLA ,https://www.google.com/maps/contrib/114612082049832766974/reviews?hl=zh-TW,5,False,2,跟朋友聚餐的好選擇
 V C ,https://www.google.com/maps/contrib/111423852468762392776/reviews?hl=zh-TW,5,True,47,料多實在又乾淨
 陳品璇 ,https://www.google.com/maps/contrib/106776367322705301643/reviews?hl=zh-TW,5,False,20,有自助吧～很不錯
 Ci Lin ,https://www.google.com/maps/contrib/110199478110669275933/reviews?hl=zh-TW,5,False,3,好吃，服務很好👍👍👍👍👍
 關楷諾 ,https://www.google.com/maps/contrib/108357132944338619403/reviews?hl=zh-TW,5,False,1,打卡送肉盤加大！！
 王大可 ,https://www.google.com/maps/contrib/102038590988422666417/reviews?hl=zh-TW,5,False,2,環境乾淨服務親切
 林皓安 ,https://www.google.com/maps/contrib/114715308933448495464/reviews?hl=zh-TW,5,True,154,好吃，服務好
 42戴宗彥 ,https://www.google.com/maps/contrib/106632453532636207360/reviews?hl=zh-TW,5,False,2,老闆我愛你❤️
 好夯笑 ,https://www.google.com/maps/contrib/103945303390017093200/reviews?hl=zh-TW,5,False,1,服務好讚優質店家
 Angus Liao ,https://www.google.com/maps/contrib/109585374712827485005/reviews?hl=zh-TW,5,False,4,東西好吃服務優秀
 jayden wang ,https://www.google.com/maps/contrib/104540894134821614280/reviews?hl=zh-TW,5,False,8,試營運期間可以試試看
 周怡妏 ,https://www.google.com/maps/contrib/116436698146249773986/reviews?hl=zh-TW,5,False,9,來吃看看～
 Glyn Chen ,https://www.google.com/maps/contrib/106971543725150571196/reviews?hl=zh-TW,5,False,1,服務人員很親切
 王小安 ,https://www.google.com/maps/contrib/109285652017615757167/reviews?hl=zh-TW,5,False,4,新開的好吃😋
 點點 ,https://www.google.com/maps/contrib/104567725024411359796/reviews?hl=zh-TW,5,False,8,新開幕讚讚
 Cindy Huang ,https://www.google.com/maps/contrib/117190480028721737398/reviews?hl=zh-TW,5,False,1,👍
 KC Lo ,https://www.google.com/maps/contrib/111626008272509908391/reviews?hl=zh-TW,5,False,2,物美價廉的好地方
 沈韋志 ,https://www.google.com/maps/contrib/100919246585841344082/reviews?hl=zh-TW,5,False,11,新開的，嚐鮮
 Yen Yu ,https://www.google.com/maps/contrib/112795274116276615017/reviews?hl=zh-TW,5,False,10,讚！
 張書正 ,https://www.google.com/maps/contrib/113645211748730679335/reviews?hl=zh-TW,5,True,16,CP不錯
 魏任鴻 ,https://www.google.com/maps/contrib/118020482273605101893/reviews?hl=zh-TW,5,False,5,服務親切細心
 張裕杰 ,https://www.google.com/maps/contrib/115818849805716142921/reviews?hl=zh-TW,5,False,9,素菇盤
 陳姿樺 ,https://www.google.com/maps/contrib/107730752033374892548/reviews?hl=zh-TW,5,False,1,讚
 林美滿 ,https://www.google.com/maps/contrib/107721335182756207508/reviews?hl=zh-TW,5,False,2,讚~~~
 angel cheng ,https://www.google.com/maps/contrib/100974524162591722861/reviews?hl=zh-TW,5,False,9,🥰🥰👌讚
 何宜霖 ,https://www.google.com/maps/contrib/114204558788206471888/reviews?hl=zh-TW,5,False,4,服務親切
 陳俞琇 ,https://www.google.com/maps/contrib/103342844610168354219/reviews?hl=zh-TW,3,True,45,"台灣梅花豬肉鍋$268+麻辣鍋湯底$50

1.麻辣鍋湯底：只有辣，沒有麻或香，不推
2.菜盤：種類算多，有十種以上，白蝦還不錯，不過高麗菜和南瓜吃起來都不怎麼有味道
3.梅花豬：油脂分布還不錯，有時候有點硬，但以這個價位來說，還不錯
4.份量：還不錯，不會有空虛的感覺

鍋子太淺或是湯給比較多，把需要久煮的東西放下去後，開不到中火就整個滾出來了，建議煮之前先盛一碗湯起來

總結來說，敗在鍋底，如果找不到東西吃，還是可以來吃"
 李春成 ,https://www.google.com/maps/contrib/118240740720877022250/reviews?hl=zh-TW,2,False,37,材料一般，湯頭用粉末，用餐完口乾舌燥
 王蕙鉁 ,https://www.google.com/maps/contrib/116008311505042881442/reviews?hl=zh-TW,5,True,321,老闆親切又和善，結帳時還幫我們打折。餐點豐富價位親民，店裡生意很好，舒適乾淨。服務人員主動巡視，協助加高湯，是個用火鍋的好選擇呦！
 YL Wang ,https://www.google.com/maps/contrib/104337638612287223355/reviews?hl=zh-TW,5,False,27,"肉偏厚
青菜好吃"
 昶旭 ,https://www.google.com/maps/contrib/103574475981197389071/reviews?hl=zh-TW,5,False,1,好吃
 Vince O Yang ,https://www.google.com/maps/contrib/103739063337223241025/reviews?hl=zh-TW,5,False,3,好吃
 員稽查 ,https://www.google.com/maps/contrib/114690622616074270919/reviews?hl=zh-TW,5,False,1,好吃
 Hsieh Rita ,https://www.google.com/maps/contrib/105036843820199807850/reviews?hl=zh-TW,5,False,12,好吃
 Alice Kuo ,https://www.google.com/maps/contrib/103735675558953575918/reviews?hl=zh-TW,5,False,8,好吃划算👍🏻
 Ataru Huang ,https://www.google.com/maps/contrib/106491474681571397836/reviews?hl=zh-TW,5,False,2,好吃
 某辰 ,https://www.google.com/maps/contrib/104954801844066414724/reviews?hl=zh-TW,5,False,2,好吃
 嚴鈺雯 ,https://www.google.com/maps/contrib/109808796281336455368/reviews?hl=zh-TW,5,False,12,很香
 桐谷Kirito ,https://www.google.com/maps/contrib/106061734839911710274/reviews?hl=zh-TW,5,False,1,打卡送肉肉
