user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Stanley Hu ,https://www.google.com/maps/contrib/109709515165392608694/reviews?hl=zh-TW,5,True,72,"原本要買健康餐盒，但假日晚上無供應便當，於是店員向我介紹新產品“明門花甲粉”
口味不錯，品嘗得到海鮮的鮮甜，與辣豆瓣及花椒的香氣，不會太辣。
店內乾淨明亮，服務親切，改天再吃他們的便當"
 david shih ,https://www.google.com/maps/contrib/116289453556695396459/reviews?hl=zh-TW,3,False,6,"這就一點雞胸肉賣125
還沒有超商的好吃

我給個三個星也不過分吧"
 Willy Li ,https://www.google.com/maps/contrib/115958006148965318637/reviews?hl=zh-TW,5,True,102,配菜樣式豐富，色彩多樣，略有調味，整體清淡；主菜雞胸舒肥口感軟嫩，有青醬、義式香料以及不定時推出的多種新口味。
 Ian Y ,https://www.google.com/maps/contrib/101443149905996240241/reviews?hl=zh-TW,2,True,593,義式香料雞胸肉（120元），舒肥雞肉處理及調味的不錯，不會看起來很生，但其餘配菜調味太重，特別是高麗菜吃起來超鹹。
 簡淑珺 ,https://www.google.com/maps/contrib/108219198750707458888/reviews?hl=zh-TW,1,False,28,"回購幾次了，第一次是活動訂了很多個。

今天在現場等餐，發現廚師居然沒戴口罩…邊說話邊準備食材。另一個人還直接把塑膠飯盒放進微波爐加熱…

可能外送單子很多，不缺生意了…"
 Riddle Wang ,https://www.google.com/maps/contrib/105914630799564737005/reviews?hl=zh-TW,3,True,395,"食吉-香煎熟成香草豬

中規中矩的菜色，採用紫米飯，熟成豬蠻嫩的，其他地方就都正常發揮。唯一驚豔的是採用四角扣式便當盒，不用橡皮筋。"
 yu-chieh Chen ,https://www.google.com/maps/contrib/118030977225388786348/reviews?hl=zh-TW,5,True,34,配菜豐富、兼顧美味與健康的日式餐盒，飯的份量可以做客製化調整，適合想吃得健康的外食族和想要增肌減脂的健身族群～
 江雨蓁 ,https://www.google.com/maps/contrib/112302093394481255646/reviews?hl=zh-TW,5,False,16,"是個很棒的體驗！一進門就感受到員工間良好的氛圍，親切的和顧客交談。

以這價格和品質，在台北地帶CP值很高，不油、健康、營養又好吃（偷偷告白：玉子燒好好吃，味噌湯很好喝），推薦大家經過路過不錯過。

對了，可以加官方賴或先電話訂購哦！不定期也會有優惠活動，可以多去臉書粉絲團留意。"
 張靖婷 ,https://www.google.com/maps/contrib/116571828915313050532/reviews?hl=zh-TW,5,False,13,"走一個日式風味的健康餐盒！配菜會隨時更換，百吃不膩啊～
有溏心蛋（玉子燒）、牛蒡（豆芽菜）、鷹嘴豆（黑豆）等等日式煮物的小菜色呢！
平常的白飯或五穀飯也能加購換成健身必備的花椰菜米或薑黃米哦！

令人驚艷的是舒肥雞肉，超級鮮嫩，沒有腥味呢！最重要的是那個青醬🤤親自熬煮整個香氣撲鼻！一口接著一口呢！

還有還有無糖的茶類，是老闆親自到產區試喝接洽，每天泡8小時呢！順口消暑解渴～"
 Nikki Ma ,https://www.google.com/maps/contrib/102387389298275785222/reviews?hl=zh-TW,2,False,9,點了外送滿失望的，薑黃飯參雜著像從冰箱拿出來一樣乾乾的鍋巴，蔬菜像放太久偏黑，這跟路程沒有關係，因為我拿到飯盒還是燙的！雞肉很嫩，但是其他蔬菜和飯太乾有點無法接受
 Monjyo ,https://www.google.com/maps/contrib/118195663021769279207/reviews?hl=zh-TW,5,True,173,如果想找健康不油膩又清淡美味的健康便當這間食吉就真的超級推一般的健康便當會偏無味這家是蔬菜/主食味道很剛好的好吃😋
 Chen ,https://www.google.com/maps/contrib/107404699694868676414/reviews?hl=zh-TW,3,True,561,餐點一般，自帶餐具沒有優惠，無鼓勵環保意識
 Com Foodie ,https://www.google.com/maps/contrib/101284245188248397940/reviews?hl=zh-TW,2,False,9,"雖然知道傳單圖片肯定都是僅供參考
但看來最近物價真的飆升的很嚴重呢^^"
 張廷陽 ,https://www.google.com/maps/contrib/111692555640264172587/reviews?hl=zh-TW,5,True,137,"意外發現的店～健康好吃！
但可惜是今天剛好不是我喜歡的溏心蛋啊！
牛肉很嫩、熟度剛好！下次再嚐嚐其他口味"
 蕎 ,https://www.google.com/maps/contrib/108233260929940565559/reviews?hl=zh-TW,5,False,4,"配菜豐富、顏色漂亮，味道很有層次
ㄧ開始以為肉沒有熟，但老闆解釋是因爲舒肥製成所以會有點粉粉的是正常的，這樣肉才會保持鮮嫩，果然肉真的超嫩超好吃！大推👍👍"
 Candy Lee ,https://www.google.com/maps/contrib/115406150964515500338/reviews?hl=zh-TW,5,False,10,一個便當100左右就可以搞定一餐而且又吃的健康安心😌不會像外面便當油膩膩吃的很反胃這裡清爽無負擔口味多元重點還能吃的飽！！
 黃信 ,https://www.google.com/maps/contrib/115021748610307761346/reviews?hl=zh-TW,4,True,400,"原本的羊肉麵收掉了可惜了
換這家賣飯店
平價
美味"
 Ann Ann ,https://www.google.com/maps/contrib/114130185353743071143/reviews?hl=zh-TW,5,True,183,"好吃的健康舒肥便當🍱喜歡香草豬
茶和湯也好喝❤️❤️❤️"
 Victoria Shen ,https://www.google.com/maps/contrib/111575229600227227045/reviews?hl=zh-TW,4,True,112,"廚房乾淨,結帳快速..便當菜色豐富,牛肉軟嫩."
 游克勤 ,https://www.google.com/maps/contrib/117585342420263142663/reviews?hl=zh-TW,5,True,14,"以健康餐盒來說價格合理，配菜種類多鹹淡適中。
店員還蠻熱情介紹的，不錯的正餐選擇。"
 Jenny Yu ,https://www.google.com/maps/contrib/115446153527813015146/reviews?hl=zh-TW,1,True,69,味道還行…但，高麗菜內有鋼刷屑屑…快吃完時飯裡面有小石頭…🥵🥵🥵
 黃昕潁 ,https://www.google.com/maps/contrib/107903827762069092899/reviews?hl=zh-TW,1,True,48,Foodpanda上照片看起來是使用環保餐盒，想說必須支持一下，結果送來竟然上蓋和下面容器整個都是塑膠。而且也沒有Foodpanda上寫的鷹嘴豆料理，半顆糖心蛋變成一小塊玉子燒我還可以理解，但鷹嘴豆料理不知道是沒食材還是怎麼樣，也沒有使用其他菜去補...110元這樣的份量少得連食量小的我都沒吃飽，還得去吃其他東西。很抱歉這真的無法再訂第二次...
 Zoe Wang ,https://www.google.com/maps/contrib/103254980880092812768/reviews?hl=zh-TW,5,True,112,配菜多樣，而且味道都還不錯～～飯是貨真價實的五穀飯很好吃，感受得出店家的用心。外送前一天訂可打九折，划算！
 林景茂 ,https://www.google.com/maps/contrib/106109680687845942267/reviews?hl=zh-TW,5,False,8,週五下班，發現一間新開可愛的小店，食材新鮮味道美味，更兼具健康的概念，以後絕對多來支持！
 黃新傑 ,https://www.google.com/maps/contrib/110200716810029226619/reviews?hl=zh-TW,4,True,"1,196","可以先線上預訂然後付款
醬燒豬肉個人蠻喜歡的
蠻下飯的
另外單點主菜有用盒子裝覺得這點很不錯”）"
 刀哥 ,https://www.google.com/maps/contrib/111115436450239790911/reviews?hl=zh-TW,5,False,5,美味的便當親切的態度新鮮的食材專業的工作人員
 吳吳菁之 ,https://www.google.com/maps/contrib/115676374128485838018/reviews?hl=zh-TW,4,True,75,賣相美，口味佳，雖然價格門檻較高，但是好吃值得！五穀飯處理的很好，軟硬、濕度都很適口！是近期健康餐盒裡的飯食最喜歡的一間！
 張冰塊 ,https://www.google.com/maps/contrib/109594748935712298704/reviews?hl=zh-TW,5,False,29,"以大台北地區健康便當餐盒
這價位算很便宜了
而且主食ㄧ共還🈶️4⃣️種🉑️以選擇
白飯5⃣️穀米薑黃米花椰菜🥦米
就連湯品也是滿滿料
1⃣️碗才30$
冷泡茶ㄧ瓶也都才40$
且茶味超清香不苦澀👍"
 賴玉萍 ,https://www.google.com/maps/contrib/115170581288436604811/reviews?hl=zh-TW,5,True,516,好吃！期待有高麗菜以外的菜
