user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Kim ,https://www.google.com/maps/contrib/104286907752587588139/reviews?hl=zh-TW,3,False,142,還沒看網評前一進去店員清一色是男生但給人的服務感受度不是很舒服帶有服務業不該有的冷漠被動。環境寬敞舒適但是桌面整潔不太行，另外上餐速度有待加強，因為是連鎖店點的是大眾餐餐點部分就沒特別好壞。其中應該是網評上說的外籍小哥（？）個人覺得態度頗好。
 Jamie Wu ,https://www.google.com/maps/contrib/113625017852366793611/reviews?hl=zh-TW,5,True,16,"（更新）謝謝店家提醒！確實是延平北店沒錯^^
在這邊修改評價，也透過這次留言才知道應該真的是延平北製作這個品項跟標準作法有很大差距。

---
應該是吃過最爛的拉亞了！（不是這家！是延平北店）
一直都很喜歡拉亞的「綜合起司煙燻帕尼尼」，因為不是用吐司假裝自己是帕尼尼，而且起司濃厚，天天吃也不會膩。

沒想到今天買到這個，別間店甚至還加綠花椰，今天這是什麼？連起司都看不到！之前外送過一次，印象也不是很好。

奉勸大家以後真的都不要點這間！即使別間店這一品項可能貴10塊，至少吃起來是滿足的。（忠孝復興店一樣價格，起司、煙燻火腿、綠花椰吃好吃滿！）"
 Lily Juo ,https://www.google.com/maps/contrib/112160010354647571068/reviews?hl=zh-TW,5,False,4,最近同事愛上拉亞漢堡，一連點了好幾次～大推這家的皇后堡是用盒子裝的，不會擠壓到麵包本體，吃的出麵包鬆軟的口感！而且有襯紙可以拿，也不會讓手油膩膩的！雖然是外送，不過餐點裝的很好，都沒有灑出來～推推！希望下次還有袋子，同事們都很喜歡捏！
 Gina Young ,https://www.google.com/maps/contrib/105884960536534552251/reviews?hl=zh-TW,5,False,1,"平常都會和家人一起來用餐，有別於一般早餐店，環境溫馨,乾淨而明亮，帶男友來用餐，店家服務親切周到，覺得每次來，心情都很好！"
 Chia Fen Wu ,https://www.google.com/maps/contrib/113192663998613596550/reviews?hl=zh-TW,5,True,50,"最近很常有大冰紅買一送一活動，有興趣的人可以趕快去碰碰運氣😂

這間內用區座位蠻多的，餐點整體品質還算穩定，偶爾遇到餐點送錯跟店員反應他們態度也很積極、處理速度也很快。

出餐速度不算太慢，冰箱裡的飲料有時候不知道是不是剛做（？）完全不冰，喝到會有點小失望🥺不過整體來說用餐體驗還不錯，很適合用餐順便放放空的地方～"
 가질원 ,https://www.google.com/maps/contrib/118361953607461071495/reviews?hl=zh-TW,1,True,73,這是第一次前去消費，於2021.08.16早上六點50至七點左右的時間，點了總匯拼盤外帶，點餐時表明不要沙拉，店家也於標籤上註明，但回到公司食用時發現仍有沙拉醬，此時回想說店家服務上還算客氣禮貌因此覺得算了沒關係，不過在快用完餐時在總匯夾層內發現鐵刷絲，頓時感到作噁真的感到無法接受，因此對於本次消費是感到相當失望的。
 黃佳穎 ,https://www.google.com/maps/contrib/112144897883827253517/reviews?hl=zh-TW,1,True,112,"1.內用消費，桌子沒有擦，還需要顧客反映，擦完之後桌子「極濕」，希望抹布可以擰乾一些，至少正常乾。

2.餐點送上用丟的，超傻眼…..一個漢堡籃這樣放到桌上，直接離開；然後餐點是做錯的！

3.內用空間極大，當時已無任何顧客。我媽附近吃完後帶著孩子來這邊找我（等我吃完），店員告訴我媽沒有消費不能在這邊。

4.當天點的是花生雞腿堡，跟照片上落差極大，而且漢堡麵包是冷的沒有簡單烤過的（這個我不清楚是一貫作法還是？）

結論：給我一萬塊我也不會想再去。"
 Krystal ,https://www.google.com/maps/contrib/102989238867792063185/reviews?hl=zh-TW,5,False,4,"外送叫了早午晚餐和飲料；
剛好涼飲買一送一，實在是非常划算
食物配送溫度非常好！
尤其是義大利麵完全沒有冷掉；而且也非常好吃
通常都很怕外叫麵食都很怕糊掉和冷軟掉
尤其是這個大冷天的這間完全不會！
而且份量有女生來說剛好
；物美價廉很划算！非常推薦
再此也收到可愛的聯名保溫帶
感謝老闆和服務人員的用心
有機會到店面內用的
辛苦了。
（因為還沒店內用餐過所以氣氛先給3顆💪🏻"
 美秀劉 ,https://www.google.com/maps/contrib/109264403376001599349/reviews?hl=zh-TW,5,False,9,我們是在附近的小資族，產品多樣化，雞柳條非常嫩，漢堡、麵、沙拉、薯條、吐司都有，老闆辛苦了祝你生意興隆
 林雅惠 ,https://www.google.com/maps/contrib/114266441157479048626/reviews?hl=zh-TW,1,False,17,"店家您好~餐點口感跟以前差很多
點了活力餐，香腸味道聞起來有點像漂白水味道
散蛋明顯不是現煎，且只給一小塊，看起來沒食慾，不敢吃，也沒無糖紅茶，我想以後不會再過去了，列入黑明單！
附近早餐都吃過，只有今日餐點讓我沒法吃完
真的需要改進！"
