user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Ya Chen ,https://www.google.com/maps/contrib/116418506465398586923/reviews?hl=zh-TW,5,True,287,"平價安全的義大利麵選擇，口味中規中矩，上餐速度蠻快，有檸檬水可以喝。
另外，加麵+38元份量好像沒有想像中得多😅"
 Mag Lin ,https://www.google.com/maps/contrib/105412059286879129017/reviews?hl=zh-TW,4,True,122,在此商業聚餐會談，意外發現這家餐廳的義大利麵CP值真高，點基本款青醬培根義大利麵，培根的量非常足，醬汁也很夠味，升級附麵包和例湯的套餐，麵包等義大利麵清空再沾醬吃又是另一種享受，廠商點的焗烤盤一上桌我們都因為店家的誠意傻了，真的很大一盤！服務人員的態度非常親切，為這次用餐加了好多分，好餐廳值得我們多多支持！必再訪的店家：）
 가질원 ,https://www.google.com/maps/contrib/118361953607461071495/reviews?hl=zh-TW,4,True,73,這是一次很不錯的消費感受……「餐點來的快，食物熱度也很足夠，在烹調上也十分對味」，初次加入會員還能兌換到一盤熱呼呼薯條與雞米花，很棒～；另外人員在服務上，用餐前用餐中再到用餐結束，甚至結帳都保持很好，服務很是禮貌，尤其在說明消費方式時以微笑且客氣的表達作回應，見桌面檸檬水減少時會適時的補充，並且能隨時注意完食後的碗盤進行收拾，達到餐廳桌面整潔客人用餐舒適感，使其在這次整體消費下，是愉悅的是滿足的，是吃到開心的🙂👍以上評論為個人消費體驗，再此提供參考。
 楊凱茵 ,https://www.google.com/maps/contrib/105576530742812899174/reviews?hl=zh-TW,5,True,117,"室內裝潢很棒，很有義大利的感覺（廢話XD
室內座位不多，大概20餘位左右，不過可以訂foodpanda，或是直接外帶。
上餐速度算快，點餐完大概5分鐘左右就會上菜，需要飲料先上或是需要打包，跟店員說一聲就好，相當方便。"
 謝依容 ,https://www.google.com/maps/contrib/103972840051397729795/reviews?hl=zh-TW,5,True,252,"這是一家很有溫度的餐廳~
因為中午用餐時間較短~請店家預先做好餐點約11:55上菜到餐廳時店家已準備好餐點~上菜時餐點也是熱的~
義大利麵(麵加大)和沙拉(加1份雞肉)都很好吃加點1份套餐(附飲料湯麵包甜點)，每樣都很美味~加入會員活動期間還可以贈魚柳或地瓜QQ球~
兩個人吃得很飽!
店家服務100分滿足客戶的需求!
非常棒的一家餐廳~❤"
 Ya Li Huang ,https://www.google.com/maps/contrib/105510819093649153216/reviews?hl=zh-TW,4,True,413,餐點一整套下來，有麵包和濃湯、飲料及甜點，算是很棒的一條龍套餐，感覺很豐富，口感依然保持水準，上菜速度也很快，也不會很貴。服務和環境都很好。
 Edward Chu ,https://www.google.com/maps/contrib/111345253909614840049/reviews?hl=zh-TW,4,True,350,"米塔集團下的義大利麵店，所以產品與米塔非常類似，提供多款創新的義式料理及開胃輕食，人均消費在300-500之間，加上附餐份量充足，用餐環境舒適，口味就比較普通，但是個聚會的安全牌場地，常有壽星或疫情的優惠活動。
目前分店有：
五分埔店(02)2756-7388
重慶店(02)2331-6268
新竹關新店(03)563-1528
板橋店(02)2253-3868
桃園ATT店(03)275-2238
高雄新楠家樂福店(07)351-7568"
 洪豬豬 ,https://www.google.com/maps/contrib/110771581715989689868/reviews?hl=zh-TW,3,True,22,義大利麵的麵量足夠，紅豆芋頭口味披薩🍕很特別但不會到太甜，環境乾淨整潔，整體還ok。假日人潮比較少不用特別定位
 Jessica分享美好事物打造生活 ,https://www.google.com/maps/contrib/103651363524560489296/reviews?hl=zh-TW,5,True,92,"這裡真的是我每次到台北車站，不管上課還是看電影，又或者辦事，一定會來吃的地方，這間洋朵義式料理店，是米塔集團的，集團的服務態度很好，上菜速度也很快，我今天點的是時蔬義大利麵（屬於清炒），義大利麵很道地的硬式麵條，很好吃，嚼勁也很棒，我不是吃素的，所以有蒜頭，蒜味十足，甜點一定必點焦糖烤布蕾，他們的烤布蕾真的超好吃，晚上不喝咖啡就會點渃柚子茶，柚子茶就是韓國的柚子茶，超好喝還可以吃到柚子。
洋朵/洋城義大利料理也是我聚餐的好選擇，平價又好吃。"
 王智弘 ,https://www.google.com/maps/contrib/115907694453825990372/reviews?hl=zh-TW,5,True,13,"服務親切用餐過程不會一直來打擾
雖然戴著口罩但是說話輕聲細語感覺很舒服
是一家好吃的義大利麵店"
 happy ,https://www.google.com/maps/contrib/109233390649613546775/reviews?hl=zh-TW,4,True,555,"重慶南路商圈的老店，規規矩矩的義式料理，適合除了吃飯之外還想坐下來休息一下的人。
可以單點，也可以加價升等套餐，增加湯、麵包、甜點及飲料，滿足不同食量的人。"
 linru ,https://www.google.com/maps/contrib/106133713279972592742/reviews?hl=zh-TW,5,False,9,上菜速度很棒，料理口味適中，也沒有候位太久。唯一想提問的是：若水瓶內的番茄沒了的話，是否可以請服務生幫忙補充呢？
 Richard Lee ,https://www.google.com/maps/contrib/112566786224286562431/reviews?hl=zh-TW,4,True,137,義大利麵是還好，不算好吃，不過服務態度跟用餐氣氛沒話說，很適合聊天跟約會的地方。
 Yen-Po Chang ,https://www.google.com/maps/contrib/114293399310203365279/reviews?hl=zh-TW,4,True,358,素的義大利麵150以下，普通有肉的麵200-400不等。點了宮保雞丁義大利麵不含服務費$219，加$98升級套餐。麵本身意外的好吃，真的有用花生與辣椒乾，整體吃起來像是宮保雞丁+炒麵的味道，但麵又是義大利麵，原本以為沒花$38加大麵會很少，但份量依然令人滿意。套餐升級的部門，會有麵包，湯，甜點，飲料，內容品質普通，若只是想吃個午餐，那更推薦單點義大利麵加大，就很滿足了。
