user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Vicky Tsai ,https://www.google.com/maps/contrib/109961597496418961410/reviews?hl=zh-TW,5,True,52,超好吃的煙燻滷味，鴨肉當然是必點的，豬皮、甜不辣、米血糕、貢丸和豆乾都是必吃的聖品，鴨肉湯冬粉有加冬菜和薑絲湯頭很美味，滷肉飯肥而不膩很唰嘴，喜歡吃辣的朋友們可以試試店家自製的辣椒醬，與滷味十分搭配，值得一吃再吃的美味。👏👏👏
 Jet Wu ,https://www.google.com/maps/contrib/113022909048356095316/reviews?hl=zh-TW,4,True,"1,204","如果要內用滷味，先在外面點完滷味記住滷味號碼再入座，店員會依順序叫號，輪到要切你的滷味的時候店員會再問其他要內用的飯麵冬粉米粉湯類品項。
乾米粉淋上滷肉醬汁好吃，滷肉飯米飯粒粒分明也不錯，鴨肉湯酸菜味比其他湯重，下水湯是放了煙燻鴨腸、鴨胗等到湯裡，湯頭稍微有點煙燻味，好喝！
煙燻滷味幾乎都好吃，連平常吃起來不怎麼入味無趣的豆乾都好吃。"
 Ada Chiu ,https://www.google.com/maps/contrib/105562975616321807150/reviews?hl=zh-TW,5,True,602,"店家在五分埔的小巷內，店面不大，以小吃攤來說，環境算整理的蠻乾淨的，座位有限，蠻容易需要排隊。
先夾滷味，看滷味籃子的號碼，內用外帶都是聽籃子的號碼叫號。
滷味辣椒超級推，很辣很香很好吃！鴨肉冬粉也很讚～"
 yijiun ,https://www.google.com/maps/contrib/109293260128056617383/reviews?hl=zh-TW,5,True,301,"大排長龍的五分埔巷內滷味
非常香
推薦米血豬耳朵鴨爪豬皮
肉燥飯非常好吃給五顆星
很像台南口味應該要加點白胡椒

先夾滷味再點內用麵
價格實惠"
 PPing HSU ,https://www.google.com/maps/contrib/115342554716092690818/reviews?hl=zh-TW,5,True,59,煙燻滷味真的很厲害，我們家最喜歡煙燻豬腳，內用一定要夾，平價美味，店內小小的但很乾淨，菜單超大老花也看得到，就算沒空坐下來吃也可以外帶吃吃看，外帶回家可以微波一下，熱熱的更好吃，真的很推薦唷
 Shu Ying Zhu ,https://www.google.com/maps/contrib/100141298092669924664/reviews?hl=zh-TW,3,True,359,"初訪內用，切仔米粉的湯沒有什麼味道，喝起來是清水+一點油蔥，沒什麼鹹味，桌上只有黑醋胡椒粉，加了亦無鹹度，可能要點鴨肉米粉才會有味道。

滷味點脆腸豬血糕海帶豆干，其中只有脆腸煙燻香較重，其他煙燻味都淡淡微微的，豆干是較厚的那種，中間沒有味道，搭配的是偏鹹的醬油膏，無蔥末，附一小盤辣醬，切一些外帶回家自己加蒜蓉醬才比較夠味。

整體味道清淡不鹹，重口味的可能不適合。內用區不大，環境蠻整潔，提供免洗餐具，服務人員和善"
 蕭家嬅 ,https://www.google.com/maps/contrib/111657739750169095365/reviews?hl=zh-TW,5,True,39,"世界上最好吃的煙燻滷味

剛剛好油滋滋的滷肉飯
甘甜美味香辣的醬汁
香噴噴Q彈煙燻貢丸
乾淨滑嫩一口接著一口的肉皮
正餐下午茶點心宵夜都適合

好吃😋又有記憶點的滷味
強力推薦乾淨美味好好吃的店"
 Angela Chao ,https://www.google.com/maps/contrib/112120379602061956728/reviews?hl=zh-TW,5,True,54,最愛鴨肉米粉和滷味🍢好好吃😋位子不多💺是值得等待的好味道🍜滷味🍗麵攤🍲
 Jacko Huang ,https://www.google.com/maps/contrib/111167920255477002036/reviews?hl=zh-TW,5,True,412,在地煙燻滷味老店，煙燻味都有燻製入味，特別必點鴨腿、米血糕、豆皮，其餘品項依個人喜好都無雷，辣椒醬很辣酌量使用。
 li angel ,https://www.google.com/maps/contrib/106109733104362181795/reviews?hl=zh-TW,5,True,308,"位在五分埔商圈內的小吃店！
煙燻滷味小菜必夾！
另外鴨肉麵、米粉、冬粉也是必點美食！
整體好吃，很棒！"
 陳怡安 ,https://www.google.com/maps/contrib/109063152152781847618/reviews?hl=zh-TW,4,True,20,"滷味很好吃！
內用不用畫單！
先夾滷味並記下籃子手把上的號碼，交給工作人員後等待叫號，此時再喊滷味外的食物即可"
 Sharon Chen ,https://www.google.com/maps/contrib/110450924334669777386/reviews?hl=zh-TW,5,False,284,好吃有系統的點餐方式小吃店能利用號碼記取夾取滷味之後再點內用的餐點！很有效率
 Yvonne ,https://www.google.com/maps/contrib/106914638664451214193/reviews?hl=zh-TW,5,True,26,煙燻滷味真的很好吃（必點貢丸、肉皮），鴨肉麵、滷肉飯也是我的愛，來五分舖一定要來嚐嚐，五星好評推推～
 張琡羚 ,https://www.google.com/maps/contrib/110808095589243470118/reviews?hl=zh-TW,5,True,279,"各種滷味的煙燻香氣很棒！
外帶回家配酒也很好吃"
