user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Winnie Yang ,https://www.google.com/maps/contrib/106411705666365715768/reviews?hl=zh-TW,5,True,237,"疫情嚴峻期間
第一次吃這間選擇外帶
可以線上先訂餐超方便的
還有九折的優惠✅

包裝的器具很厲害
湯麵分開以外
蓋子還是從四個角度扣住
這樣也不怕湯汁會不小心溢出來

綜合牛肉河粉裡有牛肩肉跟牛腹部肉
湯頭也很夠味
但其中一種肉片口感比較硬
需要多咬幾口
下次會嘗試生牛肉河粉

咖喱雞肉河粉湯頭比較濃稠
味道很香濃
但是相對也比較容易膩口一點

鮮蝦豬肉生春捲
皮很Q整體吃起來很清爽
下次想嘗試炸春捲～

摩摩渣渣是比較偏酸的口味
料也很多👍
喜歡吃摩摩渣渣的可以點～"
 Eva Teng ,https://www.google.com/maps/contrib/103182004921450922899/reviews?hl=zh-TW,4,True,29,"6/24週五下班回家後躺在沙發上思索著晚餐
突然閃過常常路過五分埔附近的越式料理“阮小月”
等著V開完會,就慢慢步行過去
7點餐廳內滿滿用餐的客人,外頭還有一組人後位
大約7點多才入內!!

晚餐點了
咖哩雞佐法國麵包
青木瓜絲
峴港小炒肉
香茅烤牛肉米線
燕窩水(對我來說太甜)
越式啤酒
＄760(免一成服務費)

＊咖哩雞佐法國麵包
原本想像中是濃郁的咖哩雞醬汁搭配法國麵包食用
但比較像是咖哩雞湯配麵包
麵包不像法國麵包一樣有咬勁
比較像是一般的白麵包

＊越式青木瓜絲
可能當天的木瓜脆度不足,加上只加花生丁,九層塔簡單調味
相較之下比較喜歡泰式青木瓜絲

＊峴港小炒肉
放了三層肉,蔥段,豆乾片,洋蔥片及辣椒
味道很好,有點像是客家小炒!!不過偏油

＊香茅烤牛肉米線
是裡面最喜歡的一道
米線是Q彈的口感,不軟爛!!

總體:3.8/5"
 Wendy W (Wooglelocalguide) ,https://www.google.com/maps/contrib/101817097303403201691/reviews?hl=zh-TW,5,True,221,"好吃的越南料理，價格中等，不是小吃店的那種，不過店內乾淨明亮，如內用餐會覺得CP值不錯
酸辣河粉雖然湯頭顏色看起來淡淡的，但實際味道很夠，酸甜的比例很剛好，好喝
米線也非常清爽好吃，下面的醬搭起來味道很剛好，不會過鹹過淡
原本想吃生春捲可惜賣完了，炸春捲小小的很好入口，還有附生菜可以包著吃，個人非常喜歡這道～必點！
大薄片相較之下就沒有特別驚艷，可點可不點"
 Pierres Hsiao ,https://www.google.com/maps/contrib/103978936368814236498/reviews?hl=zh-TW,5,True,119,食物美味，價格合理。不收10%服務費，店員再如何冷淡我都覺得很讚，因為在越南旅行時餐館的女服務員就是這樣，很忠於原味。不能刷卡，但能以部分行動支付。
 Dean ,https://www.google.com/maps/contrib/108982821619748174937/reviews?hl=zh-TW,5,True,227,"之前經過看到門口滿滿排隊的顧客便找一天來試試味道
店內桌數不多乾淨明亮店員態度良好
點了咖喱雞法國麵包➕熟牛肉河粉➕蝦醬空心菜
咖喱湯頭濃郁，雞肉嫩，馬鈴薯燉的入口即化非常美味
牛肉河粉牛肉帶點筋吃起來口感非常特別，軟嫩好咬
本來想說只點蝦醬空心菜是否會口味太鹹，沒想到蝦味濃郁但吃起來不會重鹹，與以往吃的泰式料理不同
非常推薦給大家來嘗試"
 宗痛好酸淋 ,https://www.google.com/maps/contrib/112021364872114986909/reviews?hl=zh-TW,5,False,7,"逛完五分埔來用餐，店內氣氛好座位大不會很擁擠👍
烤肉飯份量夠，附上檸檬擠入飯解膩，不知不覺就吃光了
麻辣河粉，顏色看起來很辣，實際上溫和入口，不會很油膩，配料也很多
小菜炸春捲道地越南口味必點
炸雞翅有點像拿坡里的烤雞翅，但肉質軟嫩比拿坡里好吃"
 Tseng Kenzy (雷姆踩點筆記) ,https://www.google.com/maps/contrib/109044442398850932618/reviews?hl=zh-TW,5,True,237,"❤️加入Line@好友，可獲得小菜一份！❤️

🔼用餐項目：
🥇綜合牛肉河粉$170
🥈胡志明炸春捲$120
🥉蝦醬空心菜$120
🥉峴港小炒肉$160

🔼用餐日期時段：3/1020：00-20：40

今天突然超級想吃越式料理
於是就飄來家附近的阮小越了
雖然來的晚了，但還是客朋滿座唷
本來想吃“鮮蝦生菜春捲”
但是賣完了~所以改成“胡志明炸春捲”

🔸綜合牛肉河粉
綜合的意思就是牛肉生熟各半
生的是肉片，熟的偏油脂多
河粉是細的，跟一般外面的不一樣唷
麵體雖然細但滑Q帶勁
整碗料多富美，給的菜量也很多~
湯很清甜不重口，讓人停不下來
一口麵一片肉再配上一口湯
真的有上天堂的感覺
吃一口就榮登我的第一名了！❤️

🔸胡志明炸春捲
出乎意料的好吃👍
因為本身不太吃炸的
雖然是炸的但完全不膩
裡面的餡料鹹香
再搭配生菜、九層塔以及木瓜絲，超級開胃~

🔸蝦醬空心菜
吃越式必點的蝦醬系列~鹹度偏鹹
這組合必勝，就不多說啦！好吃！過！

🔸峴港小炒肉
第一次聽到的菜名，覺得新奇就點了
其實就是炒越式口味的客家小炒啦~
多了點酸味還有一些香料
蔥爆豆干拌炒三層肉薄片還有青椒

再訪滿意度：⭐⭐⭐⭐⭐"
 Eric Huang ,https://www.google.com/maps/contrib/109384768593810498369/reviews?hl=zh-TW,5,True,72,"整體環境、食物品質、櫃檯人員的態度都很棒，而且目前Google評論、加line都有活動，很滿足的一餐。
只不過這邊還是提醒一下上菜的服務人員某一位的態度有待加強，謝謝🙏🏻"
 Yi-Chun Lin ,https://www.google.com/maps/contrib/114558355423835559811/reviews?hl=zh-TW,4,True,215,一開門就到達，在窗邊的位置很不錯，可以看到對面的店家路上的行車！鍋很特別，咖喱是帶溫和的椰奶味！很特別的蝦餅（炸蝦紅薯）友人共度美好的午餐
 Cami Lin ,https://www.google.com/maps/contrib/111729698853378746476/reviews?hl=zh-TW,5,True,194,"Uber外送好幾次終於來店用餐了
本店菜單更多元竟然還有甜點🍮
雞腿飯真的有夠好吃百吃不膩
河粉也不錯好店推推
補一下吃到一半的照片
因為太好吃上菜直接開動🤣忘記拍照"
