user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Sing-Guan Chen (mimi) ,https://www.google.com/maps/contrib/108641773382903935473/reviews?hl=zh-TW,4,True,47,雞肉飯套餐60元，價格合理，口味家常是好吃的雞肉飯！還附一罐養樂多🥰
 Tsung-Chih Chen ,https://www.google.com/maps/contrib/118067556286802084320/reviews?hl=zh-TW,1,True,431,"本來想給三顆星
那個男的態度實在太差
桌子不擦菜單很大力搶過去端菜來也漏出湯汁
還不戴口罩在店裡面走來走去
根本是有病還做什麼餐飲"
 Amanda H Chow ,https://www.google.com/maps/contrib/104564935611853693792/reviews?hl=zh-TW,4,True,259,"雞肉飯超級香好好吃😋
藥膳排骨肉不柴還不錯
菠菜加酒炒好香
開到晚上9點
ㄧ邊看一下8點檔電視劇不錯"
 留竣程（Kurt） ,https://www.google.com/maps/contrib/115924926286528471747/reviews?hl=zh-TW,1,False,17,"1.經營者待客態度不佳
2.出餐錯誤
3.南港住36年第一次來買，果然評價低是有原因的。"
 LO WU ,https://www.google.com/maps/contrib/104000286085406830839/reviews?hl=zh-TW,3,True,257,價格不貴的家庭式小店，吃過蠻多次的，唯一覺得值得推薦的是雞魯飯，雞肉跟特別的魯肉絲搭配真的很下飯，也可選擇套餐模式，雖然配菜相對普通，但種類多可以補足上班族一天的營養，另外，紫菜蛋花蛋湯也不錯，便宜的價格但用料也不馬虎，用餐環境普通，餐具建議用免洗的，服務態度一般，但有種回家吃飯的感覺，其中，偶爾可以看到一隻貓咪走來走去，還蠻可愛的；整體而言，雖然比不上一般的餐廳，但卻是每個月底可以選擇的店。
 panda chan ,https://www.google.com/maps/contrib/107019855805697983208/reviews?hl=zh-TW,1,False,1,"我實在為我朋友不值...

來這家店的是貼錢買難受...
你只會換來一肚子氣而不是飽肚

為了長輩方便就到了附近的店家吃東西
從點餐開始態度就很差口氣一直很兇
確認了點餐結果東西來少了還推在我朋友身上說他自己不要
吃完用了衛生紙抹嘴也要被他們抱怨
還一直冷諷我朋友要滷肉飯價格買高級飯店服務

這不必要吧！
人家只想普普通通跟長輩吃個午飯也要這種態度
不要說沒對長輩包容，根本連基本的禮貌也沒有
真的不會有第二次光顧！"
 吳小秉 ,https://www.google.com/maps/contrib/103551839401855507269/reviews?hl=zh-TW,5,True,310,"雞肉便當60元
份量很夠
綜合湯很好喝
CP值很高
老闆娘很客氣"
 kau Ray ,https://www.google.com/maps/contrib/102936471960511486175/reviews?hl=zh-TW,1,False,10,男的煮飯不戴口罩，提醒還裝作沒聽到，阿姨還說有一定要戴口罩嗎？我錢給了，連吃都沒吃，阿姨也拿的很開心完全沒有道歉的意思，這種店真的不用開了，我會跟環保署檢舉你們
 Dooly Liu ,https://www.google.com/maps/contrib/115900812466903845093/reviews?hl=zh-TW,1,False,42,給一顆都嫌多，菜色很一般，中午時段沒說全滿外面也沒人排隊等待，剛好跟友人兩人只剩一桌4人的，點了餐剛好外務電話來邊講邊吃，動作可能稍微慢了點，吃一吃被老闆娘趕說要不要快一點後面有人等（外面明明沒有人）然後就叫我們先買單不知道在急什麼？才坐下來20分鐘而已菜動了一半，吃個飯還要受氣。
 Jie Huang ,https://www.google.com/maps/contrib/103325279896683276797/reviews?hl=zh-TW,3,True,48,"雞肉飯還可以,但是菜冷冷的不是很入口。綜合湯還不錯爽口。"
 邱惠貞 ,https://www.google.com/maps/contrib/100956081396270541027/reviews?hl=zh-TW,1,False,21,"要內用，男店員突然菜單丟超大力在桌上
超級莫名奇妙，做生意真的不用這樣對待客人！連說聲抱歉也沒有
食物也普通雞滷飯軟爛
是可以連去都不用去的店"
 阿邊 ,https://www.google.com/maps/contrib/118052426995452681567/reviews?hl=zh-TW,1,False,1,沒看過素質這麼差的一家人
 Claire Yen ,https://www.google.com/maps/contrib/105411737701214798039/reviews?hl=zh-TW,1,False,7,"有點嚇到想說下班找家雞肉飯吃吃，雖然附很多青菜感覺超值，但吃進去嚇一跳
飯還是豆乾有萬精油味道（？！難道是手沒洗乾淨）高麗菜有個怪味，其中一個葉菜是冷的，筍絲藥水味很重，雞肉飯雞肉還可以但飯都軟掉了，吃完心情整個不太好….."
 林嘉慶 ,https://www.google.com/maps/contrib/114970460139793380355/reviews?hl=zh-TW,1,False,40,"今天來用餐
東西本來就知道沒有特別好吃
但因為距離公司比較近就來了
藥膳的東西都沒有了也沒有提前說
用餐坐下來沒有十幾分鐘
有來新的客人

老闆就來跟我們說
先生可以用餐快一點嗎？
那奇怪我們吃飯都不用時間唷

我知道想拼翻桌率
但真的不用這樣趕人家吃飯
更何況你東西不是好吃到一定要選你
不再光顧
世界上有更好吃的不差你一個"
 宋紹瑜 ,https://www.google.com/maps/contrib/103244380047220867136/reviews?hl=zh-TW,2,True,24,"店裡有貓
主要一男兩女在經營。

優點：
飯菜便宜台北這種價格很少見，
CP值偏高！

缺點：
態度不佳，
菜單上面雖然沒有賣一般白飯，
但我就是想詢問是否有如果有的話我能做其它的搭配。

卻沒想到提出疑問給兩女中較年長者，
得到回應是“白飯很貴不要問”？！

三小0.0？"
 Janie Chen ,https://www.google.com/maps/contrib/113780961778551127730/reviews?hl=zh-TW,1,True,26,阿姨老闆娘態度極差，莫名其妙凶人，來買午餐結果一肚子氣，東西也不好吃再也不會來了
 Robin Lin (Robin Lin) ,https://www.google.com/maps/contrib/104690538295949580015/reviews?hl=zh-TW,3,True,124,價格平實，吃不太飽偏油膩，而且老闆娘很介意客人用了衛生紙這件事，本身家裡也是做服務業的，幫客人清理用過的衛生紙是基本中的基本，如果不喜歡也沒有必要造成客人不悅，不是每個客人都是疾病帶原者，沒必要這個態度。
 YEN YU CHEN ,https://www.google.com/maps/contrib/111543857584892271820/reviews?hl=zh-TW,2,False,11,服務態度普通但餐點感覺加很多味精回家一直喝水
 Chen Kai Tsai ,https://www.google.com/maps/contrib/102055938477116364688/reviews?hl=zh-TW,1,True,109,"幾年前吃過負氣之後發誓再也不踏進去！

點雞肉飯便當，配菜是自己選，跟老闆說兩格都要滷白菜，居然被罵說不可以這樣，如果喜歡吃的話就自己單點，這樣別的客人要吃什麼？那這樣我點便當幹嘛？

誠如其他人所說的，老闆也說過用過的衛生紙自己丟你用過的誰敢碰很噁心，但桌子這麼黏不整理一下怎麼用餐啊？

倘若東西真的很好吃這些就算了可以忍受，銅板生意最重要的是食物本身的滋味，但店內販售之雞肉飯根本不是嘉義火雞肉飯，這是最讓人生氣的，這叫做雞絲飯好嗎？門口還掛自稱正宗的布條呢，令人髮指，非常不解正宗的依據是來自哪？平行時空？還是老闆的名字叫正宗嗎？？下次公投一定要推嘉義火雞肉飯正名運動，個人對嘉義火雞肉飯的堅持是很明確的，可以參考我其他評論有做進一步的闡述，今天如果你點雞肉飯結果來的是滷肉飯，老闆對你說反正都是飯有差嗎，就是這種被騙的感覺！不可不慎。

如果真心想吃雞肉飯，推薦附近的金國，不想走太遠的對面圓環頂也可以，希望大家都能有個良好的用餐體驗在別的地方。

•註解
＊美食跟愛情是我的絕對領域（AbsoluteTerrorField，簡稱A.TField，A.T立場），也是我心中最柔軟的那一塊，因為愛情常常踩雷，所以吃東西更要盡力避免，減少發生遺憾的事情，以上皆為本人不客觀但有參考價值的用餐體驗。

＊評分標準說明
5顆星：天菜等級，值得前往，就算不能交往但來一發也死而無憾。
4顆星：不賴，順路可以吃，如果開在附近能天天吃真的是一大享受。
3顆星：普通水準，不需專程前往，有其他更好的選擇會跳過的程度，沒什麼驚喜，不會回訪，但如果路上店都關了進去吃不會生氣。
2顆星：通常是只有店家服務態度好，不忍心打1顆星。
1顆星：人神共憤，建議閃避，被評為一顆星的店家，在下方我會提供更優質的店家讓您前往。"
 Tina ,https://www.google.com/maps/contrib/117372351054482122175/reviews?hl=zh-TW,1,True,42,一顆都不想給，一進去店內，有股尿騷味，不知道是不是我聞錯，因為飯還沒來，先用電腦辦事情，老闆娘竟然說可以不要用電腦嗎？現在尖峰時期，明明店內位置還超多，當時店內只有三個人，還說我們這邊是小店不是麥當勞，超傻眼，東西也很普通
 小紅帽 ,https://www.google.com/maps/contrib/101803721387124865869/reviews?hl=zh-TW,1,True,18,"●和前面的人一樣一顆星都不值得!
本來之前印象還可以的……但今天發生了一件感覺很差的事!
今天點了雞肉飯套餐和一碗紫菜蛋花湯!湯喝過半碗時發現裡面有一直很大的蚊子的屍體……結帳時拿去跟老闆說妳們的湯裡有這個……老闆竟回我說：“沒辦法!蚊子就是飛來飛去的!80元!“說完就裝沒事!連一句“不好意思“或“抱歉“都沒有!蚊子會飛我會不知道嗎！?但今天妳們是做餐飲的!見到有這種狀況是該用這樣的態度去回客人的嗎！?就算不是高級餐飲也應該有做人基本的禮貌和態度吧!"
 Sten ,https://www.google.com/maps/contrib/110512627438671533461/reviews?hl=zh-TW,1,True,55,建議看好評論，做好心裡準備再前往
 林點點 ,https://www.google.com/maps/contrib/109508040708677734205/reviews?hl=zh-TW,5,True,21,"飄小雨走在街頭
無意到這家小店
本來沒抱任何期待
沒想到牛肉蓋飯還送養樂多哈哈
雞肉飯也好吃
藥膳湯好喝，真的很中藥！"
 Jen Shr ,https://www.google.com/maps/contrib/114911788000273708515/reviews?hl=zh-TW,2,True,515,"我點了藥膳麵線，吃的時候只覺得有酒味，沒感覺到什麼中藥的香氣
桌子也髒髒粘粘的
同行的人點雞肉飯套餐，他滿喜歡的。不過，我覺得很普通就是了。
基本上，如果只想隨便填一下肚子，應該還可以"
 Jason Chien ,https://www.google.com/maps/contrib/113930596000524067570/reviews?hl=zh-TW,4,True,207,滷肉飯套餐只要60相當經濟實惠
 曾小軒 ,https://www.google.com/maps/contrib/109838612322378596010/reviews?hl=zh-TW,1,False,5,"有半顆心的嗎！點一碗粉腸湯，我在懷疑我的牙齒，是我的錯覺？根本就是在吃橡皮筋，太誇張了！
桌子黏黏的，筷子也是黏黏的！衛生紙事件也和大家一樣，傻眼！"
 William Tsai ,https://www.google.com/maps/contrib/102442262169094135819/reviews?hl=zh-TW,1,False,8,"連一顆星也不想給。紅燒肉不像紅燒肉，藥膳麵線沒味道。如果你自己桌子環境乾淨不用幫你擦桌子，我們帶著小孩也不會到最後好像用了一""坨""衛生紙，我還幫你們一起集中讓你好清理。竟然跟我說個人衛生喔，要我們把衛生紙自己拿去丟旁邊垃圾桶丟。離開時，如果是我直接聽到妳們說""那衛生紙看了好噁心""，我會噴到你店開不下去。可以檢舉的太多了。離譜。"
