user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Chih Ling Chang ,https://www.google.com/maps/contrib/115288532524705389297/reviews?hl=zh-TW,,True,89,"💛服務良好，人員友善
說幾個我喜歡的對應：疫情關係會定時消毒，當時進電梯剛好遇到清潔人員進來要消毒，也有先詢問是否方便等待消毒，而不是直接衝進來。
餐廳整理速度很快，吃到飽自取桌面餐盤會比較多，都收藏的很即時，我覺得很厲害👍

🧡晚餐菜色豐富，海鮮新鮮
特別喜歡生魚片的部分，很新鮮而且給的很大方，切片有厚度！
如果怕吃不完也可以跟服務人員要求份量少一點，而且我很喜歡廚師會主動詢問是否需要熱食餐點。

❤️有快速退房信箱
特別提這個，是因為之前入住台北某五星飯店，結果退房還需要排隊，而且只是交卡給櫃檯，完全不知道在等什麼……

💙房間部分，相比同等級價位飯店，會覺得比較小。
但是浴室很舒適！"
 青萍 ,https://www.google.com/maps/contrib/110897290346567859623/reviews?hl=zh-TW,,False,3,"今日(111/11/5午)去吃喜宴，先說結論，服務很糟！建議新人再三考慮...
食物：★★★★☆
服務：☆☆☆☆☆

1.新人小禮物，在賓客尚未全數入座時，服務生就將空位的小禮物收走了！
有些賓客可能是遲到，但也有人是婚宴小幫手耶，結果小幫手的禮物不見了？！

2.坑人的分餐制度，真實經驗分享，：
(1)可能因為疫情關係，提供看似高檔又貼心的分餐服務，服務生拿出一盤菜，走到各桌讓大家見證是完整的餐點，再到一旁分餐。
問題在於，2~3桌都拿同一盤菜展示，實際上大家分到的份量超小，明顯一道菜多桌供應，例如雞湯正常應該一桌一鍋，結果實際盛裝分餐一人大約半碗湯，肉量約三分之一雞腿肉(不含腿排的棒棒腿)，一鍋湯分給約2~3桌都夠。

(2)一桌設定10人，親友因故換桌(A桌7大2小、B桌8大→A桌9大2小、B桌6大)，A桌有11位，服務生原通知所有餐點皆10份，結果有2道菜卻只上9位大人的餐點，第10份被忽略了。而B桌的每道餐點飯店服務生都只給6份。

(3)因換桌緣故，A桌有11位(9大2小)，到最後甜點(冰淇淋小朋友可以自己吃1份)上菜時請服務生將原B桌的2份冰淇淋直接給A桌。
卻有一位劉姓女員工衝過來說，一桌就只有10份，飯店不會多給，要我們自己去B桌拿。
但B桌的每道餐點飯店服務生都只給6份，要我們去哪拿？？！

3.服務生一直收走尚未食用完畢的餐點：
某次因新人上台時放下筷子舉起酒杯，下一秒服務生就將盤子收走了，上面還有食物，也沒詢問就收走了！！
(當時服務生就站在一旁看著我用餐，一看我放下筷子就收盤)
之後發現其他人也有未完食，盤就不見的狀況。

新人宴客都是一桌10人份訂桌付款的，結果飯店卻在餐點上坑新人和來賓，這次經驗實在對喜來登沒了任何期待和好感。回家前還去買其他食物吃，難得遇到餐點是好吃的婚宴結果吃了個空虛！"
 布萊恩 ,https://www.google.com/maps/contrib/109034106111866038517/reviews?hl=zh-TW,,True,216,"服務人員的親切、用心，絕對大於五星的價值！
特別需要感謝8/24晚間協助辦理入住的櫃檯服務小姐（非常抱歉沒注意到您的名字）用心的幫我們看可加價升等的房型！

本來官網訂房時都沒有一大床的親子房，卻可以在現場升等，棒透了！

入住的體驗非常的棒！從大門接待開始，每位服務人員的用心都是有溫度，可以感受得到！

唯二美中不足的點，希望未來入住時有機會可以改善

1.衛浴空間，中間的地板有點過於光滑，一旦有水就很容易滑倒，大人小孩均是⋯

本以為是小孩較不可控將浴缸的水弄出來，後來發現大人出來淋浴間所帶出來的水也非常容易滑倒。

最慘的是，那中間的空間竟然沒有排水孔⋯
只好用擦完身體的浴巾去吸收地板的水（希望房務整理的時候不要白眼🥲）

2.頂樓游泳池部分，地板材質經過太陽曬後（約莫10:00前往），真的太燙太燙了，所有旅客都哇哇叫，不知道是否為頂樓因素，因為其他飯店的戶外泳池，就算白天也沒遇過這樣的問題。

撇除以上，整體入住體驗非常的棒！
不得不說，床、非常好睡～睡的比在家更舒適！"
 DORIS ,https://www.google.com/maps/contrib/100449761081276648166/reviews?hl=zh-TW,,True,49,"和家人用國旅補助1300元方案，入住2間2大1小手拉手+豪華套房，1間將近4000元。
checkin花了一個多小時，可能方案太多，感覺櫃台人員動作不是很俐落...
房間內備有礦泉水，冰箱內有兩小罐飲料，空間算蠻大的，有準備消毒鍋，小孩洗澡的小浴盆，不過卻忘了準備小孩備品，打給客服才補送。
最喜歡的是浴室，熱水很熱，水量很足夠。
手拉手樂園入園大人小孩都必須穿著襪子(官網有寫)，建議訂房時能提醒告知一下，忘了的話現場有販售一雙100元，掛房帳，退房時直接從信用卡扣。
遊戲室蠻小巧的，是把4個房間各自改成娃娃廚房區、球池滑梯區、小車積木區、科技電玩區，最特別的是有小朋友的喜來登小廚師圍裙，很可愛!
三溫暖入內必須登記，告知名字後卻說查不到，原來不是要登記本人的名字，而是必須告知訂房者的名字...............內部一個熱池，二個冷池，有幾間三溫暖室，外面備有飲水機。
早餐分三個時段，06:30~07:45，08:00~09:00，09~~~(忘了)
我們選第二個時段，7:50一樓隊伍就排蠻長了，後來8點陸續開放入場，入座後繼續排隊取餐...........
加上帶孩子，1個小時真的吃得很趕
總覺得五星級飯店，整體服務還有待加強。"
 Dennis Lee ,https://www.google.com/maps/contrib/114195421813824590788/reviews?hl=zh-TW,,True,294,"這次遇到朋友出讓的優惠價，週六入住又含早、酒廊，喜來登的優惠力道果然讓人潮絡繹不絕。

兩年前入住喜來登時，覺得大廳充滿霉味，許多細節也有不周全之處，這次回來正好檢視有沒有改進。

/房型/
行政豪華房1612
房間不算大，但也給了浴缸，於是浴缸跟乾濕分離各有一組蓮蓬頭，趕時間的話，兩個人可以同時洗澡，這點蠻適合急性子的我。

床是偏軟的類型，軟中帶Q蠻適合我睡的，但如果可以像高雄洲際那樣軟硬適中，可能會更泛用一些。(我知道很多人不喜歡睡軟床)

這次客房的清潔程度遠勝兩年前入住時的感受，有感覺的喜來登在住房率極高的狀態下，依然努力維持舒適度的決心。

/餐食/
<早餐>
十二廚的早餐一直就是這樣，可能也不需我置喙了，大家都理解。

<酒廊HappyHour>
值得稱許的是，酒廊的餐點比隔天早餐好吃不少，當天主食是烤雞，雞肉不柴、紅酒醬汁調味適中，選的氣泡酒也很好喝，可惜我忘了拍酒標，超級扼腕。有善心大大有拍到，可以分享給我嗎？

/飯店設施/
<健身房、泳池、三溫暖>
喜來登的泳池是小了點，不過三溫暖有一個很大的優勢，它在樓上。相較於晶華只能關在地下室泡澡，這裡泡澡時還能遠眺遠方陽明山，令人心曠神怡。

健身房17、18樓都有設施，但我沒有認真使用，我會推薦到18樓使用跑步機，視野比較好。

/心得/

兩年前入住喜來登的時候，一進入大廳就聞到一股腐朽的霉味，加上這些年來喜來登的知名餐廳一家一家地劣化，美味不復從前，我曾經把這裡列為不再往來的飯店。

這次意外因朋友轉讓優惠，加上單方面失戀心情不佳，想要好好散心，沒想到意外發現他們現在CP值高、環境也有改善的進步。對於如此高住房率，還能維持一定品質，價格也不浮誇的飯店，還是要給予至高的敬意。

但聽說大家排隊辦理入住排到天荒地老，我剛好沒遇到，這點就沒辦法多做評論，只能請大家要來住的話，要有心理準備了。

#台北喜來登
#喜來登
#sheraton"
 chunyu pan ,https://www.google.com/maps/contrib/100388127239534678365/reviews?hl=zh-TW,,True,13,"這次入住是因為家中有確診者所以不方便住家裡，剛好看到喜來登有推出入住七天的方案，這個方案相當划算還有送防疫小禮包（如圖）及寒沐酒店、寒居酒店住宿券各一張。
整體服務一如繼往的優異，入住了七天每天都有更換備品（瓶裝水、洗漱用品、迎賓餅乾飲料）及整理房間，是在國內可以住得相當安心的星級飯店。
唯獨連續七天的早餐都一成不變，吃得很膩，且早餐沒有什麼特色，詢問過飯店後得知三週才會更換一次菜單，我想如果連續入住兩天也不會想吃到一模一樣的早餐，至少炒青菜或是湯品可以做一些微調，我認為這樣會讓客人吃得更開心。
飯店設施部分，健身房打滿三劑疫苗方可使用，設備完善豐富多元，一點都不像一般飯店的健身房，還有更換的毛巾，泳池在頂樓是戶外開放式，雖然不大但也足夠享受，可以在櫃檯領取浴巾。三溫暖是男女分開，相當舒適整潔，櫃檯人員服務態度良好。
雖然早餐部分令人失望，但還是給五顆星因為其他表現都相當優異而且喜來登一直以來都是我的心頭愛！相當推薦入住。"
 Bernie Huang ,https://www.google.com/maps/contrib/102309426600806004577/reviews?hl=zh-TW,,True,251,"飯店於1981年開業，目前是萬豪國際旗下的連鎖飯店，前陣子Klook特價一晚含隔日12廚早餐免3000(假日不加價)，入住當天應該是飯店房間數太多又同時太多人要辦理入住，C/I要先抽號碼牌(當然常客計畫有優先權)。
這次入住的房型是舒適客房，大小約9.5坪，官網寫的「特色體驗睡眠之床」的大小有175x210公分，還蠻好躺的，可能是早期的格局續裝修的關係以致插座分配沒有很好，本次房間的床頭有一側就沒有插頭或USB，想在房間休息看著免費的串流電影(當時有駭客任務：復活、猛毒2等...)，但這個設備播放動作場面的片段卡到不行看不下去，系統感覺要更新了。
喜來登會館都在東側17樓，東側的客房是繞圈的，電梯還是透明的，應該是早期設計但很有豪華感，東側一樓就是12廚的用餐場地，會館目前男女三溫暖、健身房、戶外游泳池都是有開放。
隔天12廚早餐有三個梯次，一個是06:30、08:00、09:10各一小時用餐，星期六、日、一僅開放房客用餐，早餐有各種中式、西式餐點可選，雖不及中晚餐選項多但每個吃一點還是超級飽。
隔天退房也因為人太多，可用快速退房，此次整體體驗還不錯！"
 Gordon Lu ,https://www.google.com/maps/contrib/111175998738748802147/reviews?hl=zh-TW,,True,137,"台北喜來登大飯店位於捷運善導寺站二號出口處，交通很便利，是台北老字號的飯店。暑假再加上疫情趨緩的報復性旅遊，飯店爆滿以至於辦理checkin時等了一個小時。

雖然有點歷史，但台北喜來登維持得還不錯，雙床房空間寬敞，乾淨舒適。服務人員態度極佳，從停車、櫃檯、餐廳到休閒設施，都能盡心協助住客。

頂樓有露天泳池，入住後先來游幾趟，舒展筋骨。晚上逛累了，回飯店還可以到三溫暖放鬆身心，喜來登的三溫暖包含熱水池、冷水池、SPA池、烤箱和蒸氣室。

飯店的電梯內側是圓弧形的透明玻璃，可以俯瞰十二廚餐廳。早餐在十二廚用餐，餐點種類多，很豐盛。

整體而言，台北喜來登提供讓人滿意的住宿，特別喜歡十二廚和頂樓露天泳池，如果辦理checkin的流程能改善，減少等待時間，會更好。"
 Peggy Wu ,https://www.google.com/maps/contrib/113148186905988083658/reviews?hl=zh-TW,,True,36,"「喜歡當壽星」台北喜來登生日住宿專案，平日入住豪華客房一大床換兩小床，服務很優在水準上，五星等級實至名歸，房間舒適乾淨，備品齊全方便，小孩的也有附很貼心，房內壽星佈置精緻簡單，加購壽星龍蝦牛排大餐(海陸雙人外帶分享餐)，餐點意外的好吃讓人很驚豔，甜點更是一絕不得不誇，此次入住高樓層還有台北市夜景可以欣賞，整體住房品質很好，看不出是營業40年以上的飯店，想必花了很多的心思在維持。
透明圓柱電梯豪華感十足，上下樓的速度也很快，也算是一種視覺附加享受，電梯下方就是十二廚餐廳，翌日早餐就在十二廚享用，餐點豐富選擇算多，想吃什麼都有，小孩吃的很飽很開心，吃完就回房看TV了...，地下室停車需注意高度，很多車位尾門都不能開，下次有機會還會再入住，全家滿意。"
 蕭雅竹 ,https://www.google.com/maps/contrib/112587071402881213630/reviews?hl=zh-TW,,False,4,"「請有明智的人千萬要慎選」

(訂房優惠是一泊二食的方案)

從checkin開始就很不開心☹️
下午3點開放入住，我6點才到就已經等到最後7點半領餐的時間了

第一次入住最令我傻眼的是
窗簾很透所以趕快往外看
結果一覽無遺看到所有人在幹嘛
要不是我有往外看根本不知道自己的隱私已被看光光！！！

隔天吃早餐比較晚到，櫃檯沒人接待，還要我們進去隨便找一個服務生詢問
接待來後給了取餐券竟然說這不是我們餐廳的？？？？我滿臉問號？？？還說是別的餐廳？？？
我說：你確定？？他才說喔喔抱歉是X小姐嗎

因為我們取餐時間比較晚(剩半小時可以用)
(但也是因為前一天checkin等很久，覺得取餐也要等，乾脆不要那麼早去)
結果服務生用一種欸剩半小時你們確定還要吃的態度趕我們！！！

退房的時更是扯，雖然速度比較快，但因為我是付現有押金在，故等櫃台服務，結果結帳時跟我說這次消費金額與我當初訂購金額不同！
我說這跟我當初訂的金額差很多耶
接待人員說因為你剛剛有去用餐
我說我訂一泊二食耶況且我在訂房時是直接打電話與您們確認金額的

結果才說喔抱歉

哇噻那如果我當初是用信用卡刷不就白白給你當潘仔刷

傻眼無敵！！！"
