user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Chien Chien C. ,https://www.google.com/maps/contrib/106728199493917496752/reviews?hl=zh-TW,5,True,157,"#隨便餐真是太～隨便了🥰五顆星讚讚👍
老闆娘非常迅速的從各個食物盤挑出項目，滿滿的塞進便當盒，深怕顧客沒吃飽似的，真的揪甘心！🥹🥹🥹

今日拿到1.薯餅1整塊.2.炒麵一些.3.熱狗1整條.4.蔥抓餅2小塊.5.蛋餅2小塊.6.蘿蔔糕2小塊.7.雞塊1塊.8.炸薯塊1塊.9.法式吐司2小片.10.煎餃1個.&11.薯條1根（估計是不小心跟進盒子的🤣）實在太豐盛了⋯震驚！！！😍😍

這些食物堆在一起，真的滿足早餐人的所有夢想！說真的食物也有水平，炒麵很好吃，居然是炒維力炸醬麵醬，不是常見的黑胡椒醬，好吃好吃！

這樣子$60含飲料，一次解決兩餐，實在太划算了。臺北人的福音。"
 Subaru Fan ,https://www.google.com/maps/contrib/114783616865536757208/reviews?hl=zh-TW,5,True,27,住在城中的早午餐好去處，只要50-70元就可以一餐吃超飽，不知道要吃什麼的時候就點隨意，內容隨機變換，不用擔心吃膩，而且份量很足夠；還能找到15元的三明治，內容一樣給的超豪邁；整體最推五號餐(蔥抓餅+火腿+起司)；離開台北後，每次回台北只要來得及還是會特地跑回來吃！
 Allen Chien ,https://www.google.com/maps/contrib/108256479781760994112/reviews?hl=zh-TW,4,True,"1,881","位於成功高中附近的早餐店，物美價廉為主打訴求，生意非常好，主要提供多種套餐組合，讓學生族群可以快速點餐，並且飽足一頓。
在台北可以用優惠的價格，享受豐盛的早餐，真的是佛心來著。
套餐內容都可以看當下想吃什麼再決定，法式吐司和薯泥真的很不錯，中式的蘿蔔糕、煎餃也好吃，食量較大的可以點鐵板麵組合，吃飽飽又不傷荷包。"
 beritaloveee ,https://www.google.com/maps/contrib/117085296313301350826/reviews?hl=zh-TW,3,True,227,"店員的態度非常好很親切
出餐速度非常快
但品質非常普通份量其實也沒有很多
稍微廉價一點點雞塊也是先煮好
點餐的時候再放到煎盤上加熱
但我這個沒有很熱⋯"
 BaBy JULIA ,https://www.google.com/maps/contrib/116625912668410413356/reviews?hl=zh-TW,4,True,551,"每次來柯P產檢完
就會到附近早餐店品嚐一番。

這次來到學生愛去的青島早餐
嚐嚐推薦的薯餅塔。

成品就是兩片薯餅中間夾起士，
外層一圈蛋的產物。

感覺店家薯餅塔是另外自己做的
比較沒有市售現成薯餅那麼鹹

店家薯餅不會煎到非常脆
還可以咬到尻尻馬鈴薯塊的口感及香味。
（如果對口感有要求，應該是可以請店家再煎焦脆一點）

感受到滿滿澱粉的罪惡
番茄醬真的一點點點提味就好不然太鹹。

總結有體驗過就好，是好吃
但不到想回購的程度。"
 周羚 ,https://www.google.com/maps/contrib/105257720872365449114/reviews?hl=zh-TW,4,True,93,CP值滿高的早餐店，份量很足夠，價錢又划算，只是座位比較少，要坐下來吃碰運氣，套餐選擇很多樣，三明治15元去哪裡找，在台北還能遇到這樣的早餐店真的太難了！以這樣的價位來說，味道還可以
 New Chen ,https://www.google.com/maps/contrib/114258198259892572351/reviews?hl=zh-TW,4,True,436,"一排的早餐店
讓人想起大學睡到自然醒
把早餐當中餐吃的日子

15元的三明治真的物超所值！！
法國吐司是切片的
50元的套餐都有附大杯飲料，狂！
奶茶是我要到味道，讚！

雖然這種為了競爭
分別比CP值的狀態
在經濟學的角度不是很健康
但我欣然接受，可以der~~~

下次來吃傳說中的隨意餐

-二訪-
結果來了卻吃1號餐45元"
 Chen Angel ,https://www.google.com/maps/contrib/116790698931247083277/reviews?hl=zh-TW,3,True,482,"🌺隨意餐配奶茶（$60）
內容物很豐盛：整根熱狗，大薯餅，蘿蔔糕約3塊，蛋餅，法式吐司約三塊，火腿一片，綠色抓餅一塊，雞塊一塊，還有一小塊雞肉炸的（右下角黑黑的那一小塊）。
蘿蔔糕有一點脆脆的，薯餅像餅乾一樣脆，當然很油，但很大塊，一次吃到多種口味，今天第一次來竟然找到不到，原來在轉角裡面，停車場的旁邊，對面是時代寓所的厲害星巴克，本來打算內用但覺得還是算了...坐在路邊吃😂奶茶蠻好喝到，有一點甜但已經比其他早餐店不甜很多了，容量蠻大杯的。
出餐速度快！禮拜天早上約8點去沒等到。其他餐點先做就要等了"
 于小魚 ,https://www.google.com/maps/contrib/103030014835412997513/reviews?hl=zh-TW,4,True,22,"CP值蠻高的早餐店
套餐都很划算

A餐內容有鐵板麵+蛋+薯餅還有一杯飲料
佛心價才55👍

朋友點的隨意餐
什麼都來一點也很不錯也有一杯飲料
60元搞定👍"
 古韻昕 ,https://www.google.com/maps/contrib/106461231013449498673/reviews?hl=zh-TW,4,False,1,出餐速度快👍早餐店的人手都很客氣都很好👍重點是服務態度真的很棒👍雞塊有吃到很乾放冷的就沒吃了~其他都還不錯
 林梵 ,https://www.google.com/maps/contrib/110396554755496026549/reviews?hl=zh-TW,4,True,146,"Cp值超高的早餐店
價格便宜
食物不差
店員態度很好
有次點雞塊
少了一個店員還幫我們補上
重點那時候我們還第一次點"
 Pinying Chen ,https://www.google.com/maps/contrib/115104079155536148034/reviews?hl=zh-TW,4,True,225,"三明治15元起，各式套餐40元起。多年維持價格，品質也未見下降太多。難得平價又大眾口味早餐。

非常誇張的隨意餐，內容由掌廚決定，外加一杯500cc左右的飲料，總共60元。"
 周俊宇 ,https://www.google.com/maps/contrib/113104569797219252449/reviews?hl=zh-TW,5,False,15,"CP值超高，隨意餐含奶茶才60元
真是太隨意了，我也隨意打個五星吧！"
 J me ,https://www.google.com/maps/contrib/104251081237334031483/reviews?hl=zh-TW,5,True,334,走著走著才選擇這家早餐店坐下來吃午餐，生意興隆源源不絕的客人，最讓我印象深刻的是店裡的老闆娘們對於客人都非常的有禮貌，對待學生們也很客氣，很難得可以有這樣的早餐店，而且價格非常的合理，來這裡吃東西可以感受到滿滿的人情味，吃完了心情都很不錯呢！
 Jolene Chuang ,https://www.google.com/maps/contrib/115138296935575227614/reviews?hl=zh-TW,3,False,67,"店員應對：平常中午去都還不錯，但大概今天是禮拜日早，旁邊店家都沒開，店員小姐態度變有點不耐。
餐點：今天點了2號餐。圖中吃掉了一個雞塊，這些+一杯紅茶50元。薯餅是冷的，小熱狗被我咬一半的那條焦掉了，吃完有點空虛。"
 Shyan ,https://www.google.com/maps/contrib/109446763769014430688/reviews?hl=zh-TW,5,True,29,"點了鐵板麵套餐(鐵板麵、蛋、薯餅、大杯飲料)
竟然才$55！超級佛心價格的早餐店
味道也不錯吃，有符合那個CP值

店員服務態度也很親切～生意也很好～"
 an L ,https://www.google.com/maps/contrib/115508279353294265988/reviews?hl=zh-TW,5,False,532,"服務效率超優
多元化套餐組合
價格超親民超推薦"
 八毛 ,https://www.google.com/maps/contrib/116484336336935533603/reviews?hl=zh-TW,1,False,11,"冰奶茶跟溫奶茶溫度差不多，其實都是常溫。
蛋餅軟糊糊的口感不好，味道也很不好。
麵難吃，已經難吃到不知道怎麼形容……

我貪小便宜了，看評價高，菜單看起來又是在附近算相當便宜，因此特地騎車來買，結果太太太太太失望了！

如果像我一樣是想省錢吃便宜的話，
建議便利商店買泡麵更好，至少不會這麼難吃。

以後我會提醒自己一分錢一分貨，便宜通常都是有原因的，google評價真的常常不能信。"
 Cecile Chen ,https://www.google.com/maps/contrib/115803054351790169142/reviews?hl=zh-TW,5,False,3,第一次吃～真的很好吃！9號餐是鮪魚炒蛋+蘿蔔糕+煎餃+薯餅，鮪魚炒蛋配蘿蔔糕真的很好吃！薯餅屬於比較紮實的口感～雖然看起來份量很多但其實蘿蔔糕跟煎餃應該都是各半份合在一起所以不會覺得太多！是剛剛好的飽！
 yi ching Chen ,https://www.google.com/maps/contrib/109854544738140082175/reviews?hl=zh-TW,4,True,45,餐點尚可，老闆很親切服務態度很好！
 Mike Mike ,https://www.google.com/maps/contrib/105122284638735993855/reviews?hl=zh-TW,1,False,8,仔細看看內容，那個火腿，熱狗，和蛋餅皮。還有塗在麵包的美乃滋，真是棒！如果你CP高是說重量那我沒意見啦。對了，建議看好好觀察一下店員收完餐盤那雙手，下一步做什麼呢？真是超棒!
 林楓宜 ,https://www.google.com/maps/contrib/111582174919442842355/reviews?hl=zh-TW,5,False,35,cp值超級高的早餐店！隨意餐是熱狗+薯餅+一點法式吐司(約半片)+雞塊+薯條(一點點)+蔥抓餅(約1/4片)+火腿+雞肉排(2小條)+大冰奶，相當不健康卻是吃起來非常幸福的餐～～～～
 陳ㄚ德 ,https://www.google.com/maps/contrib/117649445738589432282/reviews?hl=zh-TW,4,True,251,"201809價格合宜，早餐都是用套餐，除了炒泡麵沒配飲料。出餐速度一流，原因就是都事先做好，等你來！至於味道就一般般。比較適合不願意等時間的朋友！
2022/4/6C特餐75元雞腿排-柴柴地！麵條大小不一，混到別種調味包的麵。"
 胡智傑 ,https://www.google.com/maps/contrib/105719199201262180159/reviews?hl=zh-TW,4,True,507,"星期六的清早前往
平日這時附近的早餐店也都正在營業
所以會非常熱鬧
這時只有這一家有先開
所以人潮很多

但店家處理的速度算快了
(或者也可買做好的15元方便三明治)

套餐都有附上飲料
如果不要飲料也不會扣錢

附近算好停機車
可以方便買了就走

餐飲口味普普通通
但價格都非常划算!
CP值很高
如果是三明治的話會塗番茄醬
並非奶油

店內還有一個套餐式""隨便""
真的不知道吃什麼可以吃這個
有點像是綜合
什麼都能吃到一點
但也要看機會
餐飲上菜速度算快

Mar,13,2021"
 李鎮安 ,https://www.google.com/maps/contrib/104517215980613100510/reviews?hl=zh-TW,5,False,8,人狠話不多餐點好吃又便宜且份量充足，店內服務人員十分客氣、彬彬有禮，難得的好店家！
 Dong Lin Wu ,https://www.google.com/maps/contrib/108826684109299783387/reviews?hl=zh-TW,4,True,165,"唸成功時的最愛，
食物都先做好能現點立刻取餐趕上課😂
超多種搭配的套餐滿足每種都想吃一點的客人，
且全都是學生銅板價！
最愛薯餅塔！老闆十幾年來一樣親切！"
 S Ken ,https://www.google.com/maps/contrib/111704050691484449904/reviews?hl=zh-TW,2,True,482,"附近的餐廳太多，早餐店更是一整排店面都是，幾乎食物種類跟口味都是重複的，味道都是一般般，不好也不會太差，畢竟是學區，這裡緊鄰善導寺捷運站，附近數間高中競爭激烈壓力也大，當然出餐速度與方便性，和價格才是他們目標客群的唯一考量點，幾乎都是希望餐點桌上有自己偏愛的餐點，能馬上拿了付錢立刻走人，畢竟學生上課比較重要！能吃飽就好，想吃好就難了，等以後再說吧！
附近早餐店數量太多了，服務態度基本上都不會太差，除非客人很多，非常忙的時候，否則幾乎都是和藹可親的，不會有太糟糕的服務態度！
會來這裡消費的社會人士，幾乎都是以前這附近的學生，畢業出社會後，回來尋找舊時回憶的，
不然就是附近上班族，貪圖方便快速又便宜，否則，想吃好一點的人，時間也比較充裕的人，就會去附近超商，或是星巴克，或是麥當勞購買早餐了！"
 Stanley Shih ,https://www.google.com/maps/contrib/107337935379216444136/reviews?hl=zh-TW,4,True,718,多種組合變化的早餐搭配組合，味道不錯，價格也很經濟實惠，難怪人潮絡繹不絕
 亦威 ,https://www.google.com/maps/contrib/102310796907605321784/reviews?hl=zh-TW,5,False,28,"套餐種類繁多，吃每個餐點都像探險，期待將每個套餐吃完。
隨意餐真的是沒有想法的好選擇"
 bruce yu ,https://www.google.com/maps/contrib/114106448460746694873/reviews?hl=zh-TW,5,True,86,一定要來點隨意餐在市中心可以吃到60元這樣超豐富的餐點應該是沒有了
 Y.T T ,https://www.google.com/maps/contrib/101318089449257165860/reviews?hl=zh-TW,5,True,88,"第一次到訪
陷入選擇障礙的時候點了隨意餐+咖啡試試

先說咖啡意外的不錯喝，比例均衡不會太甜
再來看看隨意餐
老闆娘就檯面上有的現成品隨意夾
出餐非常快速
今天得到薯餅+熱狗+蘿蔔糕+蛋餅+翡翠抓餅+薯餅蛋+咔拉雞+不知名炸物
口味雖然就是普通的早餐店品質且炸物的熱量爆表
然而隨意餐的構思非常有趣
超級適合什麼都想吃一點的人類
一套60元超值又滿足"
 hsuan_eataholic ,https://www.google.com/maps/contrib/105899921062518306393/reviews?hl=zh-TW,4,False,79,"☄️#隨意餐+大溫奶$60

隨意餐的組成就是每樣都來一點！
什麼都吃得到🔥
火腿荷包蛋煎餃蛋餅法式吐司薯餅塔薯條雞塊卡拉雞腿蘿蔔糕
超級無敵豐盛✨
還配上一杯大杯飲料簡直學生福音
但唯一的缺點是混在一起有點油膩
會吃的嘴巴油滋滋
不過能獲得廢宅快樂感👍🏻
溫奶也蠻好喝的"
 Willie Chiu ,https://www.google.com/maps/contrib/103779060658020291098/reviews?hl=zh-TW,3,True,41,"不知道要吃什麼？！
老闆有份套餐就是”隨意餐”.
什麼都有！皆可以吃到~"
 Shang-Wei Kuo ,https://www.google.com/maps/contrib/115774893694822741872/reviews?hl=zh-TW,4,True,"1,349",青島早餐，平價早餐，出餐速度超級快，可能是預先做好的，蘿蔔糕蛋餅都不夠脆，就只是熟而已
 賈文綺 ,https://www.google.com/maps/contrib/100357917918720072951/reviews?hl=zh-TW,5,True,36,"乾有夠好吃😋隨意餐真的超級超值🙌🏻
外帶到教室吃都還是熱的😍有夠好吃
老闆跟老闆娘的服務態度超級好😭到底在棒幾點的⁉️嗚嗚嗚一定要來吃🥰🙌🏻
星期六上課首選早餐店🌟🌟🌟🌟🌟"
 吳俐穎 ,https://www.google.com/maps/contrib/110231049478454046278/reviews?hl=zh-TW,4,True,988,"就是要來份特色隨意餐！
60元一份隨意餐，老闆娘隨意配送
應有盡有（肉、蛋、薯餅、抓餅、煎餃、薯塊、熱狗、火腿.....），還會附贈一杯大杯飲料唷"
 衛玥榛 ,https://www.google.com/maps/contrib/100147605767366554804/reviews?hl=zh-TW,5,True,144,"C餐：宮寶+大溫紅🤤
雞腿嫩😍茶香濃😍麵Q彈😍
價低😲料多😲份量足😲"
 U K ,https://www.google.com/maps/contrib/111072981707379065082/reviews?hl=zh-TW,5,True,60,好吃便宜服務態度一級棒👍服務態度真的很親切心情會很好
 Amber Yang ,https://www.google.com/maps/contrib/113288687551500376669/reviews?hl=zh-TW,3,True,110,"111/04/06
學校附近價格便宜
有多種套餐可選擇
用餐環境ok！"
 黃楚儒 ,https://www.google.com/maps/contrib/102575795596068651504/reviews?hl=zh-TW,5,True,310,"隨意餐60什麼都有配上大冰奶
是成功學子十幾年的回憶"
 品妤 ,https://www.google.com/maps/contrib/100739510164481636152/reviews?hl=zh-TW,2,False,4,速度超快，但這個叫做漢堡…是忘了夾菜跟蛋嗎…
 顏金名 ,https://www.google.com/maps/contrib/112079248296648912417/reviews?hl=zh-TW,5,True,138,價格十分親民且份量很多，隨意套餐更是同時兼顧吃飽以及一次吃到各種不同早餐的慾望，十分推薦大家來這邊吃早餐或者是早午餐！
 J.C Chu ,https://www.google.com/maps/contrib/105830672851425353621/reviews?hl=zh-TW,1,True,30,"超級油的
雖然很便宜也可以吃到各種奇怪的早餐，大概是人氣餐點都來一遍的概念！
但是都是先煎好或炸好，所以油味跟油就很明顯都跑出來
左邊開始是蔥抓餅的一小口
下面還有兩塊蘿蔔糕、一個洋蔥圈（可能是）圓圓的
還有破掉的煎餃、跟不知名黏著蛋但整塊油的黃色物體

右邊看來明顯是薯餅，我相信這食物只要現炸都是好吃的沒疑問
薯餅下面壓了兩塊蛋餅
旁邊是一個荷包蛋（冷的）
最上面是油到發光的火腿

對了最後會附上一杯飲料（奶茶紅茶咖啡之類的可以選）

不說了太油我先跑廁所去...
對了這樣60算是蠻便宜的"
 Jia-You Tsai ,https://www.google.com/maps/contrib/105976196766534311212/reviews?hl=zh-TW,4,True,244,簡單好吃😋在市區如此內容套餐cp值高。
 Tony ,https://www.google.com/maps/contrib/104369222317388541862/reviews?hl=zh-TW,1,False,7,"外場短頭髮收錢的小姐服務不好、不友善。
問她「吸管跟筷子是不是要自取？」
她就看著我，用很不耐煩的語氣說「已經裝在裡面了。」

薯餅是冷的、煎餃吃起來酸酸的，我吃一口就吐出來了。

難吃、態度很差。
4星評價是洗來的吧...？"
 小元 ,https://www.google.com/maps/contrib/116251181515154221066/reviews?hl=zh-TW,4,True,618,"有時候不知道要吃什麼
就會來吃
覺得不錯"
 C Huang ,https://www.google.com/maps/contrib/104081850036200284356/reviews?hl=zh-TW,1,False,1,"光顧不少次但以後不會再去了。
點餐時不小心把""隨意餐""講成""隨便餐""，
店員居然回：你的國文老師怎麼教你的？看不懂中文嗎？
當下愣住，發現是自己口誤後馬上道歉並重新點餐。
結果店員繼續碎念，重複問我：你的國文老師怎麼教你的？
hello~唸錯餐點名稱是犯了什麼滔天大罪嗎???
即使馬上道歉表示自己沒看清楚，店員居然還這麼得理不饒人，真是讓我大開眼界耶ㄏㄏ"
 fei Fei ,https://www.google.com/maps/contrib/113388219086212384849/reviews?hl=zh-TW,5,True,160,好吃又便宜的早餐！在台北市能有這樣的價格真的超划算！造福學生^_^
 Yu Chen Wu ,https://www.google.com/maps/contrib/117063837270456372841/reviews?hl=zh-TW,5,True,280,"懷念以前常吃的早餐
價位還是很划算"
 Wanda Huang ,https://www.google.com/maps/contrib/116110705905817285808/reviews?hl=zh-TW,1,False,13,"炒泡麵結果是印尼炒泡麵，吃到一半發現蟑螂腳
雖說老闆們都很親切，但吃到這種餐點真的會心情很糟⋯"
 遲襄豫 ,https://www.google.com/maps/contrib/113735720328389211282/reviews?hl=zh-TW,5,False,10,每次去都點隨意餐（一點都不隨意），因為給的料是實在又大方.ᐟ.ᐟ店員跟老闆娘也都很熱情的打招呼🥹✨✨✨
 吳冠柔 ,https://www.google.com/maps/contrib/113772619564674910070/reviews?hl=zh-TW,1,True,21,我在隔壁早餐店消費怎麼了嗎？打量隔壁客人身材討論性別，你們禮貌嗎？也不能怪你們啦沒客人光顧只能看在隔壁消費的我，謝謝你們的注目哦^^下次不要再這麼沒禮貌了：）
 曾俊明 ,https://www.google.com/maps/contrib/113219258915125254139/reviews?hl=zh-TW,4,True,238,"1.套餐份量夠，可以當早午餐
2.平價，cp值高
3.店員都很有禮貌
4.出餐速度超級快"
