user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 妃ㄦ ,https://www.google.com/maps/contrib/108832824415620853536/reviews?hl=zh-TW,5,True,22,"由小紅書帶領我到這的餐酒館
餐點建議先點，怕餓肚子的也可優先打電話預訂
等待時間是真的比較久一點，但東西非常美味
個人最中意的就是鮭魚炒飯💓
本人雖然很愛吃麵，但他們家的炒飯更讓我回味無窮
辣雞翅沒有我想像中的辣，味道感覺少了什麼
說不上來，辣雞翅普普
還有這杯酒，有紫蘇葉風味蠻特別的酒精真的是非常的低喝完感覺滿嘴青草芬芳，開玩笑的🤣
但嘴氣散發紫蘇葉的香氣倒是真的，這杯酒真的不會喝的都可以接受唷
最後他們的ByeByeshot有夠好喝的
絕對妹子們都愛的🍷"
 Joanne Hsieh ,https://www.google.com/maps/contrib/106423555186926476697/reviews?hl=zh-TW,5,False,14,"我真的想問，這麼棒的店，為什麼還沒爆紅！！
週末六位來這裡幫朋友慶生，安排的位置是沙發區，雖然是開放式空間，但跟隔壁的客人有區隔開，座位很舒適，有小包廂的感覺。
不論是酒還是食物都沒有地雷！尤其是鹹蛋黃鮭魚炒飯，有夠好吃我們點了兩盤！
服務人員也超親切，介紹得很詳細，收盤時間也把握的很好👍🏼
碰上壽星優惠活動，店家完全不囉嗦，直接一瓶shot，非常有誠意！"
 張庭瑋 ,https://www.google.com/maps/contrib/107939113515019679235/reviews?hl=zh-TW,5,True,"1,100",雖然還在試營運但餐酒都很不錯，店長（？很熱情請了我們兩輪shot，第二杯shot是呼應時事的烏克蘭vodka😂海鮮拼盤的牡蠣非常肥美，干貝天使櫻花蝦天使麵很推薦，海味跟奶味都很濃郁，炒飯也不錯吃～調酒的部分“木由”的酒感意外地重蠻不錯的～
" Ann Kuo (軟西, 遊記) ",https://www.google.com/maps/contrib/107168925215398187220/reviews?hl=zh-TW,5,True,47,"IG：foodie_softc軟西遊記
歡迎追蹤IG看更多美食!
-
美式掛畫風格配上黑膠唱片設計菜單💿
高聳紅色沙發不僅貴氣還自帶包廂感
想要走出自己的路不甘願和別間酒吧相同
各種創意噴發碰撞揮灑✨
雖然辛苦但回頭看必定都是GoodOldDayz
-
🔹松露牛肝蕈菇菇菇燉飯(NT380)
這個燉飯真的必點🧀
濃郁菇香氣和松露相得益彰
滿盈潤口飽滿燉飯相當滑Q
中間時不時吃到各種彈勁迷人香氣菇菇
一上桌就被掃盤
.
🔹鴨腿鵝肝慕斯脆脆(NT260)
寶箱上桌吸引目光
趁熱吃下感受卡滋外皮
腿肉油脂油潤和鵝肝豐厚柔滑
雖然三種食材好像各自有著個性
但吸睛獨特程度就是要和別家店做出區別才嘻哈🦆
.
🔹哈拉屁妞海鮮(NT380)
這道是招牌菜色之一
滿滿海鮮根本像海底珊瑚一樣綻放
最貼心的是蝦子撥好殼直接吃不狼狽
透抽彈勁十足和肥鮮淡菜
剝皮辣椒辣氣奔騰刺激口鼻讓海鮮更提味🐟
.
🔹炸物拼盤(NT550)
薯條/小雞球/洋蔥圈
金黃酥脆放久無油耗味依舊脆口
洋蔥圈是比較溫和款
放鬆舒服吃也不會被辛辣感嗆到🍟
.
🔹南奎(NT400)
GinTonic的變體
只不過除了正常版順口的氣泡感
GoodOldDayz直接把通寧水拿去煮糖漿
另外加入左手香多了股撲鼻清香提神醒腦
尾韻微微帶點酸感，奎寧的苦韻也點點刺激喉頭
但隨著酒精沖下喉，留下來的花草清新盈口🌿
.
🔹NASA太空人(隱藏版)
一上桌乾冰噴發火箭準備登陸月球
魔幻燈影煙霧纏繞
瞬間像到了月球周遭聲音都消失
直到迷霧散盡才又跌回現實世界的喧鬧
這杯是隱藏版沒有在酒單上❗️
想喝記得詢問店員
搭配的是創意特調
偏酸或偏甜，水果或茶感
基酒也能自由搭配
軟西選的是偏甜水果+琴酒
喝起來有蔓越莓、水蜜桃果甜
碰杯緣前還能聞到蘋果香再飲入冰涼酒液
軟西覺得很像小時候吃的QQ水果軟糖
去除了酒的刺激苦韻，是杯女孩夢幻調酒💕
-
⛔️未滿十八歲者禁止飲酒⛔️
⛔️開車不酒駕，酒後不開車⛔️"
 FENG ,https://www.google.com/maps/contrib/107216652293713792384/reviews?hl=zh-TW,5,True,35,"調酒跟餐點都有一定水準，尤其調酒非常有特色，無論擺飾或是出場方式都很吸睛🤣最愛黑人抬棺👨🏿‍✈️👨🏿‍✈️👨🏿‍✈️
去了兩次都是坐沙發區有一面布簾隔開外面吧台跟座位區，雖然不具隔音效果但算是有達到獨立空間了😆
服務態度超好，調酒味道如果不合口味都能盡量調整，但還是有一杯調了三四次還是不太行，應該是那款調酒本身味道太特別🥲
連去兩次不同月份都剛好配合店內壽星月的活動，招待一瓶，一。整。瓶的shot，可以跟bartender指定喜好的味道(偏酸偏甜)，但酒精濃度就不會太高，畢竟兼顧好喝的話，酒感不會下手太重。"
 Pei Su ,https://www.google.com/maps/contrib/107323873701118637520/reviews?hl=zh-TW,5,False,75,"氛圍很棒、食物好吃、調酒高水準✨👍🏻
服務人員很親切，還會變魔術😆
很滿足很開心的一晚～～"
 Wey Wey ,https://www.google.com/maps/contrib/109459237329401739259/reviews?hl=zh-TW,5,True,60,新開幕的餐酒館，內部裝潢和播放音樂屬美式、座位很舒適、調酒吧檯的酒保很帥唷！尤其是該店的餐點既有創意、特色又美味，外場的服務人員親切風趣又貼心（因店內燈光較暗，拍照時會幫忙打光唷！）
 Jiahe Gu ,https://www.google.com/maps/contrib/100913287948491383979/reviews?hl=zh-TW,5,True,234,氣氛很好的店家，雞翅絕了好吃！調酒也好喝，目前有壽星活動，幾歲送幾杯shot
 Lu Mjung ,https://www.google.com/maps/contrib/115322605949757862879/reviews?hl=zh-TW,5,True,178,"試營運結帳之後獲得水蜜桃氣泡酒😍
（Bartender說這個月去消費都會送！每個人都好親切好讚！服務也超好！服務費🈴️）

兩人來訪前有先吃過晚餐所以不餓
但還是點了大安區鮭魚炒飯跟鴨腿鵝肝慕斯脆脆

炒飯真的好吃而且好大盤
米飯粒粒分明是基本重點是涼了也不會油膩
鹹味剛好香味也十足
上面的一些裝飾跟著炒飯吃進嘴裡
更增添香味跟口感
鮭魚本身也好吃好吃！

鵝肝脆脆的部分真的是蠻厲害的
打開寶盒的時候有乾冰煙霧
伴隨的是煙燻的香味
因為本身沒有在吃鵝肝
所以不懂什麼是好吃的
但我就覺得好濃好讚
裡面的鴨胸也好好吃呱呱

調酒的話當天有請了三杯shot杯裝的調酒
最喜歡的是州際公路羅曼史！
芫荽籽的突出香氣很迷人有一種青草的感覺
而且道具好多好可愛！

我第一杯點了新世紀福爾摩斯
基底是威士忌我覺得就是好喝順口的冬瓜威士忌尾韻真的有一點點點到薄荷（有點像是薄荷口味的曼陀珠！）

第二杯是音果
不看菜單上的介紹的話
我會覺得整體比較像是有堅果顆粒的莓果巧克力🍫
巧克力的香味真的很突出但那個堅果味又有點花生感
不知道是不是有加杏仁酒？
外面沒喝過的層次蠻喜歡的❗️❗️

我朋友點了南奎這杯我沒什麼印象
第二杯是璃甄
那個蘋果醋真的有夠讚🥺🥺❤️❤️
是一杯偏酸有果香味的調酒我也很尬藝
（感覺滿適合當第一杯的！）"
 Unaaa Hsu ,https://www.google.com/maps/contrib/113647317817023744705/reviews?hl=zh-TW,5,True,62,"食物整體來說算好吃~
酒類也不錯調酒可以客製化
裝飾也浮誇好拍照🤣🤣🤣

缺點是店內太暗
合照起來沒那麼好看
但用餐環境是很不錯的"
