user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Mostro Chen ,https://www.google.com/maps/contrib/110433925703636473408/reviews?hl=zh-TW,5,True,138,"燒肉，位在市民大道上充滿懷舊風情的小屋『吳桑燒肉』是有鼎鼎大名的居酒屋「吳留手串燒居酒屋」的全新品牌，一走進店內也可感受到滿滿的懷舊及日本古屋的氛圍，店內充滿著鬧氣氛會讓人覺得是在日本居酒屋的錯覺。用餐過程中會有專業人士桌邊服務燒烤，而且服務生都很會聊天帶氣氛，讓整個用餐過程可以輕鬆愉快的跟朋友們開心吃，輕鬆聊。食材上使用都有一定的水準，服務生充滿熱情親切的服務，所以想要有居酒屋菜色又想吃燒肉的人客，這會是你不錯的選擇。整體來說感覺如果坐在吧檯的話可能空間上會稍嫌小，會有點小擁擠(雖然這次小弟是在二樓的空間用餐，所以只能說是目視)，其餘的部分都讓小弟滿意，挺好的！
#嘴殘獸玩樂日記#mostrolife#mostroeat#台北#台北美食#忠孝敦化站#忠孝復興站#燒肉#居酒屋#吳桑燒肉#like4likes#likeforlikes#likeforfollow#相機食先#相機先食#taipei#taipeifood"
 Szuzu Chen ,https://www.google.com/maps/contrib/108079530784333106594/reviews?hl=zh-TW,5,False,7,"上週末來用餐現在才想到來分享，整體用餐體驗蠻好的，算是很吵雜充滿氣氛的居酒屋哈哈～
第一道上來的梅漬蕃茄是用紫蘇醬的樣子，偏鹹，比較可惜的是它是把醬直接淋上去而非醃漬蕃茄本體，但味道還行
再來蔥鹽牛舌好像是點特選？（中間價位那個）熟度掌控的很棒，口感和味道都超級喜歡，現在還在想念😻總體來說肉質都不錯，很新鮮～辛苦代烤的店員們，每個熟度都控制的很好，可惜可能週末比較忙碌，烤的速度稍微慢了一些～
草蝦被烤得直挺挺也剝好殼，非常愉悅！
另外如果想吃青菜可以點松阪豬炒水蓮，現在賣炒水蓮的熱炒店其實蠻多的，吃過不少間這間算中上水準～是炒蒜頭爆香的不是薑🥳
最後推薦的是烤麻糬直奔我心目中烤麻糬TOP1ㄉ店家！驚呆原來麻糬可以真的外脆內軟綿綿（花生粉和煉乳也給很多很大方），吃完回家瘋狂爬文麻糬怎麼烤，但都找不到烤起來和這裡吃的一樣的🥲只能趕快再來了😎"
 Frankfranc ,https://www.google.com/maps/contrib/115442629203641270535/reviews?hl=zh-TW,4,True,107,"好吃😋，價格稍高，三人吃飽約五千三，點一瓶清酒（800塊），店員提供桌邊服務，幫你烤好，只是點餐需要主動詢問清酒差異，如果店員熱情點就滿分囉！牛肉表現不錯，店員烤出來的稍微有點焦，但都還是在水準之上，不過應該是有點忙不過來，也都會提醒客人肉品名稱，還會再來！
推薦牛五花、青蔥牛小排、豬肋排、香菇、玉米筍"
 HY L ,https://www.google.com/maps/contrib/115066739922168479899/reviews?hl=zh-TW,3,True,163,"市民大道旁的日式居酒屋，日本味滿滿～
有多樣酒類可以選擇，有單杯可供點選！
肉類服務生都會幫忙烤，自己不用動手，肉質沒話說，真的好吃，但量真的很少⋯吃不太飽，真的算蠻高單價的居酒屋，但整體氣氛、乾淨度不到這個價位的餐廳，廁所蠻臭的⋯（一個人吃下來1000多吧！
Facebook按讚可以送麻糬～"
 beryl lin ,https://www.google.com/maps/contrib/105623050323406425511/reviews?hl=zh-TW,3,True,82,"臨時想吃燒肉又沒有訂位的話，這邊是個好選擇
適合喝酒聊天
食材品質跟肉的熟度都還不錯
排煙也不錯
最推薦一夜干午仔魚👍
肉類的調味都不會很鹹
重口味可以再請店員提供鹽巴
想吃很多肉的話就建議去其他CP值比較高的燒肉店
比較不會覺得空虛…"
 Fish Yu ,https://www.google.com/maps/contrib/118289873373227192638/reviews?hl=zh-TW,4,True,178,夙負盛名的吳桑燒肉！每次經過這間店它生意都很好，這次是路過想吃個宵夜，還好等了10分鐘就有位子了，炭爐+專人服務的燒肉就是讚，燒肉也都很好吃。大概是生意太好吧，服務人員有點沒耐心，所以快快吃完就撤了。
 Andy Kao ,https://www.google.com/maps/contrib/101835555054314149160/reviews?hl=zh-TW,4,True,338,桌邊服務很棒，烤的很好吃，和牛很棒，雖然個人喜歡吃較熟的，還是覺得好吃；性價比較高的有炒飯(超好吃的)丶透抽丶草蝦與雞腿，泡菜也不錯，和牛與牛排本來就貴森森，可以嘗試一下口味即可，價格是比較貴，份量又少，另外人少(3人以下)的話，店家都讓你坐吧台，明明有一些桌子是空的，有點可惜。
 陳淳真 ,https://www.google.com/maps/contrib/115291856331048997382/reviews?hl=zh-TW,4,False,9,很不錯的體驗，還會有人幫忙烤給你吃，肉質也尚可，就是分量少了一些，跟他牌比較起來稍稍的低一點點，整體還是很滿意的
 陳柏瑜 ,https://www.google.com/maps/contrib/103738791343027657114/reviews?hl=zh-TW,5,True,16,"這次造訪了連鎖居酒屋的”吳留手”
老闆旗下的燒肉店—吳桑燒肉
保留了吳留手一貫的品質及氛圍
果然吳家是不會讓人失望的
下次一定還會再訪～"
 Angela ,https://www.google.com/maps/contrib/116620731097517841917/reviews?hl=zh-TW,5,True,39,非常細心的桌邊服務，醬烤牛五花、松阪豬，雖然是所有燒烤店都會有的菜色，但烤功了得，最尋常的菜色更可以品嚐到好味道。下次一定要試試其他菜色
