user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Gina Chia ,https://www.google.com/maps/contrib/115812816760495930193/reviews?hl=zh-TW,4,True,427,"店內乾淨食材新鮮好吃，每份量不多，容易空虛；建議一開始就點很多，內場兩位，外場人員只有一個，上菜會等很久，期間有兩次我們大概桌上有15-20分鐘是全空的狀態

推薦：主廚秘醬牛肉、干貝、酒蒸蛤蜊（偏台式口味，使用醬油、蒜、辣椒等煮的）、打卡贈送的麻糬冰淇淋、牛肉特選組合（包含主廚秘醬牛肉、特級無骨牛小排、松露角切牛小排）

價格：平均每人大約1200左右，有10%服務費
音樂：重節奏芭樂歌"
 Misa Li ,https://www.google.com/maps/contrib/106358553053374558228/reviews?hl=zh-TW,5,False,3,第一次拜訪貴店，坐在吧台，由專業人員幫忙代烤，可以吃到最美味的燒肉真的很棒，服務人員也相當的親切聊天，每道食物都非常的鮮嫩好吃，生蠔跟海膽干貝更是鮮甜，會再回訪
 Agnes Lai ,https://www.google.com/maps/contrib/112085567409851860646/reviews?hl=zh-TW,5,True,19,"沒有在唬爛的好吃！！坐吧台店員服務很好還會幫我們烤♡而且店員烤肉技術水準完全打趴很多店～牛肉幫你烤的多汁又美味，害我們都想說服他自己開一家🤣必點牛肉特選（主廚秘醬、松露角切、無骨牛小排！）給我點起來！！沒點你就後悔吧🙂

𝙱𝚘𝚗𝚊𝚙𝚙𝚎𝚝𝚒𝚝♡"
 MAO-XIN SUN ,https://www.google.com/maps/contrib/103129615000946996104/reviews?hl=zh-TW,5,True,35,"大推！無一踩雷，服務又好
不太會烤，可以請店員代烤
若是坐吧台就一定是店員幫忙了～

必點🌟🌟🌟🌟🌟
和牛橫隔膜、厚切牛舌、生蠔🦪（生食）、牛五花、干貝

酒類推薦：澪-清酒、梅乃宿-柚子酒"
 王姿云 ,https://www.google.com/maps/contrib/108295037678912601321/reviews?hl=zh-TW,5,False,9,大推欸！牛肉和海鮮都好好吃，有些比較特別的店員也會幫忙烤，或是幫忙看一下烤好了沒，大蛤湯和干貝都超鮮的，烤飯糰如果裡面有其他料的話就更讚了！
 beth Kaku ,https://www.google.com/maps/contrib/112099203818956074389/reviews?hl=zh-TW,5,True,52,"店外看起來黑黑的滿普通沒想到肉都超好吃服務人員也很nice
但目前因疫情沒有桌邊服務QQ
(比較好的肉他會先給你拍照，再拿回去廚房烤好上桌XD)
來吃可以點個麵配烏龍麵感覺很像日本居酒屋吃過的
滿多調酒飲料可以選裡面還有亮亮會發光的冰塊(*´▽`*)/"
 Diego ,https://www.google.com/maps/contrib/110350560255911772908/reviews?hl=zh-TW,5,True,126,食材新鮮，肉質鮮嫩，烤完直接食用就好吃，不需額外加醬料，牛五花、羊五花非常好吃夠味
 Hoe Christopher ,https://www.google.com/maps/contrib/106628756338531924649/reviews?hl=zh-TW,5,True,10,"店員好親切！桌邊服務會細心講解食材怎麼烤！食物好好吃！好適合一起聚會喝喝酒！

ps：有一位肉肉屁股很翹的弟弟服務一級棒！"
 Andy Chien ,https://www.google.com/maps/contrib/115759272836751884839/reviews?hl=zh-TW,5,True,21,"食材非常新鮮，老闆人也很好，適合聚會！
午仔魚、奶油玉米實在是唇齒留香🤤
期待下次再訪"
 SUN山姆 ,https://www.google.com/maps/contrib/108992342122409334778/reviews?hl=zh-TW,5,True,6,服務親切，專人代烤，便宜的價格能吃到超值的燒肉，好吃又吃的舒服，不論肉品，海鮮，附餐，甜點，都令人滿足。
 郭玉翎 ,https://www.google.com/maps/contrib/109007138532938563142/reviews?hl=zh-TW,5,True,371,"🍴吽燒肉Grill&bar市民店

餐點⬇️

和牛板腱$480
和牛橫隔膜鹽蔥燒$480
炎烤鹽蔥牛舌$200
古香椒鹽松阪豬$180
香嫩去骨雞腿肉$110
飽卵柳葉魚$130
北海道干貝(生食級)$180
椒鹽黃金蝦$180
深海大蝦$220
鮮魚味噌湯$60
Home野生大蛤湯$80
奶油金針菇$80
-
一進門招待就很親切入座後座位也非常舒適不會擁擠
食材其實光看照片就知道很新鮮了吧各位～
當下我一看到就覺得好好吃哦好餓哦！
還有這邊是服務人員會幫忙烤完全不用擔心烤不好
這種時候還是交給專業的來得好嘿嘿👉🏻👈🏻
牛肉擺盤很乾淨很漂亮之外肉品油花的部分也是均勻
和牛板腱超級嫩又多汁的入口就整個都是肉汁超讚
而且橫隔膜也很嫩很好吃是偏薄可是還是滿大一份的
我超喜歡肉品搭配鹽蔥的部分一定是好吃到不行😋
豬肉也好吃可是真的是有點厚所以入口時帶點脆感
北海道干貝超級大顆又很新鮮而且是生食級的
這家店家使用的海鮮跟肉品都是很不錯非常新鮮👍🏻
蝦子是去好殼的超級方便一烤就能吃而且很鮮甜呢！
大蝦子更不用說肉真的超飽滿吃一隻整個就飽了
湯品的部分都比較簡單所以就是普通沒有什麼特別的"
 NINA CHEN ,https://www.google.com/maps/contrib/113787560575050845635/reviews?hl=zh-TW,5,False,9,第四次來訪，口味好吃，最愛點和牛拼盤，以後還會常來，已介紹了一堆朋友來吃，讚讚👍🏻
 muyuchin ,https://www.google.com/maps/contrib/102618440815058177207/reviews?hl=zh-TW,4,True,470,"20220609初訪
不錯吃
野生蛤蜊湯鮮美，直接喝2碗。"
 宗儒楊 ,https://www.google.com/maps/contrib/117547467838225081157/reviews?hl=zh-TW,5,False,6,好吃價格合理已回訪第二次
 遊戲女孩 ,https://www.google.com/maps/contrib/114388620412159085325/reviews?hl=zh-TW,5,False,13,好吃的燒肉肉質不錯😍這間店太晚發現惹🥹店員也很親切超讚
 Hsuan Tseng ,https://www.google.com/maps/contrib/102690756614064956630/reviews?hl=zh-TW,5,True,25,"店員烤的超好吃！每一種肉都很美味♥️
非常推薦！！"
 Chien-Ming Chen ,https://www.google.com/maps/contrib/118263367419032818046/reviews?hl=zh-TW,5,True,141,好吃服務人員也很親切看到生手如我還會幫忙烤
 吳萱 ,https://www.google.com/maps/contrib/112608508427386158999/reviews?hl=zh-TW,4,False,4,店員服務非常好，但是出菜速度非常的慢，應該不是照順序出菜的，比我們慢到的都陸陸續續上菜了，我們還在空桌。牛舌沒有很好吃，鮭魚茶漬飯不是新鮮的鮭魚肉，其他餐點還可以。
 林雅鈴 ,https://www.google.com/maps/contrib/104663043507065911805/reviews?hl=zh-TW,5,False,7,"不貴又好吃，氣氛好～桌面大，適合朋友一起聚餐。
另外也有吧台適合一人或兩人，跟老闆的互動比較多～推推PS:這個份量是點兩份"
 YuZhu ,https://www.google.com/maps/contrib/106614226456931620756/reviews?hl=zh-TW,5,True,15,"餐點美味
小哥哥親切又專業烤的超好吃"
 WEI郭 ,https://www.google.com/maps/contrib/114523541750379645408/reviews?hl=zh-TW,5,False,16,臨時找到的烤肉剛好有位子……完全不雷好吃極了，讚
 Ebay Chen ,https://www.google.com/maps/contrib/105001792259177376513/reviews?hl=zh-TW,5,False,13,"食物新鮮好吃😋服務態度也好
值得推薦嚐嚐的好店"
 若若 ,https://www.google.com/maps/contrib/100991956498358483143/reviews?hl=zh-TW,5,False,10,"超好吃😋
來吃不只一次了～
大推松露角切、和牛壽喜燒
配上澪氣泡酒超完美～^_^"
 張文嘉 ,https://www.google.com/maps/contrib/101068249131036912923/reviews?hl=zh-TW,5,False,5,和牛好吃，店員態度親切，會幫忙烤大蝦
 陳尚煒 ,https://www.google.com/maps/contrib/107858669645447183872/reviews?hl=zh-TW,5,False,11,"氣氛好
店員很親切
都會幫忙烤
肉質非常非常好吃
墨魚香腸很厲害
大推👍
真的值得來一次
兩次三次都行"
" Tracy, Ching-yi Yeh ",https://www.google.com/maps/contrib/108404448115263761906/reviews?hl=zh-TW,5,True,15,好吃😋地點佳停車方便nice！
 01洪啓豪 ,https://www.google.com/maps/contrib/115183792013940858769/reviews?hl=zh-TW,5,True,525,與朋友來聚餐，這家店食材非常新鮮，尤其是海鮮，生蠔、大蝦、干貝、鮭魚都很好吃！再來他們的一夜干烤魚超好吃！酒壺漬牛肉是他們的特色料理也是必點！老闆非常熱情，在比較不忙的時候會跟我們聊天也會幫忙烤肉，上班族下班總是會想小酌，這裡有啤酒、梅酒以及清酒暢飲的方案！啤酒現榨泡沫綿密，想微醺的可以喝梅酒香醇甜甜的！下次還會再來的店！
 HU JUNG AN ,https://www.google.com/maps/contrib/110741680600940415801/reviews?hl=zh-TW,5,True,382,來到燒肉店，當然是無肉不歡的夜晚；先用奶油玉米開開胃，玉米很甜，配上炙烤的香氣很適合做為晚餐序曲；炎烤鹽蔥牛舌厚度適中，烤過之後的肉質表現仍在中上，保留牛舌該有的香脆；除了牛肉，想嘗試其他肉品不能錯過起司奶香雞腿肉，融化的起司均勻覆蓋在雞腿肉塊上，本來就嫩的肉塊吃起來更滑溜順口，已經飽到喉嚨還是加點一道味增軟絲，味噌入味，卻很盡責不會搶走Q彈軟絲的風采，最後用烤麻糬讓另一個甜點胃得到滿足。整體來說，肉品和燒烤功力都很不錯，CP值也很高，是我會再回訪的燒肉店
 老毛Channel ,https://www.google.com/maps/contrib/108293207830057946003/reviews?hl=zh-TW,5,False,4,"鹽蔥厚切牛舌讚
烤生蠔超猛超大顆
烤鮭魚外脆裡嫩半生熟好吃
松露角切好吃到靠北
重點老闆很帥
讚讚讚"
 曾郁涵 ,https://www.google.com/maps/contrib/110221091937395017620/reviews?hl=zh-TW,5,True,76,"肉質很好，店員全程幫忙烤！
完全解決了我對好肉怕會烤失敗的小擔心
松露角切是這次我最喜歡的
切成方塊狀的牛肉外面包裹著松露醬
入口會有滿滿的松露香氣
是過去吃燒肉沒有體驗過的口味
真的很喜歡！
干貝是生食等級，店員會烤到大約3-5分熟
裡面還是半透明狀保有新鮮干貝自然的鮮甜
但是外層有增添了炙烤的香氣
而且一份2顆超大干貝才$200
不點真的會後悔到睡不著！"
 楊謦維 ,https://www.google.com/maps/contrib/107034505198531355357/reviews?hl=zh-TW,5,False,1,韓式五花肉包菜好吃👍🏻
 Howard Song ,https://www.google.com/maps/contrib/114270227496963241790/reviews?hl=zh-TW,5,False,16,這家cp值挺高！無骨牛小排真的超好吃…多汁又軟嫩
 許恩恩 ,https://www.google.com/maps/contrib/108624603878493311147/reviews?hl=zh-TW,5,False,5,雞肉很鮮很好吃，服務也很周到😁
 袁源 ,https://www.google.com/maps/contrib/114816175246745976350/reviews?hl=zh-TW,5,False,10,"環境寬敞服務很好
6人兩個爐，食材都點2份，超飽好吃😋"
 斯帖Esther以 ,https://www.google.com/maps/contrib/109029945109101380392/reviews?hl=zh-TW,5,True,164,幹超好吃的這道菜必點
 Vivienne ,https://www.google.com/maps/contrib/113368879217707283381/reviews?hl=zh-TW,5,False,17,超好吃～服務也很棒👍🏻👍🏻👍🏻
 徐嘉鴻 ,https://www.google.com/maps/contrib/107393192930589838733/reviews?hl=zh-TW,5,True,241,味道很棒喝酒的好去處，肉品質也不錯，環境也很寬敞，很多難烤的部分服務生都會幫忙烤，烏龍麵味道奶油香氣很夠很好吃，唯一可惜的地方個人覺得是對沒喝酒的人來說味道會偏重了點。
