user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 angelfreida Lee ,https://www.google.com/maps/contrib/111819497282512518745/reviews?hl=zh-TW,5,True,421,"非常棒的餐點！用餐的人雖然多，但是出餐快！附贈的飲料很大杯，老闆娘超級親切又熱情！去那邊用餐就像在家裡吃飯一樣舒適。
店內有幅國際名畫，是泰國清邁大象Jungle的作品，值得注意的是“畫的比大部分人都要好！”哈"
 蔡承恩 ,https://www.google.com/maps/contrib/113085363219581570505/reviews?hl=zh-TW,2,True,255,套餐可選飲料奶茶、紅茶或咖啡，奶茶比一般早餐店奶茶好喝一咪咪，可以選冰塊。咖哩豬排普通，豬排一共五塊，麵皮跟豬排不會很明顯分離感，豬排本人偏紮實（硬），咖哩就是全聯買的到那種在家煮的味道，有紅蘿蔔跟馬鈴薯，配菜只有一種，今天吃到的是菠菜，不知道是不是固定的。香烤豬肉飯超級雷，豬肉很像早餐店那種豬肉漢堡會吃到的組合肉，非常薄的四片，配菜高麗菜偏油，其他正常發揮。結論餐點本身都偏貴，但還算是好吃的。
 Paula Chen ,https://www.google.com/maps/contrib/103423661652129192179/reviews?hl=zh-TW,5,False,8,"經過看都很多人用餐，來吃看看～

午餐套餐配菜和口味喜歡💕～
酥炸豬排口感不錯！附餐飲料很大杯👍🏻
環境乾淨覺得可以

老闆娘開朗有活力！歐耶✌🏻

會想再來用餐～～推薦！"
 Shubo Chao ,https://www.google.com/maps/contrib/103314735689174654615/reviews?hl=zh-TW,4,True,207,咖哩豬排飯味道很樸實，很像媽媽會在家裡煮出來的那種咖哩，紅茶好喝。
 Claire li ,https://www.google.com/maps/contrib/106171635308672139232/reviews?hl=zh-TW,5,True,258,生意不錯，老闆和店員都滿親切，早餐以漢堡三明治為主，附餐可選咖啡、奶茶、紅茶，今天吃烤豬起司堡套餐70元，滿好吃的，起司也濃郁，豬肉選用不錯的食材。
 chien jocy ,https://www.google.com/maps/contrib/115384764065385271874/reviews?hl=zh-TW,3,False,12,"日前四個人去用餐，三個人點了焗烤麵
賣相很好，但大家一致認為餐點過鹹
吃完會很想灌水的那種
看大家都點中式午餐
可能這次的選擇不是那麼正確，下次試試炸豬排"
 許電池 ,https://www.google.com/maps/contrib/101152016779235699623/reviews?hl=zh-TW,5,True,56,"雞排飯套餐（含一杯飲料紅茶、奶茶或咖啡）
Cp值非常高～～～"
 Tiffany Tsai ,https://www.google.com/maps/contrib/102388291449390511218/reviews?hl=zh-TW,4,True,117,"最愛炸雞腿🍗飯跟蘋果優格（飲料）
烤豬排飯也很正點，但豬肉片很少，吃完覺得很空虛
餐點只賣中午，而且生意好到，常買不到便當
晚上提供鹹水雞"
 陳H.M. ,https://www.google.com/maps/contrib/106528166087240604064/reviews?hl=zh-TW,5,False,10,美味又便宜，用料實在，三明治和漢堡都好喜歡！Cp值高！午餐便當菜色新鮮！
 丁丁鈞 ,https://www.google.com/maps/contrib/109886698487620597433/reviews?hl=zh-TW,4,True,231,漢堡不錯，紅茶好喝，就小貴
 Richard ,https://www.google.com/maps/contrib/114267758647744326291/reviews?hl=zh-TW,5,True,15,"❤️🧡💛💚💙豬豬可麗餅💙💚💛🧡❤️
👉🏻👉🏻👉🏻台北市旅行到此一遊
🙆🏻‍♂️感謝老闆娘親切溫暖🙆🏻‍♂️"
 Mila ,https://www.google.com/maps/contrib/102753590475668969265/reviews?hl=zh-TW,5,True,536,雞腿炸得很酥脆，飲料也不錯，好吃😋
 Tao Tao ,https://www.google.com/maps/contrib/102551803944989806648/reviews?hl=zh-TW,5,True,154,"鹹水雞好吃😋
小辣的辣度就很夠
半隻雞$110
小菜一樣$20三樣$50
這次點了小黃瓜、雞胗、雞心、米血、金針菇、花椰菜🥦
喜歡脆皮雞肉的口感
老闆也很親切"
 Crystalyannng ,https://www.google.com/maps/contrib/112125052913503546015/reviews?hl=zh-TW,4,True,218,"招牌總匯三明治餐點好吃清爽紅茶很好喝
但漢堡份量很少肉片小小薄薄的一片⋯"
