user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Chiang ,https://www.google.com/maps/contrib/106036978891946274355/reviews?hl=zh-TW,4,True,326,"2022.01.18
不錯吃，餐點上菜快速，分量十足，搭配這裡的辣椒，很爽的一餐，餛飩都大顆，內餡飽足，也很有彈性。"
 Ya Li Huang ,https://www.google.com/maps/contrib/105510819093649153216/reviews?hl=zh-TW,3,True,417,"就一般口味，不難吃，也不會說很好吃。
點了紅油抄手，三絲湯和一盤小菜，
店內乾淨，上菜迅速。"
 nonno hui ,https://www.google.com/maps/contrib/114554359319485423327/reviews?hl=zh-TW,4,True,163,口味獨特味美，以台北市中心的位置來說，價格也算實惠。
 kitaro ,https://www.google.com/maps/contrib/101350718516555792293/reviews?hl=zh-TW,3,True,141,"10/2
1.約20:30點到店用餐，店面看起來蠻乾淨的，看得出來有整理
2.問了一下，小菜有什麼，可能太晚了，幾乎都賣完了。(我點了海帶絲)
3.因為我比較晚來用餐，所以他們也快打烊了，所以要我在門口點餐，我還晃了一下，問說菜單在那?因為他沒有給我。所轉了兩圈，才看到牆上有
4.我問了牆上菜單上的東西，有什麼差別，店員其實也不耐煩的回應我。這點比較可惜（我點了蝦肉大餛飩麵）
5.餐點吃起來，中規中舉，沒什麼問題，他的辣椒醬超辣，不要加太多。
想簡單吃可以來。"
 Hsu小賀 ,https://www.google.com/maps/contrib/110226945087710095166/reviews?hl=zh-TW,4,True,79,"連鎖餛飩店！
很好吃，餛飩很紮實，肉很有彈性！
麵條很好吃，很有台南關廟麵的風味。
也很有高雄廣昭英餛飩的風味"
 Richard su ,https://www.google.com/maps/contrib/116890390677605495121/reviews?hl=zh-TW,1,False,41,跟那個外勞說要鹹一點，結果來的麵根本完全沒味道，有夠難吃，直接說不要了，而且那外勞態度超爛的，不爽不會滾回自己國家嗎？什麼爛態度啊？
 英是愛吃鬼 ,https://www.google.com/maps/contrib/116120312446989929121/reviews?hl=zh-TW,3,True,935,蝦仁餛飩湯由於是整個用肉+蝦泥包的內餡，吃不到整隻蝦，但口感及調味不錯，算好吃，1碗75元有5個大餛飩CP值可以，小菜種類很多每盤25元這很不錯，尤其老虎醬讓人驚豔，加什麼都很提味~看到鄰桌的花枝餛飩抄手麵，豐富又大碗，下次想來試試
 Athena Na Tseng ,https://www.google.com/maps/contrib/102948747590385421906/reviews?hl=zh-TW,5,True,118,麻醬抄手蝦肉餛飩$75超大顆，花椰菜這樣一碟$25，划算又好吃~有推
 默默的 ,https://www.google.com/maps/contrib/105494482074113301607/reviews?hl=zh-TW,5,True,50,"這家東區溫州大餛飩超好吃😋
我來臺北都專程來光臨此店‼️
可以加湯&加配菜&加紫菜👍
🤔雖然臺北很多此品牌分店！
但～真的真的都沒有這家分店好吃"
 卡滋卡滋 ,https://www.google.com/maps/contrib/109981849195801645163/reviews?hl=zh-TW,3,True,105,"第一次遇到抄手連一半都吃不下的
蝦肉抄手果然如網友所說有消毒水味
蝦肉很小/皮很爛/肉是扁扁大大的難下嚥

所幸小菜滿好吃的又只要25元"
 川田杰畝世 ,https://www.google.com/maps/contrib/109503958373621152013/reviews?hl=zh-TW,1,True,80,你應該是做好心理準備，知道他有多難吃才走進來，然後發現你根本沒準備，他永遠更難吃。
 WU Kun-Hua (老猴呷好呷) ,https://www.google.com/maps/contrib/106730283875096210585/reviews?hl=zh-TW,4,True,277,【老虎醬.溫州大餛飩】昨天北上工作，中午跟同事來吃這間餛飩麵。麵Q、餛飩又大顆，很好吃。
 kao olivia ,https://www.google.com/maps/contrib/113407115627016021096/reviews?hl=zh-TW,1,True,399,他們的餛飩讓我頓悟一句話食之無味棄之可惜老天爺我到底做錯了什麼
 Gins Cohushen ,https://www.google.com/maps/contrib/111256959357128995827/reviews?hl=zh-TW,3,True,77,菜肉炒手麵—餛飩包法特殊，讓妳吃的到口感，但本身包的肉極少，吃起來導致沒有餛飩該有的鮮美味道，還會放麻醬，麻醬是不甜的那種帶苦，我個人是覺得有些失望，味道太混雜了，小菜木耳（有放蒜頭哦），屬於清單口味，口感脆，但調味真的過於平淡，喜歡清淡的人或許可以來嚐看看
 蔡蔡 ,https://www.google.com/maps/contrib/104240246980620793136/reviews?hl=zh-TW,5,True,266,不知道為什麼評價只有一般，但我個人覺得非常好吃，價格也很可以，是我看過最大顆的餛飩，也非常好吃，肉是我喜歡的那種，沒有肥肉。服務態度也很好，會再回來光顧的
 Zen Liao ,https://www.google.com/maps/contrib/112791554475052606871/reviews?hl=zh-TW,1,True,268,跟老爸一起來吃的，我本來是想吃隔壁的壽喜燒，可是看到我爸眼神流露出赤子般的渴望，我就順他的意。點了抄手麵，那個沾醬吃起來像是嘔吐物，皮蛋豆腐又鹹的不像話，要不是店員的服務態度好，不然我連一顆星都不想給
 Amuler Hsu ,https://www.google.com/maps/contrib/113190487732924347519/reviews?hl=zh-TW,1,True,39,店裡衛生環境不佳，筷子桶裡還有蟑螂爬出來....然後我麵剛吃了一半！
