user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 心綺 ,https://www.google.com/maps/contrib/101297538489290802307/reviews?hl=zh-TW,5,True,186,"捷運站附近的巷內，很棒的一家日式料理餐廳，餐點好吃、食材新鮮、價格實惠，還有家的溫馨感覺。推薦！
*商業午餐250，可吃到生魚片。
*不加服務費，需現金支付。

NeartheMRTstation,thereisagreatJapaneserestaurant.Thefoodisgood,theingredientsarefresh,thepriceisaffordable,andthereisawarmfeelingofhome.Recommended!
20221012"
 萬修明 ,https://www.google.com/maps/contrib/108632376973956702534/reviews?hl=zh-TW,5,True,157,花傳料理今日最後一天營業，晚間一如往常與家人前往用餐，點了喜愛的生魚握壽司、烤魚與蒸蛋等，老闆特意招待一份炸雞翅，吃飽滿意離開，日籍老闆娘追自店外客氣告知營業至今日為止，將返回日本家鄉，這真令人感到吃驚難過，一家待客親切與料理風味樸實道地的日式料理結束營業，不僅是品嚐日式料理美食機會的損失，更有著感情上的不捨與失落，只能藉此預祝老闆闔家一帆風順、萬事如意！
 寶哥 ,https://www.google.com/maps/contrib/114390912161096587474/reviews?hl=zh-TW,4,True,58,點了炙燒鮭魚丼飯跟鹽烤雞肉串，鹽烤雞肉串烤的恰到好處，很好吃，但這家價格跟份量比沒那麼高，料理美味，想試試口味的可以來吃吃看。
 April Chen ,https://www.google.com/maps/contrib/113054307012469322615/reviews?hl=zh-TW,5,True,40,很棒的一間小區日式料理餐廳，點了綜合握壽司套餐（7貫）380元，副餐內容超豐富，有味增湯、茶碗蒸、小菜、白飯、甜點，握壽司的生魚片份量很大，芥末應該是老闆自己磨的也很夠味。另外還點了鹽烤松阪豬250元（沾醬好吃！）、蜂蜜芥末炸雞160元（份量超多）、和風炸雞翅4隻120元（很清爽不油膩推推），兩個人吃下來，一人500元的價格在台北市精華地段真的很便宜。老闆年輕時去日本拜師學藝後歸國開店了這間餐廳，在忠孝復興站社區巷子內，好吃的料理、周到的服務、實惠的價格，累積出很好的口碑，非常推薦！
 Nicole Nicole ,https://www.google.com/maps/contrib/103873454535895801334/reviews?hl=zh-TW,4,False,25,"點了味噌魚套餐跟蘆筍蝦手卷，魚很好吃很像自家煮的。週間晚餐吃不用等、排隊，填飽飢餓想吃日本料理的人的肚子。
希望能多一點熱食小菜的選擇～"
 theritalia ,https://www.google.com/maps/contrib/111852420509866179674/reviews?hl=zh-TW,5,False,12,"份量很澎湃，價格合理，食物美味
環境很溫馨
老闆娘也好溫柔
推薦第一次來的客人可以點唐揚雞，不會後悔☺️"
 Kuo-Jui Lai ,https://www.google.com/maps/contrib/103835948559789556195/reviews?hl=zh-TW,5,False,8,好吃價格合理推薦！
 林宏恩 ,https://www.google.com/maps/contrib/115638891355819847548/reviews?hl=zh-TW,5,True,22,食材新鮮美味！老闆在大阪學藝並娶了日本太太回台，好吃的料理，親切的服務！
 Sydney lin ,https://www.google.com/maps/contrib/108605036839141488939/reviews?hl=zh-TW,5,False,28,一夜干好吃，連怕腥的媽媽都喜歡，魚肉很厚又嫩，在東區這附近價格也算平價！
 Renee Chiu ,https://www.google.com/maps/contrib/115009105083826706432/reviews?hl=zh-TW,5,False,10,鹽烤松阪豬、特選握壽司都好好吃。尤其比目魚，「入口即化」太太太好吃了，是目前在台灣找到最優秀的一家。
 呂純敏 ,https://www.google.com/maps/contrib/114584550542721247248/reviews?hl=zh-TW,5,True,25,"客戶推薦在地老字號日本定食～老闆娘是日本人，講話真的好溫柔啊😘氣質滿分

東西簡單卻很美味"
 Kermit Chang ,https://www.google.com/maps/contrib/108179430651052583951/reviews?hl=zh-TW,5,True,143,食餐新鮮，好吃，沙拉真的甘甜，帶點酸酸的果醋，真的非常的棒。
 Celine Lee ,https://www.google.com/maps/contrib/112961971445591627640/reviews?hl=zh-TW,1,False,13,"實在不理解為何網路評價這麼好，鍋物的單價不算低，但是份量卻是少到無言...
怕吃不飽又加點一份花壽司，大概是我這輩子吃過最難吃的了！"
 Hermann Chien ,https://www.google.com/maps/contrib/113458977631158734237/reviews?hl=zh-TW,5,False,8,意外發現的日本家庭料理餐廳平價實在又美味非常好
 Chuwey Lo ,https://www.google.com/maps/contrib/113576603090986522753/reviews?hl=zh-TW,5,True,117,料多實在，烹飪手法好吃。但當天米飯偏軟，影響口感。改天再去吃其他料理
 Annie Chien ,https://www.google.com/maps/contrib/108216319728931426800/reviews?hl=zh-TW,4,False,16,"以商業午餐250來說絕對非常划算
可以選擇兩份主菜，對男生來說份量稍小，但是一般女生完全可以吃飽。
沙拉用了帶有芥末籽的醬，生菜全都撕成一口大小，非常用心。
醬燒雞肉的醬汁是湯的，口味稍微單一。即使使用了帶骨的小雞腿，還是煮的非常入味，而且肉很容易從骨頭上咬下來。
香燉牛筋則是切成極薄片，口味較鹹，且口感豐富，入口即化，如果配菜使用其他會豐富口味的蔬菜會更好。
唯一的缺點是白飯，明明使用小電鍋煮，卻吃到糊糊的飯塊，讓人難以吃完一碗，希望水加少一點或是換種米。"
 Agnes Chen ,https://www.google.com/maps/contrib/118274459189250105075/reviews?hl=zh-TW,4,True,28,生魚片新鮮，飯偏軟，炸雞推
 Hannah Chang ,https://www.google.com/maps/contrib/112460498028011181775/reviews?hl=zh-TW,5,True,114,很美味的餐點，價格實在。
 陳心頴 ,https://www.google.com/maps/contrib/104533426726119609811/reviews?hl=zh-TW,5,True,18,很有氣氛的裝潢，料理很新鮮好吃！
 小綠的朋友 ,https://www.google.com/maps/contrib/103691086812361731839/reviews?hl=zh-TW,4,True,322,大致上還不錯，但是地點離鬧區遠了點，從外面的忠孝東路走進來至少得3分鐘，若是從sogo復興走過來，還要再加個5分鐘。飯的口感不好，如果能像大戶屋那種就不錯了。老板從台大法律系轉換跑道的決心值得年輕的學子來思考。
 黃翠文 ,https://www.google.com/maps/contrib/115789556725317963247/reviews?hl=zh-TW,5,True,"1,260",口味不錯．價格合理
 Ariel Chu ,https://www.google.com/maps/contrib/103632687630720117786/reviews?hl=zh-TW,4,True,409,商業午餐CP值不錯！炸雞肉非常嫩，但茶水喝完沒有補有點可惜～
 伊万里民宿 ,https://www.google.com/maps/contrib/107095336559002891380/reviews?hl=zh-TW,5,False,8,超級好吃！cp值超高！大阪口味！也有大阪人的豪氣，量很多！強烈推薦！來台北必吃餐廳。
 葉麗華麗華 ,https://www.google.com/maps/contrib/111186524707788258766/reviews?hl=zh-TW,5,False,19,"1.親朋聚餐的最有親和力的地點
2.巷弄中溫馨日式料理就是這裡"
 黃柏洋 ,https://www.google.com/maps/contrib/115732950576878097030/reviews?hl=zh-TW,5,False,21,"太好吃了...只能這樣形容完全無話可說了
就是好吃而且價格是學生也能接受的
偶爾會想再來吃一次"
 小Q ,https://www.google.com/maps/contrib/105680876333858447921/reviews?hl=zh-TW,4,True,295,雖為小店，但五臟俱全，餐品多樣化。
 Samuel Hsiang ,https://www.google.com/maps/contrib/115650219451401181278/reviews?hl=zh-TW,5,True,76,老闆親切，食材新鮮，雖然位子稍少，不過很有味道。（可以提前定河豚料理，老闆擁有料理河豚執照）
 Lee Che Wei ,https://www.google.com/maps/contrib/111599846813654194741/reviews?hl=zh-TW,5,True,76,吃起來舒服順口，但米飯有點普通沒啥口感。但整體好吃。
 Rexi Hsu ,https://www.google.com/maps/contrib/111903860800601839386/reviews?hl=zh-TW,5,True,53,東西簡單好吃，商業午餐不錯
 Rico Chou ,https://www.google.com/maps/contrib/115662113572193218866/reviews?hl=zh-TW,5,True,36,"小巧精緻的好店
料理很棒
建議來訪前先訂位"
 chi chang ,https://www.google.com/maps/contrib/113308719865867494718/reviews?hl=zh-TW,5,True,23,是很棒的小餐廳，食物好吃。主廚是日本學藝歸來。
 Jimmy Chen (吉米陳) ,https://www.google.com/maps/contrib/103214947380531495343/reviews?hl=zh-TW,5,True,54,小而溫馨的日本料理店，值得一來再來。
 Alvin T ,https://www.google.com/maps/contrib/112598846931144855809/reviews?hl=zh-TW,5,True,255,樸實無華但真材實料的日式家庭料理。
 Chingyang Huang ,https://www.google.com/maps/contrib/102299777242837665293/reviews?hl=zh-TW,4,True,278,平價日本料理店，老闆親切，食材、味道都好吃。
 陳志輔 ,https://www.google.com/maps/contrib/114771385976198899135/reviews?hl=zh-TW,5,True,70,"口味偏清淡，價格中等。

會再去的那種。"
 Jennifer Lin ,https://www.google.com/maps/contrib/101364815221407546376/reviews?hl=zh-TW,4,True,346,日式道地美味餐點，門口有石階，略為不便
 Tzu-hsun Hsu ,https://www.google.com/maps/contrib/101297992976572673123/reviews?hl=zh-TW,5,True,870,味道不錯，好像有上新聞做宣傳過！
 楊紹熙 ,https://www.google.com/maps/contrib/107447429718364451355/reviews?hl=zh-TW,4,True,985,有罩政府要求有照政府規定的要求防疫措施
 Yolanda Tsai ,https://www.google.com/maps/contrib/116403916500489100643/reviews?hl=zh-TW,5,True,38,老闆娘親切食物道地經濟實惠的價格
 江柔薇 ,https://www.google.com/maps/contrib/118264165174022885905/reviews?hl=zh-TW,5,True,49,"料理美味
唯壽司的飯有點鬆"
 莊晉源 ,https://www.google.com/maps/contrib/107706052923259472990/reviews?hl=zh-TW,5,False,3,套餐CP值蠻不錯的~值得再去
 Lin Jessica ,https://www.google.com/maps/contrib/109305186785509342891/reviews?hl=zh-TW,1,False,1,整間店的油煙味，食物更是災難
 育政莊 ,https://www.google.com/maps/contrib/103309825013707902803/reviews?hl=zh-TW,3,True,261,不錯，可再去，但cp值不高。
 Shumin Kuo ,https://www.google.com/maps/contrib/115687627469454023535/reviews?hl=zh-TW,5,False,1,值得你一去再去的優質料理店
 gen shu ,https://www.google.com/maps/contrib/101622139801656826498/reviews?hl=zh-TW,5,True,402,"好吃
用心
乾淨
親切
便宜"
 Sean ,https://www.google.com/maps/contrib/114038562864234974641/reviews?hl=zh-TW,4,True,335,價格中庸，口味尚可
 林宜平 Eric ,https://www.google.com/maps/contrib/102931390854985770446/reviews?hl=zh-TW,5,True,415,這地點，這價錢，太好了。
 林小姐 ,https://www.google.com/maps/contrib/100394924621238889891/reviews?hl=zh-TW,4,False,5,平價5星級的日本料理
