user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 蒂寶 ,https://www.google.com/maps/contrib/100063021118055110860/reviews?hl=zh-TW,5,True,29,"存了很久的店、終於有機會來吃了！
餐點是配好整組、算人頭的
除了當日菜單以外，還有加點的單點菜單跟酒單
全部都是手寫的，有些字看不是很懂

生魚片部分，帶魚皮的腥味比較重
其他口感跟味道都很好
玉子燒很厚很鬆軟，配上醬油蘿蔔泥
但我個人比較喜歡有帶甜味的
炸牡蠣、炸春捲跟山藥薯條都是額外單點的
炸牡蠣的蘸醬是類似蛋黃塔塔醬，味道剛好不會太酸
炸春捲裡面包著濃濃的起司，咬下去還會爆漿
薩摩揚吃起來像口感比較軟綿的烤黑輪
裡面也是有包起司跟脆脆的類似章魚的顆粒
到這邊就快飽死了，但這時候才要上火鍋

火鍋我們選兩種不同的
一邊是櫻桃鴨醬油湯底、一邊是五花肉柚子胡椒湯底
五花肉要煮十分鐘，櫻桃鴨涮三十秒就可以了
整體下來個人比較喜歡鴨肉這邊
因為五花肉煮再久都還是覺得吃起來很肥很膩
可能也因為切的比較厚的關係
比較可惜的是大家都飽到吃不下了，就沒有吃到結尾的蛋汁粥
八個人最後結帳兩萬多，算是均消不便宜的一間店
希望下次還有機會來品嚐！"
 Cathy Chen ,https://www.google.com/maps/contrib/118420966307386032742/reviews?hl=zh-TW,3,False,13,"赤綠一直是我個人口袋名單上的餐廳，今年一月底去用的餐，九點多2位walk-in，過去前還有特別查營業時間才進入店內，完全遵照餐廳規定的時間。

當時的接待人員接待話術與語氣非常有待加強，如果是走預約制，可以現場說明清楚無法接待，我們也會配合離開，完全沒有問題的。

或許是為了配合防疫，但既然能接walk-in就不需要板著臉跟客人說「下次先打電話訂位」，走進店內看到也沒有幾組客人啊，飯都還沒吃感覺就不太好～

餐廳的菜單非常有特色，建議在有特色之餘還是要以能讓客人看懂為主。

此次用餐因為時間較短，所以沒有選招牌的火鍋，而是選擇單點菜色。

餐點口味平均屬中上，有些口味稍玩創意，無酒精飲料非常少（容量也很小，單價偏高…），不喝酒的客人可能要有心理準備。

1.用餐體驗覺得服務有待加強。連同後續入座後的點餐、上菜都覺得服務人員欠缺訓練，彼此缺乏溝通。
2.菜色份量較小，整體價格偏高。五道菜+生魚片x1份+紅茶x1+氣泡水x1，用餐費用4000元。

隔了幾個月，希望餐廳的服務已有改善，以上給大家參考。"
 MH L ,https://www.google.com/maps/contrib/113932039395088172782/reviews?hl=zh-TW,4,True,77,"非常舒服的店，一不小心就和朋友坐上好幾個小時！

食材新鮮沒話說，沒有過度調味，都是接近原味
除了白子我無法吃下去以外（但我想這說的問題），炸物都好吃到不行～皮薄酥脆！
魚、鴨都很新鮮，不愧是日本人經營的店，簡單乾淨又有品質！

美中不足的是無酒精比較少選擇🤣"
 1511 ,https://www.google.com/maps/contrib/102532934988548314550/reviews?hl=zh-TW,5,True,256,"非常滿意的一次用餐經驗
環境氛圍跟菜色都彷彿置身日本
店員很親切
菜單介紹得很詳細又不會過於積極

生魚片拼盤吃得出魚肉新鮮細緻
喜歡有炙燒風味的！可嘗鮮但價格偏高
玉子燒質地超棒味道則是淡雅樸實路線
當天最喜歡的是烤蔬菜佐白味噌好好吃！
朋友推薦的烤魚下巴也很讚份量十足
外皮烤得微脆裡頭的魚肉仍相當多汁
壓軸的櫻桃鴨火鍋也沒讓人失望
肉質軟嫩吃得到鴨的香氣
搭配店家特製的水果風味醬汁很清爽
附贈的菜盤也相當豐盛很有誠意

下次要再訪試試其他料理！"
 Woody Chen ,https://www.google.com/maps/contrib/100533179227570132403/reviews?hl=zh-TW,5,True,14,"隱身在東區的赤綠，不仔細找絕對會不慎錯過。

而入座在吧檯前方大約有十分鐘，看著手寫的當日menu著實無解，可能是滿臉問號的神情被服務人員看到了，才緊接著過來做介紹。

非常喜歡當日幫我們介紹的親切短髮女孩，雖然她跟我們說只來這邊工作第三天而已，但看得出來她很努力在了解菜色，並向我們介紹說明每道菜色的感受，如有疑問也不藏拙的去問老鳥，不會亂答覆我們，非常之好！

當點完餐之後，一旁坐來一組滿是煙味的顧客，等服務人員送餐來時，便小聲示意詢問可否等人潮散去能換座位，他們也馬上答應我們的請求。

就上述以上的服務，我能明確給上五顆星。

至於餐點，總體來說是挺不錯吃的，也相當有飽足感，但沒記憶點的料理多過於有記憶點的，如果再加上價格確實不太可愛，不過有機會的話，是會想再回訪試試看不同料理！"
 Hsu Shao-Yuan ,https://www.google.com/maps/contrib/114959781573566730794/reviews?hl=zh-TW,4,True,533,"Instagram：foodieparker

Rating：7.8/10
人均：$2500

“好吃推薦”
🔸屏東黑豬排骨/炸角煮：
排骨超出預料的非常嫩，還帶點肉汁
湯汁偏鹹，風味很足有加分
🔸春捲：
沒想到裡頭有包毛豆泥和起司，其濃郁滑順的味道很討喜

“還不錯”
🔸綜合生魚片：
大多都不錯吃，部分有炙燒或熟成，做出變化
🔸長琦活磯海螺：
口感非印象中純粹的彈，而又多了糯感
充滿海味，有推翻以前對螺的印象
🔸鴨肉火鍋/蛋汁粥：
鴨肉厚切依舊算軟嫩，但皮的脂肪咀嚼就稍微辛苦
味道ok，但還是偏好用煎的充滿油脂香
相較之下，反而更喜歡吸滿了鴨肉精華的湯頭，非常好喝
最後的蛋汁粥覺得改稱湯泡飯比較正確
🔸水章魚吸盤：
薩摩揚做法，用魚漿包裹去炸
不錯吃，可惜章魚本身存在感弱

“正常一般好吃”
🔸台南玉子燒：
滑潤非常嫩，吃的到蛋自身的甜及高湯味
🔸山藥薯條：
蠻香的涮嘴，可惜皮不會脆
🔸香魚：
刺好多，連兩天魚吃到心累⋯

“普通”
🔸長琦天然鱧魚/梅肉鹽漬蔬菜/穗紫蘇：
魚肉沒什麼味道，蔬菜加了不少芥末
一起入口也不覺得搭，這道吃不太懂

可惜人太多只能選套餐，無法單點
菜色大多都挺不錯，價錢偏貴"
 Una Chuang ,https://www.google.com/maps/contrib/115797157113765922521/reviews?hl=zh-TW,5,False,10,以各種手法料理海鮮，呈現出不同口感與風味，能吃到鮮甜的海味，搭上各式醬汁更是另一種樂趣！櫻桃鴨鍋是目前吃過最嫩的鴨肉，湯底鮮甜配上的蔬菜和青蔥，很讚！美中不足是蛋汁粥的米心不夠軟化，下次想試試烏龍麵！
 Yi Shen ,https://www.google.com/maps/contrib/101097663341163385917/reviews?hl=zh-TW,5,True,117,"東區小料理霸主應該就是赤綠跟阿鑫了
餐點完完全全沒有任何可以挑惕的部分
清酒的部分也非常多選擇～

如果真的要講缺點的話
可能就是不太好訂位+價格偏高
但當然是我口袋不夠深不是餐廳的問題

總之看到帳單覺得價格偏高
但是還是覺得心滿意足很值得的那種感覺

是一間不會吃膩，
也是一間吃了會在心中會有一定地位的小料理"
 Lisa Ho ,https://www.google.com/maps/contrib/111894120295286115311/reviews?hl=zh-TW,3,True,468,"整體調味清淡可能想強調食物原味
生魚單價雖高是因部分魚材特殊處理得當
相當美味算物有所值
其他雖好吃但並無特出
可惜友人不吃鴨肉沒點招牌的鴨肉鍋
當日點單
綜合生魚片~
本鮪魚熟成赤身(高知)
天然櫻鰤魚(三重)
墨魚(兵庫)
天然真鯛(佐賀)
天然白鯧魚(佐賀)
天然午魚熟成(宜蘭)
白甘熟成(熊本)
赤鱒魚熟成(長野鮭魚)
半熟烏魚子發酵奶油蘇打餅
水章魚青海苔莫扎瑞拉起司薩摩揚
玉子燒(台南古早蛋)
炸里芋關東煮手摘山椒粉
柴魚高湯煮冬筍日本銀杏炸
屏東萬丹雞腿柚子胡椒炸雞塊"
 Bei Lin ,https://www.google.com/maps/contrib/106360283227997931450/reviews?hl=zh-TW,2,False,14,"食材新鮮，口味不錯，櫻桃鴨鍋好吃，五花肉鍋肉實在是太肥了，幾乎都是肥肉
份量滿少，價格高，三道菜兩個鍋4400，同價位可以有更好的選擇"
