user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Peter Chen ,https://www.google.com/maps/contrib/110494124774661739707/reviews?hl=zh-TW,5,False,9,"好棒的燒肉店
肉質超棒服務也很熱情
適合週五下班後犒賞自己的好去處"
 林育丞 ,https://www.google.com/maps/contrib/108200886606324839281/reviews?hl=zh-TW,5,False,5,"在SOGO附近突然想吃燒肉找了一下
以外找到這間
門口蠻不起眼的

點了兩份的單人套餐
肉質吃起來都蠻不錯的餒👍
而且店員也會好心的提醒怎麼烤
下次還可以再來吃😋"
 DD chu ,https://www.google.com/maps/contrib/100962084840849648452/reviews?hl=zh-TW,5,False,5,"快樂快樂終於可以來吃肉了
本店實在是在難訂位啦還好有二店
服務很棒空間明亮乾淨整潔🤭🤭🤭"
 Ting Lai ,https://www.google.com/maps/contrib/111793585708334443823/reviews?hl=zh-TW,5,False,5,"肉質新鮮，和牛入口即化
頂級和牛牛舌（厚切）好吃😋
優質服務⭐️⭐️⭐️⭐️⭐️
金箔梅酒好好喝❤️
月見蔥花飯好好吃。
真理丼料多有松露、海膽、魚子醬、和牛、土雞蛋😋"
 Jolin Tsai ,https://www.google.com/maps/contrib/106438623951223441980/reviews?hl=zh-TW,3,True,436,"Unliketheoriginalbranch,thisoneisapersonaloven
Atpresent,thenewopeningisstillinthetrialoperationstage
First,thegoodstuffisgood🍖
Butthedisadvantageistwoguests,butonlycanuseoneoven
Idon'tknowiftheemployeeshaveuniforms,becauseyoucan'tknowwhotheemployeesare😂
.
跟原分店不同的是，這間方式是個人烤爐
目前新開幕，還在試營運階段
先說優點食材還是挺不錯的🍖
但缺點是兩個客人，但只開能開一個烤爐
不知道員工有沒有制服，因為看不出來誰是員工😂"
 Claire ,https://www.google.com/maps/contrib/112283480469124405343/reviews?hl=zh-TW,5,True,10,"A5和牛超好吃～～最喜歡的是美國頂級橫隔膜
但勝過食物的是店家的服務，不收服務費卻還能有這麼好的服務真的好難得，太值得稱讚了❤️
而且店內有一人位，對單身者很貼心"
 詠 ,https://www.google.com/maps/contrib/111857550655409018451/reviews?hl=zh-TW,5,False,8,"肉質新鮮超讚！服務也超讚！
還好有二店才能訂到位🥳
A5和牛首選燒肉店！搭配松露醬昆布鹽👍🏻讚讚的！"
 Toshi Peng ,https://www.google.com/maps/contrib/102271844203499866532/reviews?hl=zh-TW,5,True,36,頂級和牛牛舌實在太讚太好吃了。乾淨的用餐環境。創意的點餐方式。非常棒的店。
 Adeline Hsu ,https://www.google.com/maps/contrib/113308237545096181829/reviews?hl=zh-TW,5,False,7,週五晚上臨時決定來吃，剛好有位置，服務生感覺十分忙碌，但是還是很有耐心解說肉品，厚切牛舌好好吃呀！配酒好讚！👍🏻
 Kate Chiu ,https://www.google.com/maps/contrib/105668033145401981489/reviews?hl=zh-TW,3,True,40,"開幕後來了兩次，是兩次都有帶小孩的家庭客

優點：

1.環境明亮乾淨。
2.吃的出來食材很好，肉品或是蔬菜都很不錯。

缺點：

1.第一次去時全店只有我一桌，不懂為什麼直接安排廁所門口位子⋯訂位時有告知都有小朋友，小朋友也都入座了但餐具都要開口要了才會給（兩次都是）

2.明顯人手不足，許多安排感覺會先以店員方便為主，例如6大2小的桌子只開一鍋爐（想開第二鍋還要反覆確認）、想要加點店員會告訴你「想好還要什麼再一起點」，這些都不是太大的問題，但語氣都不是很好。

或是朋友們對話到一半，店員巡桌會直接很突然的說「你這個香蒜醬可以放旁邊不然會焦」（大家嚇到）

3.因為人手不足原因，當時即使店內只有3桌，但沙拉、白飯、啤酒都是在比較後面的順序才上桌，肉品大概都已經上了3-4道了

-

第一次抱著嚐鮮的心情來二店，諸多細節都令人有些不舒服，語氣太過於隨便是很大一點。（不是隨性～是隨便）

不知道是否因為定位是走年輕路線所以呈現這樣的方式⋯（但其實兩次用餐都陸續看到有家庭帶著小齡兒童用餐）第一次以為是自己想多了，第二次連同行爸媽也覺得傻眼

收不收服務費不是重點，而是店內其實有一些流程會令人不知所措⋯調整流程以及只接可負荷的客數是店家的責任，但是店員卻在客人有問題詢問時感覺滿滿的不耐煩

覺得蠻可惜的，因為餐點品質真的不錯⋯但滿滿嗆意的對話會讓人有點不舒服。"
