user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 mion yung ,https://www.google.com/maps/contrib/110286101355119641929/reviews?hl=zh-TW,4,True,339,"看了網路上的評價蠻兩極，實際上來吃，其實還不錯的。
一進來本來很擔心會很久才上菜，但其實連肉都很快上來，而且是星期天晚上人不少的狀況。
因為肉吃得不多，我們點了翼板，切片的大小很剛好，令人有精緻的感覺，稍微下鍋要變色的時候拉起來，真的會很嫩喔！覺得醬料可以再琢磨一下，有黑芝麻醬跟柚子醬由，可以加個海鹽是比較完整的。
湯頭的雞湯可以，是用心濾過的雞湯，但自己其時還是沒有很喜歡涮涮鍋牛肉+雞湯的感覺，但是喝下雞湯，不會油膩而且口齒留香喔！
炒飯還好，沒有那麼厲害。
最後收尾來了個豆花，一吃下去馬上想到公館的龍潭豆花，帶點小焦香味，可惜沒有再來點土豆香。
裝潢很美，只是音樂可以修正一下，不要放美式音樂，放點爵士或輕音樂會跟環境比較搭。
簡單來說，這是一間再努力一下就會很不錯的店，小細節再加強一下，包括換掉廁所的那一幅花鳥畫。
80分，再加強一下就很不錯。"
 pepetinggg ,https://www.google.com/maps/contrib/104295733490525789809/reviews?hl=zh-TW,4,False,117,"湯頭很棒，小菜涼拌魚皮很順口，白飯更換山藥泥飯跟炒飯都超好吃。甜點豆花也很好吃。伊比利豬好吃，海鮮也是新鮮的！
菜單跟官方看到的有出入，店員似乎是新來的不太熟悉，少一顆🌟"
 SALLY Chang ,https://www.google.com/maps/contrib/107257604801249770677/reviews?hl=zh-TW,4,True,489,"在食材上相當用心的一家店，丸子類據說皆是手工製作，店內座位寬敞不過位子不多建議提前訂位。推薦起司牛肉丸.蛋餃.炒飯.冰奶茶。

湯頭：🌟🌟🌟🌟
湯頭有點像滴雞精微酸口感，店員補充湯頭相當勤快，煮過蔬菜與肉品後，湯變得更加濃郁好喝。

近江牛腿：🌟🌟
有近江牛特有香氣，不過油脂不足導致肉質有些乾澀，十分可惜，下次會嘗試另一種牛肉。

炒飯：🌟🌟🌟🌟
加了些麻油味道濃厚夠味，不過有些偏油，建議搭配清燙蔬菜解膩，份量不小，吃了相當有飽足感。

豆花：🌟🌟🌟🌟🌟
非常厲害的豆花，帶些炭燒香氣，黑糖香醇不會過甜，豆花本身綿密細緻帶些豆香，讓人回味再三。

醬料：🌟🌟🌟
推薦酸黑醬搭配肉品，芝麻醬帶些胡麻風味搭配蔬菜，不過兩個醬都偏酸，有些單調。

旗魚漿：🌟🌟
感受得到店主用心，不過魚肉並沒有鮮美滋味，需要加強。"
 YAO YAO ,https://www.google.com/maps/contrib/115623201628654827655/reviews?hl=zh-TW,5,True,124,"店面不大但用餐空間不擁擠
所以位置不多建議要訂位
食材看得到店家的用心
湯頭是雞湯與蔬菜熬出來的
在還沒放食材前先把湯頭滾開
喝了一口原湯相當清甜
喝得出食材的淡淡的甜味
前菜選擇了泡椒雞胗和魚皮
麻麻辣辣很開胃
松阪豬份量剛好口感Q脆
海鮮類新鮮也都處理的很乾淨
菜盤皆是天然的原型食物很讚
單點手工蛋餃、雞翅都超驚豔
蛋餃現點現煎蛋皮香味十足
雞翅不是普通雞翅
去骨後裡頭塞滿滿的蒜頭
甜點的豆花也很好吃不會過甜

IG:yao_928"
 阿左 ,https://www.google.com/maps/contrib/104394419711832020009/reviews?hl=zh-TW,4,True,23,"藏身在巷弄內低調的火鍋店，裝潢以灰黑及木質風格呈現，有三個外桌其餘皆是吧台座位，乾淨俐落店內用餐氣氛非常好，座位較少用餐建議先行訂位。

點了「霜降牛」及「桂丁雞」這間另外讓我覺得要讚賞的是開胃前菜及副食選項，開胃前菜有泡椒雞胗、魚片及梅汁蓮藕三擇一，副食有加價換山藥蓋飯、特製炒飯、特製炒板條，最後分別點了「泡椒魚皮」、「梅汁蓮藕」、「山藥蓋飯」、「特製炒板條」最後又加點「手工蛋餃」、「手工鮮蝦漿」，湯底為鮮雞湯，濃郁的雞肉鮮味帶點苦瓜味道的甘甜，非常的好喝！菜盤內容物也讓人非常喜愛，沒有任何加工火鍋料在裡頭，開胃菜兩樣都非常好吃，「山藥蓋飯」表現中規中矩很耐吃份量也足夠，愛吃山藥的你絕對不要錯過，「特製炒板條」味道口感豐富，屬於偏甜的調味吃到最後有點小膩，兩人分食的話感覺最好。主餐肉類品質中上，「霜降牛」油花較多吃起來香氣十足肉質軟嫩，「桂丁雞」煮起來口感偏硬稍嫌可惜。
「手工蛋餃」個人非常喜歡推薦大家，「手工鮮蝦漿」表現中規中矩喜愛蝦子的您再加點即可。

用餐整體感受很好，份量也足夠，非常喜歡餐點以自然原味且無特別加工方式呈現，用完餐後非常舒適無負擔感，非常推薦大家前來品嚐。"
 Zam Huang ,https://www.google.com/maps/contrib/116123095916286875772/reviews?hl=zh-TW,4,True,152,"現場位置不多，建議都要先預約
之前來了兩次現場都要等很久
湯頭滿濃郁的，有雞精的感覺
加上蔬菜盤跟肉之後的湯更為甜美
這次點了莎朗跟松阪豬，肉的表現還不錯
多點了炒飯跟山藥蓋飯，這兩個也滿推的
牛肉起司丸非常Q彈
旗魚漿滿真實的，好吃
唯一的缺點大概就是價位太高，而且限時90分"
 張茹茵 ,https://www.google.com/maps/contrib/104807074980170168428/reviews?hl=zh-TW,5,False,5,"喜歡雞高湯🥰鮮甜而且層次蠻豐富的，很適合喜歡雞湯底的人來吃
環境舒服，整體氛圍都不錯
今天吃了梅花豬、霜降牛，喜歡牛肉軟嫩的口感，男伴點了一顆蛋，用雞湯煮蛋超級
我還另外點了山藥泥蓋飯跟炸雞翅
都很好吃
山藥泥蓋飯清爽，微微的醬油味很加分
雞翅應該是有先用香料醃過，很香，而且前節的骨頭有去掉，很貼心

最後要稱讚一下蝦漿
（沒有拍到照片）
整個都是蝦，沒有什麼粉跟漿
愛吃蝦又不喜歡剝蝦的人⋯直接點蝦漿吧
你會滿意的

而且而且，今天我們很幸運有私人包廂可以坐
就是冷氣有點冷
（坐六個人的話應該就會蠻溫暖的了吧

整體是很好的用餐經驗
會再訪"
 許肉魚（Low） ,https://www.google.com/maps/contrib/114462452575693686696/reviews?hl=zh-TW,5,True,163,在這裡沒有現成的火鍋料，從鮮蝦漿、旗魚漿、雞肉漿都是自己手打手做，甚至蛋餃還是現點現煎，選用台灣黑毛豬絞肉，加上蛋皮現煎後的香氣，絕對是本店必吃招牌之一。連甜點也相當講究，豆花可是每日限量手做，選用非基改天然黃豆，每一滴豆汁都親自手壓手捏，也不添加任何防腐劑，加上特製糖水，入口即化又不甜膩，感受到每一道食材準備的用心，最後必須來一碗私房豆花，才能劃下味蕾的滿足結尾。
 CWH ,https://www.google.com/maps/contrib/114785486171297695261/reviews?hl=zh-TW,4,True,384,"在微風對面的小巷子裡
滿特別的還沒點餐就會送上菜盤
湯底只有一種就是店家熬的雞湯🐔
喝起來清淡滿自然的建議沒煮前先喝口👍🏼

點餐屬於套餐式的
有前菜泡椒雞胗/魚皮/梅汁蓮藕
推薦雞胗泡椒吃起來酸辣開胃！
主餐可以選肉或魚
還有附副食飯麵粄條等
最後會上甜品是豆花
豆花是永和豆漿那種有燒焦味的
豆味很重個人沒有很愛

副食推薦炒飯
炒的很香味道也很夠很推薦👍🏼
麵也很有勁道稍微煮比較久也不會軟爛

肉的品質的話都不錯😋
這次點牛小排跟伊比利豬
都很有肉的味道厚度也夠

單點有一些火鍋料
或肉類海鮮蔬菜副食飲料酒都能單點
這次點一些火鍋料味道都還不錯
牛肉起司丸-起司很多會爆漿那種
旗魚漿-有加九層塔滿夠味的
蛋餃-蛋皮現點現煎

整體吃起來就是份量比較精緻
價錢相對來說偏高
算是吃巧類型的
兩個人吃下來花了2000多
供大家參考"
 Melody Hsu ,https://www.google.com/maps/contrib/113313210166065760025/reviews?hl=zh-TW,3,True,100,"餐點不錯，食材新鮮，環境舒適都沒話說，但相比同等類型的火鍋吸引再訪的誘因幾乎沒有讓人回味的特色（個人用餐經驗下）。
有點可惜的是店打造的氛圍與服務人員的專業度有點差距，加上都非常年輕讓人明顯覺得是工讀生，我們兩人正餐還未結束服務人員就輪流急於想收拾掉其中一鍋及餐具，覺得店家在訓練上可以更精進。
另外主食肉品上餐速度過慢，先生把菜盤煮熟都快食用完畢了才來肉盤，有點太慢了。"
 Foxcy Chen ,https://www.google.com/maps/contrib/110766501205982120470/reviews?hl=zh-TW,5,True,974,覺得每個細節都有注意到的厲害餐廳，湯頭是用雞湯很特別，一開始清淡，煮到後面很厲害，菜盤裡的東西感覺都是挑過的，每個食材都很精緻
 Hannah Lin ,https://www.google.com/maps/contrib/107492848539098334559/reviews?hl=zh-TW,4,True,192,"是一間不太會再造訪的鍋物店（純屬個人偏好）
但是一間服務親切質感好的優質好店(⁎⁍̴̛ᴗ⁍̴̛⁎)
✨內文有附Menu✨

主打熬煮30小時的媽媽家傳雞湯🥣
由於個人口味偏好還是比較喜歡昆布湯底的鍋物
但雞湯的湯頭真的是濃醇香～🐔
肉質的部份鮮嫩好吃
開胃小菜的泡椒魚皮很好吃！！！大推👍
附餐拉麵的部份也不太推薦給大家～

另外我們有額外加點蛋餃以及柚子酒
柚子酒好喝(๑>◡<๑)

蛋餃的部份網路上看是寫「現煎」蛋餃
但上桌時是冷的是我誤會什麼了嗎🤔
現煎不是應該會是熱的嗎"
 陳勇豪 ,https://www.google.com/maps/contrib/113427245241791829176/reviews?hl=zh-TW,5,True,70,環境氣氛食物服務都很到位，老實說我覺得這樣的CP值蠻高，湯底雞湯非常好喝，看別人推薦的雞翅真的好吃，會再來光顧，感覺家人聚餐也會很適合，只是位置不多，要先訂位。
 Jane Chang ,https://www.google.com/maps/contrib/116710890346398941413/reviews?hl=zh-TW,5,True,129,"環境很棒，氣氛佳～

菜盤很精緻大方！
手工蝦漿跟手打雞肉漿
吃的到天然食材的鮮美！

蛤蜊肉很大顆！非常新鮮～
肉很漂亮也很鮮嫩可口👍🏻

還有山藥泥飯，現磨的超好吃😋
外面找不太到居然在這裡吃的到！
太滿足了～～

家傳雞湯湯底也很清爽❤️
選用數種蔬菜、辛香料、雞骨、雞腳、全雞，熬煮超過30個小時後，去油瀝渣吊出清雞湯，每個食材風味完美融合，再加上金華火腿提鮮，湯頭完全無味精，上桌前只取一匙鹽。

真是超級經典的湯頭👏🏻

這些這麼厲害的食材
配上經典的紐西蘭白酒真棒👍🏻👍🏻👍🏻

最後的手工豆花也是店家自己做的
很濃郁的豆花～
覺得都要贏過外面知名豆花店了呢😆"
 微笑的夜食動物M ,https://www.google.com/maps/contrib/112482099759072353343/reviews?hl=zh-TW,5,True,22,"金黃帶白的湯底加入大量蔬果,香料,全雞,雞骨,雞腳熬煮30小時以上,撇油去渣的清雞湯再加入金華火腿提味.以餐廳老火湯的作法.來做火鍋湯底,不添加味精,完成前再加入一小匙鹽調味.在下任何食材之前,建議先加熱湯底,嚐嚐濃稠充滿食物精華的原味.
吃的清淡的人其實肉片與蔬菜涮過雞湯已很有滋味,也可以沾取自製的水果醬油(像是淡和風醬油加桔醋醬適合蔬菜)與黑胡麻醬(我拿來沾肉類),喜歡吃辣的人也別忘了跟服務生要手剁辣椒生辣椒

不論是外帶或內用,完食後餘韻流香唇齒中,感受到老闆要表達的自然與純粹.我們常常在追求食材的高級,卻總是忘了細細品嘗食材原本的味道,菜葉清甜,菜莖爽脆多汁.玉米是軟糯帶甜..建議不要一整鍋煮熟,一樣一樣慢慢下鍋涮,讓食材充分的吸收雞湯的精華!"
 Thea Yang ,https://www.google.com/maps/contrib/105685805653906330988/reviews?hl=zh-TW,5,True,238,"餐具都選的很用心，食材很新鮮好吃

很喜歡炒板條與炒飯！味道超香，炒飯粒粒分明，板條非常有厚Q有嚼勁，雖然很厚但味道都有進去，吃起來很過癮

蛋餃也是現做，內餡有種在吃小籠湯包的感覺"
 Chingyu Liu ,https://www.google.com/maps/contrib/105839190519195977771/reviews?hl=zh-TW,5,False,29,湯超好喝，蔬菜超甜，白飯超好吃！！！飯好吃到我跟朋友結帳還要再問一次店員到底怎麼煮的用什麼煮的。海鮮比肉還要好吃，很新鮮很甜，附餐的豆花也超讚。
 Emma Peng ,https://www.google.com/maps/contrib/113950648981799679824/reviews?hl=zh-TW,4,True,215,"牛小排肉質非常好蛤蜊也很鮮甜（蝦普通）
雞湯湯頭滿特別的但吃完火鍋味很重"
 S Liu ,https://www.google.com/maps/contrib/117402803334204425043/reviews?hl=zh-TW,5,True,39,"這是我吃過湯頭最棒的日式火鍋，濃郁香醇的雞湯清爽不油膩，牛肉和海鮮都非常新鮮，菜盤也很豐富，有三種不同的葉菜類、三種菇類、少見的紫薯、白玉苦瓜等等，單點的豆皮是新鮮的，不是油炸，手工拉麵是必點，真的非常好吃！不愛吃拉麵的我也被驚艷。

另外特別值得一提的是服務生很細心，用餐當天我因為突發脹氣胃痛停下筷子休息，服務生們很快就發現並上前關心，還提供了止痛藥給我，讓我可以舒服的把飯吃完，真的非常感謝！會一直回訪的！"
 Evon Hung ,https://www.google.com/maps/contrib/108270562576481765392/reviews?hl=zh-TW,3,True,271,真的是被火鍋耽誤的炸雞翅店！下次來，可能會直接單點炸雞翅，好好吃雞翅，雞湯和桂丁雞都有很重的雞味，不是我喜歡的那種，德朗的雞湯雞肉好吃很多，雖然價錢也差一半，不能比較，但小菜和雞翅真的太好吃了！火鍋不會想回訪！醬料不錯，份量較少，可以再要！服務不錯！環境可以！但雞湯火鍋🙅菜盤新鮮！
 彭凱沅 ,https://www.google.com/maps/contrib/104832471646826833023/reviews?hl=zh-TW,5,True,22,剛在旁邊的健身房練完來補充肉，走近店內氣氛很棒，肉品、湯頭口味很好，菜盤新鮮度絕佳，以這個價位來說cp頗高；其他細節做的不錯例如廁所乾淨、擺設整齊簡潔，看的出店家用心經營，值得回顧再回顧！
 千HSu ,https://www.google.com/maps/contrib/104951520651759325282/reviews?hl=zh-TW,5,True,64,雞湯底的火鍋，相當清爽無負擔，食材新鮮，副餐還可加價點炒粄條或山藥泥飯，都很美味。
 Sophie Tian ,https://www.google.com/maps/contrib/109862566928434662029/reviews?hl=zh-TW,5,True,369,"小菜開胃
環境乾淨
湯頭純粹
醬油佐料日式不死鹹芝麻佐料滑順好新奇
菜盤新鮮
手工丸必須點！
必須二訪～"
 Alice Hsu ,https://www.google.com/maps/contrib/103816556490956829782/reviews?hl=zh-TW,5,True,67,餐廳座位不多，剛好有訂到包廂，用餐起來蠻舒適的，湯頭是純雞湯，附餐的肉質很新鮮，配餐的蔬菜(沒有加工火鍋料)也是，吃下來沒有太大負擔
 MINEE WU ,https://www.google.com/maps/contrib/107079192233905563679/reviews?hl=zh-TW,4,True,213,"店內環境氣氛不錯！
湯頭偏清淡，牛板健真的好嫩啊！
只是吃到一半桌子邊緣會有螞蟻大隊在桌上爬…稍微有點不ok"
 汪汪 ,https://www.google.com/maps/contrib/108221895304582556695/reviews?hl=zh-TW,4,True,31,食材看得出店家的用心，擺盤也很精緻，一切以最簡單的方式讓顧客吃到最原始的美味，美中不足的是一開始有和服務人員告知食量不大要共鍋，但可能是因為忙碌所以忘記直接上了兩個鍋及菜盤就走掉了，所以最後還是點了兩份，最後甜點吃不下有點小可惜，推推奶茶👍🏼好好喝
 布丁 ,https://www.google.com/maps/contrib/102853564968906162211/reviews?hl=zh-TW,5,True,72,"推爆！！
超好吃但是常常比較晚過來
雞湯真的鮮到不行蔬菜真實的味道完美呈現
飲料也是超級好喝
喜歡山藥泥蓋飯跟炒飯炒板條
真的是一家什麼都好吃的店
龍蝦還幫忙去殼省了很多麻煩
醬料也很加分
小菜魚皮真的大推

會一直來用餐"
 Ya Chen ,https://www.google.com/maps/contrib/115656095866859110161/reviews?hl=zh-TW,5,True,20,"湯頭真的很好喝，開胃菜雖然會辣但是很好吃
空間寬敞氣氛很棒，給人的感覺很舒服"
 Nini Hsu ,https://www.google.com/maps/contrib/100830998741855695744/reviews?hl=zh-TW,5,True,61,整體食材都能吃到原型食物的味道，氣氛讓人感到很舒適輕鬆，整體服務態度非常好。會讓人想繼續再訪～
 Verna Liu ,https://www.google.com/maps/contrib/115089941567875649774/reviews?hl=zh-TW,5,True,48,"Instagram:liulight
🔆長孫shabu-shabu「目前僅供應一種湯底，端出的特製雞湯湯底必須熬製超過30個小時，將老母雞、洋蔥、番茄、紅蘿蔔、甘蔗等數種蔬菜等長時間的熬煮，接著去油瀝渣，呈現出清透的清雞湯，沒有添加味精，留下最自然的甘甜。」
🍽用餐環境:低調典雅的用餐環境，情侶、朋友聚餐(1-2個人就可以約)
—————————————————————————
在訪意願：86-88%超級超級好吃😋😋😋😋😋

🔅沙朗牛火鍋套餐(主食可加購換,炒粄條,山藥,炒飯都超好吃)
NT$590
🔅蛋餃(老闆現煎,把生肉包起來)
NT$75兩份
🔅手打鮮蝦漿
NT$135"
 Aaron Chang ,https://www.google.com/maps/contrib/107129844165695928003/reviews?hl=zh-TW,5,True,106,"海鮮很鮮甜
湯底清爽開吃之前我喝了幾口
服務員更是優秀…觀察入微體貼又細心
非常棒的用餐體驗"
 Tora z ,https://www.google.com/maps/contrib/108358790936814633626/reviews?hl=zh-TW,5,False,13,"湯底很甘甜，可以襯托食材的原味
前菜、菜盤、主菜、甜點都很用心
點了近江牛的兩個部位，肉味很夠、很香，喜歡滑嫩口感的建議點上肩，喜歡紮實口感可以點腿肉，可以跟店家要鹽巴，單純配肉就很好吃
龍蝦會幫忙處理好，直接下鍋即可，非常方便吃
醬料看起來也有特別調配過，不過個人比較喜歡吃原味，食材夠新鮮搭配湯頭直接煮就都很鮮甜
甜點是比較強調焦味的豆花，配上甜湯很剛好，蠻有記憶點的
服務也很不錯，一定再訪"
 Emily Iorsh ,https://www.google.com/maps/contrib/117268961641040894329/reviews?hl=zh-TW,3,True,19,雞湯鍋底很特別，山藥泥蓋飯很好吃，上餐速度蠻快的，人到齊了就直接上鍋底、菜盤和醬料，建議店家可以花點時間多介紹一下，也可順口詢問一下客人有無對食物過敏，今天差點吃到含花生的醬料了
 桃樂絲 ,https://www.google.com/maps/contrib/106308756268119989404/reviews?hl=zh-TW,1,False,30,"一顆星都嫌多
進場的時候只有一桌兩人用餐
套餐內容包含前菜、肉品、菜盤、主食及豆花
菜盤是預先放在桌上了
但
———————————————————————
等到菜盤都吃光了
肉品、主食都還沒上桌
然後隔了半小時開始陸續上肉品
點餐後大約40分鐘前菜、主食都沒來
好不容易等到肉品也都快吃光了
飯、啤酒、飲料、加點品項還是沒來
甚至同桌的兩人等肉品等了整整一小時
其他人都吃完各自的肉盤他們的才剛上菜
然後吃完肉盤👉🏻白飯才來😂
真的是蠻誇張的明明不是剛開幕
出餐的流程完全亂七八糟
現場也才三組客人啊⋯⋯

備餐櫃檯有兩位工作人員走來走去
我都想幫他倒啤酒了機器就在身後啊⋯⋯
甚至準備買單了現煎蛋餃才來

雖然鍋底雞湯好喝肉品也一般
看著點餐的小姐拼命賠不是
目睹後場人員在下單後還站著不動
大聲的開關冰箱吃餅乾
我覺得那個女生適合更好的工作環境
第一次把火鍋當成法餐再吃
先吃光菜盤再吃肉再吃前菜😆再吃白飯
前菜都不前菜了"
 Jason Wu ,https://www.google.com/maps/contrib/116901107191069205025/reviews?hl=zh-TW,4,True,313,中高價位火鍋店。食材皆為新鮮原物，非加工火鍋料，湯頭清新不油膩，整體用餐體驗良好，願意再訪，推薦！
 Ice ,https://www.google.com/maps/contrib/107008104063396869954/reviews?hl=zh-TW,4,True,608,"2021.10.02初訪
舒適的用餐環境
吃的出從食材到醬料的高新鮮度
湯頭屬溫和的雞湯風味
真心不錯
肉質梅花豬、霜降牛
常規的肉風味，食材保存的很好
蛤蜊豆皮非常新鮮
蛋餃現點現煎蛋香味稍嫌不足，但整體口感扎實
整體蠻喜歡的以此紀錄"
 Shao ,https://www.google.com/maps/contrib/118117078873727228341/reviews?hl=zh-TW,5,True,72,"還不錯食材用料也很不錯，湯頭很好喝，就算煮久了也不會像是外面那樣糊掉的感覺！！服務態度很好⭐⭐⭐⭐⭐
會再度光臨的！"
 台灣派對 ,https://www.google.com/maps/contrib/110462446674481155345/reviews?hl=zh-TW,5,True,114,生日慶祝小聚會，來點佈置有氣氛。女主替爸爸過生日安排佈置生日驚喜。任務完成✅
 PETER YEN ,https://www.google.com/maps/contrib/104133124403793781356/reviews?hl=zh-TW,4,True,257,"聽朋友大力推薦後前往

吃完心得
菜盤內的高麗菜竟然是用切片
煮起來菜味很重非常難吃
當天點的肉品是到菜盤快吃
提醒服務人員後才上

湯頭是真的值得推薦
煮到最後也非常濃郁"
 Mina ,https://www.google.com/maps/contrib/106312997220568648078/reviews?hl=zh-TW,5,False,5,"好吃到我已經飽到快吐了還是想一直往嘴裡塞⋯⋯
店員人態度很好也很風趣（然後也蠻帥的）
不過湯頭感覺是比較健康天然的那種，像我這種洗腎飲食派就會想跟他們要鹽巴加進去，所以愛重口味的人可能要⋯帶鹽巴？
然後飯後甜點簡直是畫龍點睛錦上添花無與倫比"
 Natalie Tseng ,https://www.google.com/maps/contrib/114760853529255276296/reviews?hl=zh-TW,5,False,31,"和姐妹度過了美好的夜晚！
天然雞湯湯頭很香～肉質也很優質！
店內裝潢氣氛都很適合放鬆來吃鍋享受
清酒也很推薦👍🏻👍🏻
推薦蛋餃很好吃
拉麵也很Q彈！
下次還要再來
重點是老闆是帥哥親切有禮"
 張宇頡 ,https://www.google.com/maps/contrib/112656248213188230954/reviews?hl=zh-TW,5,True,121,很有質感的個人鍋物肉質軟嫩牛肉跟海鮮都推是個約會聚餐不錯的選擇吧台設計也很棒環境佳餐點佳服務佳
 賴果凍 ,https://www.google.com/maps/contrib/116350094662164619267/reviews?hl=zh-TW,3,True,178,"應該說這是第二次來訪，記得第一次來吃的時候被食物驚訝，也被服務驚訝，但是，這次來吃的時候，食物是還ok，但是服務減少了，也許是因為人力，也許是.？我不知道，只知道很快就會收走盤子，但是不太會幫你加湯.？
可能湯很貴吧，反正也不缺我一人，再見，長孫。"
 邁思 W. ,https://www.google.com/maps/contrib/117636399733812016303/reviews?hl=zh-TW,5,True,46,中等價位環境非常舒適有情調充滿日式設計感服務態度優良菜盤水準高有提供近江牛及各式海鮮火鍋湯底是熬煮48小時的雞湯清爽順口
 CC Lin ,https://www.google.com/maps/contrib/116859809502314365111/reviews?hl=zh-TW,5,True,108,"服務很好👍雞湯蠻好喝肉份量也蠻多
蛤蜊也很新鮮飲料跟豆花都好吃😋"
