user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Nana Chen ,https://www.google.com/maps/contrib/102051909188077460323/reviews?hl=zh-TW,3,True,89,"——二訪更新——
餐點品質不太穩定所以只給了三顆星
上一次份量很少這次突然變2倍多前一次不知道是不是大廚剛好休假酸辣海鮮不入味份量很少且洋蔥嗆辣這次整個變好吃唷(惟蛤蠣蠻生的)～
但是此次服務態度變很差勁第一次來的時候點蒸蛋真的被驚艷到層次分明而且是很創新的料理可以想像要層層分明的難度很高那次廚房蒸的不漂亮還主動說因為廚房蒸失敗所以請我們再稍等他們重新做這次則是上菜的當下直接傻眼一看就是失敗品挖開來蛋都一孔一孔的跟服務員反應蛋跟魚蒸的有點太老之後該名服務員說「因為要蒸熟」聽了真的怒欸因為要蒸熟所以蛋佈滿蜂窩狀又很老、缺水、無彈性？？？而後服務員說請我們等一下她去問問就再也沒回來過也無其他店員來了～(直到離場都沒有的那種😂😂)
不過這家的飲品真的很好喝唷泰式厚奶茶很濃厚真心推薦泰奶給大家！！

——一訪心得——
這家餐廳有許多極巨特色的泰式料理
1.涼拌海鮮很常見的料理但是上面竟然放了一顆大干貝但此辣是洋蔥的辛辣我個人不是很喜歡
2.第三屆炒飯王比賽創意巨星特色炒飯得主冬蔭公炒飯剛開始吃想說這三小一點味道都沒有但竟然有堅果尾韻很特別可一試
3.號稱全台灣最厚的月亮蝦餅本來以為是噱頭而已但這道是我這餐最愛的料理(推👍🏻
4.紅咖哩鮮魚蒸蛋感覺是個很少人點的菜廚師一開始做失敗我們多等了逾20分鐘讓廚師重做原本以為只是個蒸蛋但超驚豔蛋的最底下墊著椰肉最上面的鮮魚相當鮮甜值得一試的特色菜但有點膩就是了…
另外也推薦泰式厚奶茶非常好喝只是半夜會睡不著覺～～"
 Liu Aaron ,https://www.google.com/maps/contrib/102763265419751793708/reviews?hl=zh-TW,5,False,10,"應該是第五次來用餐
餐點口味、環境都不錯，價格中偏上

酸辣拌海鮮口味很愛，用料也夠
鳳梨炒飯加上咖喱牛的濃郁口感，
搭配著一起入口，真的很美味

第一次點羅望排骨，也還ok，
但有點偏鹹，建議配著白飯一起享用

是我們家人都很喜歡的一家泰式餐廳"
 Lucifer ,https://www.google.com/maps/contrib/110988550150462286671/reviews?hl=zh-TW,1,True,71,"吃到臭酸壞掉的食物。
先是還有兩道菜還沒上，甜點芋香甜紫米就先來了，不過是小事，不打緊。
過程中服務人員都很好，對於詢問與要求，都很熱心回答，態度積極熱情。
最後的甜點”摩摩喳喳”裡面的龍鳳果是壞掉的，導致整個口腔裡都是臭酸的廚餘味。
現場反應之後，當班主任表示廚房已下班，留下電話會再回覆。
當晚23：50即訊息來表示已試吃了同一罐龍鳳果罐頭，確實是有”發酵”的口味（廚房不是已經下班了不能確認嚒？）
隔日晚間經理來電，表示知曉此事，也感到抱歉，除了廚房下班之外，也因為當日包廂還有客人，所以沒有當場確認龍鳳果（其實我不是很能理解包廂有客人，跟不能到廚房確認食物狀況之間的取捨為何？）
兩位主管的處理方式是以我們之後若願意再回餐廳用餐，會給予招待或補償。
其實罐頭食品會臭酸，想當然爾就是保存方式不當，或是拿取過程中遭到污染，如果連最不容易壞掉的罐頭食品都能臭酸到不察覺，那廚房裡其它食材能有多被認真以待？
主管們很積極處理用餐發生的問題，是很值得讚許的。
但是您們廚房品管我已經不敢領教。"
 黃睿峰 ,https://www.google.com/maps/contrib/104148080530268997950/reviews?hl=zh-TW,5,True,188,"初訪香茅廚泰式餐廳
結合泰式與真心台菜
可同時點兩種風格的風味餐食
泰式軟殼蟹一直是我的最愛
酥炸至軟嫩與酥脆之間
沾上泰式沾醬特別的酸中帶甜

蝦醬空心菜很到味
一同四人朋友有三位不吃辣
辣味請廚房降低
很地道的一道

鹹蛋黃海鮮咖哩
這道不太辣，味道適中
卻很下飯呢～～～～
料多醬汁多汁好下飯
搭配泰國米吃起來很美味"
 hua ,https://www.google.com/maps/contrib/104712881480103664322/reviews?hl=zh-TW,5,True,129,整體口味好吃價格偏中上月亮蝦餅如果餅皮是酥的感覺更好不過這很主觀蝦餅也是我吃過最厚的一家冬蔭炒飯有特色可以點來嚐鮮綠咖哩牛裡的牛肉有好幾塊比較難嚼不過口味還是很好下飯
 DD o ,https://www.google.com/maps/contrib/116987714325343597086/reviews?hl=zh-TW,5,True,126,夜景很美、服務態度很好、用餐很舒適、食物非常美味，唯一一點就是10人套餐對10個年輕人稍微少了一點，如果再多一樣菜的話比較剛好，印象最深的是前菜青木瓜沙拉及軟殼蟹，相當美味。
 kaka Chen ,https://www.google.com/maps/contrib/103633359762339639544/reviews?hl=zh-TW,4,True,71,"店內有真心台菜或香茅廚的泰式料理可以選擇，也有包廂，適合公司聚餐，或家庭聚餐，看到第三屆炒飯王，就被吸引過來了！
這邊的月亮蝦餅，是比較厚實的，吃得到蝦子的鮮味，又帶有嚼勁，很特別也很好吃的一道料理！
紅咖哩鮮魚蒸蛋，應該也是需要功夫的一道料理，魚肉鮮嫩，蒸蛋滿滿的咖哩味與椰香，底部還有椰肉，很有層次感的一道菜，個人覺得配飯一起吃，才不容易覺得膩，非常特殊的料理！
第三屆炒飯王的冬陰功炒飯，除了有冬陰功湯的泰式辛香料外，又多了松子入味，拉高了整個層次感！
會想再來吃的餐廳！"
 許瀚升 ,https://www.google.com/maps/contrib/112915056625060739640/reviews?hl=zh-TW,4,True,250,"泰式與台式的菜色都有整體好吃精緻價格偏中上份量偏少飯40元/人吃到飽

月亮蝦餅很厚好吃

冬蔭功炒飯特殊好吃

綠咖哩-牛肉超大塊超嫩"
 諶彤彤 ,https://www.google.com/maps/contrib/100857095346486887500/reviews?hl=zh-TW,1,True,26,"1/9中午至餐廳用餐
用餐體驗非常不好，尤其是服務的部分

1.點餐時我們有事先詢問店員刷國泰世華是否有折扣，店員告知有，但並沒有說明套餐無法使用信用卡折扣優惠，因此用餐結束才發現不能使用優惠，感受很差。

2.套餐有一道紅咖哩牛肉詢問服務員是否可以更換，服務員說不行只能更換咖哩類的商品，因此我們想補差價換黃咖哩海鮮，結果服務員說只能牛肉換豬肉，那為何先前又跟我們說餐點可以更換。

3.打包的部分請服務員將哪些分開，哪些裝一起，但服務生還是把所有東西都分開包裝。

4.店面桌的客人在湯品中吃到像是「塑膠袋」或「塑膠片」的添加物，應該是廚師在料理過程中不小心「加料」了，但服務員的處理也是慌慌張張、莽莽撞撞的不知道在做什麼，我相信那桌客人的體驗也很不好。

5.餐點的部分尚可，涼拌海鮮很下飯，海鮮很新鮮，米飯很香，松阪豬意外的好吃，但蝦餅有點差強人意，很像在吃火鍋料的蝦餃丸子，跟平常吃到的月亮蝦餅不太一樣，有點失望，冬蔭功炒飯有點太鹹，點心的摩摩渣渣很好喝，很像芋頭西米露。"
 蕾萌皇后早午餐檸檬吐司 ,https://www.google.com/maps/contrib/113001550297311049482/reviews?hl=zh-TW,5,True,48,平日有吃到飽的，假日單點如果吃膩×城之類的，這間還不錯可換換口味
