user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Peng Tina ,https://www.google.com/maps/contrib/106994028681787108379/reviews?hl=zh-TW,5,True,39,"🍴培根香腸早午餐$320★★★★★
厚切培根、早安香腸、生菜沙拉、薯格格、炒蛋、麵包

炒蛋非常濕潤滑嫩、奶油香氣濃厚，不知道是用了幾顆蛋，份量多到差點以為在吃蛋捲😆厚切培根給了兩大片，雖然有點肥但也不會過於油膩，香料肉腸則是超級多汁！就連一旁的薯格格也很美味😍

🍴起司牛肉烤餅$350★★★★☆
烤餅、莎莎醬、玉米脆片、薯格格、生菜沙拉

餅皮超薄脆的牛肉烤餅，內含彩椒、切達起司、洋蔥與澳洲牛肉，餡料算是給得十分大方，不會讓人感到空虛，咬開後還會不小心爆出來🤤而且共有六片之多，女生有吃不完的可能性🤣配上一旁的玉米脆片與莎莎醬，滿滿的墨西哥風情！

🍴紅茶/綠茶芝士奶蓋$120★★★★★
早午餐店竟然有奶蓋茶，而且還這麼好喝！茶的甜度大概介於微糖-半糖之間，綠茶帶有茉莉香，喝起來與綠蓋茶很類似，只是上面的奶蓋沒有綠蓋的那麼鹹，味道偏甜一些

🔍IG：titi_eatfood有更詳細介紹"
 朵莉絲的西點工坊Doris ,https://www.google.com/maps/contrib/107604878710592466272/reviews?hl=zh-TW,5,True,435,"四月份新開的早午餐店，好像是澳洲風格的餐點～⁡
用餐當天有下雨，我們在門口看菜單，就有服務人員出來招呼！⁡
原本其實是打算外帶，店員請我們入內慢慢看菜單，雖然店內空間不算大，大概可以容納20人，座位間隔滿大的，就決定直接內用了😆⁡
⁡
潔白簡約的裝潢，廁所很高級，餐具很有質感。⁡
菜單一面中文一面英文，客單價約300元左右。⁡
⁡
❇️松露烤餅$280⁡
⁡
份量比預期多且豐盛，松露的味道不強烈，取而代之的是蒜香～⁡
⁡
醬料有莎莎醬跟酸奶醬，酸奶我本身比較不敢吃，但莎莎醬配玉米片很好吃，是一大亮點，酸酸甜甜很開胃😋⁡
⁡
薯條超酥脆，但對我而言有點偏鹹。⁡
沙拉搭配和風醬，清爽好吃，每一口都可以吃到醬～(我不太敢吃沒醬的生菜)⁡
⁡
❇️C套餐$120⁡
濃湯、飲料、甜點三選二⁡
⁡
原本要點有薯條或沙拉的B套餐，店員提醒餐點裡已經有薯條跟沙拉，問我們要不要改點A或C，於是就改選了C套餐(濃湯+甜點)⁡
⁡
❇️蘑菇燻雞濃湯⁡
⁡
有淡淡的洋蔥清香，燻雞跟蘑菇都好吃，以麵包丁、黑胡椒點綴，很好吃👍⁡
⁡
❇️香蕉蛋糕⁡
⁡
可以品嚐到濃郁的香蕉香氣，口感紮實，有點溫熱感，應該是有加熱過才上桌。⁡
香草冰淇淋有搭配餅乾碎跟杏仁角，甜點部分都不錯～⁡
⁡
❇️美式早午餐-德式香腸$320⁡
⁡
香腸口味比較淡，像是水煮再煎過。⁡
炒蛋口味也偏淡，麵包不錯，吃完會有飽足感。⁡

IG:dorisbaseball"
 Kate Babe ,https://www.google.com/maps/contrib/102755736003524514174/reviews?hl=zh-TW,5,True,47,店內乾淨舒適，店員非常貼心仔細，營業時間早上八點開始非常吸引人，餐點感受得到用心好吃、擺盤精緻漂亮，沒有限時能盡情的享用餐點，會再回訪。
 林宛臻 ,https://www.google.com/maps/contrib/104722023432041652119/reviews?hl=zh-TW,5,False,2,"今日5位朋友聚會用餐，餐點份量超足夠，擺盤用心，餐點好吃，老闆也熱情服務，還招待甜點，環境加，停車也方便
很適合三五好友相聚的好所在"
 Huang Chih Yi ,https://www.google.com/maps/contrib/115808164751584358313/reviews?hl=zh-TW,4,False,18,"首先這應該沒有辦法成為大安區東區超強推薦🫣

大家都推薦的煙燻鮭魚有很明顯的魚腥味
即使鮭魚已經相對鹹了依然無法掩蓋那股不好的味道🤔
莎莎醬跟酸麵包都不錯

去骨雞腿烤的顏色看起來就很不好吃😐
好險手動去除多餘油脂之後還可以

主廚濃湯是蘑菇燻雞濃湯
上桌的時候不夠熱
喝下去的時候不懂為什麼這叫做主廚濃湯只能叫做當日例湯吧😂
柳橙汁是冷榨的蘋果汁說是treetop
美式咖啡蠻不錯的
飯後甜點也好吃

一整個煙燻鮭魚套餐要價500多😟
整體來說四顆星真的不能再高了"
 Vina Chang ,https://www.google.com/maps/contrib/117235327828952799792/reviews?hl=zh-TW,3,True,88,服務親切環境也很舒服，不過食物部份有點失望，看起來比吃起來好吃份量也是圖片看起來比較多。肉腸部份感覺加熱過頭肉汁都沒了吃不到肉的鮮甜，蛋的部份沒有味道或許加點調味會更好。甜點布朗尼中規中矩如果外殼能再酥一點會更好，不過薯格子、麵包跟沙拉不錯
 Wilson Lin ,https://www.google.com/maps/contrib/100929659047854486067/reviews?hl=zh-TW,5,True,100,"預祝開店成功，道地德國香腸，從googlemap找到純歐洲早午餐，步行10鍾，從家中出發，很久沒回台北，探索西式早午餐成功，果然是道地德國白香腸，好吃。連麵包口感都硬的接近，不錯，鼓勵年輕人創業，東區消費，不過，如果是約會就合理，面子、裡子都有，店租高，佈置清爽高雅，來的時候，第一個客人，現在來第二組.但訂位已滿八成！
價位包括套餐的咖啡及甜點，主餐320，台北公訂價格。
只是，炸的薯餅個人不太喜歡，要犧牲熱量，起碼要可口想吃，如麥當勞薯餅。

下次會再來，彷彿回到德國！
持續尋找特色早午餐，

在神的面前有滿足的喜樂，在神的右手中有永遠的福樂，求神示下生命的道路，獻上我的敬拜讚美！"
 林朵拉 ,https://www.google.com/maps/contrib/112041373636890284403/reviews?hl=zh-TW,4,True,25,"空間感不錯
環境很乾淨舒適
服務也很周到
餐點口味偏健康
沙拉還不錯

比較可惜的是～
1.湯品是冷的
2.薯條很普通
3.主餐希臘蛋捲味道很清淡，
都是酸豆的味道比較可惜一些。"
 JB L ,https://www.google.com/maps/contrib/116276883224304688048/reviews?hl=zh-TW,1,True,172,看到評價頗高所以想來嚐鮮，但是頗失望。服務是周到的，但餐點真的差太多，首先是玉米脆餅，是濕軟不脆的，捲餅皮也完全不脆，更是厚實非常有嚼勁的口感，更吃不出口味的特色（白話文就是不記得我吃了什麼口味）；炸物也普通。由於飲料我只點了紅茶，也沒有特別好或是不好喝。
 Darren Chen ,https://www.google.com/maps/contrib/101398545458199291672/reviews?hl=zh-TW,5,True,70,"店內裝潢相當舒適，入座後店員馬上主動送上水，座位也有置物籃可以放，也很熱情的介紹菜單。

餐點部分，今天點的是墨西哥烤餅，捲餅相當酥脆，要儘量趁熱吃，裡面料也蠻足夠的，吃一吃料都會從尾端擠出來🤣

雖然裡面有我不愛吃的彩椒，但搭配牛肉與其他佐料吃起來沒有厭惡的感覺，整體搭配得宜。

莎莎醬的部分微酸但不辣，搭配附上的玉米脆片也相當不錯。

布朗尼上層是跟下層有兩種不同口感，下層很綿，上層搭配一點微硬的口感，搭配柑橘也有加分效果。

整體體驗不錯，有機會會再訪。"
 仙仙女 ,https://www.google.com/maps/contrib/115089350509115932797/reviews?hl=zh-TW,5,True,138,"隱身在東區巷弄的超好吃早午餐！
店內只有老闆跟一位員工
餐點都是老闆親自掌廚有著老闆自己對餐點的堅持
都很值得一試真材實料很好吃♥️
店內座位數不多建議先訂位"
 蘿蔔泥 ,https://www.google.com/maps/contrib/109917436212922559409/reviews?hl=zh-TW,5,False,6,"很難得在東區能吃到澳式早午餐料理
擺盤漂亮、食材特別且口感不衝突
兩位年輕老闆用心態度我給100分啦！"
 琦琦 ,https://www.google.com/maps/contrib/109541507244312809595/reviews?hl=zh-TW,5,False,8,"鮮蝦班尼克蛋口味清爽可口
例湯不是非常濃稠的濃湯
但是口味濃厚好喝
因為加點套餐（新開幕）
附贈布朗尼甜點

服務親切東西好吃值得推薦"
 林俐俐 ,https://www.google.com/maps/contrib/112615660138707868588/reviews?hl=zh-TW,5,False,52,"份量非常足夠
餐點味道也很好
因為有加套餐，所以一個人大概500
另外有10%服務費"
 悠悠 ,https://www.google.com/maps/contrib/116546466570434553919/reviews?hl=zh-TW,5,False,12,第一次來訪點的是希臘蛋捲，厚實的蛋捲裡面包裹蔬菜和菇類，加上起司吃起來會牽絲😆口感像是口味豐富的歐姆蛋捲，份量很足。推薦給喜歡蛋和起司的人！飲料的綠茶芝士奶蓋也很好喝，來的時候一定要一起點～～
 許曉惠 ,https://www.google.com/maps/contrib/114337181977811943448/reviews?hl=zh-TW,5,False,6,好吃的早午餐店，真的不會讓妳失望😋
 Kiki Ki ,https://www.google.com/maps/contrib/104876912355637094512/reviews?hl=zh-TW,5,False,8,"餐點份量很多，東西好吃👍推
兩個人點兩份餐一個甜點吃很撐
環境也蠻舒服的，會在回來😊"
