user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Su Rou-Ting ,https://www.google.com/maps/contrib/109848129305128439375/reviews?hl=zh-TW,5,False,12,"結束營業前特別來嚐鮮
鮪魚醬佐麵包吃的不太習慣（個人不喜歡美乃滋）

千層麵很正宗的味道從小到大吃過最好吃的

四種肉披薩每種口味的調味都不一樣披薩餅皮很特別外層酥脆內層柔軟老闆功夫了得

提拉米蘇跟Botegadelvin的不相上下咖啡酒的味道十分濃郁馬斯卡彭醬打的很綿密

可惜8號就要結束營業了希望未來有機會老闆能再復出"
 milimew mi ,https://www.google.com/maps/contrib/107683754132718495995/reviews?hl=zh-TW,4,True,159,兩個人點了火腿蘑菇鯷魚披薩、義式千層麵、冰拿鐵、提拉米蘇，披薩餅皮是薄片，有著脆脆的口感，搭配火腿鯷魚鹹香夠味，相較之下千層麵就沒那麼喜愛，餐後甜點提拉米蘇的風味不錯，只是我不太喜歡中間夾層的餅，印象中提拉米蘇的夾層應該是手指餅乾鬆鬆軟軟吸飽咖啡酒糖液，大致來說還不錯就是了。
 Dave Lam ,https://www.google.com/maps/contrib/110142727571319148418/reviews?hl=zh-TW,5,True,185,每次來都覺得好吃，已來過4次。正宗意大利風味。老闆經營了20年，真的把意大利那套學懂了。Pizza是滿滿的起司，，點的是意式臘肉腸，這已非常接近意大利原味。意大利菜湯也是新鮮的蔬菜煮成，番茄湯底也夠厚。蒜味意大利麵台灣比較少人會吃，但那是最正宗的煮法。店內又外國人店員，結果把太太的那份點錯，但也無損用餐的興致。唯一要說，就是老闆很重意式餐廳的工序，也只有老闆一人在煮，所以會有點慢。我們午餐吃了一個半小時。老闆也會溫馨提示出餐比較慢。
 Vincent Chang ,https://www.google.com/maps/contrib/108805372772639146273/reviews?hl=zh-TW,4,True,404,"老闆氣質很酷
店員的調調也蠻特別
風格迥異
食物其實不錯
不是重口味的那種
比較偏清淡用料也挺好
當天點了千層麵大概是在台灣吃到最準接近真實千層麵的千層麵了沒有用微波爐微波的感覺
Pizza屬於薄片起司給得很足非常爽
菠菜也是沒在客氣的放整體來說蠻特別的
提拉米蘇也是如網路評價的okay
我覺得很像開在家旁邊的小餐館
但其實他開在東區超級貴的敦化南路上
另外令我感到比較特別的事菜單
變得只剩一張A4紙
酒單也是只有一張雙面軟軟的厚紙+圖片
給人破破的歷史感？不知道想表達什麼
也因為選擇少所以看上去…有些可愛
呵呵不過我是還蠻喜歡的啦簡單挺好"
 A T ,https://www.google.com/maps/contrib/115428956705656343156/reviews?hl=zh-TW,4,True,47,提拉米蘇很好吃，窯烤披薩餅皮對我而言還是偏厚、番茄味道太淡，義大利麵麵體不錯但醬汁大稀⋯不知道是不是盤子不夠，服務員非常積極的收走盤子，用餐壓力有點大
 金陶 ,https://www.google.com/maps/contrib/117021514055689989717/reviews?hl=zh-TW,4,True,169,平鋪直敘的義式料理，不添加多餘的點綴，原整呈現食物的原型風味，口味上都ok。
 Ching-Ping Tang ,https://www.google.com/maps/contrib/115033237626990204287/reviews?hl=zh-TW,5,True,37,很有歷史的老店，堅持純正的口味與新鮮的食材，值得在東區的美食地圖上，繼續扮演意大利菜的地標角色
 Charles Yu ,https://www.google.com/maps/contrib/102548240400481774446/reviews?hl=zh-TW,4,True,397,食物好吃，披薩餅皮很香，義大利麵軟硬適中，調味濃郁不過鹹。部分商品可能當天沒有販售要與店員確認。整體價位略高，再平價些會更好。
 小華王 ,https://www.google.com/maps/contrib/106105649691255634219/reviews?hl=zh-TW,5,True,513,"老派風格的窯烤薄皮披薩，400元鯷魚酸豆披薩其他地方沒吃過，每一口味道濃鹹香，又脆，值得一試，但其實鯷魚就是外國鹹魚啦，加上起司本來就偏鹹。披薩附上的辣椒油，辣椒本身不嗆辣，但油帶有辣度，沾披薩風味變很特殊。
本來很想點熱門的牛肝菌寬麵，後來點480元海膽佐魚子醬細麵，味道簡單，純粹吃海膽拌麵的風味，但吃不飽。
120元提拉米蘇，大推好吃。160元義大利柳橙香甜酒雖然平價，但沒啥酒感。義大利茴香酒一杯shot，但這樣120元，紅白酒一杯大概也200多元左右，其實比酒吧便宜。
總結來說，是一間品嚐偏向歐陸風味的餐廳，廚師除了台灣老闆還有一位老外，服務生是刺青辣妹，雖然不是來吃飽飽的地方，但店內還播放歐民族音樂，又看到小時候喜歡的女歌手在喝紅酒講工作，結帳區又再放一張珍愛桃園藻礁的文宣，關心環保，整個餐廳氛圍有風格fu。"
 J.Y ,https://www.google.com/maps/contrib/117547479572427872997/reviews?hl=zh-TW,4,True,"2,197","親切可愛的義大利餐廳，好喜歡餐廳的開放廚房還有櫃檯下方的馬賽克拼貼。老闆和員工們都非常親切友善，海膽佐魚子醬細麵還有蒜味辣麵都是清炒類型，吃起來非常清爽，不會有額外的負擔；前菜義式薄片牛肉也很不錯；肉的披薩味道非常豐富有層次，很驚艷。

相對來說有菇的前菜跟燉飯味道都比較重，有些偏鹹；提拉米蘇有點過甜，稍微可惜；義式乳酪又是另外一個濃醇香的好單品了❤️"
