user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Carolina Zeng ,https://www.google.com/maps/contrib/102285534764443610802/reviews?hl=zh-TW,4,True,708,"打卡五顆星的話每串9元，所以到目前為止才沒有低於五顆星的評價
店家裝潢滿新潮的，適合年輕人拍照打卡
看了很多人拿串串的容器都是竹籃？！
但我們當天過去是白色的盤子，氛圍感少了一點
建議四人左右來吃比較划算，因為鍋底將近600～
串串的東西都蠻新鮮的也好吃～
店員阿姨超級無敵熱情親切👍🏻
很用心的介紹，用餐感受很好

當天去飲料櫃有很多飲料沒有，有點小可惜，然後冰水一罐20偏貴，但也可以理解店家從中獲利的心思，如果有提供冰塊的話就更好了👍🏻

沙朗的肉質真的很好👍🏻雖然有點貴份量偏少，但是值那個價錢的！

白湯的湯頭蠻好喝的～麻辣也夠香

兩人偏保守吃還是吃了快兩千，算是吃一個體驗，下次來用餐會記得多找兩個人一起來吃比較划算XD"
 台北西門-emma ,https://www.google.com/maps/contrib/111509653716236051371/reviews?hl=zh-TW,5,True,524,"❤️再找消夜的路上~市民大道兩邊很多店家!串串招牌很亮又顯眼~原來以為串串是串燒,進來才發現是麻辣鍋😂附上菜單圖片~
鴛鴦鍋,點中辣!鍋底鴨血沒腥味~白湯那鍋喝起來有當歸味,串串有兩三道台灣比較少吃到的,酸辣魚,酸豆牛肉
💙一桌低消680串串一串均一價10元~👍好像開到凌晨四點~店內很港式的裝潢擺設~活潑明亮!
🦑缺點是兩首中文歌一直重複放==兩個半小時一直重複聽兩首歌(一首是小剛的寂寞沙洲冷==另一首忘了)🦑"
 Steven Hsu 北極熊羽球 ,https://www.google.com/maps/contrib/105585161244794859113/reviews?hl=zh-TW,5,True,580,串串好吃，醃製過再煮，別有風味，豬腦像豆腐，毛肚處理很乾淨，川燙7上8下脆有嚼勁
 Vic Huang ,https://www.google.com/maps/contrib/107493523800056068658/reviews?hl=zh-TW,3,True,402,"點了重油但風味多了牛油跟更多四川調味料
吃了發現沒想像中有層次四川的麻不復存在辣會腸胃不適那種而不是只辣到嘴
建議店家多加點花椒青花椒白胡椒風味更佳

串串很小體驗一下算不錯
食材真的要說好吃也稱不上
所以建議不用點重油
點一般就可以"
 wing kao ,https://www.google.com/maps/contrib/107762240786312296682/reviews?hl=zh-TW,4,True,99,店裡的裝潢蠻有特色的，第一次來吃串串，點了個中辣！蠻有味道的，想吃什麼自己拿會不自覺的桌上就慢慢的竹籤了！真的很下酒！但吃太多重口味的會覺得有點膩！不過整體來說還是不錯吃唷！
 Yurina Kuo ,https://www.google.com/maps/contrib/114961586805514522874/reviews?hl=zh-TW,5,False,23,"味道ok！有一些特別的食材。
因為有基本鍋底費，兩人吃的話覺得價格偏高，且以食材單價來說份量可以再多一點。
喜歡軟滑口感的可以試試寬粉，手打牛肉丸也彈牙好吃。"
 W ,https://www.google.com/maps/contrib/109297699333316575363/reviews?hl=zh-TW,5,True,6,"平日晚上9點人不多
吃的很舒服
這次點「豚骨鴛鴦鍋-微辣」
所有底料都是四川空運來台
非常道地"
 李函娟 ,https://www.google.com/maps/contrib/107478289558933644470/reviews?hl=zh-TW,5,True,81,"評論5星每串9元（原價10）
用餐環境乾淨、明亮、廁所也相當感覺。
味道不錯，要吃飽的話價格不菲，提供給大家。"
 張子薇（亞莎） ,https://www.google.com/maps/contrib/106740619974830157400/reviews?hl=zh-TW,5,True,20,"串串一串10元，
店內空間偏小一點，但湯底很夠味白湯也好喝！如果串沒有想吃的也能單點。
營業時間到半夜4點、想吃宵夜的好選擇！"
 Ariel Lin ,https://www.google.com/maps/contrib/105946983048342690564/reviews?hl=zh-TW,5,False,10,"位於市民大道新開幕好吃的串串
特別喜歡腦花跟黃喉
店內裝潢可愛店員介紹仔細
而且寵物友善推推
週末生意不錯記得提前訂位"
 柏语王 ,https://www.google.com/maps/contrib/103526163875974254915/reviews?hl=zh-TW,5,False,13,台北又找到一家好吃的成都串串啦！好香！很正宗的味道！以後會常來吃的
 CHEN YI ,https://www.google.com/maps/contrib/100423704166369722812/reviews?hl=zh-TW,5,False,11,"第一次嘗試串串～一個不小心就吃爆多🤣
沒試過沾粉可以點干碟試試！
寬粉QQ好好吃，豚骨煮白菜超讚🤤🤤
宵夜很適合來嗑串串🤎"
 Serena Cheng ,https://www.google.com/maps/contrib/108515898619909437352/reviews?hl=zh-TW,5,True,100,"店員推薦的都很好吃

喜歡竹笙、豬腦、麻辣魚
寬粉很Q"
