user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Alison Shih ,https://www.google.com/maps/contrib/107361022803674230264/reviews?hl=zh-TW,5,True,89,服務人員有著滿滿的熱忱，有幽默感，與客人的互動很合度。吧台座位稍擁擠，以前是在每一個位子前面都有爐子，但目前改為集中3爐同時烤整個吧台10個位置，若坐在吧台，人較多時上菜速度會有明顯的延遲，我們有幾道菜中間等待超過20分鐘才上菜，身體也冷下來了，稍微影響到用餐的連貫性，」。食材的品質與新鮮度非常棒，烹調的也很剛好，還有很多品項沒吃到，下次找多點人來試試看桌子的位置。
 Peckie Chu ,https://www.google.com/maps/contrib/109533221582167723228/reviews?hl=zh-TW,4,True,426,"吧台的位子沒有烤爐，全程由店員烤好上菜，不用自己烤值得讚賞！但上菜速度很慢，要有等待的心理準備。
店員很親切，東西份量不多、價格偏貴，不過飲料價格滿合理的，整體調味偏淡，推薦山藥、午仔魚一夜干（皮脆肉鮮嫩）、豬五花（一份200元，CP值高）～"
 Artemis Lu ,https://www.google.com/maps/contrib/107096440792855140166/reviews?hl=zh-TW,5,True,36,用餐環境舒適，店員的桌邊服務很棒。和牛真的好好吃，肉的調味很剛好，不太需要沾醬或是沾椒鹽，不管是單吃還是配上美味的小菜也非常美味。
 Neil Huang ,https://www.google.com/maps/contrib/113594008376980283919/reviews?hl=zh-TW,5,True,246,"胡同燒肉算是中高價位裡CP值比較好的燒肉店
服務很不錯，明顯店員忙到翻，但沒有透露出不耐煩的態度，表示訓練的很好，這點值得讚許
胡同其實最推的是平價的肉，豬肋條，澳洲牛橫膈，烤大腸（店員的烤功真是厲害，外酥內Q）
日本和牛其實在中高價位的燒肉店吃起來都差不多，就不多做評論
今天自己帶風之森的Alpha8，100%精米步合，玄米風味清酒配上今天燒肉絕配，順帶一題胡同開瓶2瓶內只收500，而且提供清酒器具還算不錯，值得一推"
 Adela Hsu ,https://www.google.com/maps/contrib/107133912053917957367/reviews?hl=zh-TW,5,True,458,肉品食材跟其他分店一樣維持相同品質，工作人員會在旁幫忙燒烤，但此間位置少，用餐兩小時一樣要提前約喔
 Onion Yang ,https://www.google.com/maps/contrib/108583075072555546555/reviews?hl=zh-TW,5,True,124,首推墨魚香腸與牛五花，和牛系列看個人能力點餐，松阪豬有一兩片烤焦略為可惜，可以切厚一點比較有口感
 陳佳樺 ,https://www.google.com/maps/contrib/100895005090728837728/reviews?hl=zh-TW,5,True,10,"餐飲業能夠在服務上令人感到歡樂，是非常難能可貴的，故給予五顆星。

首先先說明由於很享受在用餐氛圍，照片在完食後才拍攝。

整體來說提供三優兩缺供大家選擇餐廳時參考：
優點
一、餐點口味還算不錯
自己有吃到滿喜歡的是霜降松阪豬、和牛牛舌(薄)、生食鮭魚和胡同焦糖布丁！
最喜歡最後的布丁（甜點控的me）
覺得布丁比想像味道濃厚，也不會到太甜～
中間還有吃到一個很嫩的但忘記是什麼了QQ
還有一點比較可惜是本來想嘗試厚的牛舌
覺得乾杯牛舌很讚讚，想比較一下
但剛好今天沒有，不過有機會會想再回訪吃吃看～

二、服務人員很用心也很幽默
不知道是不是燒烤店職員都需要很幽默會跟客人聊天
真的很厲害👍感受得到服務的用心～

三、環境還算乾淨舒適
有時候用餐很在意的就是環境乾淨與否
但這間胡同我覺得就很用心跟貼心
在洗手間有提供漱口水、衛生棉及牙線棒
店內環境也維持的還算乾淨，會觀察客人桌面適時整理

缺點
ㄧ、不曉得人手算不算不足
一個人好像會需要顧到四桌左右～？
感覺蠻忙碌的，肚子很餓時會供不應求
但他們也會看狀況調整服務，這點覺得蠻好的
不過上餐時間還是可以微微改善再快一些些會更好
二、份量有點少
今晚吃下來八、九分飽
平均一人大約要1500左右
如果是大食怪還是建議可以吃吃到飽之類的餐廳

大概是這樣
整體而言若有預算還是算可以回訪
這五顆星主要給予服務優異及環境整潔
吃燒烤最怕就是不會烤，胡同有及格！
但是油煙味還是有一點～

有人幫忙烤之外，服務也很棒
在這邊推薦也感謝大可以及O橙（對不起我忘記名字了🥲）
在服務的過程中適時聊天及分享有為顧客帶來一些驚喜👍

我是愛喝酒的天空之城女孩哈哈哈哈"
 Bertha Lu ,https://www.google.com/maps/contrib/118005576583681124999/reviews?hl=zh-TW,5,True,100,"當天是坐在吧檯的位置，座位略為擁擠，要離座有點不方便，不過還好店家有提供置物櫃，上座前店員會先引導放置物品。

肉品都非常軟嫩好嚼，也沒有過重的調味，尤其和牛更加多汁，個人比較偏好薄片肉的口感。
因為當天都是點肉品，吃到後面有點油膩，會建議搭配一些清爽的飲品。"
 Jenny Nieh ,https://www.google.com/maps/contrib/105193058908372765045/reviews?hl=zh-TW,5,True,81,"HappyWeddingAnniversary❤️
店長很貼心的幫我把我最愛的起司地瓜燒弄成地瓜泥，真是太好吃了，每次吃胡同都必點的點心😍"
 Jenny Li ,https://www.google.com/maps/contrib/109127151187894927586/reviews?hl=zh-TW,3,True,339,"小隻的蝦和泡菜不錯
酒精飲料超級甜
軟絲很不優吃起來就像夜市的
豬肉牛肉就還可以
可以要冰塊水很解膩"
 B L (不燃燈) ,https://www.google.com/maps/contrib/117129346708240995112/reviews?hl=zh-TW,5,True,126,"雖然貴，但食材一級棒，沒話說。
一個人均消在1500左右，吃和牛的話在2000左右。
服務好，桌邊烤，幫客人將肉料理至最美味的狀態。
非常值得推薦！"
 勝彥（LOOK ROAD） ,https://www.google.com/maps/contrib/100087028734037061713/reviews?hl=zh-TW,4,True,234,"簡單來說：錢不夠，千換不要跨級進來
至少一個人要吃到1000以上才會飽哦
肉的話我是覺得不錯啦
但真的要考慮一下荷包"
 周子修 ,https://www.google.com/maps/contrib/102650457293716753140/reviews?hl=zh-TW,5,True,84,烤肉無懈可擊，最驚豔的生日禮-布丁，超好吃！
 Vincent Chang ,https://www.google.com/maps/contrib/108805372772639146273/reviews?hl=zh-TW,5,True,404,"沒什麼好說的
食物好吃服務也好有沒有燒肉的臭味
雖然價格不低但食材對得起價格"
 Sampson Chen ,https://www.google.com/maps/contrib/101634821493648967971/reviews?hl=zh-TW,5,True,209,"永遠都是那麼親切，每個人都是用心接待，認真烤肉...
很喜歡他們同仁間的互動，工作上也不會計較，感受得到都是發自內心真誠的在服務，而且也都樂在其中...
這樣的工作人員烤出來的肉還會不好吃嗎？當然是好吃的！所以~造成我們就是有事就來慶祝，沒事也會來解饞^^"
 Abbie Chen ,https://www.google.com/maps/contrib/104809556703149924669/reviews?hl=zh-TW,1,False,3,"11/11用餐，一開始點餐我們有問了什麼東西沒有，服務生只說A5牛臀薄片沒了，後來我們點澳洲菲力，服務生說澳洲菲力沒了。我？？？剛剛不是才確認有什麼東西是沒有的嗎…我們又改點A5角切跟其他東西，後來過了30分鐘服務生過來說角切賣完了…真的爆無言，一開始問沒有什麼也不確認清楚，角切也點了過30分鐘才說沒有，請問是我們點完餐之後又賣給了其他客人嗎？

每盤餐點上菜間隔約15分鐘，但是4-6片肉大概5分鐘就能吃完，整個用餐過程就是一直在等服務生，人手明顯不足，上菜速度真的太慢太慢太慢了，每吃完一道要發呆大概15分鐘才有下一道能吃。

最後結帳還算錯金額。
目前吃過所有單點燒肉店體驗最差的一間。"
 Mindy Wu ,https://www.google.com/maps/contrib/114701739072861283491/reviews?hl=zh-TW,1,False,14,因為最近有六六折的活動而訂了六點的時間。訂位時看了官網資訊表示用餐時間是兩小時，準時入座後女服務人員一直不斷提醒用餐時間只有一個半小時，整頓飯吃的非常倉促，甚至剛烤好上桌的甜點都吃不到兩口，就說下一組客人已經到了，但同時跟我們一起入座另一桌客人，卻還在用餐。讓人覺得是不是因為活動的關係而必須被這樣對待？為什麼官網上的用餐時間是兩小時，但女服務生卻只給我們一個半小時？如果是因為店家不希望折扣活動損失太多而必須這樣趕人，乾脆不要辦！
 Son森 ,https://www.google.com/maps/contrib/113021820810057478314/reviews?hl=zh-TW,5,True,458,"快樂的服務好吃調味和食材
希望用餐時間可以再延長一點"
 Carol Kung ,https://www.google.com/maps/contrib/103409291789227979239/reviews?hl=zh-TW,1,False,3,吧台座位稍擁擠，由一個工作人員同時顧3個烤爐，服務整個吧台10個位置，他很辛苦且服務態度沒有不好，但手忙腳亂，每道菜平均要等15分鐘，人均1800元UP應該有更好的用餐品質。
 曇花 ,https://www.google.com/maps/contrib/103521312443690792778/reviews?hl=zh-TW,1,True,79,"牛肉肉質普通，沒有任何調味，豬肉豬腥味超重，唯一好吃的就是雞肉了。
但是，這樣隨便吃，人均還要1500元，這樣的價位這樣的肉質，真的非常不值得。"
 Milky Chiu (牛奶) ,https://www.google.com/maps/contrib/104758900018567292609/reviews?hl=zh-TW,5,True,451,肉質很不錯，超愛安格斯肋眼跟冰卷，所有的肉宴的都很棒，喜歡。桌邊服務很棒。抽煙做的稍微不好，烤的時候煙超大；限時1.5hr有點短。
 Dixon Chu ,https://www.google.com/maps/contrib/117597073192123401438/reviews?hl=zh-TW,5,True,219,"先來個結論：胡同先給讚但荷包要夠深💰💸💸

這次是來胡同吃中秋節烤肉大餐
胡同最近展店快速
而且每家店的店名都很有創意玩玩文字遊戲逆～
但目前吃到的每家分店品質依然高
而且各有特色🥰🥰

但同樣的都需要提早先訂位阿～～
不然也是蠻難吃到的

胡同的食材和烤肉服務絕對是無庸置疑的
各種食材都很讚而且工作人員還會幫你烤得好好
弄得恰到好處
吃起來只有美味只有讚
肉類烤得剛剛好鮮嫩多汁又好吃😋😋

而且有時候還有黑板上期間限定的特色料理

但可惜的是胡同消費也算是不低啦！
要是想要吃得好又吃得飽
配上幾杯小酒清酒梅酒吃吃喝喝一波

每個人不花個千五兩千看來是不行的唷～
但不管如何！

以品質來說
胡同就是讚啦！👍👍

很適合帶妹子來約會喔～

因為各分店都在交通算是方便的地方
而且附近也蠻適合約會後前來的～

在經過一天的在外約會閒晃後
兩人來來到了胡同
選擇了吧檯的位置
在這稍微有點涼意的台北天氣中
感受到了逐漸溫暖的烤肉氣氛～

兩人藉著暖暖的溫度稍微回顧了今天約會的過程
在談笑風生中看著菜單和白板
決定了今天要吃什麼好吃的燒肉～

店員熟練著拿著食材放在面前的烤盤上
用著熟練的技巧和準確的計算著時間
翻弄著烤肉和食材

而你們喝著點來的小酒
邊聊著開心的事
這個畫面多麼的甜蜜幸福啊～～
等著食物烤熟邊喝酒邊聊天
看著彼此的笑顏
是否感情又快速的提升了呢～～～☺️☺️

等到店員將烤熟的食物放到盤中時
『哇看起來好讚喔』
「當然當然，胡同就是讚阿」
『哇這個肉好嫩又多汁喔～～～』
「嘿嘿難得的中秋烤肉，當然要吃點好料阿畢竟這是我們的約會呢！！」
『討M～～說這什麼!!!!』
「以後我還會帶你去吃更多更好吃的好料！！」
『你真好～～』❤️❤️

看是不是瞬間感情加溫更甜蜜了呢！

在兩人吃飽喝足，吃了烤肉又喝了點小酒
身體暖暖der接著就看你們要去哪囉～～🤪

在結帳時看著帳單
OS：果然胡同要吃飽吃好真D是不簡單啊!!!!
還好老子小康這點錢還是出的起的

結局1:
『哇原來這裡吃真的不便宜喔～我要給你多少？』(掏出一張小朋友五張紅色)
(真是個好女孩呢不像公主病女孩一樣認為是理所當然的)
「哈哈哈沒關係啦你給我這樣就好剩下我吃比較多我出」(拿走五張紅色)
『哇那就感謝你囉～等等我請你喝飲料！』

(嗚嗚懂得互相的女孩最棒惹+分+分)🥰🥰

結局2:
『哇原來這裡吃真的不便宜喔～那就謝謝你囉』
(???現在是要我理所當然的請客嘛！！)
「恩....」
(默默的付錢這點小錢對我當然不是問題但是視為理所當然的態度就OUT!!!)
『那我們等等要去哪呢～』
「喔喔該回家囉」
Gameover😭😭😭"
 Gustav Liu ,https://www.google.com/maps/contrib/106627216886835217034/reviews?hl=zh-TW,5,True,154,"這間的肉感覺都蠻高級的😂
而且有專人幫忙烤
不用擔心自己糟蹋掉好的食材
非常讓人想要再光顧！！
適合想要吃頓高級燒烤犒賞自己的人去吃
A5和牛的口感真的讓人回味無窮😋"
 Yuwen Lai ,https://www.google.com/maps/contrib/101037718722098170444/reviews?hl=zh-TW,5,True,443,"用餐時間是2020年的中秋節
第一次來用餐，當天人很多
烤的速度比較慢、上菜慢
但是每樣東西都很好吃⋯⋯
當然價錢也不便宜，兩人花了四千多元"
 Keats ,https://www.google.com/maps/contrib/113087556192926016487/reviews?hl=zh-TW,4,True,226,"在敦南跟市民大道的交會處，我們為了這三十歲的生日和20年的友情選擇了這家最近聲量相當高的一間燒肉店，內部不大卻高朋滿座，在我們離開前還有一堆人在外面等候，我想妳假如不定位要來現場等候了話，不是一個很建議的做法。
不得不稱讚一下這壺同燒肉的服務，換網子的速度非常的頻繁，在不經意間又換了一次網子，桌邊代烤的人也非常努力的幫我們烤肉，可能是我比較喜歡吃牛肉，我覺得他的和牛很好吃，但其他的肉質我就感覺比較一般般了。
最後看到有評論說有烤肉醬，我竟然忘記跟他要烤肉醬了，我以為他只有檸檬汁可以沾的說，下次再前往一定要跟他要烤肉醬。"
 Miya Lin ,https://www.google.com/maps/contrib/106007946521250565339/reviews?hl=zh-TW,4,True,125,屬於中高單價消費，每人平均消費一千至一千五，胡同系列服務都不錯，以炭火燒烤能讓食材更香，選用的食材和調味水準平均值都不錯，每次基本必點椒鹽松阪豬，烤肉醬牛五花、達拉斯、鮭魚（常賣完需預留）、山藥，這次是第一次點和牛牛小排（680元），肉質嫩香多汁，油花分佈很好不會太膩，非常滿意，櫛瓜也不錯，白飯也是必須的，可惜今天白飯有鍋巴，而且來的太晚很掃興，鮮魚味增湯常煮太鹹
 Joe Luo ,https://www.google.com/maps/contrib/101292157604163095274/reviews?hl=zh-TW,2,False,36,食物上菜等太久，不是一次上個三、四盤，不然就是等很久才會有新的食物上來。還有今天的服務生（大可）給我印象非常之差，本桌點的節瓜上到隔壁桌馬上發現移過來，但在跟隔壁致歉上錯桌卻沒有留意我這桌上的時候把我的食物推開，我當時還正在夾洋蔥沒有要注意的意思，而且一次上很多盤食物也是一直堆上來，坐吧臺空間就偏小還一直上菜，一次上一堆然後用推的擠出空間，服務非常不周到
 W S ,https://www.google.com/maps/contrib/102771330456651875584/reviews?hl=zh-TW,2,True,336,肉品種類眾多可以選擇，價格是走高單價，桌邊服務可以省去自己親自烤肉怕肉烤焦，但也相對地增加吃飯的壓力，無法與朋友暢所欲言。另外在用餐完畢，啤酒還未喝完，服務人員已前來趕人，說外面等的人很多，但一開始並未提醒有限時，而且我們才吃不到一個小時就來趕人，讓人觀感不佳！
 LinQiao Gao ,https://www.google.com/maps/contrib/102314507719281940241/reviews?hl=zh-TW,5,True,260,"在桌前現烤
有專屬的櫃子
可以鎖上包包跟物品
避免沾上味道
太好吃了
所以沒什麼拍照
因為烤完直接吃掉了
很好吃沒有雷的肉品
店員都很活潑熱情
離開的時候下大雨
好險有他們的愛心傘
❤️"
 Jeremy Liu ,https://www.google.com/maps/contrib/112694943283016907928/reviews?hl=zh-TW,5,True,454,"各項燒肉品質相當優質又新鮮，
其中還能享用到日本A5和牛真是絕佳享受啊！
其他的包括澳洲和牛、美國安格斯牛肉以及其他肉類和海鮮也都很棒！
師傅烤得很用心技術又好，
服務又貼心周到，
每一道燒肉吃起來都挺多汁美味的。"
 Jessie Pai ,https://www.google.com/maps/contrib/111939296183038246453/reviews?hl=zh-TW,5,True,214,店內氣氛很好，東西新鮮好吃，尤其是牛舌，吧台還有專人幫烤服務真是棒，包包有寄物櫃可以放，價位稍貴但服務很好，鄰桌服務生幫外國客人點餐及服務溝通無障礙，是一直以來都會來吃的燒肉店。
 Alice Huang ,https://www.google.com/maps/contrib/117491910010396285980/reviews?hl=zh-TW,4,True,25,A級神戶牛排真的是一分錢一分貨，非常軟嫩好吃，店家附的檸檬醬汁只能搭配一些菜色（完全不搭雞肉）可以向店家要烤肉醬，真的超級無敵搭配烤肉的！服務人員非常nice會幫你把肉烤好，很好吃，就是價格真的中上偏高，還是蠻推薦來吃！
 didi ,https://www.google.com/maps/contrib/107605857918837044262/reviews?hl=zh-TW,4,True,112,不錯，很好吃，全部都是桌邊服務，每道都幫你烤的好好的再幫你分盤，每個人頭均價約1200~1500，但是服務真的很好。
 傲慢哥路易 ,https://www.google.com/maps/contrib/115178692889336644212/reviews?hl=zh-TW,5,True,71,"店家用心點什麼就什麼好吃
閒聊間感覺到店員很熱愛自己的工作老闆要嘉獎一下
機車的客人說話一向犀利天秤座的店員很會接桌邊服務就該如此讓我們三好友的晚餐更好玩了😊"
 Ada Chiu ,https://www.google.com/maps/contrib/109689068886708634195/reviews?hl=zh-TW,3,True,75,三個人點了快4千多，還是沒吃飽，來烤肉幹嘛吃泡飯撐跑呢？這樣會失去吃烤肉的用意，肉盤真是小到一個不行，不得稱讚服務人員會桌邊服務幫妳烤喔！
 吃喝玩樂 ,https://www.google.com/maps/contrib/114070175544033997787/reviews?hl=zh-TW,2,True,239,叫外送飯爛爛的不好吃
 tofu ,https://www.google.com/maps/contrib/112935749785696161110/reviews?hl=zh-TW,5,True,87,不算便宜肉還不錯吃服務真的好邊烤還會陪你聊天
 S L ,https://www.google.com/maps/contrib/106604424157333284192/reviews?hl=zh-TW,4,True,887,"服務生會烤肉，
肉品不錯新鮮，
和牛好吃但有些彈性不夠，
牛五花調味比較鹹一點，
用餐時間一個半小時有點倉促，
份量不多價位稍高，
兩個人約莫4千初。"
 Dr.羊 ,https://www.google.com/maps/contrib/111716910478223868159/reviews?hl=zh-TW,5,True,170,"雖然感覺人手不足，但店員盡力服務，忙碌沒停下過，態度也很好
遇到失控的客人(^_^;)店員辛苦了
食物好吃"
 Claire Tsao ,https://www.google.com/maps/contrib/105590510379979223243/reviews?hl=zh-TW,4,True,147,是台北市水準比較高的燒肉之一，但難免還是覺得不夠過癮。店員會協助烤肉，可以專心吃飯聊天。店內生意很好，尖峰用餐時間一定要事先訂位。
 WANGきみ ,https://www.google.com/maps/contrib/109073702598462038314/reviews?hl=zh-TW,4,True,290,"心目中No1的燒肉店，肉質好、服務好、味道好。
唯一“御作海膽炙牛肉”不推薦，就是白飯海膽跟牛肉包一起的高級料理但口感及味道不融入不好吃=="
 peng alex ,https://www.google.com/maps/contrib/100947083117536258978/reviews?hl=zh-TW,5,True,939,"大推的燒肉專門店
牛舌系列很厲害
牛肉品質也很好"
 Mac Yang ,https://www.google.com/maps/contrib/109709682456146092645/reviews?hl=zh-TW,4,True,650,還不錯，食材、服務都有一定水準。份量相對於價位算是偏少，適合吃精緻不求吃飽的客人。
 charm ming ng ,https://www.google.com/maps/contrib/109888357547660624065/reviews?hl=zh-TW,5,True,719,服務態度非常細心體貼，牛小排及牛五花非常好吃，雞翅及綜合蔬菜也是非常可口，野生大草蝦更是不容錯過，雖然沒有預訂座位，要等個多小時也是值得的。
 Linda Wu ,https://www.google.com/maps/contrib/104007842186134087712/reviews?hl=zh-TW,4,True,605,品質不錯，代烤真的比較好吃。以這個價位等級而言，會再添一點吃老乾杯更優
 貓貓 ,https://www.google.com/maps/contrib/108503225512402368969/reviews?hl=zh-TW,5,True,54,壺同燒肉推出了冷凍商品【胡同燒肉×菠蘿麵包】，在家簡單做，配菜可加自己喜歡的生菜，好吃不失營養！
 謝廷祥 ,https://www.google.com/maps/contrib/115904096721906535439/reviews?hl=zh-TW,1,False,6,預約10點，等了20分鐘才進去，點完餐開始吃已經快11點了，全部時間都在等待，人手看起來不夠足，喔對了最裡面右邊那桌還會冷氣滴水，低到水的設計應該是要幫你降降火氣，真貼心
 Fecia Cu ,https://www.google.com/maps/contrib/102650912863061253447/reviews?hl=zh-TW,4,True,397,胡同三號店是我們最常來光顧的分店因為其他店通常都沒位置可能是這間店都是實習員工比較多的原因吧(?)其實每一間店品質都不錯但可以選的話我覺的一號店最推薦～
 Luis Hsu ,https://www.google.com/maps/contrib/102281722942273868852/reviews?hl=zh-TW,4,True,251,"燒肉好吃，生啤酒新鮮好喝，適合親朋好友聚餐的地方，價位偏高

小路評分7/12(主要是價位偏高)"
 陳姿姿 ,https://www.google.com/maps/contrib/109610313235066455394/reviews?hl=zh-TW,5,True,350,"桌邊服務真的讚！食材新鮮好吃吃燒肉的首選
牛舌真的讚不絕口人間美味呀！"
 Ya han ,https://www.google.com/maps/contrib/116596831692052831245/reviews?hl=zh-TW,3,True,"1,413","服務佳，全程幫忙烤
牛豬都好吃😋"
 Celine Chen ,https://www.google.com/maps/contrib/117290872763353911495/reviews?hl=zh-TW,5,True,151,肉質鮮嫩，食材新鮮，尤其服務人員的應對態度一整個加分，值得推薦的好店。
 吳正友 ,https://www.google.com/maps/contrib/117315831832015747554/reviews?hl=zh-TW,5,True,55,"我們帶著幼兒一起用餐
桌邊代烤服務非常好
讓我們愉快享用美食"
 Shohei Love ,https://www.google.com/maps/contrib/111255450823968682733/reviews?hl=zh-TW,5,False,4,台北最喜歡的燒肉店😋
 Ching Feng Kao ,https://www.google.com/maps/contrib/108034866561408177413/reviews?hl=zh-TW,5,True,206,店員烤肉技術純熟專業。食材新鮮，不需多做調味就非常美味。AE卡跟花旗頂級卡有88折優惠。
 Evelyn Liao ,https://www.google.com/maps/contrib/118228794997164255905/reviews?hl=zh-TW,5,True,547,"三個人吃飽飽大約點了4500
桌邊服務烤肉覺得很舒心
服務人員專業親切
店面不大滿舒適
牛舌好吃必點"
 羅可可 ,https://www.google.com/maps/contrib/103269254948055728716/reviews?hl=zh-TW,5,True,553,專人烤肉的店，氣氛很棒，豬肉、雞肉都超級好吃，好後悔沒點和牛😭😭😭😭😭
 Sanchi Lu ,https://www.google.com/maps/contrib/103015897796416441769/reviews?hl=zh-TW,4,True,98,店員服務超好，不僅火候掌控，順序跟食用提醒都做得很好，疫情前很難訂位，疫情期間貴族般享受。
 Vivian Shen ,https://www.google.com/maps/contrib/108530644491337456926/reviews?hl=zh-TW,5,True,155,東西好吃，店員友善，很溫馨，適合好友聚會或下班小酌。
 Anna Tien ,https://www.google.com/maps/contrib/100424035529191381868/reviews?hl=zh-TW,3,True,336,"便當體驗：舒肥牛外觀軟嫩但筋很多，豚里肌也偏柴。
便當配菜有豐盛的豆芽、泡菜跟醃蘿蔔，很下飯美味，但主菜很不OK."
 C LEE ,https://www.google.com/maps/contrib/113269641989326858204/reviews?hl=zh-TW,5,True,29,"肉質都表現相當優秀，不用點很高單價的肉，也可以吃得很開心！服務生也介紹得很詳細、服務很好、烤得又好吃！
以單點店來說，我們一人約一千元整，吃得很開心～
也很感謝店員協助我們幫朋友慶生，麻煩你們了。
不過還是有個唯一缺點就是位置小了點"
 Nick Wu (Nick Wu) ,https://www.google.com/maps/contrib/104079011435820646270/reviews?hl=zh-TW,4,True,86,還是保持一定水準，不會令人失望，但似乎服務沒有數年前好，食物方面希望還能推陳出新。
