user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Stanley Wang (一塊錢) ,https://www.google.com/maps/contrib/103209747258317435809/reviews?hl=zh-TW,1,True,137,"總之，這『炒公仔麵』真的是我吃過最糟的，到目前為止沒有之一。在看了多數人在Google的評論後我甚至覺得我是不是點錯餐點了。

昨天到訪並點了兩道餐點『雞腿扒炒公仔麵』、『恆之炒飯』，但事實上我似乎感覺吃了四道名為『無味雞腿排』、『太乾炒泡麵』、『炒飯』、『無味蝦仁』的菜。

炒飯粒粒分明沒有錯，這是炒飯的基本功，但是能把蝦仁炒到毫無味道，連蝦味都沒有，這也是難能可貴，看在兩百元的份上，我只能說裝盤功力比街邊路口的蝦仁炒飯稍稍好些。

再來是要價兩百二的炒公仔麵，這真的是我在台灣或香港吃過最難吃的炒公仔麵了。麵條太過乾硬、醬汁太少、雞腿排就只是雞腿排，上面既沒醬汁也沒調味，我甚至懷疑他是隔壁鹹酥雞攤買來切好擺上盤的。呃，不對！鹹酥雞攤還會灑粉調味。

當然我能夠理解每個人對於『美食』會有不同的標準，但我相信任何有稍微吃過台灣或香港茶餐廳的人應該對於『好吃』與否會有趨同的認知或定義。又或者我只是踩到了餐點的雷，我應該要試著點點恆之茶居其他的餐點？不過那應該要等以後有空再訪時了。"
 布蘭達簡 ,https://www.google.com/maps/contrib/113836108246458817395/reviews?hl=zh-TW,3,True,224,"2/5大年初五下午三點前往用餐；雖然不用排隊，但是也坐了9成滿，所以感覺人手不足，等了好一陣子才有人接待帶位。
點的餐點沒有等很久就上了👍，我吃的馳名雞扒飯，雞腿肉烤的很好吃，鮮嫩多汁，配菜有點清淡，便請服務人員拿辣油佐餐，不過帽子反戴的男生可能手邊有其他事情忘記了，再請一位短髮女生服務，馬上就送來了。
孩子吃的皮蛋瘦肉粥，他們說份量很足很好吃；不過餐蛋公仔麵有點太鹹。
覺得這裡的服務人員良莠不齊，有上茶水叮嚀小心燙口的貼心，也有轉身就忘記客人需求的，希望下次再訪可以再加油！"
 Dennis Lee ,https://www.google.com/maps/contrib/114195421813824590788/reviews?hl=zh-TW,5,True,294,"更多食記IGcutedis

到松菸誠品看電影
路過這家餐廳很多次
常常被他們點心櫃的菠蘿油吸引
但又怕胖不敢亂點
總覺得跟這家餐廳有緣無份

前陣子久別重逢的朋友約我吃飯
他選了這家餐廳
我覺得是該完滿這個緣份就赴約了

直接說結論
好吃！

相當推薦炒泡麵(之類的我忘記品名)
麵條帶勁、入口充滿爆炒的鑊氣
一點點微辣的調味讓人一口接一口

然後一定要試試看它的燒臘
叉燒好大一盤
價格真的蠻實惠的

餐廳可能因為疫情的關係
雖然沒什麼客人
但還是覺得有點人手不足
但雖然服務不即時
態度都是很好的
這點大家用餐時可能要多多擔待了"
 Anita ,https://www.google.com/maps/contrib/114219345168727014283/reviews?hl=zh-TW,5,True,212,"看到別人的評價，有點擔心。但是最後我的用餐經驗卻是極好的！
今天點的餐點，除了XO醬炒蘿蔔糕外（蘿蔔糕是非常溼軟的那一種），都很合口味。服務人員都很親切周到。吃完心情很好👍"
 Jennie ,https://www.google.com/maps/contrib/100873559075712849148/reviews?hl=zh-TW,4,True,35,"很幸運的後位沒太久很快就上餐
低消一人200元加一成服務費
服務的人員態度都滿好的
-
·叉燒包甜鹹剛剛好
·公仔麵有胡椒的辣口味普通沒有太大特色但還是可以點裡面的雞肉煎的很香是脆脆的
·Xo醬炒蘿蔔糕蘿蔔糕本身料感覺滿多然後口感很軟入口即化有大量的豆芽菜、蛋、洋蔥等"
 CHI C ,https://www.google.com/maps/contrib/110219757152504448548/reviews?hl=zh-TW,5,True,262,"大人低消$200，小孩低消$100！有用餐時間！
入座後點餐需舉手跟服務員點餐，點餐的服務人員態度很親切，看有孩子還主動詢問是否要做不辣餐點，當孩子詢問餐點問題時也很親切回應！
上餐速度快！只有松露蝦餃說是現蒸，最後才上，松露蝦餃好好吃啊！
雞腿扒XO炒公仔麵很可惜麵條太硬、沒有入味、雞腿肉還有腥味、煎的太乾口感不佳！
凍招牌奶茶太苦澀，幾乎是皺著眉頭喝完的！
雲吞湯是整隻蝦在雲吞裡，很好吃，湯頭雖然有點太鹹，但還算好喝！
甘哥叉燒餐包好吃！港式菠蘿油也很好吃！
可以累積誠品會員，可以Linepay、可以載具，整體用餐感覺還可以，只是打包帶走的湯沒包好，整個袋子都是湯了…"
 Christin 崔清華 (Chris) ,https://www.google.com/maps/contrib/107516229651781157886/reviews?hl=zh-TW,5,True,171,"食物多樣，現作料理熱度夠，有濃濃經典港味。
尤其辣椒油更是帶勁。
素食可以點清清素炒飯，一定要請服務生給你辣椒，搭配起來超級好吃！
叉燒銷魂飯可以選擇蛋的熟度，喜歡半熟蛋的人可以試試看，會更可口！"
 Ching Chi ,https://www.google.com/maps/contrib/112279526854941301674/reviews?hl=zh-TW,4,True,428,"空間位置略狹小
雲吞湯麵湯頭味道好，但麵煮的有點太熟了
餃類的餐點都尚可，沒有特別突出
蒜香炒芥蘭沒有蒜味，感覺像是清炒

蛋撻最推薦！"
 Kri Zermas ,https://www.google.com/maps/contrib/105037109368702693262/reviews?hl=zh-TW,3,True,130,"週日晚上六點到時門口等了好一陣子都沒人帶位也沒人理，還要自己進去櫃檯抓住服務生問，一開始有點三條線，其他客人也是同樣乾等的情況，服務人員雖然都客氣有禮但外場明顯人手不足，要不就職務需要重新調配，以免帶位跟點餐都要客人自己很積極的去找服務生。

點完菜之後送茶水上菜倒是很快。皮蛋瘦肉粥很鮮美兩個女生吃配上點心幾盤份量就很足，菠蘿油外酥內軟，奶油是冰的入口即化，香氣四溢，是水準之作，很推薦👍櫥窗裡看到叉燒酥那個層次非常厲害，但可惜想點時已經售完！其它菜品就中規中距，蠔油芥蘭份量好大，且不是長條完整的，而是切段的，跟我以前港式飲茶吃的不同，但也滿好吃，淋上的蠔油不會太鹹。"
 Leo Wan ,https://www.google.com/maps/contrib/107667804549998410208/reviews?hl=zh-TW,2,True,54,半年前因為誠品所以到了這茶餐廳，打算點一杯凍檸茶休息休息但入座後才發現有最低消費，所以還是把機會留了下一次。今天因為要食午餐終於成功光顧。重要的事情要說三次《週末是沒有提供焗飯》《週末是沒有提供焗飯》《週末是沒有提供焗飯》所以點了一個普通的咖喱牛腩飯。奶茶是預先加了糖甜度也不能調整。蛋撻如果有曲奇皮會更好。員工服務有禮專業令我欣賞所以加分.也很喜歡餐廳的電影海報及有關裝飾。是一間坐得舒服的茶餐廳。如果未來可以取消最低消費及週末焗飯，我會樂意再嘗試一次。
