user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Rumi Yi ,https://www.google.com/maps/contrib/116111568104060621763/reviews?hl=zh-TW,1,False,24,"很抱歉
我真的是第一次有這麼差的用餐體驗：）

走進店裡，等了好久才終於有服務生幫我們帶位

水要我們自己去裝、盤子要我們從機器人上自己拿，那請問還另外加收收服務費的意義在…？🌝
餐點本身已經非常不便宜，又再加收這看不到價值的服務費，奇摩子真的不是太好😅

再來論論餐點部分…
本來想說價格偏高，餐點好吃就算了…
結果….
我點的猴頭菇
我第一口吃下去整個心涼到不行…
居然是爛的！？猴頭菇不該是有嚼勁的嗎？？
吃起來像壞掉放很久萎靡爛掉的菇…
猴頭菇非常小也非常少塊…
其他都是薑片…

號稱老派甜點，結果是一塊包裝好的沙其馬？？
有點傻眼…😂
完全太驚喜了…出乎我想像，不好的驚喜：（

最令人傻眼的是….
那碗單點標價8、90元的湯
1/6塊玉米….重點是還爛掉…軟到不行，
湯完全就是自助餐裡會提供的那種免費湯，非常非常非常之令人失望….

我覺得沒有任何一點優點…
我第一次吃到這麼生氣…🙁
價格不低就算了，餐點還這麼不用心…
真的吃得令人失望🙁🙁
到現在我仍忘不了那可怕的猴頭菇口感….🙂

我不怎麼花時間評論，但這家餐廳真的讓我必須好好花時間來打評論，避免繼續踩雷到@@"
 Gordon Lu ,https://www.google.com/maps/contrib/111175998738748802147/reviews?hl=zh-TW,5,True,137,"逛完松菸文創，想找個地方吃晚餐，看了溫叨的菜單，覺得餐點與價位都還算合理，就決定在溫叨用餐。

溫叨的用餐環境很舒適，桌距夠大不會被干擾，室內裝潢簡單、明亮，坐在靠窗座位可以觀賞戶外的表演。

網友評論中，最爭議的是溫叨的服務。個人覺得無接觸服務是未來趨勢，溫叨使用掃QRcode點餐、機器貓送餐，並提供簡單的飲料自助吧，很喜歡這樣的新服務型態。我們遇到的兩位服務員也都很友善，對各項新服務的講解很仔細。

我們兩人用餐，點了「上品豬五花佐金針菇卷」套餐和「芋見泥·好心情」早午餐，餐點很合我們的口味，健康的藜麥飯、家常味道的豬五花、微甜不膩的芋泥球、還有風味獨特的黑松露起士嫩蛋，都很美味可口。

綜合來說，我們對溫叨的服務、用餐環境、餐點等都還算滿意，價位合理，下次來逛松菸或松山誠品，還是會考慮來這裡用餐。"
 岳志剛 ,https://www.google.com/maps/contrib/106102913999128907200/reviews?hl=zh-TW,4,True,216,"溫叨咖啡餐酒館

位置:松菸誠品二樓

菜色:看菜單有點餐酒館跟中式料理簡餐混搭，這點選獅子頭套餐獅子頭的部分很軟不柴，湯的部分這次是菜頭湯很簡單的菜頭湯，沒有驚艷但沒有失望，畢竟在這裡寸土寸金吃的就是不要出錯就是加分的餐廳，白飯的部分我覺得也是算OK，沒有過乾或是太濕的問題就是剛好及格。

環境:進場有一點小夜店或是電影中的港式餐酒館的感覺，可能有一些網美想要打卡順便用餐不錯，座椅都是兩人或四人為主，放眼過過去應該可以放到40人上下沒問題。

單價:300起跳

總結:如果你剛好來逛松菸，不想跑太遠又想吹冷氣，餐點不需要驚豔的話可以"
 Jung Tsung ,https://www.google.com/maps/contrib/101360322442838141209/reviews?hl=zh-TW,4,True,64,之前吃過一次，印象中還好，這次跟朋友來第二次，覺得比第一次好吃，價格上也還是一樣中高，不得不說鬆餅滿好吃的，咦，我是吃吐司還是鬆餅，哈哈哈哈，總之甜點就是不賴，可以點喔！正餐的話也可以啦，不過我是單點（主食加飯）不是套餐（小菜、湯）我好像點豬肉捲金針菇（咬很久）
 曹哿瑄（Gina） ,https://www.google.com/maps/contrib/104510142098392923684/reviews?hl=zh-TW,4,True,37,"假日晚上適合家庭聚餐的餐廳
價位中高
菜色多且好吃
服務尚可加強

環境服務
環境非常的整潔
此外桌子與桌子之間的空間蠻大的
所以坐起來非常的舒適
那裡面的裝潢呢
也很典雅沙發做起來很舒服
使用的餐具，跟碗盤也很漂亮
但是服務呢
可能有待加強
畢竟餐廳裡面上菜、點餐、飲料都是自助的
但是在按服務鈴通知需要多的餐具
還有結帳時，服務人員的動作稍慢
說真的，服務費收的不是很合理

菜色
菜色豐富有中式和西式的選擇多樣吃的出來，菜色是有用心在製作的

家傳好味獅子頭套餐390
獅子頭不會太油膩配餐的飯跟湯烹調的很好豆乾和海帶滷得入味，海帶如口即化

九層塔香三杯雞套餐450
這一份套餐燒貴
但是雞肉烹調的很好
肉一下子就可以從骨頭上抿下來

黑松露蕈菇烤餅329
一份很香的一個烤餅
有點像Pizza
一樣有點稍貴可是好吃

經典嫩煎法式吐司早午餐349
焦糖烤葡萄柚非常的好吃，葡萄柚不會苦但吃起來有點費工
搭配法式吐司的奶油很香，那再沾上楓糖絕配
炒蛋還有香腸就是正常發揮
食量大的男生可能吃這一份不會很飽

小可頌佐茄汁肉丸329
覺得這一份早午餐，很普通
肉丸不如獅子頭的好吃
裡面的馬鈴薯調味有點過重

芋見泥好心情329
一份普通的早午餐
芋泥就是正常發揮，也沒有什麼太有記憶點的東西

整體而言
裡面的環境和舒適度，會讓我想要再訪
如果要點菜色的話
比較推薦中式料理吃得飽又具有特色"
 Sonia Cheng ,https://www.google.com/maps/contrib/101216540633905385931/reviews?hl=zh-TW,3,True,28,鬆餅是類似可頌的口感，啤酒好喝但不便宜，拿鐵咖啡偏苦，總之是逛累了在這裡坐著休息一下，專程來就不必了。
 林ting hen ,https://www.google.com/maps/contrib/100105445811020548185/reviews?hl=zh-TW,5,True,90,"在手機裡發現前陣子吃的店來寫一下
溫叨溫叨，這個名字已經在我腦裡好幾年。
記得我每次經過新生的時候都會看到這間店，但都沒有機會進去，後來才發現已經歇業了，因為某些原因，來到松菸，本來想吃的餐廳也歇業了，就到誠品裡覓食，美食街裡的美食讓人難以選擇，無意間搜尋到這裡居然有溫叨，立馬決定要吃這間。
一般這種店裡面有的餐點不外乎是義式料理或早午餐，他除了早午餐外還有家常菜的部分，送餐用機器人，點餐用qr碼，東西吃起來蠻好吃的但他是走精緻路線
一旁還有落地窗可以看看前面的廣場
太多店叫溫叨了，有雞蛋糕，有家常菜，有咖啡廳，感覺不像是同一個集團誒所以要認清楚"
 Joe Lin ,https://www.google.com/maps/contrib/113149256758446292870/reviews?hl=zh-TW,1,False,17,位置好，景觀佳，餐點很雷。我們點了三份，紅燒獅子頭套餐的獅子頭是冷凍食品加熱感，沒有肉味。早午餐2份，其中法式吐司的小菜發酸了，加點的美式咖啡很大杯卻無法入口；可頌這份早午餐尚可。這麼好位置的餐廳真可惜！
 Bing Hung ,https://www.google.com/maps/contrib/110089662139038625361/reviews?hl=zh-TW,5,True,92,主打機器人送餐的餐廳，門口的接待態度比機器人弱些。窗景環境很美，而且因為要留走道給機器人走，所以不會有擁擠感。餐點可以，不過金針菇卷不適合牙口不好的人。
 Kei Hsiao ,https://www.google.com/maps/contrib/101222627274939423399/reviews?hl=zh-TW,2,True,49,"實在是不想毒舌…這個白飯很明顯是冰過再微波上桌，溫溫的然後很硬，而且是帶硬心的那種，。另一位同行友人的白飯也是，連泡在麻油雞湯裡面都軟化不了，環境很好沒話說，服務式態度也ok(我們要求本來就不高)，可是最基本的白飯用微波給客人實在是……@@
（順帶一提，拉花也是很兩光，可是不列入評分範圍…）"
