user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Oscar Liu ,https://www.google.com/maps/contrib/102945359219157118338/reviews?hl=zh-TW,5,True,99,"超級常經過，終於下定決心來探店。

其實這個位置真的很偏，每次都好奇有多少人會來這吃居酒屋、這幾間店又能撐多久；基於鄰居捧場的概念來試試，想不到讓我意外發現好吃極推的店家。

菜單的選擇很典型，但還是有些特別的可以點。基本推薦：鹽烤雞筋串、赤燒手羽先、鹽蔥牛肋條、味噌松阪豬、月見牛肉丸，還有很多看起來超讚的沒點就已經飽到不行，

特別想點名西京燒奶油雞燉烏龍這道菜；一般居酒屋要嘛日式炒烏龍、要嘛明太子白醬烏龍，第一次看到用味噌風味微辣的烏龍，非常值得一試。

這間店在這裡能屹立不搖這麼多年，相信有他的長處。無論是店員貼心的服務，特別跟我們說慢慢吃他們調整上菜速度，或是食物本身的出色表現與店內氛圍，希望再多去光顧。"
 解妮瑾 ,https://www.google.com/maps/contrib/104999915584707768369/reviews?hl=zh-TW,4,True,380,用餐環境舒適，店內不混很擁擠，陳設佈置也很日式，是個適合聊天聚會的地方，溫清酒喝起來爽口，搭配串燒剛剛好，地點位在市民大道與光復南路路口，價位偏中價位，建議多人分食。
 Allen Tsai ,https://www.google.com/maps/contrib/102364165976922320935/reviews?hl=zh-TW,5,True,197,串燒都很好吃，炸物也不錯，價格也合理，生意很好需要先訂位，可以再訪
 Einer Huang ,https://www.google.com/maps/contrib/100292412120197916218/reviews?hl=zh-TW,4,True,431,適合小聚好，吃吃喝喝的地方。價位在居酒屋來說中等，串燒味道還不錯，但蜂蜜芥末的串燒類有點醬太多壓過肉味了。
 林昱婷 ,https://www.google.com/maps/contrib/101857432561345264300/reviews?hl=zh-TW,5,True,338,"裝潢非常日式，真的像踏進日本居酒屋
串燒、明太子烏龍麵、炸豆腐都很優秀好吃
梅酒很多種，店家還先讓我們試喝再決定點"
 Polly Chou ,https://www.google.com/maps/contrib/118353118450230022267/reviews?hl=zh-TW,4,True,550,環境舒適餐點雖沒有特別經驗但是居酒屋裡面中上水平～
 Crystal Lan ,https://www.google.com/maps/contrib/110154274921425524654/reviews?hl=zh-TW,5,True,89,"台北市可以用不貴的價格吃到高品質串燒，大推！
特別推薦炸雞軟骨，非常唰嘴👍"
 chien hung LIU ,https://www.google.com/maps/contrib/112552130645611453860/reviews?hl=zh-TW,5,True,87,平日晚上人潮不多，舒服又美味，值得再來
 Queenie Yuen ,https://www.google.com/maps/contrib/100497383989495918189/reviews?hl=zh-TW,5,False,5,性價比超高，值得再光顧👍🏻👍🏻👍🏻
 Elsa C ,https://www.google.com/maps/contrib/101170856977079168565/reviews?hl=zh-TW,5,True,449,"東西好吃，除了豬肉比較硬之外，其他我們都很喜歡！份量十足！
老闆人很好，還先提醒我們不要點太多，吃完在吃。
上菜看桌子滿了也會留一些晚一點上，這樣才不會一次上太多冷掉不好吃。
我們兩人點了一瓶750ml清酒,怕喝不完，老闆說可以帶回家或寄瓶。不過最後我們喝光光了！"
 林錦珠 ,https://www.google.com/maps/contrib/108235752483370231127/reviews?hl=zh-TW,5,True,200,非常日式居酒屋🏮的氛圍，口味不錯吃，新鮮可口，適合談天舒壓的地方
 FiFi Lin ,https://www.google.com/maps/contrib/109273643630615338541/reviews?hl=zh-TW,5,False,32,服務人員熱情親切！餐點好吃，尤其是明太子馬鈴薯！！！店內氣氛十分好！
 Agnes ,https://www.google.com/maps/contrib/109024480160881289186/reviews?hl=zh-TW,4,True,157,"價格在東區來說算是比較便宜的喔！比吳留手大概便宜20%，份量也多一點，兩人不小心手滑個點太多，吃到好撐，最喜歡考櫛瓜、明太子山藥和鹽蔥雞肉串，蔥放得很多，明太子也是，覺得滿滿足的；這一大壺是清酒，超划算才$650，喝了很久才喝完，熱熱的喝很不錯；明太子烏龍麵就普普了，有點太甜，還是比不上吳留手，我們還點了赤燒松阪豬、赤燒手羽先、鹽烤透抽、極上牛肋排，本來還想點棉花糖或麻糬的，但是實在太飽了，下次再試。
出菜速度非常慢，當天客滿，人手三位非常不足，大概等了40分鐘才出第一道菜，從八點半吃到快十二點，不過服務態度滿好的，想吃串燒又有時間的人可以去試試"
 汪Jocelyn ,https://www.google.com/maps/contrib/104246590008279738138/reviews?hl=zh-TW,4,True,42,"不小心點到忘我
上菜速度非常快，東西很好吃
可惜我的牛舌太慢出現肚子已飽
鱈魚肝沙拉味道很好
喜歡有烤雞軟骨的店家，清酒要點哦"
 Chiao Lee ,https://www.google.com/maps/contrib/111469310028991988015/reviews?hl=zh-TW,5,True,51,食物好吃，深夜想吃點東西小酌就會來這。位置不多很快就滿位囉～
 潘怡安 ,https://www.google.com/maps/contrib/103607131457999535505/reviews?hl=zh-TW,4,True,200,點的都很好吃😋烏龍麵、牛肉串燒、明太子飯團🍙只是等太久了扣一顆星！三道菜就等了一個小時，還有最靠窗的位置有燈直射超級熱又很擠...不適合讓客人坐！
