user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 徐君蓉 ,https://www.google.com/maps/contrib/104650463690195572836/reviews?hl=zh-TW,5,True,681,"JKStudio新義法料理-必須給你個真''熱食料理''最高評價

絕對有五顆星且值得一吃、二吃、三吃的JKStudio，最最最讓人驚豔的是''食物的熱度''。

我從來沒吃過義大利麵在送上桌後還能維持剛起鍋的熱度，這點讓人太吃驚了！
這完美的燙口感，在吃到一半還能讓人是吃到的是熱食而不是溫冷食，必須給滿分！
當然，加上食物的美味度，真心覺得來個n次吃過一遍全菜單都沒問題！

就連排餐那常常是在旁邊不起眼被當裝飾的蔬菜，都不是簡單的燙過而是有料理調味的，更別說主餐的美味度了！而甜點也一點都不馬虎！
布朗尼真心和其它餐廳的甜點不同層級，相當具有水準！

服務生皆著西裝，服務到位，用餐空間舒服，再加上美味的料理，對得起它的價格！(這很主觀，這次的內用經驗，我真的不覺得貴）

若有想要改進的，大概就是餐具可以選擇更有質感的囉！

#信義區美食
#JKStudio
#義式料理
#義大利麵
#干貝"
 Becky Chen ,https://www.google.com/maps/contrib/107867449609900651235/reviews?hl=zh-TW,5,True,525,"環境精緻舒服
蠻適合特殊節日慶祝，酒單和餐點都有水準之上，不過整體口味偏台式

雙人餐份量非常足
點了prime牛小排雙人套餐

*酥烤明太子餐包
麵包烤的非常酥脆，單吃或沾濃湯吃都不錯

*炸魔鬼雞翅
醬滿魔鬼的，應該有中辣以上的辣度
口味也比較重，肉的部分鮮嫩多汁

*黑松露野菇燉飯
是用台灣米和泰國米燉煮而成，所以有點小失望，米心不是偏硬
剛上桌未攪散溏心蛋前，松露味比較濃郁，攪散後就沒有太濃厚的松露味了

*prime安格斯12盎司
份量非常多！調味也偏自然原味，肉品自己沾鹽吃就蠻好吃的，熟度也抓的不錯

*脆皮布蕾
很喜歡他帶點草莓香氣和小酸度的上層焦糖
有畫龍點睛的效果，讓這份布蕾特別了起來

點了一杯餐酒，品質不錯，滿搭餐的，價格也不會太貴

整體來說，CP值還算夠
推薦給有點小預算，想要有品質的人"
 張吉米 ,https://www.google.com/maps/contrib/104196139940309260017/reviews?hl=zh-TW,5,True,305,"好吃。本來想吃的店訂不到位置，臨時來了這家，一看到價格本來想走的，後來覺得肚子太餓，很想坐下來好好地吃一餐，就想很久沒有吃很貴的晚餐，就試試看吧！
只能說很幸運來到這家店，每一道菜都非常細緻，幾近完美演繹食物，從麵包開始就讓很餓的自己滿足，直到主菜出現，甜點結束，一切都很棒，現場也是滿滿的客人。廁所還有漱口水和牙線，女廁也有衛生棉，每一個用餐細節都有照顧到，非常滿意。

唯一美中不足的地方，我當晚點小羔羊排，雖然肉五分熟，但還是覺得有一點生，而且吃到後面還會殘留生肉在骨頭上，當下只是想小羔羊排的生熟度真的很難控制。但瑕不掩瑜，還是非常滿意的夜晚"
 Chien-Yu Chen ,https://www.google.com/maps/contrib/100487742217884580923/reviews?hl=zh-TW,4,True,38,"環境整體乾淨舒服，桌距不會太靠近，適合朋友聚餐或是特殊節日用餐。

可以感受到主廚對於每道料理的想法，想結合法餐料理與台灣口味。不論是前菜的雞胸肉有特別提到鹽水雞的概念、中間的南瓜燉飯與提拉米蘇的概念，還有蛋白霜與醬油結合創造出新的味蕾，擺盤非常景緻、食物間出餐的速度得宜。

主菜部分是小羔羊和伊比利豬。小羔羊這次是參考服務生的推薦五分熟，口感軟嫩，唯靠近骨頭的地方較生，旁邊的炸蕈菇，味道輔佐恰當。伊比利豬的份量蠻大份的，口感紮實有嚼勁，味道沒有特別突出之處。

服務生的態度應對良好，對食物的敘述也很熟稔，當天用餐的整理體驗也很好，唯有價格稍高一些，整體還是推薦。"
 Erica Chang ,https://www.google.com/maps/contrib/101691763146163424884/reviews?hl=zh-TW,4,True,130,"前菜沙拉醬是固定的每日調醬，這也無可厚非，可是我個人不喜歡太濃厚的美乃滋為基底的醬，而且也放太多了。建議用小缽讓客人自己隨個人喜好添加沙拉使用一般的美生菜無特別之處，麵包也是有調醬的。湯也沒可特別描繪之處。
主餐的排餐～讓我對主廚的功力覺得滿意，雖然是午餐，但牛排熟度掌握的很好，不見血水（這是很基本的）擺盤配菜都很滿意。
服務也很好，有星級的服務，可是個人覺得標準歐式餐廳，餐桌上的檯布是基本的。"
 S.M. Hsu ,https://www.google.com/maps/contrib/110514110216056636046/reviews?hl=zh-TW,2,True,472,"優點：好訂位/桌子間距大

整體來說，這個價位可以有更好的選擇
四個人點了一個單人義大利麵套餐，雙人戰斧豬排套餐，還有一個牛小排單點
套餐含湯和前菜甜點飲料，四個人吃下來$5900左右，已經算是中高價位，但卻覺得沒有很值得。

洋蔥湯普普。
前菜只有三種選擇，選了辣雞翅跟燻鮭魚馬鈴薯
辣雞翅算是滿夠味的，爆米花的襯底也很有特色，但是燻鮭魚馬鈴薯很難理解，本來以為是完整的燻鮭魚，結果是打成像是泥一樣放在炸馬鈴薯上，覺得沒有很搭，也沒有好吃。

義大利麵蠻好吃的，燉飯調味還可以，但沒有米心，口感不是很好。

牛排建議七分熟，五分熟有點難咬

可以感受到整間店想要走高質感路線，但是服務人員的素質也讓人覺得普普，覺得是可以更好的一間餐廳。

補充：這麼不便宜的餐廳，杯子居然用Ikea的...質感瞬間再降一級..."
 連DORA ,https://www.google.com/maps/contrib/117650573214755523647/reviews?hl=zh-TW,5,True,22,服務好、氣氛佳、環境舒適、餐點精緻好吃！訂位時有告知要慶生，上副餐時還招待了冰淇淋並貼心點上小蠟燭..11:30入場不知不覺就待到15:00(店家休息時間)我不是很常在高價位餐廳用餐的人，但確定這是一個非常舒服的體驗！
 TUNG ALEX ,https://www.google.com/maps/contrib/117214172039422259345/reviews?hl=zh-TW,4,False,48,"除了麵包口感有一點硬。其它前菜等口味都不錯。
干貝義大利扁麵也賞心悅目清爽可口。
印象較為深刻的是主餐羅西尼和牛菲力/鴨肝定價2,280。
鮮嫩多汁非常的美味😊
有特殊的紀念日值得慶祝的時候，可以前來好好享用。"
 黃志遠 ,https://www.google.com/maps/contrib/113540736136746306830/reviews?hl=zh-TW,5,False,32,味道非常好，安格斯牛非常好吃，意外的軟嫩，黑松露蕈菇濃湯煮的很濃郁，前菜的蘑菇表現也是滿分，居然可以將菇的味道充分表現出來，以上餐點我都相當滿意，但用餐時發現每位服務生上菜好像都很緊張😂有位女服務生不小心打翻飲料，超擔心他被罵😂
 YH ,https://www.google.com/maps/contrib/108911102880521435020/reviews?hl=zh-TW,3,True,178,"從我們點餐後直到20分鐘才上第一道菜，而這第一道菜竟然是湯品；馬賽魚湯太水，鮮味不足；麵包吃起來就像是一般市售麵包加上明太子，雖然烤的非常酥，但少了歐式餐酒館應該要有充滿麵皮香的歐式麵包，更像連鎖平價牛排店讓客人自己烤的麵包。以前菜來說完全沒有讓人印象深刻的地方，反而像一般簡餐店的水準。

最令人失望的是松露燉飯，這竟然是用台灣米跟泰國米所製作而成，太濕太軟，讓人難以認同；另一道主菜羊排雖嫩，但少了梅納反應帶來的酥脆外皮感。不過這間餐廳價格不貴，開瓶費300也低於一般餐廳，服務態度良好，整體吃起來感覺算是舒適。

從裝潢跟服務態度還有吧台滿滿的葡萄酒杯，感覺的出這家餐廳的野心，但餐點實在是沒有驚艷感，如果家住附近可能還會去吃，但不太值得特地去吃，我反而願意花更多錢去台北其他家更有特色且好吃的餐酒館。"
