user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Oz L ,https://www.google.com/maps/contrib/103527927773119698360/reviews?hl=zh-TW,5,True,33,"一週內來了兩次，覺得非常優秀，食物非常好吃，體驗環境都很好，酒也非常好喝。第二次新來的店員專業度有待加強但還可以接受。牛肉建議不一定要使用和牛而為了壓低成本用澳洲的，可以用美國或日本的一般牛排。最後一道的海膽壽司醬可以放旁邊、不然有點搶味。其餘都是100分，不然不可能一週內去兩次。吃的飽，以懷石料理來說CP值也很高。非常推薦

HighlyrecommendedifyouwannatryauthenticJapaneseKaiseki.Greatservice,amazingcocktailsandscrumptiousfood.Newhiredstaffgotsomeminorissuestoimprovebuttherestwasamazing.Beenheretwicealreadyandwilldefinitelywannacomeforthenextseason."
 Haha Huh ,https://www.google.com/maps/contrib/103428225327497944352/reviews?hl=zh-TW,5,True,40,老闆對於食材的搭配非常有一套，食材搭配讓人驚艷到回味無窮，跟酒一起的搭配也是非常完美的融合，會讓你一訪再訪的店，真心覺得好吃的味覺是天生，就跟這家食物一樣，好吃不膩又回味。近期吃過最好吃的店，最後兩道甜點我很喜歡。滿分！！
 鄭翠華 ,https://www.google.com/maps/contrib/109160151529178503261/reviews?hl=zh-TW,5,False,7,今天兒子生日再次選擇了leduet慶生。去年老木我62大壽也是在此過的。只是今年的菜色更讓我們驚艷。已來過幾次了。每次都是滿滿的驚嘆號！我必需說leduet絕對不輸其它米其林幾星級。Mycomplimentstothechef!!今天讓我們吃到滿滿的幸福，心滿意足的回家。
 Burke Tsai ,https://www.google.com/maps/contrib/113080832665766384851/reviews?hl=zh-TW,4,True,27,"每道菜都是藝術，視、味覺上的享受。唯一可惜，廚房頻出現餐鍋具碰撞聲（會嚇到的那種），算是用餐上的美中不足吧。

還是推～～～很適合約會去處。"
 Jennifer Chen ,https://www.google.com/maps/contrib/113744518584379807751/reviews?hl=zh-TW,5,False,2,"感謝招待，主廚及服務都讓人覺得自在親切

主廚結合日式懷石的基礎融合法式西式及台灣的口味，複雜卻不張揚，道道層次，食材搭配耳目一新，食材選用用心且新鮮，餐點排序可以感受到口味由清入重再收尾回甘，每一道都在視覺味蕾上讓人驚艷，很喜歡。
個人每一道都很有印象，先付、兩道八寸、造里都是我特別想推薦的。

友人非常喜愛主廚料理中處理「酸」的方式，無論是醋的調味或燒物中酸白菜湯汁的調理與甘鯛的搭配，都非常回味無窮。

裝潢空間及音樂也讓我特別喜歡，氛圍營造搭配綠植插的點綴，很有東西方融合的感受。聽到坂本龍一的MerryChristmasMr.Lawrence直接豎起耳朵。

有機會會回訪品酒，感謝當晚的廚師們及接待☺️#春懷石"
 Cindy Chang ,https://www.google.com/maps/contrib/111959164218019329278/reviews?hl=zh-TW,4,True,489,去年慶生吃的餐廳；有點西式融合日式的風格，但覺得跟純粹的高級日式料理好像又不太能比，整體而言蠻精緻的但少了一點驚豔感；可以嚐鮮看看但應該不會再去第二次了。
 KWEN KWEN ,https://www.google.com/maps/contrib/112848879157238222888/reviews?hl=zh-TW,5,True,"1,025","今天初次來到隱身在松菸旁邊小巷子的finedining餐廳LeDuet,餐廳外觀簡單俐落牆面的顏色也非常美，餐厅内部的装潢低调且隐密，音乐播着FJK音量适中，椅子非常舒适，桌面也是简單俐落，這次選擇可以看到廚師製作料理的吧台座位。
料理的選擇是必須在預約時就選擇好，一開始會上酒單，我們選擇搭配3杯和5杯的winepairing。
前菜是藜麥、堅果、芝麻葉搭配阿根廷紅蝦。酒類搭配帶氣泡的微甜白酒。整體而言非常美味，蝦的彈度令人驚艷。爽脆的口感和醬料的香氣瀰漫在口中。
第二道非常意外，是豬血糕搭配雞肝醬料（有點忘了）搭配香菜苗，香氣十足，做成像軍艦卷的形式非常美。
第三道是土瓶蒸蛤蜊湯，器皿非常美一打開也是香氣逼人，湯體鮮甜，湯內的雞肉丸也非常好吃。
第四道是鴨肉搭配略帶香辣的粥，以粥代醬的想法非常有趣，雖然鴨肉有點難切，但不影響鴨肉搭配周的美味。酒類是搭配紅酒。
第五道是炊飯，器皿也是美極了，整體而言也是香到不行。香氣有著香料、米、香菇融為一體的香氣。
最後一道是甜點費南雪瑪德蓮搭配酒粕冰淇淋，酒是搭配混釀葡萄過白蘭地桶的甜酒，體而言真是太美味。最為收尾非常厲害。

5杯的winepairing喝完非常滿足，但最後還是點了一杯8號調酒，香味和層次也是做的很足。"
 C. Daniel ,https://www.google.com/maps/contrib/117075782544101822600/reviews?hl=zh-TW,5,True,42,整體餐點都很優秀，有質感的創意料理，搭配的酒也很到位。費用也很親民。會想再二訪的餐廳🍴
 DY ,https://www.google.com/maps/contrib/106820337341468690730/reviews?hl=zh-TW,4,True,187,環境很舒服、服務還不錯，整體餐點都有一定水準且都可以感受到主廚的巧思，但少了一些亮點跟記憶度，餐點的層次有點過於複雜。
 Dora ,https://www.google.com/maps/contrib/101145363500804423682/reviews?hl=zh-TW,5,True,196,"預約制的餐廳，非常適合節慶的晚餐。
餐廳環境氣氛佳，每道料理也感受到廚師的用心！
豬血糕搭配鵝肝醬、炊飯、以粥代醬配上鴨肉、費南雪配上酒鉑冰淇淋…等等，都非常好吃，富有層次感，餐點味道偏重，但配上wineparing剛剛好，白酒紅酒都很好喝、香氣足，且餐點份量也不會太多，不會有吃不下的感覺，男友非常滿意，一定還會再光顧☺️"
