user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 陳妍儒 ,https://www.google.com/maps/contrib/104125231273657067393/reviews?hl=zh-TW,5,True,140,"之前內用只有一張桌子站著吃
現在有內用區了而且位置滿多的
用餐完畢後需要自己回收餐盤跟垃圾
地址也換了

薯條一如既往的好吃可以加價換別的醬
不吃麵包的也可以加30元換成生菜"
 Lawrence Liao ,https://www.google.com/maps/contrib/109308310311291253324/reviews?hl=zh-TW,4,True,293,"一間專賣和牛漢堡的小店
店面不大，有一個看起來是可以內用的臺桌，但疫情期間只能外帶，空間明亮，開放式廚房，可以看到在製作漢堡的過程，看著漢堡排在鐵板上吱吱作響非常療癒。

漢堡部分這次點了
原味和牛漢堡$190
山葵和牛漢堡$210
兩者差異不大，漢堡排肉有點細碎，一直咬就散，味道還不錯，牛肉味很香，配上店家特別的醬汁和一點點生菜，整體非常和諧，整個吃完也不會太膩，另外有生酮飲食版本的漢堡，就是把漢堡包換成生菜，不吃澱粉的人也可以選擇

整體萊說還不錯，是願意回購的漢堡，有經過的人可以去試試！"
 真岡鐵道哥 ,https://www.google.com/maps/contrib/106905500780542488941/reviews?hl=zh-TW,4,True,208,點原味和牛漢堡，有肉汁跟和牛特有的甘甜感不錯吃
 Raymond Wang ,https://www.google.com/maps/contrib/105218576629513321371/reviews?hl=zh-TW,5,True,570,"漢堡店有時候尺寸有點迷你
怕會吃不飽，下意識就點了雙層和牛堡
沒想到WagyuBurger簡直像是塞了兩塊漢堡排在裡面
或許是因為使用和牛，漢堡排牛味十足
個人非常喜歡
#wagyuburger#原味和牛漢堡#雙層和牛漢堡#牛肉起司漢堡#cheeseburger#doublecheeseburger#チーズバーガー#ダブルチーズバーガー#漢堡#hamburger#ハンバーガー#🍔#大安區#台北#taipei#台北グルメ#taipeifood
IG:ismshh"
 CC L ,https://www.google.com/maps/contrib/105815384552179657922/reviews?hl=zh-TW,3,True,398,"肉有點筋
也是無肉汁流派的
沙拉…如圖，有附醬包

不會太油

麵包一般

就是…可以吃啦
價位也沒有很過分

不過好像沒有區分內外場
所以點餐哥的眼神好殺"
 Milo ,https://www.google.com/maps/contrib/101917540028275867535/reviews?hl=zh-TW,3,True,129,"麵包的酥脆感很棒！外酥內軟
可惜了漢堡肉比較偏粗沒很多汁
不確定是煎法還是肉質混合比例的關係？

屬於可吃但有待加強的漢堡😅"
 Tsai William ,https://www.google.com/maps/contrib/109432860333056317482/reviews?hl=zh-TW,4,True,48,"中午前往外帶，店主親切有禮，漢堡麵包外帶不濕軟，醬料提味肉排可口，價位個人覺得並不算不親民。
可惜了配餐只有薯條或沙拉，期待更多元的選擇，會再訪的好漢堡店。"
 Vincent Tien ,https://www.google.com/maps/contrib/102220262551227615895/reviews?hl=zh-TW,4,True,903,漢堡整體而言比較偏向吃食材原味，芥末口味算蠻特別的，不會太過嗆辣搶走食材的味道，以一般漢堡而言算是不錯，但以和牛入餡，則肉餅感覺略柴，理應更juice才是
 Zulian Tz ,https://www.google.com/maps/contrib/103251970118156884327/reviews?hl=zh-TW,1,False,37,一個$310的雙層堡長這樣？牛肉是很厚沒錯，但是體積很小，只是讓側面好看一點而已。配菜也太寒酸了，蕃茄薄到看不見，青菜也少少的，真的是做得很隨便，失望透了
 Stanley Lin ,https://www.google.com/maps/contrib/110357195224772641551/reviews?hl=zh-TW,5,True,506,雖然中長髮眼鏡男店員臉很臭，真的不用這樣，但必須說漢堡真的超級好吃，很喜歡原味的creamcheese，其他山葵和椒麻調味也不錯，但個人個覺得沒有什麼特別的感覺，還是比較喜歡原味就好，薯條很好吃一定要點，加套可以選薯條或沙拉才加20元超划算，等餐時可以隔著玻璃牆看煎肉排時，真的超級療癒，都是現點現做，等的時間完全值得，從煎台翻面以後還會放到另一個有凹痕的煎盤，肉的份量真的十足，不夠的話就可以點雙層直截吃爆，但希望店員有洗手再來用生菜蕃茄，真的好怕...（後記：後來去了幾次服務都還不錯，環境也都維持得很乾淨，外送生意還不錯）
 陳燕翎 ,https://www.google.com/maps/contrib/113015413317043002305/reviews?hl=zh-TW,5,True,149,"今天二訪WAGYUBURGER
為了品#生酮和牛漢堡

簡單美味多汁
生菜、和牛漢堡排再搭上炒洋蔥淋上起司醬👍👍👍"
 吳梓誠 ,https://www.google.com/maps/contrib/117653305135075388470/reviews?hl=zh-TW,5,True,326,"中午臨時起意想吃個漢堡，經太太小搜尋一下推薦這家100%和牛製，但考慮到店內內用位置不一定有加上上班族午餐時間無法逗留太久，打電話到店裡預訂12：45分兩份雙層和牛堡(一個山葵一個椒麻口味)!!
取餐上交通無論坐車或騎車開車很方便，路邊臨停一下衝進去結帳，沒一下子就可以取餐，之前小擔心會不會早早做好在那放的擔憂就消失了。
電話中感覺老闆酷酷地，果然見到本人真是超級酷，還有點像大明星基努李維......
紙盒非常有質感，包裝得宜，且以20元加價薯條或沙拉十分划算，用憶霖的沙拉醬也是乾淨衛生啦。
打開後，初嘗一下漢堡麵包，嗯!!90分以上有!!蔬菜非常鮮加上一些炒洋蔥帶點味道好，和牛堡算中等扎實軟嫩不散。
唯一唯一小可惜是醬料不是太多，所以風味上感覺稍稍少了一味!!"
 huangshu chen ,https://www.google.com/maps/contrib/104319809351849325919/reviews?hl=zh-TW,4,True,35,到了餐廳才發覺沒椅子，還好有桌子可以站著用餐。漢堡還不錯吃，不過沒有原來想像的驚奇就是了。
 簡岑庭 ,https://www.google.com/maps/contrib/110373441141288108967/reviews?hl=zh-TW,5,True,258,"和牛漢堡專賣店，每次經過都被香氣吸引，店內無座位，要內用只能站著吃。
漢堡肉大概有二公分厚，肉質不會太乾，還吃得到一點肉汁，漢堡皮有烤過，表皮脆脆的，醬料很清爽，是起司cream的那種，搭配洋蔥跟生菜，整體來說蠻好吃的。薯條有撒一點鹽，外酥內軟，不沾醬就很好吃。價格在200-300元之間。"
