user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 shane weng ,https://www.google.com/maps/contrib/116909493864225407343/reviews?hl=zh-TW,5,True,61,"主食味道正常鹹度，配菜則未調味，可以吃出食材原味，但需要適應，走健康風。

下班可以先用line點餐，走到時剛好可以取餐，省去等待的時間，還蠻方便的，晚上偷懶好選擇，推薦給不喜歡等待的人。

鯖魚有兩大片，給的算大方，魚肉應該是半尾鯖魚，地瓜或南瓜還蠻甜的，紫米飯軟硬適中，整份餐點熱量標示都在500～600間，感覺吃著吃著還有減肥效果，而其他菜的部分，就沒太多味道。

雞腿算嫩，調味適中，而鯛魚本身沒太多味道，調味也偏淡講完不會留下太多的感受，所以偶爾會點一下換換口味，而整體看起來份量較少，但重量有頗有感，所以也不會覺得不夠吃，能吃到很多食材，達到較均衡飲食。"
 小喵喵 ,https://www.google.com/maps/contrib/103582322902548061649/reviews?hl=zh-TW,4,True,126,"適合喜歡口味清淡、少調味料、份量少的人！
APP點餐很方便！價格比一般便當店貴一些！

吃過4種口味，配菜份量不多但種類蠻多樣，
每天配菜大致相同，只有偶爾會更換其中1-2種。喜歡輕食的可嘗試一下！"
 Jaio ,https://www.google.com/maps/contrib/101203001237173482225/reviews?hl=zh-TW,5,False,6,"最近吃了不少家健康餐盒發現這家CP值超高！菜色豐富且多樣化～肉質也很嫩🤤
不像其他家配菜超單調而且食之無味⋯⋯
超級大推～～👍🏻👍🏻👍🏻"
 許克文 ,https://www.google.com/maps/contrib/112862597682309614739/reviews?hl=zh-TW,2,True,74,少點鹽健康一點，但覺得實在少太多，有時覺得像在吃草，果皮也削乾淨一點，不然咀嚼的很痛苦。
 Juan Pan ,https://www.google.com/maps/contrib/109793301337388957130/reviews?hl=zh-TW,5,True,33,非常沒有負擔且又健康的便當，雞腿肉很嫩，蔬菜都是我很喜歡的配菜，大家記得一定要點梅林嫩雞腿唷~😊
 陳士敏 ,https://www.google.com/maps/contrib/108269914092855475629/reviews?hl=zh-TW,4,True,56,"2022.10更新
年初發現這家店時很喜歡，也買過幾次，但是自從年中疫情起來之後就不能用自備餐盒了...因為不喜歡紙餐盒，至今無法再買😢"
 柳小寶 ,https://www.google.com/maps/contrib/116740922263409611162/reviews?hl=zh-TW,5,False,1,"價格合理，和其他健康餐盒比真的很實惠！
品質穩定、配菜多樣、調味健康卻又不完全淡然無味，肉量也給的很大方！
手撕雞和嫩雞胸含水量足不乾柴，松阪豬是大塊的厚切，有炙燒香氣(但偶爾口感會偏有嚼勁)，新商品櫻桃鴨也是非常水嫩、香氣十足(價格就稍微貴了點)
可先加入該店line官方進行網路點餐，再至店取餐付款(亦可線上信用卡付款)，滿500可外送"
 範宇 ,https://www.google.com/maps/contrib/111388149648367091773/reviews?hl=zh-TW,4,True,25,點了泡菜梅花豬105$飯換菜覺得份量有點少吃不太飽菜清淡還可以
 Alice Jan (Alice) ,https://www.google.com/maps/contrib/108473175385774726084/reviews?hl=zh-TW,5,True,233,"台式蔥香手撕雞🐔🐼$155
買一送一，一個不到$78，在台北算很平價了
🌟🌟🌟🌟
菜的種類多樣是最大的優點
能在一餐吃到超過6種蔬菜🥬，甚至還有紫色的不知名的菜（如圖）是很營養的一件事情
加上低GI的紫米和地瓜🍠
以及清爽的水煮蛋（只有半顆）
是疫情期間的小確幸
手撕雞稍微油膩了一點，
但也為整個餐盒增加調味"
 江瑪姬 ,https://www.google.com/maps/contrib/116938235842954991771/reviews?hl=zh-TW,2,False,8,"大概平均一週都會點一次泡菜豬肉，這一次拿到餐盒，泡菜只有兩片，反應給店家，卻說泡菜只是點綴，但之前每次點至少都會有一小坨而不是這樣兩片！

如果是這樣兩片點綴，那麻煩主餐不要講說是泡菜豬肉！懷疑有欺騙顧客行為！"
 Emily Chang ,https://www.google.com/maps/contrib/115270384645677700704/reviews?hl=zh-TW,5,True,386,"我點的是迭香梅林嫩雞腿價格$120

配菜味道不錯吃，和許多低GI餐盒一樣以紫米飯為基底配一些蔬菜、地瓜、半顆蛋。

特別誇讚一下我點的主餐雞肉，外皮嫩薄，上面的迭香香料非常好吃，而且雞腿真的超級嫩，以這個迭香口味去料理的健康餐盒第一次吃到，好吃👍🏻👍🏻👍🏻❤️"
 Kelly Huang ,https://www.google.com/maps/contrib/101726226910142043253/reviews?hl=zh-TW,1,False,4,之前吃都蠻喜歡的，菜清淡，但近幾次覺得配菜份量變少了，今天買的是綠色蔬菜的菜梗黑黑的，其中一個上面黏著的不知道是報紙還是什麼⋯有點傻眼⋯
 Daphne Baggins ,https://www.google.com/maps/contrib/111173221754212679419/reviews?hl=zh-TW,2,True,61,點了鯖魚份量ok，但味道跟食材品質沒跟上價錢。認同蔬菜不調味也可以好吃，但那是僅限於食材有一定品質的狀況下......蔬菜沒有本身的鮮甜，魚像是放了很久乾乾的，超市買鹽漬鯖魚自己烤絕對樂勝。最討厭的是飯有一大半被蔬菜水分浸濕，像在吃稀飯滿噁心的
 kinnikuman l ,https://www.google.com/maps/contrib/113458627323146672979/reviews?hl=zh-TW,1,True,47,送貨司機停在路中間全世界等他慢慢下貨態度還很差
 lien yichun ,https://www.google.com/maps/contrib/103705888950737512276/reviews?hl=zh-TW,5,True,25,"吃過很多間健康便當，這間還是第一名(^O^)
蔬菜種類給得很多樣而且不會煮到爛爛的（還有四季豆被擋住了）主食推台灣鯛！"
 YC salon美甲美睫沙龍 ,https://www.google.com/maps/contrib/105180449615068252044/reviews?hl=zh-TW,5,True,110,"我們吃了很多次但是我們都是用外送平台點餐
吃過辣手撕雞、蒜手撕雞、鯛魚、牛肉
今天上地圖才知道附近而已真是太好了😊
青菜🥬很多是用川燙都不會油也沒有鹽🧂
飯是紫米的幫助腸胃道消化澱粉也比白米的少
份量也很多現代人吃的比較油膩
真的要常常吃這種均衡營養調味料又少的餐盒
每天吃這個也不會覺得很膩大家不要吃那麼多調味料身體更健康👍🏻
價格也親民😊"
 雷翔宇 ,https://www.google.com/maps/contrib/106997994861223560037/reviews?hl=zh-TW,5,False,6,健康便當屆的冠軍，配菜超豐富，沒有任何一家能比；每天來回走一公里也必吃的午餐
 Richeal R ,https://www.google.com/maps/contrib/116968550357123755345/reviews?hl=zh-TW,5,True,774,"第一次遇到連醬料都沒提供的健康便當店家(稱讚意味)，蔬菜種類豐富，主菜鯛魚簡單的胡椒粉調味剛剛好，川味手撕雞的辣味有豐富些味覺體驗。
但可能是剛開幕運作？雖然事先在line先點餐，但已讀未給回應，不知道是被漏掉了還是怎麼了，到現在取餐時，花了些時間等出餐，希望下次購買能更順利些。"
 YI CHI TSAI ,https://www.google.com/maps/contrib/101384926924432631622/reviews?hl=zh-TW,4,False,4,"雖然松阪豬肉有點硬
南瓜也乾乾的
但整體調味還不錯"
 Chia Lin Sun ,https://www.google.com/maps/contrib/110767795455906409469/reviews?hl=zh-TW,5,True,39,主菜有些偏少，並且乾柴，整個便當整體而言還是很好吃，而且不貴，很容易就當作平日外食。
 JONE Coach ,https://www.google.com/maps/contrib/113930498973517347997/reviews?hl=zh-TW,4,True,45,雞腿肉香料香肉嫩，蔬菜多樣且有調味過，可惜板腱牛幾乎過熟，吃起來稍硬，蠻考驗牙齒咬合能力的，大家可以來試試
 H H ,https://www.google.com/maps/contrib/109166112515125882275/reviews?hl=zh-TW,4,True,86,肉有時有點硬，不過配菜跟飯品質都蠻好，不會出現豆芽菜這種。平日午餐好選擇！
 世雄 ,https://www.google.com/maps/contrib/113653572865132312140/reviews?hl=zh-TW,5,False,2,好吃又健康，服務好，有什麼問題都耐心回答，整體素質很高
 張先生 ,https://www.google.com/maps/contrib/102579079888854065628/reviews?hl=zh-TW,1,True,33,"來店點一份牛五花餐加購一份鯛魚與蔬菜，但回到家後發現被算成兩份鯛魚與兩份蔬菜，硬生生被多給一份鯛魚跟蔬菜也就等於被多算65元…

點一份牛五花餐加一份鯛魚與蔬菜，跟點一份牛五花加兩份鯛魚與蔬菜，我想金額是不一樣的吧？
我確信我是點一份牛五花餐加購“一份”鯛魚與蔬菜
在相信店家的點餐品質的情況，當下也沒料到加購的魚跟菜居然被點成兩份，店員也無向我確認“總共”加點的餐
取餐時因為下雨，聽到叫號略看餐盒內有點的項目就直接拿回家
到家發現被多加點一份才覺得傻眼"
 shing dong ,https://www.google.com/maps/contrib/107236041896879486827/reviews?hl=zh-TW,1,True,23,"太誇張了,11點半點要等到12點45分左右,在搞什麼
建議不要在中午尖峰或晚上尖峰過去食用"
 Wright H.C.S ,https://www.google.com/maps/contrib/109445409622334195267/reviews?hl=zh-TW,5,True,117,最喜歡吃的健康餐選擇之一，其中最愛的就是川味雞和雞腿肉，還蠻好吃的。
 黃小筠 ,https://www.google.com/maps/contrib/102900017763769478846/reviews?hl=zh-TW,5,False,9,吃的健康沒煩惱清淡不油膩好喜歡💕
 琥犽 ,https://www.google.com/maps/contrib/106258839738116108188/reviews?hl=zh-TW,5,True,161,健康零負擔的餐，少油少調味，手撕雞很嫩很好吃。
 penny hu ,https://www.google.com/maps/contrib/118339089925594284543/reviews?hl=zh-TW,5,False,5,Line線上點餐很方便，價格合理，份量滿剛好的
 Michae1 “Same” 吳 ,https://www.google.com/maps/contrib/108912889395391175607/reviews?hl=zh-TW,5,False,9,"分成高價與低價位的餐點，低價位餐點cp值高，尤其台灣鯛很好吃。
餐點可以選擇不要澱粉，無論是增肌或減脂都適合。"
 Jenny Liu ,https://www.google.com/maps/contrib/109176848007329207055/reviews?hl=zh-TW,5,True,278,"今天到永春這一帶找朋友，
因為正在飲食控制，
就在googlemap上搜尋這一帶的健康餐盒，
很高興不遠處有「少點鹽」，
菜單看起來十分美味，
推薦給大家！😊"
 Jie Y ,https://www.google.com/maps/contrib/110296932826069935385/reviews?hl=zh-TW,1,False,20,"用熊貓點了兩份嫩雞腿，咬不斷。
發現肉完全沒熟。"
 chen kasey ,https://www.google.com/maps/contrib/109083814498435184878/reviews?hl=zh-TW,1,False,1,"1.出餐太慢沒事先講或建議趕時間的人點別項，餐廳也沒任何提醒，趕時間的請注意。等20+1分鐘，健康餐店那麼多，這間是從材料現場開始種嗎😑
2.員工要再加強訓練，服務不佳。晚來5分鐘點餐的客人跟我同時出餐，但櫃檯人員先拿給晚點餐的才拿給我，出餐順序現場就兩組人很難分先後嗎😑

備註：食物本身還是不錯的，等候時間久沒關係，因為第二點才來評論，希望加強員工訓練，該提醒顧客跟員工該注意的希望不要馬虎"
 戴筠杰 ,https://www.google.com/maps/contrib/108490152469121384180/reviews?hl=zh-TW,5,False,5,"菜色多變也不油膩～
吃了沒負擔😋"
 Aaron Kuo ,https://www.google.com/maps/contrib/109981251349630731357/reviews?hl=zh-TW,5,True,95,健康便當裡算平價又好吃，主食都清爽又入味，一吃就上癮！讚！
 Vita Liu ,https://www.google.com/maps/contrib/113674672880737793645/reviews?hl=zh-TW,1,True,28,"用ubereats點餐
田園便當蔬菜份量大概是外送圖片的4分之1
蠻扯的
像剩菜便當
已經是食量很少的人...
以為是紫米飯便當加三色豆佐料"
