user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 lori huang ,https://www.google.com/maps/contrib/101167864621367424492/reviews?hl=zh-TW,5,False,179,很早就知道這裡有一家鹿肉漢堡店，但一直沒機會去。過年前利用休假跑去吃想念已久的鹿肉漢堡！我點經典漢堡（可以選牛肉或是鹿肉，秒選鹿肉）300元，加60元升級套餐有薯條和飲料。這家的鹿肉漢堡吃起來沒有腥味，是台灣人比較能接受的味道，跟之前在紐西蘭吃的鹿肉漢堡感覺不太一樣！感覺紐西蘭的鹿肉漢堡多了一點野味😆吃完好想念紐西蘭皇后鎮大街上有名的漢堡店Fergburger.好想再吃他們家的鹿肉漢堡！
 Ihua Chen ,https://www.google.com/maps/contrib/100612933641333438060/reviews?hl=zh-TW,4,True,171,"內用座位極少，天氣好可選擇在旁邊的小公園吃，外帶包裝盒還有提把，紙盒也不會壓扁漢堡，包裝很用心。
巴格耶魯經典漢堡（鹿肉），店家自製蜂蜜芥末醬+洋蔥+生菜+番茄+鹿肉漢堡排+起司片，蜂蜜芥末吃起來跟一般不同，是甜味較多略帶香草味。鹿肉排紮實也較不油膩，漢堡個頭不小，一般食量的女生可以吃飽，缺點是價格太高。"
 ET muse ,https://www.google.com/maps/contrib/107063543722048983622/reviews?hl=zh-TW,4,True,320,"在北車補習街的小巷裡（的裡面）
在黎明公園的對面
蠻可愛的店一樓座位不多只有四個
不過往廚房走居然有二樓的樓梯可以上去
二樓的位置就寬敞許多位置也滿多的
這次凹使用Gomaji的兌換券花216可以折抵300
後來看了菜單發現基本經典品項的鹿肉選擇單點都是300
+60元可以升級套餐（薯條+60元飲料）
這次選了蜂蜜芥末和松露兩個都表現滿優異的醬料很濃郁又不會過膩算是比較清爽的漢堡
也是第一次吃鹿肉相較牛肉排比較紮實不會一咬就散然後也比較不油膩
聽說歐洲人會拿鹿肉代替其他肉類來減少脂肪攝取
總之滿不錯的就只是價格稍微高一點點
本來以為漢堡會比較小但發現本身跟一個大漢堡差不多大小🍔！
服務人員態度也都蠻好的～"
 謝銘賢 ,https://www.google.com/maps/contrib/101380176924676845846/reviews?hl=zh-TW,3,True,14,"今天第一次吃，點了經典鹿肉和BBQ鹿肉，有感受到鹿肉的一點騷味，但並非極有特色，如同第一次吃厚牛堡，有爽度也挺好吃但並非極有新意

洋蔥生菜蕃茄也是相同意思，並不差但和鹿肉加在一起並沒有迸出新意，甚至感覺味道並不融合？

薯條則更明顯，雖然粗大但味道真的普通，猜測是用油的關係？

整體評價是，介於普通到好吃之間，
但鹿肉這個話題並無太大加分作用"
 Tina Chen ,https://www.google.com/maps/contrib/117877320018423344690/reviews?hl=zh-TW,5,True,636,"二樓位子比較多，店員好像只有老闆一個，漢堡很有特色很好吃，漢堡肉有鹿肉的選擇超特別，推薦來嘗試看看，口感跟牛肉的差不多，不過多了一股奇妙的鹿味，配餐薯條份量不少👍🏻

•哈瓦那香辣起司堡套餐（$300+60）：
不知道是我太會吃辣了還是老闆有調整過辣度，我吃起來是完全不覺得有辣，另外醬料和生菜的水分讓這個漢堡有點濕濕的，包著包裝的後半部最後整個有點濕爛掉，一堆湯汁積在那邊。

•好野人松露蘑菇堡套餐（$330+60）：
這款漢堡大推！起司的味道很濃郁，和松露蘑菇非常搭，我下次來應該會點這款。"
 elsa Kuo (Ejou) ,https://www.google.com/maps/contrib/100309387208200064757/reviews?hl=zh-TW,4,True,57,"牛肉漢堡配上蜂蜜芥末醬很搭，會聞到蜂蜜香甜感，很好吃😋
炸魚薯條也很脆很香，魚肉不錯
鹿肉漢堡很特別，口感比較沒有嚼勁，看個人喜好點餐
覆盆莓優格飲比較甜，喝起來綿密"
 Annie Chen ,https://www.google.com/maps/contrib/114524155501593648339/reviews?hl=zh-TW,4,True,289,"環境舒服、漢堡超有特色！
鹿肉相較於牛肉有種野味且較有嚼勁
價格偏高了一點點但是嚐鮮來說還可以接受
墨西哥辣醬及蘑菇都各有特色舒服的體驗"
 I Have a Dream ,https://www.google.com/maps/contrib/111432216578457736065/reviews?hl=zh-TW,4,True,430,這裡有賣給寵物的食物！人吃的漢堡可以隨意調換成鹿肉或其他肉類。餐點的1.好野人松露蘑菇堡（牛肉）上下蓋是紮實沒有芝麻自製的麵包，內餡是生菜.紫洋蔥.蕃茄.紮實不油的牛肉漢堡排.吃的到蘑菇的松露蘑菇醬，紮實微鹹辣的口感搭配著松露香氣。2.哈瓦那香辣起司堡（鹿肉）厚大的麵包上下蓋，搭配偏鬆軟口感的鹿肉排，中間夾著生菜.紫洋蔥.醃黃瓜.蕃茄.起司跟味道像公雞牌辣醬的醬料，辣感不強卻頭頂直冒汗。3.炸魚薯條的魚肉炸皮薄酥完全不油，魚肉軟嫩不乾帶有肉汁，薯條很香但外皮不酥，口感偏軟帶有鹹味。飲品的女武神覆盆莓奶昔不像外面冰沙感那麼重，莓果跟奶香濃郁味道微甜不會太稠！
 OHIAMGOOD ,https://www.google.com/maps/contrib/116177456072152158890/reviews?hl=zh-TW,5,True,419,女武神覆盆莓鹿肉堡，除了主角漢堡排，每個部分都表現非常好，尤其是麵包和番茄。麵包微紮實，莓果醬酸甜清爽，起司片有兩種，蕃茄洋蔥生菜新鮮多汁脆口，給不少而且堆疊得很完美，每口都咬得到，吃完會有飽足感，但鹿肉漢堡排，稍微能吃到一點野味，不過好像有加麵包糠和洋蔥碎，肉味被壓低，口感也鬆散。
 88.foodie ,https://www.google.com/maps/contrib/104375995091839604564/reviews?hl=zh-TW,5,True,224,"你們有吃過鹿肉嗎？？
無意間在網路上看到這間賣鹿肉的漢堡店
超特別的
很少人有在賣鹿肉
之前在綠島有吃過烤鹿肉
但是忘記味道了😱
剛好超想吃漢堡
就風雨無阻的出發了
最近一直下雨又好冷
真的讓人很憂鬱😭
需要一點美食療癒一下❤️❤️

✨哈瓦那香辣起司鹿肉堡套餐$360
✨好野人松露蘑菇鹿肉堡套餐$390

套餐都有包含粗的薯條跟可樂
鹿肉的味道跟口感其實跟牛肉很像
但是完全沒有腥味

漢堡裡面都有蕃茄、生菜、起司、洋蔥、酸黃瓜
香辣口味多了一點辣辣的味道
松露蘑菇醬汁濃郁
裡面也有炒蘑菇
漢堡裡面加蘑菇真的很加分
自己比較喜歡這個口味❤️❤️❤️
整體吃起來很有層次
我覺得比牛肉好吃耶‼️‼️
推薦給喜歡吃漢堡的人😃😃"
