user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Jill ,https://www.google.com/maps/contrib/117608078975007348565/reviews?hl=zh-TW,5,True,43,"盡量把記得的都打下來～

開胃菜點了鮮蝦蘆筍，我們都挑是這道，蝦子部份新鮮鮮甜，還有一點脆度，底下醬汁的部分應該是咖哩優格醬，酸酸的，調味的蠻濃郁的，個人是蠻喜歡這都開胃菜的。

前菜是焗烤磨菇+方塊麵包，方塊麵包吃完是可以加點的，服務員會也會主動詢問，麵包是烤得脆脆的那種，個人比較喜歡不沾焗烤磨菇的食法，就是把它分開吃啦XD

主餐是叫了原味牛扒，由於本人腸胃較弱，所以是叫了全熟的，感覺全熟才是最難煮好，在不煮過頭的狀況下，又要把肉質煮熟，所以廚師應該是把它設成一塊牛肉設成兩等份，比較好掌握熟度(?)事實證明這一個也是一個有效的方法，吃起來不會太韌，但中間其實還是有一點紅紅的，但我相信這個應該是最好的結果，也沒有要求那麼多～

當然味道方面，也是十分好，可以配合黑椒汁或另外一款(忘記了)，可以兩款汁也要，個人偏愛黑椒汁，比較有錦上添花的效果，但是實質上兩種汁也不差，都可以試試！

會附上沙瓦，以前從來沒有聽過這個飲品，喝起來就是檸檬加了可爾必思進去的味道，是蠻好喝的，這個小小一杯也是可以續杯的，服務員也是會主動詢問要不要添加～

甜點應該是珍珠焦糖布蕾，焦糖布蕾一直是我的最愛，這個也沒有令我失望，配合上面的珍珠，使口感更加有提升，是想再來一個的美味！

整體來說，味道環境氣氛服務態度都是十分理想的，這個價位在我心中也是高CP值的，因為份量的確十分足夠，款式多變，已經回訪了數次！"
 Ruby ,https://www.google.com/maps/contrib/108249161775916538296/reviews?hl=zh-TW,4,True,144,"比想像中的便宜不加價一人套餐$598
我的原塊牛排七分熟比美式酥烤牛排五分熟還要多血水
不知道是不是因為五分熟的放在鐵板上

對服務上有一點點失望
收餐具的聲響都很大
可能週六晚上人多想衝翻桌率服務生的很忙
慶生的時候可能太忙了再加上我記得當時包含我有五六桌在慶生
慶生蛋糕送上來的時候是國王的蛋糕盤子上沒東西🫢
不過服務生很快就發現了另外放上了提拉米蘇辛苦了

吃得很飽很滿足
另外建議夏戀香柚冰茶可以少點冰塊整杯大約3/2都是
一開始喝覺得味道怪怪而且好淡
拿掉所有冰塊攪拌喝的味道剛剛好👍"
 Chuer Huang ,https://www.google.com/maps/contrib/113658927910069428698/reviews?hl=zh-TW,5,True,104,"這間分店來了20次以上，今年還沒來訪
今天來菜單有些改變，也有些新品；

開胃菜原先是一大盤蝦改為一個凍和一小碟蝦。

新菜菜色：牛肉片沙拉中規中矩
新湯品番茄蔬菜農湯我很喜歡！

主餐一份是吃之前就常吃的重磅肉肉控，口味ok、分量滿意，食量大的人很推薦吃這個;

另一份主餐點沒吃過威靈頓牛排，裡面搭配的是沙朗牛排，口味我們不是很喜歡，無法吃完，已和服務人員分享及交流

最後感謝陳姓接待員，親切體貼！

光顧西堤多年，覺得菜色美味程度及豐富度有些下降，但仍然願意支持，希望公司加油！以好餐點好品質繼續照顧支持的客人。"
 K Ruby ,https://www.google.com/maps/contrib/115678932138137560041/reviews?hl=zh-TW,5,True,25,"很久沒吃西提了～突然很想吃就來了！
王品的服務總是不會讓人失望！

法式香煎鴨胸
🌟🌟🌟🌟🌟
可以給到5顆星星！外皮酥到不行，切開來還有滿滿的肉汁，外酥內嫩多汁！在人生中排名前三名鴨胸可以獻給它❤️

重磅肉肉控鐵板牛肉
🌟
真的不好吃，連夜市牛排都比它好吃，比較像邊邊角角的牛肉，但菜單還標上了「主廚推薦」，並要加價「$128」，讓不喜歡浪費食物的我還剩三塊直接沒吃完，加價又真的不好吃真的只能給一星。

英式炸魚🌟🌟
外皮不夠酥脆甚至軟軟的，皮也不夠厚到可以稱為英式炸魚。

其餘餐點都是以往西堤一直都有的餐點，也都是好吃的中上的
甚至我三塊沒吃完的肉，他們也問原因，告知後一直要招待另外的餐點，就怕我吃不飽，但其實真的真的很飽了～只能在總分上幫他們服務再加上兩顆星，鴨胸佔了三顆星❤️"
 Nicholas 銀洲 Chiu ,https://www.google.com/maps/contrib/109721503967050215093/reviews?hl=zh-TW,4,True,98,"很久沒來吃了，剛好搭活動，點兩客主餐，其中一客可升級重磅肉肉控鐵板牛排。
雖然是免費升級，不過還是得說對這重磅肉蠻失望的...
服務人員也沒有以前的服務水準，整體來說是有點小失望。"
 Grace Hsiao ,https://www.google.com/maps/contrib/114097064935535832598/reviews?hl=zh-TW,4,True,100,"服務態度佳，餐點也美味。看到其他桌客人用餐完畢後，服務人員也有拿出酒精等消毒物品進行消毒作業。讓人用餐放心的好餐廳。
服務人員點餐時也會仔細詢問是否有過敏食物或是不吃的食物，可避免食物浪費和產生不必要的糾紛。
未來有機會還是會再造訪這間分店。"
 Tiffany Tsai ,https://www.google.com/maps/contrib/102388291449390511218/reviews?hl=zh-TW,3,True,117,"熟悉的環境、熟悉的滋味
只是當時來客數不多，但還是落了餐點不只一次
麵包吃完許久～我們問是不是有焗烤？過了會兒才送來f^_^;
牛排吃了一會兒，小朋友問沒有冰沙嗎？才想到沙瓦一直沒送到⋯
湯也送錯了⋯這實在是⋯
是不影響用餐心情，但不曉得為什麼工作這麼漫不經心"
 IG: r.k_food ,https://www.google.com/maps/contrib/110951452003790958475/reviews?hl=zh-TW,5,True,39,"🍽王品牛排

第一次來吃王品集團底下高檔餐飲
新菜單讓胖胖瘦瘦很滿意👍
服務也不會因為人多而疏忽
每一客套餐主餐外都有
👉氣泡飲、麵包、沙拉、湯、輕飲、甜點、飲料

🌟王品牛小排
王品牛排的招牌菜
一頭牛只能做6客的王品牛小排
經過燉煮非常軟嫩份量很足夠😋
服務人員還切除靠近筋的部分做二次烹煮
煮過後的筋很好咀嚼
可惜調味有點過重

🌟龍蝦佐石斑海鮮拼盤
一大隻的龍蝦是近期主打菜🏆
龍蝦很大隻烤過後稍微偏乾
吃起來口感很Q彈
石斑魚煎至表皮金黃酥脆蠻厲害的👍
沒有過多的調味搭配旁邊的醃菜剛剛好

🌟嫩煎干貝佐松露菲力
三塊嫩煎干貝搭配菲力牛排🥩
干貝兩面煎至金黃中間仍保有水份
菲力高溫烤盤煎至五分熟
口感吃起來有點失望沒有到特別嫩

🌟綠胡椒燻鴨胸溫沙拉
一大圈的乳酪餅敲碎後搭配沙拉🥗
燻鴨肉有淡淡的煙燻香鴨肉口感不乾柴
沙拉搭配特製醬汁味道不會特別鹹

🌟香煎干貝杏鮑菇
杏鮑菇煎至微微上色多汁美味
干貝新鮮度很夠不會有怪味

🌟松露蕈菇濃湯
熱湯是在桌上採到下去的
到下去後松露的香味馬上飄出🥰
搭配鮮奶泡完全把蕈菇的香味襯托出來

🌟法式牛尾清湯
一樣也是上桌後加入熱湯
牛尾做成的牛肉凍很好吃😋
不會有油膩的肥肉感
吃完感覺補充了很多膠原蛋白

🌟熔岩巧克力冰淇淋
完全是小朋友的最愛了❤️
巧克力一切開微熱的巧克力馬上流出
巧克力不會很甜微苦為苦
搭配冰淇淋吃一下下就吃完了
一球冰起來還覺得不夠多😆

🌟焦糖紅橙千層
21層堆疊而成
中間夾著血橙凍增加口感
鮮奶油吃起來清爽不會很膩
搭配微鹹的牛奶糖醬吃起來味道更豐富😋

🍽王品牛排

王品牛排主餐：$1450/客
王品盛宴主餐：$1990/客

📍：王品牛排
🏠：全台王品牛排門市
🕒：11:30-22:00

#happykenfood
#王品集團
#牛小排
#龍蝦
#新品報報"
 Binns Chen ,https://www.google.com/maps/contrib/115605419284375447800/reviews?hl=zh-TW,4,True,677,套餐598+10%。開胃菜把原本的蝦沙拉份量減半配一份酸酸甜甜的布丁。牛肉火腿蔬菜沙拉，牛肉火腿比較有肉質纖維口感。松露蘑菇濃湯和陶板屋同類產品類似，但松露味更濃郁一些。主餐牛排，肉質比想像中好一些，7分熟外部有輕微的焦脆口感，但稍微老一些，可能5分更好。蘋果派小小一塊，內餡略甜一些，不是那種肉桂味比較濃的蘋果派。一開始甜點湯匙有些污漬，反映給服務人員後馬上換新，並送了一杯氣泡酒。整體而言，食物水準合格，服務周到，靠窗的位置用餐體驗不錯。
 光頭比燈亮 ,https://www.google.com/maps/contrib/112504827726588917580/reviews?hl=zh-TW,5,True,32,跟朋友來用餐，服務很親切，餐點也好吃，值得再訪
