user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 余景皓 ,https://www.google.com/maps/contrib/106499948329676469007/reviews?hl=zh-TW,3,False,40,東西不難吃，服務態度也不錯，但一份$40的鮪魚蛋餅，真的差點以為店家忘了放鮪魚
 Faye Chen ,https://www.google.com/maps/contrib/103739651873719065231/reviews?hl=zh-TW,4,True,231,"OMG😱CP值超高的$85便當🍱！！！
明明第一次去，但阿姨很好菜幫我夾的滿滿😍我愛阿姨😘而且很餓的話還可以飯多一點讚讚👍👍👍"
 龔子芸 ,https://www.google.com/maps/contrib/116800287027979055856/reviews?hl=zh-TW,5,False,7,出餐速度快！餐點價格便宜好吃！有機會來這邊一定會再來光顧
 Wen ,https://www.google.com/maps/contrib/104599960362261692018/reviews?hl=zh-TW,1,False,14,買過幾次只有這次讓人覺得不舒服，我是最後一個客人，只剩兩個雞腿可以買，當我選完配菜後老闆準備切雞腿時發現砧板已被阿姨收去洗碗槽，阿姨知道老闆要用時直接拿起遞給老闆，根本不知道那個水乾不乾淨，老闆接過手也沒擦拭直接把雞腿放上去，我就問了一句這樣雞腿不就都濕了嗎？老闆回還是你不要切？我心想當然不要切，砧板直接從水槽拿出來也沒再沖洗，整個濕透也不知道衛不衛生，看到整個沒食慾想直接走人不買，而且才幾天沒去又漲價，提著兩個沒切的雞腿便當真的吃也不是丟也不是，不會再到這間消費，做吃的衛生品質還這麼不重視
 Y I ,https://www.google.com/maps/contrib/103916878421002513171/reviews?hl=zh-TW,5,True,"1,115",紅茶味道還可以，甜甜的，就是有點澀，不過還是不錯喝
 tim chen ,https://www.google.com/maps/contrib/101615300434407893966/reviews?hl=zh-TW,3,True,325,配菜不錯，青菜炒的有脆度，口感佳，肉片飯主菜真的雷，沒彈性，還以為在吃赤肉魚漿，價錢與城中市場差距不大，省錢選擇
 C.Y Xiao ,https://www.google.com/maps/contrib/112664559733380099032/reviews?hl=zh-TW,4,True,22,"口味中規中矩,價格平實相符,出餐快速的早餐店

中餐沒吃過"
 我維維 ,https://www.google.com/maps/contrib/113396683701872644256/reviews?hl=zh-TW,5,True,47,"這家幾乎天天吃，可以加飯，不會額外收費
這樣的菜色也才85真的很佛心
最好吃的乾煎虱目魚，連骨頭都能吃

想省錢也想吃的很飽很滿足的很推薦"
 Can K ,https://www.google.com/maps/contrib/116080161035114203543/reviews?hl=zh-TW,4,True,99,"TheyselltypicalTaiwanesebreakfast.Youcantryeggcrepes,oryoucanordersandwicheswithbacons,hamortunasalad,plusadrinklikemilktea,soymilk,orblacktea.Theaveragecosttoorderasandwichandadrinkwon’tbeoverNT$100.如果吃膩薄皮蛋餅，這裡有賣蔥油抓餅的蛋餅，蠻好吃，早上生意很好，動線也很好，速度很快，並不會等太久。"
 怡汝 ,https://www.google.com/maps/contrib/100772272222135253195/reviews?hl=zh-TW,5,False,3,阿姨人很好喔～義大利麵也好吃
 夏心癸 ,https://www.google.com/maps/contrib/100271964662849945754/reviews?hl=zh-TW,3,True,39,中午開始有便宜的自助餐，不好也不壞，味道可以接受。
 林明毅 ,https://www.google.com/maps/contrib/108757785353863744703/reviews?hl=zh-TW,5,True,330,大推黑麵、蘿蔔糕(要加辣)+大涼鮮奶茶
 馮暘洺 ,https://www.google.com/maps/contrib/109788093351043715345/reviews?hl=zh-TW,1,False,1,老板啊菜是很好吃價格也不錯但是那個勾芡還是太白粉可以要加就加好不然就不要加嗎？每次菜裡面都一堆透明的很像果凍的真的讓人很沒食慾希望能改進
 SC Chung ,https://www.google.com/maps/contrib/109674952619736005387/reviews?hl=zh-TW,1,True,87,不是第一次買到這種品質的早餐了
 Jocelyn Lin ,https://www.google.com/maps/contrib/113492726364056020073/reviews?hl=zh-TW,5,False,37,"（評價是針對快餐的部分，早餐沒吃過）
我很少留評價，只是這家便當的配菜真的太讓我感動了！雖然是便當店，但配菜的口味卻有自助餐店甚至更高等級的水準，今天吃他家便當，配菜其中一樣選了馬鈴薯咖哩，本來沒有特別期待，但沒想到吃下去是一種難以言語的神之味道，感覺媲美外面咖哩專賣店的水準！！！

我每次來這幾乎都點菜飯便當，飯+4個菜才50！這家的配菜真的從來沒踩雷過，一家便當店的配菜能有這樣的水準真的不容易！"
