user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 王syl ,https://www.google.com/maps/contrib/101118944048749653959/reviews?hl=zh-TW,5,True,35,"「呷米」位在台北車站二二八公園旁，一間不計成本經營的餐廳。超級Respect！！

首先，東西真的很好吃！用料實在，甚至有些獨特。

老闆珍妮佛姐姐，很謙虛的在牆上寫「使用90％友善食材」，但事實應該是99％吧？除了油是用進口橄欖油、椰子油以外，全部都是親自踏遍台灣蒐集的食材耶！（不是用普通調合油，就已經很難了）。

友善耕作的農產品質通常很不穩定，必須讓一個很會隨時掌握食材的主廚，隨著季節調整味道。這種主廚通常出現在餐酒館、日料、米其林餐廳、私廚等級的地方，對吧？

例如：當天主廚使用少見食材－「根芹」，樸實呈現在我的南瓜醬裡。又如：友善雞蛋＋有機豆漿＝真正雞蛋豆腐。還在味噌湯裡放海菜。

最後，呷米用超震撼的200～300元價位給大家享用！

台北車站三層樓店面的租金＋友善食材且少量運到台北，比普通食材至少多2～3倍以上成本＋主廚功力＋親切用心的外場服務員薪水。真的沒問題嗎？

其實他們都懂成本與定價。
Pual主廚是個料理經驗多年，目前還進修商管。
珍妮佛姐是個在金融業打滾，開過很多公司，是一個對數字與經營非常嫻熟的前輩。

台北居大不易，為了讓上班族吃的起好東西，堅持不懈的定價策略讓我超級敬佩，這也意味著不是要賺錢，而是認真想傳達友善理念給城市人。

疫情期間，他們堅持的很辛苦……

推薦大家去吃吃看，也推薦大家問問今天醬料裡藏的食材有什麼，你們一定會覺得物超所值！還可以看到我做的苔球作品哦！

#生態廚師"
 廖竟妤 ,https://www.google.com/maps/contrib/115818058426045141233/reviews?hl=zh-TW,5,True,175,"這家“呷米”蔬食料理餐廳....超讚！還有免費生態演講可以聽...

已經來第二次了！每道料理都下過功夫，像我點的黃金豆腐飯，雞蛋豆腐沒有一滴水Q彈，再搭配南瓜泥（南瓜烤過，再炒過，接著壓成泥製成醬汁），還有甜豆、玉米筍、甜椒....，米飯則是花蓮原住民小農所種，各式各樣產地直送的食材，成就了一份堅持的幸福，我吃的很開心，除了美味，還能嚐到食物的原味及健康，跟其他填加很多調味料的餐點，自是不同！今天也嘗試了很特別的甘酒，它沒有酒精，用純淨的米製成，味道嚐起來像淡淡地乳酸飲料，適合糖尿病患者喝。

老闆娘理念（環保、有機、自然、無毒...）需要被推廣，由於疫情關係，餐廳的人流變少了，不是因為東西不好吃，而是，大眾的餐飲方式轉型了（外送平台如雨後春筍般地冒出）！多跟老板娘聊，有時還可以聽到，許多免費的生態還有健康討論會分享，就在餐廳的三樓！

要經營一家店很不容易，還要堅持好的，對環境友善的更不簡單，期盼大家可以多多支持....

不為什麼，只因為......老闆娘“更在乎我們的健康”和“愛台灣”！！

有機會也請來聽聽穿山甲（台灣的寶貝）的日常，實在太可愛了！連臥室、餐廳、用餐都有可愛的故事可以聽！"
 chunyu Lin ,https://www.google.com/maps/contrib/100289955971989795342/reviews?hl=zh-TW,5,True,141,"友善的農作、蔬食，知道農友種植的過程就知道，要能達到對環境、生態、健康的蔬食真的不簡單，沒有浮誇、網美的裝潢，但餐點都能吃到最純粹食物的原味，蔬果的鮮甜！真的超好吃的～
不膩，對身體沒有負擔，而且老闆娘真的是見廣多聞，光是聽她講故事就彷彿在看電影般歷歷在目，難怪妳說很多人找妳去演講，會一直想聽下去啦🤣
超推台北的朋友或是有來台北的可以來吃吃看，也可以找老闆娘聊聊，保證會有意想不到的收穫～"
 Pearl Chang ,https://www.google.com/maps/contrib/100037993788195799451/reviews?hl=zh-TW,5,True,37,"第一次來，機緣吧！市長官邸聽完演講，本想到台大醫院的明德，但疫情不對外開放。
附近優質素食餐廳不多，呷米算是不錯，但評價有好也有差。

點了天貝沙拉+薑燒豆泥米漢堡。
先送湯上來，不知有附湯（喝光才想到沒拍照）沒問是否含奶及麵粉麩質，喝完是舒服的，後來詢問湯底是把米打爛和蔬菜熬煮，才會有濃湯的模樣！

沙拉算中規中矩，每種食材都一小塊也算是均衡，建議酸黃瓜要換成新鮮小黃瓜，因為和風芝麻醬是酸的了，整個口感酸味佔太多。天貝成本高，如果能給多些會顯豐富。

米漢堡我覺得還不錯，內餡豆包泥滿特別的，如果夾生菜會更棒，可減輕醬汁的辣味和鹹味。（我本身調味吃的少）

二樓用餐區的服務生—千鳳，因我對食材的好奇和疑問，她都不厭其煩的解釋，並告訴我晚上有餐廳舉辦的餐酒會，上FB可以多了解。

我知道友善農作餐廳的經營成本都不低，菜單的研發又要顧及口味和營養，也是自己都使用有機食材和無麩質在下廚才了解到不簡單。我看得到餐廳的誠意，下次再來試試其他餐點！"
 俊杰 ,https://www.google.com/maps/contrib/108566545638079344344/reviews?hl=zh-TW,5,True,14,"下班與朋友相約聚餐，朋友說會晚點到；於是我詢問店家能否先上樓等待，雖然不是店家應該提供的服務，但店家很熱情地歡迎我先上樓等待沒關係。

因為朋友實在有點晚到，約莫七點多的時候，店家也很客氣地上樓提醒我最後點餐時間，非常貼心。

店內有賣拌醬、仁舟淨塑環保餐盒，以及零售手工素丸子。

餐點部分很美味，都是真材實料製作的料理；當天我「呷米」呷的是部落米，香。

濃湯部分是豆漿味噌湯，相當濃郁好喝，熱的冷的都是好喝的口感與味道。

米漢堡中間的素堡排，感覺也很別出心裁，米漢堡應該是自製的；可能因為自製，米飯部分不如常見的米漢堡一樣緊黏，米飯稍微有點容易散開，但不影響食用與美味。

謝謝廚師的廚藝以及店家的好環境、好服務，我會再次回訪！"
 張亞琳 ,https://www.google.com/maps/contrib/101096527075669200132/reviews?hl=zh-TW,5,True,160,餐點還不錯吃，色香味俱全，有分全素、奶蛋素、五辛素，我是食量大的人，加點豆漿和甜點後這餐覺得有吃飽，整體就是價錢稍貴了些，兩人吃（米漢堡+南洋椰香咖哩飯+1杯黑芝麻豆漿+1杯香蕉黑芝麻豆漿+一塊季節水果重乳酪蛋糕）花了950元，菜單照片與實際的長的不太一樣，實際上看起來比較好吃，米漢堡味道稍淡但可接受，但米飯有煎過稍硬像鍋巴不是很喜歡，附的沙拉很好吃（但後來才知道名稱有天貝，但他們沒放到）；香蕉黑芝麻豆漿，感覺也沒放黑芝麻，只有香蕉+豆漿而已，乳酪蛋糕比想像中大塊.但他們差點忘了我們有點這個.雖然有些失誤，整體餐點和服務態度都不錯，算滿意
 DH Jhu ,https://www.google.com/maps/contrib/111247062541313931386/reviews?hl=zh-TW,4,True,49,"消費日期：2022-1-8下午4點
點了南瓜燉飯與天貝漢堡與沙拉
南瓜燉飯，好吃，味道很濃郁，裡面還有堅果與白花椰和，整體味道均勻，適合一吃再吃
天貝漢堡跟沙拉都正常發揮
期待下次其他餐點~~"
 Nehemiah Wang ,https://www.google.com/maps/contrib/111094315185189291294/reviews?hl=zh-TW,5,True,31,身為一個無肉不歡的人，對於蔬食的感覺就會覺得豆味重，吃不飽。而來到呷米，了解所有的食材來自店家一個一個的確認產地及認識在地的生產者。透過好好的把關，加上料理的技術，讓我對於蔬食料理有很大的改觀。並且透過料理可以感受到店家的用心。
 陳昱伶 Mia ,https://www.google.com/maps/contrib/115638446980475533306/reviews?hl=zh-TW,3,True,234,"剛好遇到有包場活動所以等餐等了快半小時……
建議店家如果有包場活動可以事先在粉絲專頁公告，到時候就不接受其他客人或只提供外帶，以免影響其他客人的用餐體驗。

內用招待的飲料喝起來是燕麥奶米漿之類的，有點過甜……喝到最後很膩

米漢堡套餐$285偏貴，但用料應該是比較好的品質，所以價格也比較高。
沙拉就是正常發揮，天貝兩小塊，偏乾。
米漢堡的米餅有鍋巴感還不錯，裡面有一些生菜和醃菜，還有豆皮泥排，口感濕軟，調味待加強，沒什麼味道@@可能堡裡的菜量要增加，不然吃到最後都是米而已😂😂

恩應該吃過一次即可"
 孫燕柔 ,https://www.google.com/maps/contrib/115590315835818331377/reviews?hl=zh-TW,5,False,5,"非常好吃食材也很新鮮
可以吃到蔬菜自然的鮮甜味
沒有過多的調味
各種食材的處理很有層次
有機會一定會再訪"
