user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 賴小小 ,https://www.google.com/maps/contrib/101474362577351751014/reviews?hl=zh-TW,3,True,86,"服務很看運氣的一家店🤣
打電話訂位的時候
服務人員說不能訂位只能現場候位
本來想說那應該是客滿了要不要換間店
結果原來是現場沒什麼客人😂

到了以後可以感受到大概人手不足
服務都很匆忙但也能感受到他們真的盡力了
雖然沒有幾桌但每個服務人員都忙的轉圈圈

白鍋湯頭一樣美味濃郁
一開頭就要先乾兩碗
還要加上必點冰淇淋豆腐❤️

但紅鍋一比較之下香氣跟味道就偏弱了
無限續加的鴨血和豆腐
大推豆腐！！！
不論加白鍋還紅鍋吸飽湯汁後超好吃
鴨血可能因為要加白鍋不是跟紅湯一起滷的
所以味道上就略顯不足

肉品的部分依單點店來說
真的就是普普通通
海鮮有新鮮
生食級干貝很值得點

蔬菜反而很讓人驚艷
玉米筍、白菜都很香甜

各種丸子和蝦滑、干貝滑
也列為必點項目
每一口都是滿滿的海味
cP值超高🥰🥰🥰"
 HUEI ,https://www.google.com/maps/contrib/101133565464228479486/reviews?hl=zh-TW,4,True,48,"在西門5號出口右後方，錢櫃2樓
要從2座單人手扶梯走上去(有點髒髒的.還有口香糖黏住）走上去左後方-餐廳門口
看起來明亮，整個兩極化！

第一次吃，原本要訂位中山店結果剛好時段額滿來這裡吃～
購買電子票券-雙人套餐（含10%）
另外
升級鴛鴦鍋一桌$180
單點伊比利豬及水蓮
再加10%服務費

不吃牛的人，也可以吃的麻辣鍋～超讚👍
而且辣是溫和的！

➡️鍋底可以一直續加：鴨血、麵包豆腐（豆腐口感很軟很吸汁！）店員會主動詢問
➡️湯底可續加：店員會主動詢問
➡️菊花飲：超級好喝！
➡️水蜜桃冰沙：招待的（店員說可以再續加

店內服務員真的服務很好給讚（穿著像「阿拉丁制服」的店員～）

整體是好的，但從1樓上來到2樓那個區域
就清潔上不太OK!

2022.10.15"
 萱 ,https://www.google.com/maps/contrib/100969150287687107956/reviews?hl=zh-TW,4,True,235,"湯頭美味火鍋料好吃
服務人員親切上菜速度快
會主動詢問口感以及幫忙調整鹹辣度
很棒的服務！
缺點
肉有點太普通～
覺得價位不太值得這個肉品質
需再加強品質的部分

廁所在外面覺得安全隱私問題要再把關一下
因為剛好在錢櫃樓下所以味道很重
但進來店面就沒味道了
另外可以坐電梯至二樓的
但今天用餐先經過錢櫃
人員指引我們走前方手扶梯（手扶梯並沒有啟動）
覺得不願意讓人使用Ktv電梯至餐廳的感覺蠻差的"
 Vita Cheng ,https://www.google.com/maps/contrib/112140399596317399422/reviews?hl=zh-TW,4,True,36,"第一次光臨西門店的無老鍋，店員服務態度非常好。湯頭還是非常棒，真的超級無敵愛這間的麻辣鴨血！不僅是由中藥熬煮而成，還可以無限加鴨血豆腐。今日點了伊比利嫩肩胛，很可惜肉質非常還好！台灣鯛魚片可建議切厚一點，無骨牛小排還不錯。千萬要點油條！泡進麻辣鍋，簡直絕配！！菜盤的菜都很新鮮鮮甜！建議可以加一些菇類會更好，綜合菜盤中有附各兩顆芋頭地瓜丸，口感很特別，也非常好吃！到用餐尾聲，會提供水蜜桃冰沙，很好喝也很解膩，但只有續一壺，不然好想再一直喝😂😂整體用餐部分還算滿意！！
但有點很可惜，室內裝潢很漂亮，但是廁所卻在外面大樓公用廁所，雖然是蠻乾淨的，但因為設備老舊又在樓梯旁，會讓單獨女生自己去廁所時，有點害怕😭😭"
 詹PEI HUA ,https://www.google.com/maps/contrib/115560001660572750472/reviews?hl=zh-TW,4,True,145,"聽朋友推薦了好久，終於來踩點了

餐點⭐⭐⭐⭐原味湯頭很香很好喝，辣味的也不錯，不過我不敢吃辣的所以只有吃一咪咪，肉品的部分我覺得還不錯，肉質很好，蝦滑的部分竟然是一整隻蝦的蝦滑！！
整體來說是好吃的，不過湯煮到後面太鹹了……
價格⭐⭐⭐⭐價格以單點火鍋來看是合理的，建議至少四位來吃比較剛好，也比較能壓低價錢
環境⭐⭐⭐⭐整體裝潢走一個復古風，店內不髒亂乾淨，用餐起來是舒服的
服務⭐⭐⭐⭐服務人員態度不錯，會常常來關心需不需要加湯
交通⭐⭐⭐⭐⭐位置在西門五號出口出來就看到了，不過指示有點不明顯，剛開始還找不到

整體來說以這個價格我會比較想去吃海底撈😅😅雖然蠻好吃的，但以服務來說海底撈直接完勝"
 曾國賓 ,https://www.google.com/maps/contrib/107708304322505362668/reviews?hl=zh-TW,3,True,125,"鼎王旗下的無老鍋也是用餐多次
這次大概是第7-8次用餐

疫情之下的情況用餐人數銳減約莫23點多用餐的人數店內少少的人
環境不用說整體來講就是非常復古風格用餐起來不壓迫

可能因為疫情影響吧食材口味比起以往來說好像略顯差一點期待往後的表現可以恢復

本日較差的食材青江菜整份老掉有些已經略顯泛黃以及小墨魚味道腥了一些"
 金凱利 ,https://www.google.com/maps/contrib/105826046686112909856/reviews?hl=zh-TW,4,True,55,"位於捷運西門站4號出口一上來就看到錢櫃KTV,搭手扶梯上2樓就看到富麗堂皇的「無老鍋」囉！
宮廷式氛圍的用餐氛圍，“天燈”高掛天空，空間座位舒適聊天用餐隱密度高~餐廳人員服裝很時尚有特色服務非常好~~鍋物是蒙古回香的湯底：冰淇淋豆腐&辣香鍋一次擁有：鴨血及豆腐無限供應吃得很過癮~飲品有菊花茶/七葉膽/水蜜桃冰沙都超好喝滴...油條，肉盤，手打丸，蔬食菜盤滿漢全席視覺心靈CP值超高的饗宴，等你來品嚐唷！"
 Millie H (Millie) ,https://www.google.com/maps/contrib/109743653966449837075/reviews?hl=zh-TW,4,True,20,"第二次來訪
和上次體驗有落差，這個價位的服務應該要在更好一些，服務員上菜時把菜放下就直接走掉，請幫忙回沖茶時態度一副不屑的樣子，或許當日服務員心情不好不過這是服務業我們是來消費的，這令人感受不太舒服。
撇開服務，他的麻辣鍋真的很香，不是重辣是重在香氣～"
 Andy Wangwatthana ,https://www.google.com/maps/contrib/115783250259093996817/reviews?hl=zh-TW,5,False,19,因為公司同事聚餐，所以人生第一次來到了無老鍋，用餐的環境非常的棒，食材新鮮美味，工作人員非常的親切、友善，用完餐結帳後竟然發現我忘記放在外面等待區座椅的雨傘竟然他們有幫我保管，真的是太貼心了，食物好吃很重要，服務人員的敬業與貼心更是重要而且很加分，謝謝你們的服務！
 san mui ,https://www.google.com/maps/contrib/108963913509174250360/reviews?hl=zh-TW,5,True,53,加了很多藥材的湯底味道非常好！紅鍋的豆腐立即榮升心中豆腐第一名！鴨血跟豆腐可以一直免費續加，點菜太多也會幫忙打包外帶，服務態度很好，會令人想一直再去的火鍋店（心心念念的豆腐太好吃了）。
