user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Chia Chia ,https://www.google.com/maps/contrib/108852815798452060498/reviews?hl=zh-TW,5,True,17,"可以問一下老闆你用什麼牌子巧克力醬嗎😆好好吃的厚片，冷掉也好吃。
好可惜有點遠，每次要吃都只能叫外送XD
圖片：擺成這樣因為為了叫外送湊200點太多😂分給家人吃就剩半/半份。

然後老闆你那個漢堡，可以隔一下紙板還是什麼紙的嗎😂直接放在奶茶上面，漢堡變成冰的了。"
 Lu L ,https://www.google.com/maps/contrib/113547441745011351374/reviews?hl=zh-TW,5,False,3,近日ubereats點餐，在ubereats上屬於cp值很高的早餐店，一共點了：起司蛋餅、玉米蛋餅、巧克力厚片、熱狗、薯餅、黑胡椒鐵板麵、巧克力乳酪餅、荷包蛋、奶茶，意料外的好吃，一個人就解決了大部分，另外鐵板麵沒有過乾的問題（原本看評論還有點擔心），巧克力乳酪餅內夾土司送到時也沒有濕軟掉，稍微可惜的是薯餅因為裝在紙袋裡所以有點濕掉了，但整體真的很不錯，做餐點速度很快，等待時間短很快就送到了
 劉俞萱 ,https://www.google.com/maps/contrib/114123346604861758820/reviews?hl=zh-TW,5,True,20,雖處於巷弄中，但生意很好，屬於媽媽型早餐店，要求較多的網美網帥不要來，反正這家cp值很高，敢說在台北找不到更便宜的！
 Vanessa Lin ,https://www.google.com/maps/contrib/103264453561792241579/reviews?hl=zh-TW,2,True,52,"近日Ubereat點餐的，不知是否內用會有差？
鐵板麵真的超乾、乾到不行，吃幾口吃不下去…
唯一不錯的只有蘿蔔糕，紅茶也不錯，懇請改進"
 小林健次郎 ,https://www.google.com/maps/contrib/104828940753922603864/reviews?hl=zh-TW,1,True,49,上班前的聚會點，因為便宜好吃，經過多年回頭再品嚐，發現生意依舊興隆，在疫情擴散中，收錢又包裝食品的忙碌過程，忽略了衛生安全⋯拿錢又抓吐司的手👋震驚我對這食物的衛生
 Sophia Fan ,https://www.google.com/maps/contrib/114463285868414720719/reviews?hl=zh-TW,4,True,212,"因為阿姨們很親切所以4星
老舊但也乾乾淨淨的早餐店
乳酪餅超級焦
飲料都很甜
餐點2星"
 楊尹瑄 ,https://www.google.com/maps/contrib/117506998133029465058/reviews?hl=zh-TW,4,True,336,小巷內早餐店，便宜又好吃
 奕昕 ,https://www.google.com/maps/contrib/111012247616888053823/reviews?hl=zh-TW,2,False,8,希望門可以修一下開關聲音實在太刺耳
 米霓 ,https://www.google.com/maps/contrib/103991766039809088238/reviews?hl=zh-TW,5,False,8,附近最喜歡的cp值早餐店！🥰喜歡的傳統早餐口味其他間吃不慣
 張少龍 ,https://www.google.com/maps/contrib/109446679579949869708/reviews?hl=zh-TW,5,False,22,店址在中山北路65巷靠林森北，快樂早餐的品質是可以肯定的，每天現做，不論內用外帶老闆娘的動作可是很快的。價位屬中低高CP值的早餐店。
 文小甄 ,https://www.google.com/maps/contrib/113879198056861049513/reviews?hl=zh-TW,5,True,126,"價格很親民
老闆娘人很好
覺得這才是真正的早餐店
我不需要吃華麗的裝潢
我需要的是吃的飽價格又親民的店"
 吳有程 ,https://www.google.com/maps/contrib/104436793148688607272/reviews?hl=zh-TW,5,True,20,"光線的確稍較昏暗，但卻襯托了外頭溫暖的陽光。
以傳統早餐店來說，店內寬敞，價格實惠。阿姨也非常有熱情和精神。
我點的是總匯三明治，各餡料搭配起來很搭，最喜歡的是焦的剛剛好的吐司，很酥很香。
綠豆沙偏甜，加牛奶喝要更會很不錯。"
 水夜云輕 ,https://www.google.com/maps/contrib/107311602910950342037/reviews?hl=zh-TW,3,True,354,內用可能老闆小本經營，沒有設置吸油煙機，因此不論內用外帶等待都會沾附油煙味道，食物就一般早餐店的味道，沒有特別突出或有自己的特色，勝在老闆娘親切有禮！
 M ,https://www.google.com/maps/contrib/100029960821202984611/reviews?hl=zh-TW,5,True,151,"價格很親民
是在地很不錯的早餐店
(但店內阿姨常常為了送什麼餐講話大聲，要有心理準備QQ)"
 陳殿智 ,https://www.google.com/maps/contrib/114346963063305367412/reviews?hl=zh-TW,4,True,55,"環境比較像年代久遠的早餐店，燈光有點暗，但整體環境是舒服的
但是價位非常非常便宜，東西也蠻不錯的老闆娘也很客氣"
