user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 I-hung Lee ,https://www.google.com/maps/contrib/118275398397373466489/reviews?hl=zh-TW,1,False,1,"餅皮乾到不行米漿還有酸味？重點戴眼鏡男老闆對所有店員態度都很差還會自己碎碎念XD
一星算高了👎"
 許全志 ,https://www.google.com/maps/contrib/112971397772005676201/reviews?hl=zh-TW,5,True,111,傳統味道，傳統體驗，這在鬧市的早上，能有這麼一份傳統的古早味早餐，熱熱的，溫溫的，燒餅油條，飯糰小籠包，由君選擇，我會再次光臨的，謝謝。
 Hama Ayu ,https://www.google.com/maps/contrib/111196179223292793481/reviews?hl=zh-TW,4,True,442,"食，早餐
-
更新造訪日期：2021/01
-
鄰近捷運雙連站的傳統豆漿店，店內用餐空間尚可，種類也算豐富，騎樓下亦有座位可供消費者使用。
-
。蔥抓餅加蛋NT35
-
是個人很喜歡的一道食物。
也是個人覺得吃過最好吃的蔥抓餅
微焦的口感餅皮，吃起來不會很油膩，也不會讓人感到很乾。煎的時機洽到好處，呈現一絲絲酥脆的口感，搭配蔥花蛋一起吃，不用加任何的調味料就很美味！
_
。肉鬆蛋餅NT35
-
店家的餅皮上比較軟一點的口感，搭配口感帶鹹的肉鬆，且肉鬆量也給很足，讓口感上會比較滿足！
個人認為餅皮可以更酥脆一點會更好吃
-
。冰混漿（豆米漿）小NT17
-
這裡的豆漿喝的到些許的豆香味，且米漿中有淡淡地花生香氣（不確定是否有添加），使得混漿喝起來的感覺特別滑順與香濃，甜度上稍微高了一點（對個人來說），但冰的喝起來的感覺彷彿像是喝花生牛乳的感覺，味道很棒！是個人蠻喜歡的料理方式。
-
整體來說用餐的感覺還不錯，味道上也蠻符合個人的口味，對於喜歡吃中式早點/宵夜的同學，可以嚐鮮看看。"
 Lai Carrie ,https://www.google.com/maps/contrib/101324660063052633471/reviews?hl=zh-TW,4,True,57,蔥抓餅加蛋很好吃！湯包可惜不夠熱，但是還不錯吃，如果熱一點會更好吃
 廖乙璇 ,https://www.google.com/maps/contrib/107878274005504433958/reviews?hl=zh-TW,2,True,85,永和士紀豆漿店分店很多，這家我不會推薦，一走進去就不是很Ok，叫了一個菜包和鹹豆漿，鹹豆漿是我吃過最難嚥下的，菜包也是一樣，二樣加起來快速吃完它快速離開，因為內用區散發出一股難聞的氣味，牆壁上老舊，還放著長蜘蛛的雲南普洱茶，唉！我不會再來光顧的。
 En Yuan ,https://www.google.com/maps/contrib/105544116107086822046/reviews?hl=zh-TW,4,True,"1,005","豆漿,燒餅油條很好吃"
 Hank Huang ,https://www.google.com/maps/contrib/117759552465727306980/reviews?hl=zh-TW,1,False,5,態度超差，如果真的不想做生意，其實可以不用開門，可以睡到自然醒，不然早上遇到你也是蠻衰小的，重點是飯糰米心有的軟爛有點還很硬，是發生什麼事
 倪詩婷 ,https://www.google.com/maps/contrib/101280012300428294745/reviews?hl=zh-TW,1,True,66,之前都外帶，難得內用，卻有蟑螂爬到朋友身上，以後都不會來這家了
 May Shiow Chou ,https://www.google.com/maps/contrib/105815504779281534662/reviews?hl=zh-TW,3,False,37,店員態度不怎麼想理的感覺吃蘿蔔絲餅覺得還好
 赤子心過動症協會何美華 ,https://www.google.com/maps/contrib/108838726231315356014/reviews?hl=zh-TW,5,True,101,"我兩次都吃豆漿配飯糰，我是正宗台北人，他飯糰的飯有點軟不是粒粒分明的那種，可是裡面的餡料酥炸的油條、肉鬆、蘿蔔乾嗎？就是鹹香鹹香的超好吃。
我是早餐都要吃150~200元的大食，可是他一杯豆漿+一個飯糰52元就夠飽了，真的路過有機會就想吃。
我都不是巔峰時間來的，我都只遇到老闆一人，動作沒有很快但也很確實，店面就是很久沒翻新了，但是我坐在走廊靠人行道上的桌子，很通風的所有感覺ok。"
 劉天王 ,https://www.google.com/maps/contrib/114877659711139166409/reviews?hl=zh-TW,3,True,194,"鹹豆漿好喝
蘿蔔糕炒蛋還不錯
環境整潔亟待加強"
 Steve Chen ,https://www.google.com/maps/contrib/115489845161475386859/reviews?hl=zh-TW,3,True,39,東西很普通有點偏油膩
 曉柔 ,https://www.google.com/maps/contrib/116430739264849938180/reviews?hl=zh-TW,4,True,79,"108015～10：30

內用座位區很奇妙
不過餐點很符合口味

蛋餅煎到酥脆
蘿蔔糕炒蛋很好吃
吃的時候看到隔壁桌的日本客人一口氣點了4份油條說好吃
還會想再訪試試看別的品項"
 若比robi ,https://www.google.com/maps/contrib/114468821080836728565/reviews?hl=zh-TW,5,True,99,真好吃的早餐店。路過點了三樣共77元。豆漿有微焦香味。飯糰的內餡油條酥。蛋餅真的好吃。
