user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Jason Chen ,https://www.google.com/maps/contrib/112703681079532973491/reviews?hl=zh-TW,4,True,270,"印象中非常老字號的餐廳，之前吃過因為那次用餐的品質不太好，大概已經五年沒再踏入，這次因為朋友邀約，再次帶我重新體驗傳統台菜的美好風味！
這次點了三味雞、雞油豆腐、糖醋魚片、鳳梨苦瓜雞湯、菜圃蛋、三姑六婆、蛤蠣絲瓜、雞油飯，非常難得的每一道菜口味都好，就我在外食餐廳的經驗，通常會有一兩道可能覺得口味普通，但是今天每道菜真的都覺得很滿意，看餐廳幾乎滿座的客人，想到竟然這麼多年都沒有再給他機會，覺得錯過太多了。
雞油飯粒粒分明有味，雞肉Q彈、雞湯也非常入味，讓原本想要節食的我一口一口停不下來，現在除了欣葉，我會再把雞家莊放在我的口袋名單之內，也肯定會介紹給外國朋友，讚👍"
 blackbubu ,https://www.google.com/maps/contrib/109189891984840919950/reviews?hl=zh-TW,4,True,317,"三味雞$800半隻雞，雖然好吃但真的蠻貴的～～因為他雞不大，四個人幾口就沒了～
雞家豆腐很下飯，裡面還有一些雞肉～
炒麵看起來普普，但鍋氣滿足的！
糖醋魚有點普通，醬也裹太厚～
菜脯蛋最不行，一入口就有油膩感，放涼再吃更是滿嘴都是油，這道菜真的完全不能跟欣葉的比～其他都還ok，雞肉最好吃！
招待的布丁，口感不錯，也不會過甜，焦糖吃完後會有淡淡的焦糖苦香在口中散開～"
 chilli Lin ,https://www.google.com/maps/contrib/103697274253674051553/reviews?hl=zh-TW,2,True,358,"點了三味雞$800、雞家豆腐$298、雞油飯$50/人、酸菜肚絲$380、蛤蜊絲瓜$360、滷豬肉四塊$240、滷肥腸$260、掛菜雞湯$980、贈送焦糖布丁

先說招牌三味雞，一上來的時候我就覺得外觀一整個不對，心裡有不好的預感，原本想叫店家換一盤，但還是忍耐了一下決定不要當奧客，但ㄧ吃下去其實很驚嚇跟疑惑？蛤？這是一家雞肉專賣？先說白斬雞完全無味且乾澀，全然沒有雞肉甘甜….外面任何一家店的白斬雞都更好；烏骨雞就能吃得到肉的鮮甜也蠻嫩的，甘蔗雞就普通表現。就算這是一盤賣$400以下的雞肉我都覺得不合格，但今天售價是$800，這真的完全不OK，打死我都不可能再點這一道了，就當我人品差，當天吃到店內最難吃的雞肉都集中在這一盤吧

雞家豆腐：吃到的時候驚艷了好幾下😳怎麼有如此香醇散發濃濃雞油味的豆腐，完全改寫了我對煮豆腐美味認知的天花板，這種雞油的醇厚跟醬油的甘醇，此生能吃到這種豆腐實在是無憾了，就算是不辣的也非常好吃，推薦必點，與粒粒分明雞油飯是完美的天生一對

當天比雞肉更難吃的就是他們的滷味，滷豬肉跟滷大腸，比外面一般的滷味便當賣的還不如，根本完全沒有把味道滷進去，也太淡了，難吃到無法完食，除非你錢太多或想不開再點滷味。

你能想像才剛吃過比路人還普通的三味雞後再吃到這種程度滷味，內心衝擊有多大嗎？如果不是為了後面還要喝湯跟焦糖布丁，我早就直接結帳走出去了

酸菜肚絲：傳說中他們的酸菜有多好吃？那吃到這道就有多失望🤦‍♀️⋯⋯酸菜沒有傳說中好吃啊⋯⋯

蛤蜊絲瓜：是用澎湖絲瓜，細心切成菱形的薑片完美的帶出蛤蜊的清甜，與七分軟三分脆的絲瓜拌炒在一起火候拿捏的恰到好處，除了略鹹了以外，表現還不錯

掛菜湯：現在剛好是掛菜剛開始的季節，所以不會有季節末的那種苦味，喝起來帶有掛菜若有似無的苦的清香，煮在雞湯裡的雞肉竟然比店家招牌三味雞好上很多，雞湯還算不錯，而且份量比想像中大很多，是一大盆

最後的布丁，當然沒有讓人失望，讓這一餐劃下完美的ending

如果下次我再來應該只會點雞家豆腐配雞油飯吃到飽跟布丁吧⋯⋯"
 Wen Kuei Lin ,https://www.google.com/maps/contrib/110490049721168754428/reviews?hl=zh-TW,4,True,457,"沒有華麗的裝潢，也沒絢麗的燈飾，走入餐廳內感覺就跟中南部的差不多。店內服務員幾乎都是資深的員工，招呼入座、送茶點菜都很到位。點菜時會推薦店內的招牌菜，也會解釋菜色內容，但不會感覺有強力推銷大菜的感覺。

餐點菜色中規中矩，沒有誇張的擺飾。味道其實跟一般的台式餐廳差別不大，但價位高了許多。有點奇怪的是在總店竟沒有先前在分店吃到特愛的煎豬肝與紅蟳米糕。

也許是用餐時間是國慶連假前，隔壁幾桌像是公司聚餐，整晚幾個年輕人嬉鬧吆喝的勸酒聲，搞得像在熱炒店，絲毫沒有在米其林餐廳用餐的感覺。賓客要聊天交談都很吃力。若要宴客就得把這點考量進去。

多一顆星是給服務到位的那些資深服務生的。他(她)們貼心到位的付出，值得肯定與鼓勵！

泊車服務費$200！"
 吉祥的吉 ,https://www.google.com/maps/contrib/102971816502162569640/reviews?hl=zh-TW,5,True,170,"單價偏高份量一盤大概3人份
品項不是說非常多
但菜單都有圖片可以看蠻好的
點招牌三味雞三款雞肉完全不同特色
整體菜色吃起來很清淡爽口隨便點都無雷
尤其八寶腳筋像佛跳牆一樣特別好吃
脆皮蝦球也口味特別蠻值得嚐鮮
腰子湯倒是有點清淡過頭？但還可以接受
用完餐都會招待好吃的布丁
下次還想再來吃其他餐點"
 Jason Lee ,https://www.google.com/maps/contrib/110736299483525031962/reviews?hl=zh-TW,4,True,155,這次和朋友聚餐選擇了鼎鼎大名的雞家莊，雞肉處理得相當好、軟嫩適中，完全不會柴，招牌雞飯也是相當的入(雞)味，吃完還可以無限續碗配飯，不管搭什麼菜都相當的配。另外點的雞捲、雞家豆腐、菜哺蛋都是相當有水準，工作人員也相當熱情，會時常注意客人用餐的情況、不時的會詢問客人要不要加飯、加熱茶，服務真的是100分沒話說。最後招待的布丁真的很好吃，和市面上吃到的布丁截然不同，相當甜美可口。整體來說雞家莊真的把雞料理處理得淋漓盡致、發揮得相當好，我覺得有米其林餐盤的水準，但單價就是有稍微偏高了一些就是了！
 林怡如 ,https://www.google.com/maps/contrib/104250624068884586981/reviews?hl=zh-TW,2,True,63,"外帶三味（放山土+烏骨）雞半隻$800
雞屁股2串（共6顆）$120

失望透頂！花了近一千塊換來的卻是菜市場雞…

剛吃第一口就覺得不太妙(⊙_◎)雞肉肉質粉粉的還有一股菜市場雞的雞味。雞腿非常油膩，雞皮和雞肉之間是粉狀脂肪而非雞凍。雞胸肉只有一個字可形容—柴，程度約與伍佰雞屋相仿（但伍佰雞屋的雞肉至少不會粉）。懷疑雞家莊賣的真的是放山土雞肉嗎？

雞屁股非常死鹹且油，味道也跟菜市場賣的超便宜白斬雞屁股如出一轍。記得之前買一大袋（約50顆）只要100元，但極鹹極膩，剩下約一半都進垃圾桶了。

我只品嚐4塊雞肉就已經凍北調🤮

服務態度尚可。這我可以理解，畢竟客人蠻多的。此次給出2顆⭐的主因是雞肉真的太難吃，甚至輸給某些菜市場兩百元的白斬雞。唉…徒有虛名的雞屋…"
 吳旖涵 ,https://www.google.com/maps/contrib/104361689520270043731/reviews?hl=zh-TW,5,True,123,"🌟淋漓盡致雞料理，超級好吃～🌟
雞家豆腐必點！使用雞蛋豆腐，甜甜的非常下飯🤤白飯是算人頭，可無限續。比較特別的是，白飯煮的時候有加入雞油，所以白飯非常香！外場阿姨都跟阿嬤一樣怕你餓，很關心你吃不飽，一直問要不要續。
點了蛤蜊雞湯，雞湯真的好純，可惜的是可能熬煮久了，蛤蜊的肉就乾掉不飽滿了。
每一份的份量說不上多，所以人多的話可以放膽多點幾道菜。每一道都很好吃。
最後以布丁收場，真的好滿足🍮🍮
整體價位中上，不算便宜，但真的很好吃啊🤓"
 I Have a Dream ,https://www.google.com/maps/contrib/111432216578457736065/reviews?hl=zh-TW,4,True,428,雞料理起家的老店，餐點的1.雞家豆腐上桌時有一頭雞的蓋子，裡面有滑嫩的豆腐.紮實有彈性的肉塊.勾一點芡帶有麻油香氣的湯汁，非常順口也可以拌飯！2.三味雞盤裡有烏骨雞.煙燻雞.閹雞跟甜辣榨菜，另外還給甜辣醬跟雞油醬可以沾，雞肉軟嫩油香完全入味，不用沾就很好吃！3.雞油飯米粒紮實不軟爛，帶有一點蒜頭油香氣。4.雞卷皮是用豆皮非常薄脆，包著軟嫩洋蔥內餡跟非常彈的肉塊，濃郁的口感跟一點胡椒的香氣非常好吃！5.吻魚杏菜枝幹非常細，整個口感非常軟嫩入口即化，吻魚的味道跟鍋氣合為一體非常香！6.蛤蜊雞湯有幾顆大顆的蛤蜊跟底下的雞肉，有雞湯的香帶蛤蜊的鮮，喝起來比較不油膩！餐後還有招待自製的雞蛋布丁，布丁紮實味道香濃尾韻環繞，底部黑糖香甜不膩非常有記憶點！
 Kay Kuo ,https://www.google.com/maps/contrib/107684743218123122225/reviews?hl=zh-TW,5,True,23,"今天點螺肉蒜湯、酥炸肥腸、小魚蚋肉、腰果蝦仁
有夠好吃！
真不愧是米其林推薦餐廳
很多外面看不到的菜色
吃的出食材都特別選過

連飯後送的甜點布丁都好美味
希望這樣的傳統美食能繼續流傳
謝謝店家的用心
服務也一極棒！

＊唯一覺得有點可惜是蝦仁有果粉，跟朋友一致認為如果直接清炒應該更棒"
