user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 修一 ,https://www.google.com/maps/contrib/111694278115087750295/reviews?hl=zh-TW,2,True,346,"東西還不錯吃4寶才120，再來講講服務態度，女老闆！？收錢兼負責點餐的那一位，一開始有問要什麼、但我不知道是在跟我講話、後來第二次直接轉頭瞪我發出了（ㄗㄜˉ）我才知道是在跟我說話...

生意人以和為貴、有生意做態度都這麼差了，沒生意的時候不敢想像態度會變怎樣。
男老闆（切肉的那一位）我離開時還用很溫柔的語氣跟我說謝謝。
女生的態度因該向男生學習、世界不是繞著妳轉。"
 Yu Hsin Liu ,https://www.google.com/maps/contrib/115617764160569014564/reviews?hl=zh-TW,5,True,63,＊品香三寶飯105元（叉燒、燒鴨、油雞）叉燒的部分有一點偏甜燒鴨的皮脆脆的很好吃油雞肉質很嫩Q彈三道配菜有點少😭
 林佩欣 ,https://www.google.com/maps/contrib/110966057697452850984/reviews?hl=zh-TW,1,False,8,"東西好吃，老闆娘態度極差，打電話先預訂，還沒講完就直接掛電話，再度回撥跟老闆娘講還不承認；現場拿便當也是極度冷毫無表情。
老闆態度好，但老闆娘態度完全是拖累整間店。
最後一次購買，沒有下次，完全不推的店，第一次這麼想給店家負評。"
 WangHaHa王哈哈 ,https://www.google.com/maps/contrib/105114515837891334485/reviews?hl=zh-TW,4,True,183,"【絕致肉量的燒臘店】

店名會騙人😂，不過看到排隊的人潮應該不會錯過。內用的位置不大，不過平日的話應該上班族居多，內用人潮不會很多。

雖然肉量豐富，但是主要口味偏甜，比較不是我個人愛的口味，但是肉質都很棒！雞鴨都不會柴，香腸臘腸也肥瘦適中。

加飯要加錢，可以選擇5元或10元；滷汁的部分也是偏甜的，而且有種說不出的特別的味道。

總的來說，是可以吃飽而且肉的部分很滿足，但是味道來說有些失望的燒臘飯（對我來說啦）"
 Gabriel Hsieh ,https://www.google.com/maps/contrib/100512704140897212521/reviews?hl=zh-TW,5,True,99,"燒肉飯+叉燒飯
好吃，不用多說♥️
用小吃店的角度看就不用在意店內環境了，口味好最重要"
 林佳容 ,https://www.google.com/maps/contrib/117704988528087660509/reviews?hl=zh-TW,2,True,679,"看到網路文章去的，果然是個錯誤。
11:25左右到，排隊了20多分鐘，點了鴨腿說可能鴨肉還沒切到那邊不能給我點，好的，這規矩我聽過，換點了$110的四寶飯。
結果在我前面買了七個便當的人要結帳的時候加點了一隻鴨腿，老闆娘馬上插進來切給他…
沒關係，四寶飯要是好吃我也就算了。結果！！！超級普通平凡無特色的燒臘店，你各位人客幹嘛花時間排隊啊！燒肉不脆，鴨肉不油，油雞尚可油蔥很鳥，叉燒就那樣，整個吃完沒有fu..
我平時嘴癢不想大排隊的話還是加減吃鳳城燒臘的鴨腿就好，網路文章不要信啊！"
 歹丸鬼島 ,https://www.google.com/maps/contrib/109864826968422175944/reviews?hl=zh-TW,5,True,28,"超級好吃
鴨皮油又脆油雞嫩
每次來一定燒鴨飯配油雞腿有時候加臘腸
不懂下面留言說態度差什麼的
一個賣你8-90元
忙的要命還要強求跟客人笑臉嗎
說態度差的以為吃800元燒鴨飯喔"
 guoen yan ,https://www.google.com/maps/contrib/109846519371632449469/reviews?hl=zh-TW,5,False,6,"每次來都會點鴨腿飯加片叉燒。
鴨腿好吃入味，叉燒淡甜有味而不柴。
這樣餐點120元不會貴是這附近最好吃的燒臘店了。"
 貴婦小乖媽 ,https://www.google.com/maps/contrib/116574967680611898370/reviews?hl=zh-TW,4,True,488,"看了網路介紹才特別來的

星期六晚上6:30抵達，果然明夫其實人潮洶湧，應該都是附近的住戶吧，那個都熟門熟路的。

是運氣好嗎，約莫只有等兩三位，還好每個都買一到兩個，老闆很酷，直接公告現在不可以調有什麼吃什麼？！這是哪招啊？

等到我的時候老闆說就是只有叉燒跟油G，要三寶沒了只能加香腸，好吧能吃什麼就什麼🤔

原先明明網路上說有裝好的杯湯，可能是因為時間晚了就沒有了！

喜歡吃肉的可以吃吃，老公說他的叉燒很美味，揪洗呀～
油雞是甜甜.。應該是玫瑰雞的做法。

小可惜的是他的菜色比較普通，而且份量不多。老實說在這等大同區，一個雙寶飯要價95還是不便宜呀～

個人認為經過不用等可以買來吃吃，不用大老遠過來更不需要排隊浪費時間。"
 neng Lee ,https://www.google.com/maps/contrib/107409800732261142286/reviews?hl=zh-TW,3,True,567,"燒肉皮很酥
外帶回家的話老闆應該將醬另外包不要直接淋上去才不會讓酥酥的皮軟掉
味道上就中規中矩"
