user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 La vie est belle ,https://www.google.com/maps/contrib/102194627889162864954/reviews?hl=zh-TW,5,True,245,"在附近剪完頭髮之後，到這間設計師也推薦的漢堡店用餐。服務人員很年輕、也很有禮貌。客人用餐完會將桌椅擦乾淨（沒看清楚是否用的消毒水之類的）。

兩人點了一份凱撒沙拉、一份花生醬牛肉漢堡、一份青醬雞肉義大利麵、兩碗今日例湯，總共900多元，價位算平易近人。

沙拉正常發揮，漢堡牛肉很多汁、配上花生醬很濃郁，用的好像是全麥麵包，搭配了有裹漿的脆薯條。例湯是蘑菇濃湯，但是湯底不是用奶油麵粉調的，而是用馬鈴薯煮的，所以香濃度稍微低一點，但比較健康。義大利麵的青醬很正宗，不像一般台式的湯湯水水的，色澤也很自然，不像是那種加了人工顏色變成翠綠的不自然色。

出湯的時候建議服務生用個托盤端，一來湯碗不算小，但只有一個很短的小把手，很難用一隻手就端的穩，加上湯碗可能有熱度也不好拿，尤其若要一次端兩碗的話；或許是這原因，上來的湯溫度就不夠熱。改善一下上菜的方式，不會傷到服務生、又可以確保送到客人面前的湯是夠熱的。"
 Saoirse Lien ,https://www.google.com/maps/contrib/109287294387167176555/reviews?hl=zh-TW,5,False,15,"看到網路上的超高討論度決定來吃～
沒想到真的跟評論一樣！超級無敵好吃！
今天吃的是香濃蘑菇跟中元普渡
我本來不愛吃漢堡排沒想到這邊的牛肉排真的香而且不油膩，肉汁滿滿鎖在牛肉排中，邊吃邊滴超幸福的～
漢堡麵包是黑麥麵包，吃起來感覺超健康！
香濃蘑菇的蘑菇是一整顆的！不是外面那種切小小片拌在裡面的，一整顆吃起來口感很好，很過癮！
附上的薯條很大一份，吃完漢堡就已經很飽了，再加上薯條完全是男生可以的份量！！
非常推薦～～～～～

另外想稱讚店內乾淨明亮，看見店員在收桌整理時，十分細心，被客人的鞋印踩過的桌腳，店員甚至蹲下來仔細的擦乾淨，酒精消毒的也很徹底，讓人用餐起來非常安心！

10%服務費給的很值得，店員超級有禮貌，也會耐心慢慢的講解菜單，有空還會開門送客人離開，簡直賓至如歸。"
 Linya L ,https://www.google.com/maps/contrib/116389719363046663463/reviews?hl=zh-TW,5,True,57,"看到高評價而來，假日中午用餐體驗不錯~服務生有禮貌菜單介紹清楚，沒有太多客人的話一個半小時到不會趕人，可以和朋友開心繼續暢聊！

薯條很驚艷的好吃，有特殊的甜鹹味（像甘梅粉的感覺），究極起士漢堡換成雞腿肉可以客製化去雞皮太感動了~只是起士和生菜水會流得滿手吃得有點狼狽，點這個餐點的人要注意一定要手套帶好帶滿!!同行的友人說西部牛仔的牛肉口感讓他很滿意。一致同意會再回訪!!"
 Iris Chen ,https://www.google.com/maps/contrib/110145444069966926368/reviews?hl=zh-TW,5,True,333,"份量十足、食物美味、服務又非常好！

邱吉爾在巴黎的浪漫早晨$265
兩片法式吐司淋上蜂蜜
搭配香草冰淇淋香甜鬆軟
蘇格蘭蛋將蛋包裹上絞肉油炸
絞肉有些許調味上整體吃起來香酥
不過上面的蜂蜜芥末醬稍稍有點搶戲
沙拉蔬菜新鮮、還有藍莓跟柑橘還滿有誠意

香濃蘑菇起司堡$280
份量十足！漢堡包本身很有厚度
搭上肉汁極多吃得到滿滿肉香的牛肉排
以及一層厚厚像瀑布的的起司
以及拌炒過帶香料味的蘑菇
一口吃下去非常過癮
薯條也給得很有誠意也很酥脆好吃

飯後的奶酪也很好吃還有焦糖跟原味可以選
餐前的湯很特別是馬鈴薯濃湯
不是用澱粉勾芡而是自己打的

值得另外一提的是服務人員都非常親切
不但關心是否合胃口整個用餐過程也都很舒適"
 mark li ,https://www.google.com/maps/contrib/100744457425614321634/reviews?hl=zh-TW,5,True,296,份量非常大份，附餐的薯條非常的多，小鳥胃的可能會吃不完，可打包回去，不愛蕃茄醬的可另外加購起司醬+30.服務生會問餐點是否滿意，但收一成服務費有點多餘，拿水也要自助，那服務費是收???
 esther Chao ,https://www.google.com/maps/contrib/100357601197021587811/reviews?hl=zh-TW,5,True,142,"這個份量，中午吃飽到宵夜😆
肉多汁，炸魚新鮮，生菜也很足夠，差點實現薯條自由🤣
這濃湯必須推！喝的到蘑菇的香味，口感不是一般外面濃湯的調醬濃，是香味味道濃郁！
還有服務生看起來年紀都像學生，但是每個都超級有禮貌，從一進門招待，介紹，點餐，詢問用戶反饋，讓人感受到該店家的老闆對員工絕對有一定的要求與堅持！大推呀！"
 h-ooxx ,https://www.google.com/maps/contrib/118194391421245687343/reviews?hl=zh-TW,5,True,495,"近藍線捷運忠孝復興站，走路約3分鐘可抵達，巷子內不建議開車。
一進門整潔明亮的裝潢加上落地窗式的吧台位置，感覺整間店都大了不少！牛肉漢堡搭配花生醬絕配👍炸物不油膩很酥脆而且份量也蠻多的，咖啡有可愛的拉花，價位中等收10趴服務費，主食或是小點都能吃的很有飽足感，用餐時段人潮多。"
 Zack Lee ,https://www.google.com/maps/contrib/111084354096089497351/reviews?hl=zh-TW,4,True,274,"菜單種類蠻豐富的價格中等
""餐具要自取另外收10%清潔費""
不能刷卡只收現金有開發票
店內環境明亮整潔
會給手套方便吃漢堡之類的(加分)

餐點的部分

花生牛肉起司堡(很好吃)
重點的牛肉跟麵包都非常棒
牛排等級的肉質很香
麵包口味口感也都很棒
薯條分量很多絕對是吃的飽

白酒鮮蝦蛤蜊麵(非常好吃)
調味超級香蛤蜊鮮蝦份量也很多
建議可以加點辣風味更豐富

超蝦杯杯(普普通通)
賣相很不錯
但是吃起來沒什麼驚豔感
食材跟醬料mix起來不搭

總結來說
服務OK
價位OK
餐點OK
算是推薦也值得回訪"
 TZU LING ,https://www.google.com/maps/contrib/104025888325864637477/reviews?hl=zh-TW,5,True,17,"🍔漢堡真材實料，一咬下去就噴汁！不吃澱粉的人也可以把麵包皮換成生菜，菜包肉吃起來更清爽！
🍴水牛城雞翅很好吃。甜甜辣辣的，推薦給吃小辣的朋友們～
🥗沙拉份量也很多～嫩雞+$80很划算～

我和男朋友兩個人吃這樣超級飽～
重點是服務員的態度都很親切❤️"
 Coco Lin ,https://www.google.com/maps/contrib/102046273389522600678/reviews?hl=zh-TW,5,True,291,"點了西部牛仔漢堡，非常非常喜歡裡頭的酪梨和洋蔥圈，和其他餡料搭配得很好！而且漢堡肉真的很有味道，嚼勁十足🔥
薯條就是經典美式薯條，偏鹹，胡椒味也算濃，但份量很大，吃不完（可以打包）
早午餐也是經典的，法式吐司配糖漿，比較不愛另一個醬料（香草冰淇淋）如果是creamcheese或優格的話就滿分（純屬個人意見）沙拉非常好吃，大愛裡面的醬料！
蘇格蘭蛋也是好吃到！如果不愛拍照的人，第一個一定要吃它，因為稍冷了就沒有那個味道了！
草莓奶昔口味一百分！就是稍貴了點，但值得，草莓味很重😻"
