user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Shanny Wu ,https://www.google.com/maps/contrib/115235589076140183922/reviews?hl=zh-TW,1,True,71,"《2022.08》初訪，不推薦😡用餐限時90分鐘餐點等了好一陣子才來不知道也有沒有算在90分鐘內而且也沒提醒要自行收餐盤！😠走一半了還把我們叫回來
不過這都算了
點了巨無霸沙拉🥗、濃湯、炸雞4塊
餐點沙拉的份量好少，而且好貴！
炸雞夠熱，但吃一塊就膩了…好油。==
只有濃湯🍲還算好喝….
最無言的是希望能等到朋友來再點餐
以及三人位置，店員卻表示只剩兩人座位！
說旁邊都是已預定的桌只好取消跟朋友的約
結果‼️我們都吃完飯了旁邊的空桌都還在！
而且是「很多」空桌，至少四大桌空著
觀感非常不好⋯非常不會招呼
（是因為沒收服務費就這樣嗎？）
顛覆我對美式風格餐廳形象
-
附近不好停車（是停在科大地下停車場🅿️
走過來大概3分鐘。"
 Chen Weiting ,https://www.google.com/maps/contrib/118084532806658934922/reviews?hl=zh-TW,5,True,24,CampusCafe忠孝店是離我居住約4分鐘步程。一直很喜歡Campus給的美式風格，當然食物也是一樣。青醬義大利斜管麵香氣十足，但是有點偏甜，麵條軟硬適中適合各種年齡層。漢堡選擇眾多，份量十足。怕大家吃不飽再額外點炸物，炸物一直是我的最愛，雞腿雞翅外面的麵衣炸的酥酥的不是硬脆感，是我喜歡的口感。墨西哥薄餅搭配好吃的玉米片真是好吃，但是莎莎醬有點乾，玉米餅無法沾起莎莎醬要用挖的，哇太大力會破掉。墨西哥雞肉捲餅出乎意料的辣，雖然我吃辣但是還是辣出一頭汗。提拉米蘇也是飯後必須的甜點。Campus雖然久久會光臨一次，但是品質與味道都不會令人失望。
 愛吃鬼的D ,https://www.google.com/maps/contrib/102711240119127243028/reviews?hl=zh-TW,3,True,67,"主打美墨速食料理，百元平價是台北新一代輕民美式餐廳
店內走得是美式校園風格，處處可見美式球衣大學裝置等，另外還有大型的投影布幕，吸引許年輕人學生上門。
Campus採自助式看好菜單直接去櫃檯點餐付款，服務生會主動送上餐點。
杯水餐具都是自取、用餐完也是自行回收餐盤。
這次因為想吃木盆沙拉專程看評價選了CAMPUS
這次點招牌凱薩沙拉-大$240
皇家特製松露醬漢堡$340

沙拉用木盆看起來很多很澎湃原本還當心點大的吃不完其實份量還好，但配料好滿豐富。
漢堡店員會試先詢問熟度，而我們選擇7分熟餐點還有薯條，比較可惜是麵包鬆軟沒有特別之處，松露味也不足。
用餐心得🍴
氣氛不錯，如果有機會應該會再來試試"
 julie pin ,https://www.google.com/maps/contrib/117255023717988359329/reviews?hl=zh-TW,3,True,118,"#炸雞
#凱撒沙拉🥗
#墨西哥辣椒雞肉義大利麵
#經典牛肉培根起司堡
#黑糖鮮奶茶
#提拉米蘇

裝潢非常美式校園風
很大學club的風格！

沒有服務費
半自助式需要自己回收餐盤"
 諸君早安 ,https://www.google.com/maps/contrib/115511195224948682003/reviews?hl=zh-TW,5,True,32,"沙拉份量好多啊！
上面沒醬因為我要求別加，但味道還是很不錯。
吃了1/4已經很飽，不想浪費食物，只好自己去自助區拿容器打包當明天早餐🤤"
 Sophie Chang ,https://www.google.com/maps/contrib/103672646591307147777/reviews?hl=zh-TW,4,True,34,"Campus已經第四次來訪了，每次吃完都很滿足，CP值很高的一家美式餐廳，用餐空間還算大，採用美式休閒風格的裝潢讓用餐更加輕鬆，另外Campus採用自助式的用餐方式，自取餐具、水跟紙巾的部分，用餐完後要把餐具以及垃圾放置回收台，今日餐點：
1.Oreo重乳酪起司蛋糕$160
2.肉醬起司薯條$140
3.費城起司牛肉帕尼尼$220
4.奶油明太子總匯海鮮扁麵$300
5.蘿蔓凱撒沙拉(小)$160
6.特製新鮮水果茶$130
以上不收取服務費，整體來說，餐點都算好吃，主要推薦肉醬起司薯條、奶油明太子總匯海鮮扁麵跟費城起司牛肉帕尼尼，吃了都蠻有驚艷感的，後續會再來訪嘗試更多不一樣的餐點👍"
 Angel Chen ,https://www.google.com/maps/contrib/101795977436954312398/reviews?hl=zh-TW,5,True,53,"每樣店家推薦餐點幾乎都吃過～
都很好吃！
味道算是比較重口味
非常熱愛松露雞肉燉飯及番茄海鮮綜合燉飯！
（義大利麵也一樣優秀）

飲料最喜歡水果茶！
雖然不便宜但真的外面比不上～
甜點提拉米蘇很推～
份量都算有誠意！
肉醬薯條也是每次來必點項目～

店家沒有收服務費～
所以點餐結帳及用餐後餐盤回收需要自助～

有時候會遇到店狗❤️
真的很愛這間店～
已經回訪無數次💯
也很適合朋友聚餐～
推薦給大家！"
 黑眼圈麥克雞塊 ,https://www.google.com/maps/contrib/116748509742728086240/reviews?hl=zh-TW,5,True,384,"綜合氣氛、整潔、食物、價格都很不錯
推薦青醬海鮮燉飯料多實在，青醬味濃郁
假日人多建議先訂位喔"
 Ape Matsa ,https://www.google.com/maps/contrib/103972916966281807486/reviews?hl=zh-TW,4,True,287,"我的漢堡很普通！
薯條好吃
離公司近，位置很多很大！舒服
餐具要自己自助式拿到回收台"
 Wyanet Li ,https://www.google.com/maps/contrib/112484519753421007181/reviews?hl=zh-TW,5,True,255,"點了三個餐點，都非常好吃。
只是店員一直送錯餐，不知道在幹嘛==
似乎有滿多藝人來用餐過，有面牆上放滿了簽名馬克杯。
用餐時間人很多，建議可以先訂位（但提早到不能先入座）"
