user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 冰淇淋 ,https://www.google.com/maps/contrib/117840721831823791594/reviews?hl=zh-TW,4,True,"1,035","非常熱！！！要先強調！！！不知為何都沒有人提到
燒肉是好吃沒錯，但環境真的不行。
有移動式冷氣，但只吹得到吧檯最左右兩側的客人。

廚房開放式的，煮食物什麼的又有熱情。被悶得不要不要的
環境偏克難…

都是現場等候，生意不錯。
入口很不起眼，會容易看成別的店家！
要爬上樓梯到二樓！對身障不太友善

進去後先到點餐機點餐。
因此不用佔位置什麼的照順序來
一個人餐點各自點，因為機台不能點兩份餐。

菜單很簡潔，基本上就是主餐、飲料、套餐（小菜）。小菜選項非常少，可無視的狀態
就是點點湯、青菜、溫泉蛋的存在。

主菜可以選份量，差異標示很明顯。重量都很清楚告知。

💰點餐完畢就馬上付款，可刷卡！也支援多元支付。
點餐後店員會告知位置。拿著餐券，放在位置的櫃檯上。他們會自己看內容物
流程都沒什麼太大問題

🚽廁所只有一間，滿老舊的，沒有酒精。

🕋座位的牆面下方有掛鉤，可以放東西。

-

烤豬五花肉丼：基本上只有肉，加幾根「冰」的菜有點意外不是熱的。肉很好吃，有炭香味，沒得嫌棄。

座位前方可以加辣粉，更香！

豚魚和風大阪燒丼：肉是一樣的豬五花。多了柴魚跟一點蛋絲，沒有名字看起來那麼特別或驚喜。多了一些白色的醬

味增湯：好喝！而且沒什麼甜味感覺健康多了！有豬肉、菇、煮很軟的紅蘿蔔🥕真的讚

小菜跟溫泉蛋就照片看起來那樣，想吃就點。涼拌青菜是加胡麻醬

出餐速度滿快的"
 烏鴉 ,https://www.google.com/maps/contrib/104173607754469349897/reviews?hl=zh-TW,5,True,76,"刑法老師推薦的私藏店家！~~

今日造訪小王子特展後，
特別安排來此用餐。

在光華商場對面，
最繁華的美食小巷弄裡，
正中間建築的2F。

1.我點的是限量產品~~~辣燉豬上飯。
哪個稀缺，點哪個！
本來非限量，單純因供貨關係快售罄。

2.還加碼贈送溫泉蛋*1，
限量+贈送，使我正中下懷~~
特別又有好康，我該怎麼拒絕啊~~！！

3.有「提供廁所」

-----------------------------------------------

先說缺點好了，
不喜歡「塗鴉風格」，那這間店可以跳過了！
喜歡的話，值得造訪~~

1.環境：
A.硬體設施(建築)「本身老舊」，
相對看得出店家的「用心維護+經營」。
「廚房」和餐具都非常乾淨，無多餘汙垢。
「天花板」也沒有掛灰塵。難得！
店家想來是很有堅持的人。

B.富有個人特色+細心之處。
入口處進出有3個亮點。
(1)「進門」營造出「探訪秘境之感」，
老舊的硬傷彷彿是故意的造舊，渲染出年代氛圍。
與門口處的喧囂形成強烈對比。
(2)「離開」時，
一推開門要返回紅塵時。
就看到「謝謝2字的塗鴉」，
加上店員的親切地送客。
感受良好！
(3)下樓梯時又是1次「謝謝」。
店家真的很懂得感恩和珍惜。

C.「位置不太起眼」，很容易忽略。
而且，
於旁邊店家氛圍大不同+在2樓，
造成經過沒注意到過。
看到卻又不太想往裡走。很猶豫！
好在有老師推薦，不然就真的錯過了~~

2.食物：
好吃，同類型店家相比，清爽「無負擔」。
味道不會過於濃郁，
因此，「讓人想一口接一口吃下去」。
吃完也不會有太多罪惡感，或是感到身體負擔。

3.價格：
適中合理。

4.服務：
親切無壓力。

-----------------------------------------------

A.
這間唯一有點違和地方，
2樓進門設計吧！
設計是合理，但「人性體驗不直觀」！
應該是環境限制的關係。

B.
從1F上去後，
2F「直面的大門不是歡迎客人的」！！！！
店家細心「分成外送平台+一般客人」2個通道門。
直面門無座位，
因此設計成放外送平台置物架。
旁邊側門才是給一般客人通行的，我差點開錯門。
好在拍照時有在留意一下。

C.
「側門進去」後要「再向右轉向走」，
才能抵達「點餐機」。
座位都是吧台。
廚房在右邊，座位自然也靠向那邊。
明顯是建築狹長的格局因素。"
 lafin Miku ,https://www.google.com/maps/contrib/100488004122234670646/reviews?hl=zh-TW,5,True,92,"餐點：檸味鹽蔥豬肉丼+日式涼拌小菜+豬肉味增湯。
味道：湯很濃郁，香甜的洋蔥味道，料有菇菇、紅蘿蔔切片及油豆腐腐切絲（？）豬肉是用肉片，再喝到快見底可以看到。
涼拌青菜芝麻醬很爽口，青菜非常脆與甜，吃到嘴巴很爽口。
豬肉片與檸檬汁有完美的搭配，飯內充滿菇菇的混合香氣與檸檬的略微酸意，青蔥也在口中散發，蔥花份量非常足夠，豬肉片略帶鹹感，搭配飯一起入口，有幸福的感覺。食物簡單的料理，呈現出簡單華麗的層次感，非常適合在這喝上一杯，消除一天工作的勞累。飯量很充足，一個男生可以吃飽。
環境：內用長桌約16位，沿著吧台圍繞，有等候區、外帶區，也有廁所，座位後方空間很大。
價格：在光華商場，價格差不多，味道有達到價格。
缺點：裝潢是新舊混合，有新穎部分，也有之前老舊裝潢，會感覺部分髒髒，但又不影響整體感覺。
位置：位於光華商場周邊，附近有停車位，但因是光華熱門地點，需要等待時間會比較長，附近有忠孝新生捷運及公車站牌，大眾交通非常方便👍。
服務：使用自助式點餐機，吧台會細心提醒，及告知餐卷要放吧台上，如果餐後回收可以先寫明在桌上會比較好，有些人真的會沒聽到。服務生就是要找這種具有溫暖感的聲音，會讓人比較有親切感👍👍👍"
 YC ,https://www.google.com/maps/contrib/100067720876085066889/reviews?hl=zh-TW,4,True,122,"是第二次回訪，因為要畢業了決定將佐藤精肉做為最後的煙火

佐藤精肉絕對是光華美食裡面最最最頂的一間店，他說第二真的沒人敢說第一，不管是價位、氣氛、內用環境真的是最高的禮遇

本次點了兩分餐點做評價，如下：

烤五花肉丼(特大)，首先一定要說他的特大不是只整個碗的大小而是肉的多寡，但不得不說特大的肉真的真的很多，爽到飛掉的那種，再加上單點的溫泉蛋與泡菜真的沒話可說了，太香了，可惜敗筆就是肉偏薄，真的算薄，五花吃不出是五花的感覺，肥肉不夠多，然後上菜的時候居然肉是涼的？我以為送上來會是熱的欸？！

烤五花辣醬肉丼(大)，簡單來說就是烤五花丼加辣醬，但是辣醬蠻辣的(本人不太能吃辣)，但辣的很過癮，喜歡吃辣的可以試試，但醬味似乎會蓋掉部份肉味

其他優點：環境有氣氛、有涼爽、有廁所，重點還有飯加到飽！(這個超重要)，還有冰水可以無限喝、紅薑無限使用等

其他缺點：內用等～超～級～久，客席數偏少，然後製作等也很久，入座等了25分鐘才上菜，結果上來的丼飯居然是涼涼的？等了25分鐘欸！

最後是價位的部分，我點XL五花+泡菜++湯+溫泉蛋總共350以上，算奢

建議可以嚐鮮看看，但整體來說不到開心與驚喜的體驗"
 May Hsieh (May Hsieh) ,https://www.google.com/maps/contrib/107346596988136144461/reviews?hl=zh-TW,4,True,124,"先前有在士林分店用餐過，印象還不錯。這次來到光華商場附近閒逛，決定來試試這裡的分店。每家分店都是現場寫評論能送小菜，不過我不想特別為了小菜就寫好評，通常習慣是用餐完後回家慢慢沉澱回味再寫評論。

入店一樣有個機台可以點餐，有多元支付的方式對我來說很加分，按照慣例必須一人一張票券分開點餐後放在櫃台上給工作人員看。

這次我點的是青檸豬肉丼，雖然我覺得沒有招牌燒肉好吃，肉的厚薄度也有明顯差異，但酸爽輕淡的口味對當最近胃口不好的我有開胃的效果，對腸胃沒有負擔的晚餐，應該是很受女性歡迎的菜色。唯一的小缺點，飯對我來說有點偏生，吃的時候感覺還能吃到微微硬的米心，可能也是我自己的錯覺。整體上還是很喜歡的。

其他小菜配餐中規中矩，豬肉味噌湯挺得我另一半的青睞，直說好喝，明明是我點的，卻被他一口喝完。"
 Vivien Lin ,https://www.google.com/maps/contrib/100406522743477798748/reviews?hl=zh-TW,5,True,150,"來吃過幾次了，每次都不會失望～
這次來發現點餐機的擺放位置換了，換到內側，比較不會擋到進出的人～

這次點了檸味鹽蔥豬肉丼，吃起來很清爽的一款丼飯，不重口味的人可以點。蔥比印象中好像少了一些，吃起來也沒這麼酸了，可能口味有調整過？但還是很好吃～

一般尺寸的適合女生吃，飯量還算多可以吃得飽。男生可以點大的應該就夠吃了，食量特別大的才需要點特大。大跟特大都可以免費加飯的樣子～

朋友點的烤五花肉我覺得是這間的招牌，烤醬很香，味道很足可以配一堆白飯。韓國醬丼飯（忘了叫什麼）有點像韓國買的辣醬口味讀烤肉丼，也是比較重口味很好吃，微辣。

小菜溫泉蛋很值得點，放進去整個質感都不一樣了～吃起來口感更滑順，不過我覺得比較適合烤肉丼，鹽蔥丼就不這麼適合

正常尺寸的燒肉飯價格在160到170左右，加大的大概貴個50到60，肉也多兩三片
而言之是很值得在光華商場或是三創逛街時來吃的店，畢竟在商場裡面食物貴多了而且還不一定吃得飽😂😂😂"
 joyce79928cc ,https://www.google.com/maps/contrib/104932271112067780708/reviews?hl=zh-TW,4,True,73,"自助點餐機很特別，一開始不論外帶內用都排隊等著使用點餐機
位子就吧檯前一排，很有日本感
今天點烤五花丼跟烤五花偽物咖喱丼
加購日式拌青菜、溫泉蛋和味增湯
評論可以加送小菜
烤五花烤的很香，飯沾著烤肉醬，
小份丼飯170元CP值還不錯
不過今天拿到了一隻沒有洗乾淨的湯匙…
衛生條件可能還要再注意…尤其在這種疫情時刻"
 根本艸子 ,https://www.google.com/maps/contrib/104255549300444214190/reviews?hl=zh-TW,5,True,47,"非常容易被忽略掉的店家，在二樓樓梯偏陡，帶長輩或小朋友自己注意一下，現場採自助式的點餐機排隊點餐，可以投幣吃鈔可以linepay可以載具，不過老人家沒網路不會用3C點餐的絕對會有點苦手，簡言之不是很老人友善；

個人強推烤五花辣醬拌飯，不是在隨便辣的，是好吃的辣。飯很好吃，點這道個人覺得不太需要額外加套餐，適合單點，食量允許推薦點直上大份。另外豬愛魚和風大阪燒丼裡面是沒有魚肉，只是有鰹魚風味的醬油調味，並不是海陸雙拼耶不要誤會；因為我們都誤會了。具吃的朋友說吃起來有大阪燒的感覺，也是好吃。

現場文宣上說打卡說會送小菜，不過今天突然說送的是豬味增湯。味增湯應該不是小菜，我比較想吃小菜。"
 pin wang ,https://www.google.com/maps/contrib/100726785636628041388/reviews?hl=zh-TW,5,True,41,"大食怪小哈林飲食記錄
用餐理由：好友聚餐
人數：2人
服務：自助式（除了叫號入座跟上菜，沒其他服務）
餐點：5顆星（我點的是最招牌的燒肉蓋飯，肉有微微焦香味，醬汁不會死鹹，套餐有很多選擇性，我選胡麻醬蔬菜跟豬肉味噌湯加點溫泉蛋，我知道這樣說有點過分但味噌湯是我整餐下來最喜歡的一道，豬肉讓湯頭變得濃郁但又不會膩，老闆煮味噌湯的麻煩給他加薪！我的溫泉蛋上來時破掉了但不影響，只可惜有點冰太久硬掉的口感，整體吃起來是會推薦可以去品嚐的美食。）
（點餐是以點餐機方式，可以刷卡掃載具，購餐後請排隊等待叫號，用餐後也請自己用座位前的抹布擦乾淨桌面讓下一個客人有舒服的用餐環境。大碗以上才可以免費加飯）"
 王仲荷 ,https://www.google.com/maps/contrib/108049821009979757614/reviews?hl=zh-TW,4,True,25,"咖喱口味的好吃～招牌燒肉丼也好吃
套餐搭配的味噌湯味道濃，泡菜口感偏老
有小小孩的不建議前往，因為一份餐點一個位置，沒有兒童椅小朋友要抱著吃"
